0.0527484981887248-3.83957953015813e-17i,0.0754870994504669-3.71166281522505e-17i,-0.0962269272958087-2.4766813789432e-17i,0.0288927565060598-1.24698118677626e-17i,0.00363960009914569-1.74006677745119e-17i,-0.0124089990780785+4.98283001152291e-18i,-0.0272657802122089+5.68107557019636e-17i
0.0538935475942582-4.08764572120031e-17i,0.0510446045336965-5.95617908169939e-17i,-0.0430250489505749+2.38521687426281e-19i,0.024941225356999-2.17109626181725e-17i,-0.0552173670512625-3.53000443045104e-17i,-0.0132771287482405-1.04168195805572e-18i,-0.0940392896819311+4.89861586769021e-17i
0.00882161464689898+9.27811405960539e-18i,-0.118924175940991+2.93121395047161e-17i,-0.00351641992148033-3.85618091799168e-17i,-0.0228139947306955+3.19588573387198e-17i,-0.0309077870734061-1.19712706618798e-17i,0.0384609461308903-7.02733985655129e-18i,-0.0142161703458376-2.58618521585515e-17i
0.0135690833408794-4.71354212327916e-17i,0.0775344301465386-9.02510079196358e-17i,0.00093867420153887+6.182667294383e-17i,0.0768289233123503-4.55035530668007e-17i,-0.13582763421214+1.81361758875969e-17i,0.0122628258452455-5.93485354700222e-18i,-0.0234400627457775+1.85978786384626e-17i
0.0512835987623871+1.29472016384684e-17i,-0.0451127330331344-6.71351015745826e-17i,-0.000394780603732657+1.66388322089346e-17i,0.0798443483315689-4.35260707277368e-18i,0.0286958608094424-2.36772240227313e-17i,-0.0266882383612533+1.90736917275287e-17i,-0.132811664458866+2.13625292960226e-17i
-0.0944172091968467+8.82488082967984e-17i,-0.0852016695985055+1.03540753629073e-16i,0.12238626120987-1.08033960133359e-17i,-0.073275846034833+5.47725961791522e-17i,0.100321526331541+2.74909675954447e-17i,-0.0154681410113381+1.42171162660444e-17i,0.0864701024206297-8.83956603925359e-17i
-0.00191596548377447+6.64151617537294e-18i,-0.0160034920111466+6.88169830436999e-17i,0.0332572808631631-2.71992314353256e-17i,-0.0241772697570156+1.13213725052338e-17i,0.00948527766124813-3.68685931027706e-18i,-0.0927553758348475+8.9272422457691e-18i,0.0424146956323925-2.92284637634156e-17i
0.0574819622776472-3.59377464241052e-17i,0.00387968325164664-1.55875345350371e-17i,-0.10955136931064-5.06190652753939e-17i,0.0130076348391764-6.99351781524055e-18i,0.0449706534255462-3.43601936917166e-17i,-0.0618246431446282-2.06531042064954e-18i,-0.0429278465032124+5.64304700606579e-17i
0.00728678993188688-1.54923237223239e-17i,0.00389472057147843+1.62013398243391e-18i,-0.0860916606513845-6.61060334701791e-17i,-0.0451407391937866+5.43800293355451e-18i,0.0478140836768302-1.79485407031842e-17i,-0.0380682273733077+2.50899906816782e-19i,0.0157259277526918+2.9839243814943e-17i
0.0243494169979061-2.94233506478067e-17i,0.0803565518322387-6.16083283542935e-17i,-0.0205081866230246+9.47100591596431e-17i,0.0174291693799886-4.86058615296602e-17i,0.0286434749678853+4.53834239526565e-17i,0.0173408250076099+1.26512573774087e-17i,0.000404208497090971+3.1580321583581e-17i
