-0.00680763032777932+1.83616898375231e-17i,-0.00944915223690829-3.23773998290099e-17i,-0.0143047480300863-1.17208230720825e-17i,0.00842483905543453+3.42851474505243e-17i,0.0103261978409465+4.25551413424312e-17i,0.0121878483762029-5.33038270099301e-17i,0.02471031875173+1.27891934073188e-17i
0.00995288592546284-7.89279067588699e-18i,-0.0184327247814931+4.80688315377774e-17i,-0.0107783704030979+1.27448694744021e-17i,0.000917917022623315-2.2341445937031e-17i,-0.0194713160205636-2.78494900704202e-17i,-0.0173476070074004+3.66193389961388e-18i,-0.020038917171336-1.3703520644155e-17i
0.00796151750373953-1.41715350473139e-17i,0.00214871123252193+1.24629299016363e-16i,-0.0604792140608779-5.23409781141687e-17i,-0.0185883134874631-2.46381374443274e-17i,-0.0124586093235483-5.71812921581224e-18i,-0.0210031074352505-2.8406929940943e-17i,0.013211675667371-4.28107452309359e-17i
-0.0204223516207761+3.71910277548391e-17i,0.0224200006092222-7.80255016850586e-17i,0.0309493939232691+7.15106067488445e-17i,-0.0283956915697837+3.03021075706434e-17i,0.0483320171016439+1.13437002370516e-16i,0.00221285156702751-1.53341336466088e-16i,0.0583887669679774+1.86442371930097e-17i
-0.0010416962212429+8.84685713148991e-18i,0.0170168884138692+5.94761068584202e-17i,-0.0210649700130813-3.99462748174056e-17i,-0.0190164885734721+3.71766637035102e-17i,0.00402239941997166+2.19820433015072e-17i,0.0309254744435253-2.7609040801271e-17i,0.00939427053252339-6.20252352404624e-17i
0.0011887174648306+2.20801970377745e-17i,-0.0338613102288221-5.21180632003594e-17i,0.00445800407320081+3.37846969595501e-17i,0.00321374964617186+8.09947246419081e-17i,0.00580608703100253+7.40000614661047e-17i,0.0344102060514194-6.2206818966655e-17i,-0.00680770875898193+6.28990765598951e-18i
0.0288707510271576-4.4825988653253e-17i,-0.0851078263412468+1.55765208165899e-16i,-0.0544282851609887+4.2276841178112e-17i,-0.01427576572584-1.97074068339572e-17i,-0.0389959803953481-7.15834487469773e-17i,-0.0358436323677346+1.29546077034056e-17i,-0.0415670201926238-4.54762644426498e-17i
0.00982498597029592-1.2704744774513e-17i,-0.00726826540037678+9.83632349387952e-17i,-0.0412098254585699-4.77470568270578e-17i,-0.0171410554408826-3.48690290157444e-17i,0.00333973297891592-3.69864718692391e-17i,-0.016521932872614+1.20835421747314e-17i,-0.0144135985147798-2.05725322415249e-17i
0.0132925606435851-9.55909891337716e-18i,-0.0259767765774489+3.70960413465176e-17i,0.0148833081401398+9.33983014950245e-18i,0.00388031540470111+1.63454627325939e-17i,-0.0823320121958439-5.23880568305401e-17i,-0.0144736322768632+3.37903612541922e-17i,-0.00522097445731766-7.33995060360734e-17i
-0.000523325324002183+1.47969116957228e-17i,0.012067100199903-3.51194867045903e-17i,-0.00223407076944434-4.67799945911299e-17i,-0.00766427389027433+1.26361218174197e-17i,0.0395997761973661+1.66340759467425e-17i,0.0106304992527399+2.068600820597e-17i,-0.0130298335959741+2.27676507135436e-17i
