-0.00497749784626718+6.4418636095427e-20i,-0.0523005003229241-3.51296338388293e-18i,0.0373677434165306+1.79539250714402e-17i,0.0194213201916501+9.60359963648741e-18i,0.0112775858589839-9.70829410473332e-18i,0.015211969912298+9.99119224551651e-18i,-0.00040199323658292-1.71518340841975e-17i
-0.0301209935087372-1.02750691835973e-17i,-0.0135580927806922-8.28499675672334e-18i,0.00736455492734209-2.37105908412585e-18i,-0.0143518439785029-1.36941388275733e-17i,-0.00213585942852444+1.06921710794499e-17i,-0.0439603732872989-1.46521994164743e-17i,0.0484975292002563+3.47618022276913e-18i
0.0139361753037984+4.4465807146855e-18i,0.0379170186688709+3.00600278207963e-18i,-0.0444703788489847+6.94095871052404e-18i,0.00673578363186489-5.43848363067903e-18i,0.025711407111039-2.6705235118976e-17i,-0.00602834431599984+1.10115902824916e-17i,-0.052082443413333+1.5743851099479e-17i
-0.00203783869242353-1.18219092612503e-17i,-0.0563229501518728-1.19683780842558e-17i,-0.00119515654365855+2.42069197726009e-18i,0.0547233787057018+1.83825710766573e-17i,0.0138636088896161+1.41394581245709e-17i,0.0195149170574945+8.43771833835671e-18i,0.0369974999297059-1.65480875587383e-17i
-0.0487693431854896+9.94137203035878e-18i,-0.00138892611465365-1.19799198230445e-18i,0.0664774388267158-3.83790809040869e-18i,-0.00570463313921923+9.28772048202431e-18i,0.010643790226163-8.86197995113911e-18i,0.00558971962379945+1.95765497366616e-17i,-0.0214992012322577+9.96433040784999e-18i
0.0370005223524269+1.41120969501874e-17i,0.0176109866500588-3.71545927297511e-18i,-0.0444617342829502-1.78367407404121e-17i,0.00968178882585679+2.7160763293061e-18i,-0.0186375859754355-8.20939071206573e-18i,0.0268658329951899+5.18904830506607e-18i,-0.0212038708570413+4.47850348546309e-18i
0.0440611444462634+8.8956759589767e-18i,0.00872709566375851-4.43567837230884e-18i,-0.0528468943646716+1.34314093635245e-18i,0.0169374052002094-5.54583462321873e-18i,-0.007151021555218-1.52239251788999e-17i,-0.023214175706207+1.03047407343687e-17i,-0.0282328456778888-5.4489774500827e-18i
0.00446322783163029+2.67838277586819e-18i,0.0144792124959852-9.1585736853154e-19i,0.0740211830832036-1.36330213941605e-18i,0.0160553701926669+1.15626886109719e-17i,0.00160515758480684-4.28483835163208e-19i,0.0707376897839503+1.65216264836605e-17i,-0.00600614029438486+3.699553143512e-18i
0.00221551747388809+1.7242512500199e-18i,-0.0228508247955715-8.98311300142836e-18i,0.00289341931644753+1.53222469956737e-18i,0.0228869236750422-8.68288081870674e-18i,0.00322725192971643-8.71953106366472e-18i,-0.0119012551872834-5.13261340761611e-18i,0.0139496064445984-3.45365100307768e-18i
-0.0548267662568129+1.76857408355057e-17i,0.0274206593759902+1.86737563062497e-18i,0.0683500299045281-4.80418083742266e-18i,-0.0147464440123409+2.01871107827617e-17i,0.0116514493457539-1.0927340785179e-17i,-0.0172253746251463+3.40428920339045e-17i,0.00201715098305143-5.85098932456573e-18i
