-0.00131735795922173-5.89049597640454e-17i,0.119788164571806-2.39223885598098e-17i,-0.0883291405880399-4.63421409324175e-17i,-0.0199487281917045-1.94612816820963e-17i,-0.0525293189449241-3.65836008267993e-17i,0.00184799642900454-8.96670266126095e-18i,-0.0209317276188494+6.76585093916558e-17i
0.0166737585638986-2.37004733879426e-17i,0.0105561265504991-3.21650934642062e-17i,-0.0517045679935284+7.06562878186778e-18i,0.00878563158218718-2.35470717912956e-17i,-0.0164152789973925+3.4456279105796e-19i,-0.0285512354469314-1.82863470532487e-17i,0.0149810151170027+2.48164472897673e-17i
-0.0162564773212196+4.36218111053674e-17i,-0.0555594571752517+5.09598667627324e-17i,0.0749860953670937+2.53402312844489e-17i,-0.0440757799584014+1.28657926602891e-17i,0.028686668003747+3.15804012229646e-17i,-0.00926595887304299+1.30055540201836e-18i,0.0334418917827543-3.82478378442657e-17i
-0.0414293274018088+1.18088950970642e-17i,-0.0353390772595435+8.80440967155914e-17i,0.0387298715781521-1.90695829448294e-17i,-0.0282706527033524+2.52257558456392e-17i,0.0270464546734912+3.19214041741777e-17i,0.0240455053733902+1.31414184719438e-17i,0.0708074521476456-4.21861830003415e-17i
0.0331835466634232-8.81292063326544e-17i,0.0948232376543452-8.20629995931032e-17i,-0.178348673991422-4.38842640934604e-17i,-0.0222794436847805-4.61771150975598e-17i,-0.0838560744891518-2.04748319199353e-17i,-0.0401801389207104-2.66692836249343e-17i,-0.0149643656387952+8.81601727738987e-17i
-0.00513796124820657-3.28408107737513e-17i,0.02401670366694+1.71373311627795e-17i,-0.0649531876237976-2.36623302079137e-17i,-0.00291641447552585-3.43906245547653e-18i,-0.0168420026038179+1.15042317549484e-17i,0.038807953222783+2.91721051825791e-18i,0.0243184694685394+1.46257515677134e-17i
0.0292732148240411-3.54701459494152e-17i,-0.00995739176260812-1.65962055644873e-17i,-0.0739781861918762-5.55314124222485e-17i,-0.00544723941136467-6.24690091108624e-18i,-0.0325017678407309-3.67088775232889e-17i,-0.0178264734111738-3.45849856052838e-17i,-0.0246030965154641+3.18943457165598e-17i
-0.0340909261023369+8.89439972460904e-17i,-0.188156242605837+1.33123823738994e-16i,0.164663710627803+3.95237808517163e-17i,-0.0807076257684893+5.80268780314884e-17i,0.10322110534509+3.76344589971732e-17i,0.0243939600433352+1.75426760307494e-17i,0.0644744780084774-1.16419902416163e-16i
-0.0187595759395962+3.44869905685168e-17i,-0.0592397868292582+1.05336659000435e-16i,0.0582018465544172-1.23314773953699e-17i,-0.0401251607591298+3.00999303640498e-17i,0.0845724374544736+2.65964914192021e-17i,0.0297464504561811+1.3713954924807e-17i,0.062318095925908-4.5730167240642e-17i
-0.0141914792938076+2.99063942169819e-17i,-0.050772541825243-7.40112546859764e-18i,0.100816316006658+9.1074140802739e-17i,0.0323694913228956-5.41733697548893e-18i,-0.0611218785819015+2.43691023558288e-17i,0.00536887655594927+1.64808420254987e-18i,-0.02009160564722-5.54179883154254e-17i
0.0179434110016861-6.26243646086281e-18i,0.0168133036589873+1.7202645833997e-18i,-0.0686305627200788-6.10462269208179e-17i,0.017310298949213+2.54288133555022e-17i,0.0418568220606376-1.19084476330651e-17i,0.0120734697967035+5.94012943802569e-18i,-0.0121005634236478+3.35756238603715e-17i
-0.0277465889470639+9.92921840946982e-17i,-0.188907033475147+8.86664673682933e-17i,0.149018953871568+3.34584250600354e-17i,-0.0344895383021689+4.27880062470916e-17i,0.113722126138422+4.77027474651026e-17i,-0.0366571436718514+1.60124953004437e-17i,0.0384130857381553-9.90927762952836e-17i
0.0197836108138159-6.49052619056659e-17i,0.0625926462490765-2.10602459397566e-17i,-0.126727445689627-6.19014061717637e-17i,0.044229982652387-7.61646627794693e-19i,-0.00527241226238876-2.98618171890961e-17i,0.0410323151113627-3.95810549392156e-18i,-0.0202364800597468+5.6079081096452e-17i
-0.0244088146323993+2.32463368968873e-17i,-0.0956144829578562+8.95330881210503e-17i,0.0830490661822658+6.49152673637895e-18i,-0.0135971042292145+3.28066884140453e-17i,0.00637248427406529+2.82135407069987e-17i,0.0245922299435991+1.52904092506106e-17i,0.0352958584976424-8.19266780753394e-17i
-0.0161547616612922+3.70961025370165e-17i,0.00209668713716056+1.18530045543268e-17i,0.00339985382983791-1.64012996426846e-17i,-0.152252520513423+1.69827429129835e-17i,0.0613177729261004-5.1186055059708e-17i,0.0144302457267231-1.73135432115822e-17i,-0.0497503441099428+3.36721667208433e-17i
-0.0273055758693706-5.53833217070869e-18i,0.0517347958131689+1.34072674433593e-17i,-0.0322419439005703-2.57078528154729e-17i,-0.0714371635120435+2.13160454860487e-17i,0.00267145682484212-2.79992244761148e-17i,0.0933277135064087-7.61465839307829e-18i,-0.0186527118667245+3.43617569263464e-17i
-0.00329916690733055-2.13844553498791e-17i,0.0168815030580578+1.10711830572574e-17i,-0.0252518902670951-7.28826566845448e-18i,-0.035601613118366-1.09074760990496e-17i,0.0138636204994233+3.00579595239388e-17i,-0.0571103017456375-6.84778972823792e-18i,0.0499603558371234+9.15341894993647e-18i
-0.0450749353536558+1.12813767870312e-16i,-0.0889067176953607+7.72519786555673e-17i,0.224070478758186+9.54467418132992e-17i,-0.00885811244553194+3.0899458277204e-17i,0.0968947860529986+5.43395983753539e-17i,-0.023890994400777+3.1262383863684e-17i,0.0564438030416215-1.0874308107848e-16i
0.0310513683984274-9.67056254036246e-17i,0.0755557161721045-6.94697683860801e-17i,-0.191831283535278-4.70566353385689e-17i,0.0069769944874285-3.65806397850492e-17i,-0.0963289038827991-2.14475448746655e-17i,0.000667341584384251-2.40839037223152e-17i,-0.00323946287144631+7.24437498641678e-17i
0.0139483169773612-5.46555267090369e-17i,0.134222965954517-1.10975579321589e-16i,-0.127921391082646-3.6854757607754e-17i,0.0377160698295669-2.94478704564912e-17i,-0.0158037618644751-5.24031491636496e-17i,0.0344078073857327+6.49254545108529e-18i,-0.0784397825939503+9.37366415563927e-17i
-0.0459912676234779+1.06727017953471e-16i,-0.185054997092159+1.56114194753031e-16i,0.255234400845402+9.07250575378157e-17i,0.0312962684908735+5.11980324143544e-17i,0.0694844857217026+1.03302389773844e-16i,-0.0262786356704563+4.33465417625141e-17i,0.123895081443513-1.72486164291587e-16i
-0.00473391709900307+2.37109114149084e-18i,0.011162500280894+1.07053155919958e-17i,0.0150984670314671-5.05775685995622e-18i,-0.0142355693851584-2.73190681638121e-18i,0.0215326927548657+2.2824387007754e-18i,-0.019717207887365-2.90950086807986e-18i,0.0127864253756272+1.54805793141004e-18i
-0.00501547369705546+1.71557104266291e-17i,-0.0751232859017182+5.24827781519054e-17i,0.0388905629782905-8.93267966058105e-18i,-0.00315030454224982+1.64184388171051e-17i,0.0290445173540493-9.35994100365169e-18i,-0.0217009938708637-1.67575288937844e-18i,0.00913180013407614-3.35108273572888e-17i
0.00242095209419698-1.90480410018262e-17i,0.025060613060325-7.14449647694377e-17i,-0.0170908437471567+6.23722651549327e-17i,0.0325727136063181-3.40189250066049e-17i,-0.0525395613642592+3.10319533028514e-17i,0.0095012632657404+2.16912925608117e-18i,-0.000333580394735471+1.21810539846146e-17i
-0.0237131433149314+4.99440929562141e-17i,-0.0620134167778075+4.308252432411e-17i,0.0989974152652425+5.75855015821239e-17i,-0.000809881946492471+2.85177308434406e-17i,0.0595561943511524+6.11163437417612e-17i,0.0484555578762467+2.45895724296948e-17i,0.0546495545092164-5.55117772812757e-17i
0.0212451734686607-4.56532591792837e-17i,0.0851062757609439-1.0933285778487e-16i,-0.0595018966668411+4.19566582604548e-17i,0.0903010262914626-2.88112962284573e-17i,-0.0866846135514209+5.58985703835799e-18i,0.0163797134773068+5.85014009883713e-18i,-0.0365329931649215+3.32376147708529e-17i
0.00114581894585975+1.72634295811068e-17i,-0.0335377412936387+9.51721414819856e-18i,0.0138491433697154+1.42422051478601e-17i,0.0279678558866981+1.44629003575803e-17i,0.0322246695562623+7.84912710625248e-18i,0.0376541499500479+1.78182556899745e-18i,-0.00297029256873384-1.17877914578518e-17i
