-0.0351347426463344-2.88703155809589e-17i,0.0327322175261871-7.24280025810675e-17i,0.0652604443296477+8.53802147754673e-17i,0.0206458587815324+4.47441002135494e-17i,0.0613806314756198+5.73851003434688e-17i,0.0356279996389823+2.92997073253456e-18i,0.0447668888347053+1.12100730595277e-18i
-0.0225169581893851-2.56492223796458e-17i,0.0171278168499249-4.76322181452895e-17i,0.100295915916882+9.93742013520446e-17i,-0.0211843801817413+1.72444346706438e-17i,0.0265977452782371+3.80268335426634e-17i,0.0190681239844094+4.91440112942105e-18i,0.0200644837561911-2.67764208421732e-17i
0.00538299454218086+3.81495331167349e-18i,-0.0885577064926355+6.47804700351017e-17i,-0.031664721709205+1.94183347217044e-18i,-0.0110905592795794+5.4834597310955e-17i,-0.0194517528597833+5.10751075366127e-17i,0.0534490852105018-3.14531917605905e-17i,-0.0120777026714526-9.03933423426978e-17i
-0.00543437725495916+2.73602306098161e-17i,0.0128387419039065+5.47664739002657e-17i,0.0650593431520362+1.16230540796089e-17i,-0.00124291070787848+6.57785736285253e-17i,-0.0539874208231543-3.26986648414265e-17i,0.0220768632414111+1.4211274456e-17i,0.022601735428891-6.48403880664371e-17i
-0.00481162154565862-4.38934846267247e-17i,-0.0277138277505008-1.46747091093358e-16i,0.0621804952043062+8.3358753607253e-17i,0.0467592726716453+1.15910477664907e-17i,0.0608405261982569+7.06673623816618e-17i,0.0130102058091133+7.42792270612529e-17i,-0.0463332519113867+3.65027458374159e-17i
0.0472501929298171-5.84310907227847e-19i,-0.025723712927616+3.03568057151436e-17i,-0.140157576675513-1.03576119331014e-16i,0.00815240504333935-7.30665854237953e-17i,-0.0374752156215275-5.13031902309652e-17i,-0.0923204954329837-5.83316194030353e-18i,-0.0584796463260871+7.50653491855875e-17i
0.00548266051725102-8.57280457151806e-18i,0.00877374608112584-1.55252372407374e-17i,-0.00996425443218574-3.88673840959602e-17i,-0.00517724459563701-5.04635715564472e-17i,-0.00372109543446985+7.68639719204845e-18i,-0.0702845641633592-5.22987584271114e-17i,0.0272447271223665+2.82546146656283e-17i
-0.021300934724542-3.86058891925364e-17i,0.0166824502245026-1.16874465152007e-16i,0.0375632307179374+3.9955369106133e-17i,-0.00133581019391294-1.89221020617708e-17i,0.0796694893771161+8.83632631902525e-17i,-0.00802541913957853-3.6002574852281e-17i,0.032025481747141+4.96888121999735e-17i
-0.00679439044963799-2.65995554931095e-17i,0.0072239582061154-4.95540412548295e-17i,-0.0260187902112522-1.33677141789797e-17i,-0.0223039814642557-3.70352027073103e-17i,0.048777865594588+4.12648161124269e-17i,-0.0247542482446046-5.29631006987398e-17i,0.0149508854548176+6.12019075424993e-17i
-0.0383168870915274+8.0830107432961e-18i,0.0617019124814276-6.99151822491643e-17i,0.0379747582749727+2.68776532753111e-17i,0.0444061756800725+6.2338185142898e-17i,0.0218883491122919-8.70131441219603e-18i,0.0629857576707086+1.34306533110926e-17i,0.0625047868242922+2.40991889737134e-17i
0.0150866992301713+2.31509707817474e-17i,0.0518256130994025+1.88351008838586e-17i,-0.0457119613055235-6.8498055431702e-17i,0.0407427239271388-1.78444269635601e-17i,-0.0378992180655533-9.97164254658124e-17i,-0.0393886801316977+5.06217772061091e-17i,-0.0142967468755422+6.95038884423472e-17i
-0.0409512966560324+1.76596771778039e-17i,0.0397612940252609-1.77285376126233e-17i,0.0256230041548316+3.07600628864994e-17i,0.0258370456046734+7.85099752583749e-17i,0.032330552861374-1.92126864264563e-17i,0.0999500206562772+1.29105070026592e-17i,0.0572552222359663-2.98242310001978e-17i
0.0332458457351217+2.16299046590183e-17i,0.0244018435280306+6.63810986444445e-17i,-0.0508163966723742-5.42599346959414e-17i,-0.0734338180376188-1.14402267531538e-16i,-0.021662130588708-6.91926372157539e-17i,-0.0590883041604895-9.29196327096899e-18i,-0.0540826331018211+4.38198337201379e-17i
0.0195204156166496-1.00997058484137e-17i,-0.0385650467703412+2.84933019921086e-17i,-0.0484242737311766-8.09133459037003e-18i,-0.0169663159569715-5.37037186184872e-17i,-0.00385686331955732-1.57547974559936e-18i,-0.0240240140683738-2.04567355922502e-18i,-0.0450127001732181+1.15369048699054e-18i
-0.0132592032769033+1.33304017858924e-17i,0.0799777488779734+3.81262098611716e-18i,0.0173689102571552-1.46856032825629e-17i,-0.0144197763745071-4.25582689010053e-18i,0.0206801653813232-5.34315855518992e-17i,-0.014247437241191-2.24770120122474e-17i,0.0365302598714944+5.66036399745414e-17i
-0.00828353888365372+7.26227913286734e-18i,-0.0151572186692126-1.74991376569083e-17i,0.00242659502450469+2.46853359545198e-17i,0.0283448971193297+3.52734581397688e-17i,0.0105352096817768+2.32704208530179e-17i,0.0437876556977809+1.4158001090632e-17i,0.00114772712427564-2.29573836954944e-17i
