-0.00344132215376391+6.63034368777563e-18i,-0.0225890609189435-1.97376021128506e-19i,-0.0858097123140816+8.79714059795966e-18i,0.0464098209234004+1.66263502390788e-18i,0.086072791926878+2.03202617325331e-17i,0.0195127454280687-1.42360318646488e-18i,0.0507900488679217-1.96343125119786e-17i
-0.0273213374279612+1.56752844745125e-17i,-0.0334630104836099-1.25499355275253e-17i,-0.0787973926946046-1.72805416838408e-17i,0.0284196091534688-6.90272183950942e-18i,0.0289937913595493-1.01534478867903e-17i,-0.0459060361787181+6.48981137283202e-18i,-0.0196758234531506-1.18905735220349e-18i
-0.0070909135102807-1.09365318388889e-18i,-0.0194435353246696-3.03397250099235e-18i,-0.0286596334035752+9.67281526765473e-18i,0.0573596922556253-2.10101886941489e-18i,0.0625191763959937+1.2090791557118e-17i,0.0576734764072934-9.67114599611841e-18i,0.0381645448114796-4.37905145129316e-18i
-0.0240331999481179-6.08348332127729e-18i,-0.0599736781850213-1.29048202300312e-17i,-0.0142998635296658-2.94428431760917e-17i,-0.0192444364831925+2.33283814106823e-17i,-0.0996231963718293-1.09610955292543e-17i,0.102692601017587-1.01128508457247e-17i,0.00508081455031686-1.65358451237587e-18i
-0.0154425421309392+1.44755859211999e-18i,0.0212733549749858-2.59444827242799e-17i,0.00688512393638837+1.27604776727721e-17i,-0.137272785159164-2.49632667817445e-17i,0.0685682733779538+2.59083327082155e-17i,0.0522391272434205+2.68209475111259e-17i,-0.0160661571019103-7.64293890237047e-18i
-0.036476825139365-1.32971600766174e-17i,0.0487704702132533-7.60649939618432e-18i,0.0101164999055907+2.0325430848953e-17i,-0.0171393547550079+1.33335087598803e-18i,0.00792809881508392+1.46953351682741e-17i,0.175428634156241+1.23137183838858e-17i,0.0235628608649088+1.03325842457535e-18i
-0.0203102656871317+6.39842556135344e-18i,0.0046248431363302-5.87627269387033e-18i,-0.0383170676246165-1.76380021785594e-17i,-0.0201394596579064+1.92379441644543e-17i,-0.000534376831741448-2.29483283766013e-17i,-0.0395584881632137-1.4211711183684e-18i,0.0702965607059865-5.70100604158137e-19i
-0.012572964680112+6.87868554496257e-18i,0.0982264825689224-2.57204660613528e-17i,0.0404103281022364-1.0761036394937e-17i,0.0472739628513468+3.29044998162487e-18i,-0.0256950435233711-3.66775433870851e-17i,-0.00106205559645051+5.54031383634639e-18i,-0.0880892045968752+4.98061082992954e-17i
0.0184667335854476+1.56380191009386e-17i,-0.094201718573041+2.31201760913742e-17i,-0.0404761561312938-5.58151124079772e-18i,-0.0243307842608977+8.86315715104983e-18i,-0.0145816635985069+1.11842414885858e-17i,-0.017207130934324+4.39321257130485e-18i,0.0863680479241051-5.81516633031626e-17i
0.00109987115569938-5.63680292510101e-18i,0.0927070156972101+9.35262744884735e-18i,0.0447006157445643+4.67702175773054e-17i,0.0688138870050373-5.15896910621135e-18i,0.0977489649392744+3.84775053625148e-17i,0.0251518932983054+3.07703739011489e-17i,-0.0207691749791192-3.63086838176323e-18i
-0.028087502826353+1.48601950430122e-17i,-0.0394405622035674-1.6444717873862e-18i,-0.0534525484180464-4.76393635055879e-17i,0.108794389494629+3.61162002534601e-17i,-0.126143398188915-5.6810197333118e-17i,0.0120740923440105-1.44989787706468e-17i,0.00504159883531379+7.36627775043571e-18i
0.00220906036446735+1.25029217111931e-18i,0.022540108929386-3.58432327727865e-18i,-0.0114724130263779+8.41781852195129e-18i,0.0267799523214004-3.72688922440706e-18i,0.0382999284513696-8.77150738200373e-18i,-0.0598968548619096-4.68538924966318e-18i,0.00467595384432705+3.90562755002862e-18i
0.00975051425328263+6.19787710152019e-18i,-0.0795577267540854-8.24918318910728e-18i,-0.0225217971939325-5.01664369569574e-18i,0.0171763751049178-1.463632075434e-17i,0.00945886226191388-9.24324808669641e-18i,-0.0628870314616278-8.22461022637621e-18i,-0.0428783188582357-9.40573469850481e-18i
0.00686024390838735+1.6241300248993e-18i,0.0201951859563756+3.74254836970469e-18i,0.0502086928975435-7.51665667493307e-19i,0.0364061091631367-1.98711039786571e-19i,-0.0363689108480046-6.93049952571729e-18i,0.0108258189007789+8.07496725601259e-18i,-0.0172965245407617+2.92443104408115e-18i
-0.0184367482724024+7.79258643252382e-19i,0.0325117948500611-2.27013990401335e-17i,0.000300013488048662-2.22860184467124e-17i,0.0727309969086844+5.17908453616372e-18i,-0.0351849478601024-2.16495854807877e-17i,0.0976316820305369-7.43876830614572e-18i,-0.000409312063528467+2.9373509916336e-17i
0.024129688151886-1.40500940387271e-17i,0.025809452133698+1.32341824206248e-17i,0.0711663948608044+1.00055863119344e-17i,0.0713699240513076+1.78153052787874e-17i,-0.00490203934185103+2.09743743200637e-17i,0.0105098018286897+8.37052884630714e-18i,-0.0467345832519784+1.32470713508543e-17i
0.0149635831943849+4.65465052511207e-18i,-0.0753881866809577-1.25285754489237e-17i,-0.0215790509651235+2.13737182391712e-18i,0.0950746792877001-5.91205155562503e-18i,0.0383507039658384+4.98366873047495e-18i,0.0242422811946832-6.04819054054e-18i,-0.0478257638582053-4.79367353452403e-18i
-0.017712443929653+3.11034811959571e-18i,0.0830441451571786-1.62178432530161e-17i,-0.0129984389064402-1.76957373840294e-17i,0.0323761061973913+1.26803208535023e-17i,-0.0141773680649222-4.31909715126835e-17i,0.0597576918769871-1.36452844620907e-17i,0.024879445228288+3.84301675866704e-17i
-0.0253354900760248-4.91496049810131e-19i,0.134350589008465-4.91045359401266e-17i,0.0343449348874496-1.77727222922066e-17i,0.041627196240188+9.2100769246064e-18i,-0.0307373430469045-7.58779024129927e-17i,-0.00243255412934555-2.08638560406547e-17i,-0.0478541904885413+7.83965606035542e-17i
0.0339228649187656-5.30063671347942e-18i,-0.159356216943233+5.57062915416219e-17i,-0.00855749041217793+1.2155901413023e-17i,0.0683029581842747+1.65672872759379e-17i,-0.00996501561247472+6.44882296129983e-17i,0.0258936140754483-3.14523195088306e-18i,0.0382936382733597-6.57779693190067e-17i
-0.0134394246601535-1.23772724282899e-17i,-0.00382422268173131+1.18274983597485e-18i,-0.00489838343175081+2.35450196538936e-17i,0.0232851477964245-3.04243368138852e-17i,0.115168553000256+6.07868423087637e-17i,0.0964640845652057+2.89715704682872e-17i,-0.0597751691232781+1.04186995086052e-17i
-0.0374272472877936+1.55897641934957e-18i,0.131653884408521-5.19337858437461e-18i,-0.0346686923536953-1.678514952626e-17i,0.0744485388742479+2.91145376357937e-17i,0.00145853034665396-3.23962342462538e-17i,-0.0464458041839859-3.29478501941748e-18i,0.0686011258710487+3.11576632037091e-17i
-0.0032527670319586+1.02910958963374e-18i,0.021170611959579+5.65525338311122e-18i,-0.0256335537944762+7.27070178559966e-18i,-0.0375642630525287-1.87045984395309e-18i,0.0634000909725321+1.86228464856303e-17i,-0.0231448606712376+2.49725787790018e-19i,0.042940793159216-6.29552032140248e-18i
