-0.00193337508254791-3.7372955791042e-18i,-0.0487258156146865-3.49162740294752e-17i,-0.0817224010602509-6.47753292909515e-18i,0.0323701326612241-1.99004881355236e-18i,0.00557270652609721+1.94876223216518e-18i,0.0593353939382269+3.75414905445145e-17i,0.00380169393196099-2.25972712124825e-17i
-0.00694470477989791+1.31071578467359e-18i,0.0237474404969933-2.28622586941613e-17i,-0.0261248740462377-1.94341059775291e-17i,-0.0460003166041728-7.49857195469392e-18i,-0.0206988673760775-1.20738215098449e-17i,-0.000560390784438764+1.7603713255886e-17i,0.00489979945739822+9.66117450050546e-18i
0.022899914942714+8.76970339725686e-20i,0.00579341632813984-7.76813780385769e-18i,-0.0122660334475126+2.55794017911076e-17i,-0.00362621462409361+2.85901851759609e-17i,0.0459137054636672-4.5719166745625e-17i,0.01587317089683-3.8966528143027e-18i,0.0296295738114421-3.69146439299256e-18i
-0.0115729925210049+1.29252009265477e-17i,-0.0318328617060973-1.24572434301433e-17i,-0.0215380112238751-1.1945099410802e-17i,0.00163553394758892-2.02748849997823e-17i,-0.00355103703571009+1.5228597658535e-17i,-0.0430772575513218-7.04773976377872e-18i,0.053680079088163-2.29846286707611e-17i
-0.00837331263594981+4.90887992074688e-18i,-0.0178302246798005-1.74038827388557e-17i,-0.0279210294237912-2.62718970036795e-17i,0.00548896321524416+4.6809110529081e-19i,0.00662621517443843-2.25033662204385e-17i,-0.00740487625054705+5.92868990918435e-18i,-0.0455913522055066+3.4625591015657e-17i
0.0137525896247106+7.84581553232571e-19i,-0.0257800156979105-1.43200543575175e-17i,-0.0133683137090949+6.60722689887897e-18i,0.032907363338544+2.12155663452879e-17i,-0.0205298286792561-4.7395439713483e-18i,0.0161904563195432+6.49726395447224e-18i,0.0592739711398887-3.49446598300967e-17i
-0.0348812092997684+2.02094424260341e-18i,-0.0319743885315269+1.19156595685651e-17i,0.0412673845105508+1.43642321372411e-17i,-0.037867105119768+1.61233608126502e-18i,0.0206402141310838-2.90638790766299e-18i,-0.0564479213019831+1.99411014259493e-17i,-0.0110546452904104-6.06782836376059e-18i
-0.000179177196579413+1.20943687742248e-17i,-0.0138070701971695-2.05095896105026e-17i,-0.0348357278623435-1.93608198094553e-17i,-0.027844197517893-2.27586137372651e-18i,-0.0345706659459735-9.88151019494925e-18i,0.00254403844479491+2.03130287570986e-18i,0.0179251891337064-6.54535989089336e-18i
0.0410933088776059+3.40308365653774e-17i,-0.0142659850297043-5.26517189396689e-17i,-0.0753162395153824-2.31319256466082e-17i,0.0552922031244457-5.78154753678467e-18i,-0.070404315596224-4.6205476417181e-17i,0.00877658142608106-8.94896414148664e-18i,0.0299259873364102-2.66322638789545e-17i
-0.00337788585876524+5.99442883590924e-18i,0.00461974257781099-4.97008686873832e-18i,0.0379210556994538+4.84556069538045e-18i,-0.103067974930703+1.69085651367205e-17i,-0.0286856286541706-3.00485020423639e-17i,0.0387711230273284+2.66503299570944e-17i,0.065415546369592-1.096617499746e-17i
0.0124480725527994+3.32655142865799e-17i,-0.0723650979216744-2.74509777460127e-17i,-0.0545213285034212-1.39412796763934e-17i,0.0262601708576045-1.03672442272911e-17i,-0.0453786732427608-3.73982265420761e-17i,0.0426955870797749-1.17958681876935e-17i,0.0689471411947194-3.79819892469091e-17i
-0.0553026643463995-2.41583682233888e-18i,-0.0280192984666094+4.77965356036648e-19i,0.0452928250376978+8.44848352897124e-18i,-0.0971812980090961+6.9295910102683e-18i,0.0197905201676463+1.78792821317283e-17i,-0.0756090873465659+2.53547496602441e-17i,0.0210947277652779-2.64221497942616e-17i
-0.00205382225232622+6.0094918274265e-18i,-0.0403484677939098-1.79585165653997e-17i,-0.0487829052898205-2.34047754804813e-17i,0.0350652528931831-2.31682198055662e-17i,-0.033384607750022+9.09486611519627e-18i,0.0235119610869306+3.69794922720305e-18i,-0.0465537003970512-2.61746227724218e-18i
