-0.0070983014744239-2.36128987546714e-17i,0.0120869227209751-1.11676343560269e-17i,-0.0143351583313002-3.74680582944754e-17i,0.00483512039299338-1.39202516667745e-17i,-0.0368687489942397-3.43274298248755e-17i,-0.008918004419731-1.03762352485962e-17i,-0.0784013560768263+2.19595711415975e-17i
-0.00047968709768648+3.47122099767267e-18i,-0.0301352331792287-2.17996437140521e-17i,-0.0606060896759039-5.33074451467333e-17i,0.000316732256491336-2.57407549730581e-17i,-0.0161200394604714-5.19816747537685e-17i,-0.0555886979807818-1.90476201817524e-17i,-0.00630315666373358-4.89473420544747e-18i
-0.0200104898764927+5.30434983114308e-18i,0.051811069206963+1.0459835802178e-17i,0.0392999225481926+8.46898889532521e-17i,0.0401700804388281+3.84693147270993e-17i,0.0304203785216278+8.19029394283521e-18i,-0.0376680258308962+6.85976624134636e-18i,-0.030778993365365+2.65761718965517e-18i
0.00380002228246867+3.07139261902138e-17i,0.000543931888111765+5.99442615008938e-18i,-0.0778895755011004-2.97094813119909e-17i,-0.00487872558185534-2.71836683576987e-17i,0.0171242814594461+1.67680069919818e-17i,-0.0709957096856295+1.24936275676911e-17i,0.0708823560214168-5.51899114288157e-17i
-0.0141057645684929-1.93199857537652e-17i,-0.0203179295725989-3.41322809657101e-17i,-0.0298973079072561-8.29077728504489e-17i,-0.0890041746139653+1.31554923534404e-17i,-0.0829643099310308-1.17126275845039e-16i,-0.0181270948287633-2.37814160619778e-17i,0.034621653742277-2.41746439048183e-17i
0.00937363352669517-3.44912050384941e-18i,-0.00810034613958973+1.60345134876031e-17i,0.0538454126835182+4.12994175562118e-17i,0.0231518443414651+2.8339591049092e-17i,0.0660090433988888+6.69405724898681e-17i,0.0948785401248927+2.11355746142448e-17i,0.0563108080148187+2.73579182795611e-17i
0.0080556153772439-2.50223779085179e-19i,0.00518691435021354-5.14952515501052e-17i,0.0136189792543627+3.20358986388923e-17i,0.0232074698464891-1.20588375925947e-17i,-0.00814028502249451-2.01796579706392e-17i,0.129118253526174+6.59585220047346e-20i,-0.031183038384525+6.31437676347118e-17i
-0.0180625793446545-1.56417146509314e-17i,0.0159870848283587-4.47987058296729e-17i,0.028201808758547-9.46236052420821e-18i,-0.0316914420747205-1.39532572555554e-19i,-0.0796878015802349-7.40250868702982e-17i,0.0594143384808522-3.20544096758388e-17i,-0.109441393545993+6.94209560972279e-17i
-0.0155547632429299-1.82976922244323e-17i,-0.0112677101683193-1.34705403463844e-17i,0.0591516398510468+3.65577353737061e-17i,0.0384774549872321+1.25947342272416e-17i,-0.0458765753810221-1.93966829712747e-17i,0.0651437487393281-2.67162853562019e-17i,-0.0849373983709837+2.52122829202268e-17i
0.0270356645482658+1.12906930780384e-18i,-0.0167611454764485+2.48094031866266e-17i,-0.0844589920579718-8.71114765893477e-17i,-0.0434542667683577-1.70812329415044e-18i,-0.00200694199504868+1.74850592583795e-17i,0.0328139990609252+1.16749086427116e-17i,-0.0199722739387976+3.9716631598758e-18i
