0.00283311561606891-4.16068839480191e-18i,0.011175371576913+2.25987591316912e-17i,-0.00994024713327168+6.11738894305223e-19i,0.00106736915379175-1.13383742924077e-17i,-0.019505558330697-1.06976876026403e-17i,-0.120854527047423+3.75969029587603e-18i,0.0420586977755528-1.28402353732122e-17i
0.0412493961724912+2.0832049582313e-18i,-0.0467197072313819+1.61947997658748e-17i,-0.055233093713432+5.79251360767651e-18i,-0.0118038816513075-1.07157267284937e-17i,0.102445719093209+2.67683582133336e-17i,-0.0784107536680552+1.10014368223292e-17i,-0.000490771120079001-1.29754193600022e-17i
0.00314957930108212+2.8480631894786e-18i,0.000616383307850439-1.09342424344124e-17i,-0.0781804585569979-2.12190877288855e-17i,-0.071660277151927+3.38221676975381e-18i,0.0749389387999099+6.67494870379364e-18i,-0.0465149790544335+9.40750418171166e-18i,0.0426868305361547+7.62394372474942e-18i
0.00284055220495157-1.36354530796952e-17i,0.0662499076854878+1.83053454443405e-17i,0.0363985895252036+4.59720155174992e-17i,0.0205212532006536-7.74181252628879e-18i,0.0512105531728151+3.64032092506503e-17i,0.00440024343063262+1.99201595699624e-17i,0.0268823914670971-5.27161334128819e-18i
-0.0731776465960564-4.34567629378569e-18i,0.149839790402653-2.33703593472437e-17i,0.036714501171449+1.11251115662522e-17i,0.0684265694874835+1.93757491621776e-18i,-0.0120953776163286-1.46446507315859e-17i,0.0287243215201859+6.2266161610188e-18i,0.0492692277062777+3.0553048608071e-17i
0.0194576819537429+3.80602114627555e-18i,0.0431768428282105+5.67204405388128e-18i,-0.0105473771350649+2.07604640048226e-17i,0.000793719352084228+2.97068805370211e-18i,0.0704794641005335+3.21304672151735e-17i,0.0904882308568643+9.32848699211207e-18i,0.046700796887834-1.02537201294828e-17i
-0.029679890597323+1.19961266034458e-17i,0.0290750456366827-4.68283064491353e-18i,-0.0242501148680693-2.05738977036196e-17i,-0.0686405427259801-1.67761079786677e-17i,0.0131152342441697-3.56245766907957e-17i,0.0215104113605824-1.90816315690235e-17i,0.00560274874492886+3.81671929475303e-17i
-0.0178772161097253+5.28944447575236e-19i,-0.0190991759451072-1.31974305767347e-17i,-0.0216629891140025-2.57643017003625e-17i,-0.0445663131023445-9.88520912700666e-18i,-0.00731020546430812-2.51403829101846e-17i,0.00503917954469292-1.42402585609097e-17i,-0.011183954434815+2.38522474508935e-17i
0.00749446860969951-7.57624493618219e-18i,0.104102303212814-4.78790468241338e-19i,-0.0158953661705747-8.54938001087241e-19i,-0.0163715554626471+1.22886947679816e-17i,0.0497465160036542+2.01920307653898e-17i,0.00326607181004618-6.6377518744879e-18i,0.0706002807232123+2.74277715055199e-17i
0.00553094032626461+1.42655460847715e-17i,-0.0347343141905765+1.21731088484781e-17i,-0.00867835135420904+1.19813653029472e-18i,0.0164680051943602+1.19619865517376e-18i,0.0150427579579419+5.73898411220187e-18i,0.0095474307607353+7.14498595462492e-18i,0.00510459338009015-1.88685824177304e-17i
-0.0164561910516457-6.06126125046486e-18i,-0.0531816039126068-1.93539988874062e-17i,-0.0195192313095808-3.61673060252758e-17i,0.0218197576460238+1.27725032100975e-17i,-0.0713728186957238-2.97290073822015e-17i,-0.00555514295423967-1.61876827611533e-17i,0.00438730453494122+8.40441219461478e-18i
-0.00651832171292762-1.39001450066015e-17i,0.049844586024459+2.66181674925304e-17i,0.0222015153878537+2.28703184778138e-17i,-0.0331303960215442+4.41901326531966e-18i,0.00462913938696772+2.68090610830093e-17i,-0.0010237239223742+1.00172858903535e-17i,0.0487616611132337-6.96598473045172e-18i
0.0290546728734567+1.16267011212623e-17i,-0.0310533927299113+8.43417255637993e-18i,-0.0142569679805722-6.97476798926182e-18i,-0.022653171266612-1.8829205235214e-18i,0.000585938622023526-1.99752534347418e-17i,-0.0635877034415475-2.33628365878731e-17i,0.0071260079633251-1.47538024243048e-17i
-0.0126536839401185+1.54949028213503e-17i,-0.00651608535061017+9.17007540390342e-18i,-0.0171574220532005-2.47305950145961e-17i,-0.0333974807869062-5.97503073123015e-18i,-0.0302759613704567-1.13601631834248e-17i,-0.00872838872386889-7.23819096023341e-18i,0.0151825399503948-9.46122534146501e-18i
-0.0612833162034425+3.08086367356431e-18i,0.00783428979759134+2.39132434418509e-17i,-0.0360643405101535-1.77003182790593e-17i,0.0315045950325009+1.58059473361347e-17i,-0.0421146482862986-8.70381149601499e-18i,0.0414404114603282+2.32157525845977e-18i,0.0855740309771527-1.27739577815316e-17i
0.0410747134557877-1.86023299391075e-17i,-0.0137387445505131+3.67240742583486e-17i,-0.0252304847032705+5.29948332366693e-18i,-0.130030610902241+3.84956429101139e-18i,-0.00578875118697782+2.29097469181177e-17i,-0.0475184723261645-6.30220872489381e-18i,0.0575124781868119-2.34961600746931e-17i
-0.0224895930868658-5.69225029140352e-18i,-0.0264586192707931+3.95967606324621e-17i,-0.0373305396807368-2.74319446862713e-18i,0.00492892086729251+6.98410088220247e-18i,-0.00756738029914862+1.79456312493954e-17i,0.056454548613789+7.37520058848275e-20i,0.0802945878794787-2.18444706270944e-17i
0.0524452518863659-1.38338110431366e-17i,-0.0773407013997409-5.64731641942905e-18i,-0.0159086191598838-7.06669837241692e-18i,-0.0841600235188893-1.36738072831608e-17i,-9.05784446733802e-05-1.22966311751013e-17i,-0.0595143736110916-2.55063785093038e-17i,-0.0251731093812496+1.00634799261792e-17i
-0.0324977091845448+1.18937227578854e-17i,-0.0828006128373489-2.42465457948347e-17i,-0.048394382808351-3.12147503208997e-17i,-0.0116145502870562+2.68045308770701e-18i,-0.0225047063334516-5.37240577828393e-17i,0.0544730624133342-6.51034611460841e-18i,-0.0177871893254089+3.77314378073322e-18i
-0.0292455536106112+4.18701481550067e-18i,-0.00609372776604174+7.57053787057626e-18i,-0.0583261254260341-7.82333123073135e-18i,0.017832283948349-1.0130898962779e-17i,0.0175813904805004-1.25212781622432e-17i,0.0482253881536201-5.54113606166681e-18i,0.0497726834185423-1.69420078104165e-18i
0.00732251707088231+2.79534100138662e-18i,-0.0532094686122686-1.01683878853851e-17i,0.0643276513600652+4.047369319263e-18i,0.0736137477752531+7.09827990630987e-18i,-0.0934095188607484-1.1149286875339e-17i,0.0152748402424387+7.18739567180514e-19i,-0.0876485508470403-1.93471745645192e-17i
0.0106202177001079+4.5169631354673e-18i,-0.0133297624311779+7.28150030623466e-18i,-0.0710256346586223-3.62168057007252e-18i,0.027523018144242+1.45143130427211e-17i,0.0857675077538059+2.30140059049195e-17i,0.0191475355932327+2.88437074989321e-18i,0.0250842576764846+8.63525674213364e-19i
-0.0362688311286602+2.69011484698719e-17i,-0.0539224361541318-2.18084423794013e-17i,-0.0634441430104207-3.92974583418552e-17i,0.0309731211439365-2.65190956149126e-18i,0.0208171622024431-2.93857739998038e-17i,-0.0377297468504308-1.17378840687311e-18i,-0.0216718543941219+2.73448397724485e-18i
0.00378043306590201-1.50423001183708e-17i,-0.0161936971897477+5.58837982589483e-18i,-0.0287136517998391+1.72574762033631e-17i,0.0369680164195171+7.11222730381064e-18i,0.0685063878065089+2.85186312032033e-17i,0.0521570005163991-2.22423245789553e-18i,0.0304523354035711+6.37656186433493e-18i
-0.0356149387824327-1.59469214448333e-17i,-0.049590253179789+9.6200345123403e-18i,-0.00887036645411026-1.08893478899309e-17i,-0.00156513148919532+1.07132852144769e-17i,-0.0809906101394403-5.53144888776223e-18i,0.0730984020930437-3.75399935520089e-18i,0.00974833296242291-7.3781876881566e-18i
-0.000376595279397221+2.34785002801129e-17i,0.0126446873395011-1.79558381277275e-17i,-0.000267904758529542+6.26652932638508e-20i,-0.16986975657968-1.68316444173178e-17i,0.0810186829638627-8.32168678221659e-18i,0.0393471486686521+9.31034825350456e-18i,-0.0439999245778446+1.59480234142041e-17i
-0.0354139512949794-4.73629232258977e-18i,0.0418732445427594+9.44368272991488e-18i,0.00732423440821726+2.16664345203692e-17i,-0.0587140810446166+4.53132150360222e-18i,0.0238725124932203+2.01260101780374e-17i,0.15220232144276+1.80440156818704e-18i,0.0140466758270783+9.47369532558002e-18i
-0.0173535707442213-1.38627901587313e-17i,0.0168258048754318+1.02882856934641e-17i,-0.0344792269484672-1.01000889093569e-17i,-0.0306746964648602+1.58082711390852e-17i,0.00889553178794013-2.2051085778479e-18i,-0.0545680644043549+9.48428575468423e-18i,0.069949127138675+3.98480071399281e-18i
-0.0482889805965495+2.56315667491165e-17i,0.0900950361993936-4.22884883060886e-17i,0.038348916049355-1.14435026737889e-17i,0.0658818691236854-1.72102125993316e-18i,-0.0276202364226369-4.07562311751884e-17i,-0.00600758511023365+6.88300936019138e-19i,-0.0441227732468533+2.48885435763514e-17i
