0.0500937518519758-1.87607246883764e-17i,0.0481770432962367-5.46209611026456e-17i,-0.153910662006269-9.8658169869537e-17i,-0.0450058844327782+2.03775718992267e-17i,-0.0647423253770845-1.01589056839616e-16i,-0.0976796339356489+9.60484084979066e-18i,-0.177901824521717+3.82042487361169e-17i
0.0473577189595819-2.14121129383536e-17i,0.16194680990515+2.72369848588739e-17i,-0.165867124827453-3.76031840829631e-17i,-0.0947472525721238-2.51992034417426e-17i,-0.103753846549668+2.53862522177315e-17i,-0.0634305301927563-2.11353924903479e-17i,-0.0936085538852876-2.77038161568453e-17i
-0.0186220280539473+2.52006313448542e-17i,-0.120350717269963-4.77779758859631e-17i,-0.00281326056308937-3.1681918697296e-17i,0.00206025766493311+1.78194810985705e-17i,-0.0185920439550922-8.82607354423236e-17i,-0.0319606138832446-5.25387952735778e-17i,-0.03497689876871+1.03530449723476e-17i
-0.0151126264352309+5.81183865953713e-18i,-0.148955881947059-2.06008418603508e-17i,0.0743664594491021+2.50186563448889e-17i,0.062749962798955+3.68197375726317e-17i,0.0695152384749751-5.31291695117528e-17i,0.0098884389188183-8.89661647738366e-18i,0.00660513194615013+1.27940912223396e-17i
0.0466102905367564-4.82729592322415e-18i,0.0737179537977252-3.8944574449848e-17i,-0.124547536166421-9.91340824807849e-17i,-0.0496616245556719+3.14471099888468e-17i,-0.0393590752586224-5.75524459161735e-18i,0.0223866417579172-5.07391835123928e-18i,-0.113998212771272+7.26748732765334e-17i
0.00587381826789221-1.01932620973756e-17i,0.000256248843422767-4.61658724004562e-18i,-0.0195908834632281+6.52282365254878e-18i,0.0159126722463263-3.16743549769971e-17i,-0.0210860307288431-2.61608647554837e-17i,0.0116219938420718+5.18211694481878e-17i,0.0280494551997368-3.13972248271233e-17i
0.00842678739609286-1.08145659468117e-17i,0.0133066530006586+2.52457047888306e-17i,-0.0103706374375669-1.17094345642539e-17i,0.0113833776795168+2.27266881722477e-17i,0.0172890915090911+2.72423012000827e-17i,-0.0136869880436108+2.56358106177662e-17i,0.0309339908691691-3.30199099048983e-17i
-0.0091499158292964-4.5619076463885e-18i,0.110978746062756+1.44911109984116e-17i,-0.0205684344314877+2.07121784197513e-17i,0.0161131366763389-3.44197445421926e-17i,-0.0750858121968274+5.91216336236704e-17i,-0.00168663762067568+3.29687275498194e-17i,0.0294519681148464-6.64610451575359e-17i
-0.0126083800443602-4.05782088499064e-19i,0.0362043329910011+5.75057044780848e-19i,-0.0273895898043333-6.02405447092059e-18i,0.0452573517756163-1.51834048953627e-17i,-0.00581455496120001+2.48621067752089e-17i,0.0123358563664349+2.84806315011907e-17i,0.0501581715116661-2.59036720593086e-17i
-0.0214666171945805+8.46750777086133e-18i,0.00213023258611521-5.22797228438864e-18i,0.0514189067432696+3.03719295728308e-17i,-0.0120998741068252-2.5506025442217e-17i,0.0237664862238926-2.71096583576315e-18i,0.0242350482855353-1.78877959720023e-17i,0.0157901321590931+4.26957084973088e-17i
