0.00342754085942503-9.62529160033931e-18i,-0.00496310351568058-1.85606335045999e-18i,-0.0871968700261697-2.6245565312794e-18i,-0.0199730820897186+9.83604639879991e-18i,0.00993619886498598-1.88039855809371e-18i,0.0581590397516892-3.97379085861272e-18i,-0.00450022449350357+1.37081914807771e-17i
-0.00433722469238025+5.66955343312211e-18i,-0.0161271928059102+2.58088906543949e-18i,0.00720715929095166-1.59027989862447e-18i,0.0261193080814613-2.18492215362718e-18i,-0.0388618675040064+1.4599055101847e-18i,0.0370472477683798-5.2094999415501e-18i,-0.0316241177302518-6.91138526394017e-18i
-0.0366876668445516+2.84851547055176e-18i,-0.0444816753021764+5.19401257103421e-18i,0.0639289368494118+3.05423690220524e-18i,-0.0176657622464008-3.77476706390812e-18i,-0.0182307818521828+9.04435215208556e-18i,0.0348833878634635-6.15595022276516e-18i,0.0272916043200663-4.78384288911028e-18i
0.00760077562142847+8.35283216634992e-18i,0.0114249296332437+2.40385509107577e-18i,0.0133053471434363-7.82907688774483e-18i,-0.0086417378322065+2.82908994120669e-20i,-0.0386034692990191-1.65316455019323e-18i,0.0397216777086577-1.63478423675865e-18i,0.0198039253227917-2.81306134804678e-18i
0.0170894650901756-3.93365305838407e-18i,0.0235034274413036+2.06485405188163e-18i,-0.00783539383019641+4.92007393644624e-18i,0.00545734656744803+4.85223317502901e-18i,0.00440106810852267+5.69573458714301e-19i,-0.00564592002761232-4.42434269521596e-18i,-0.0355258987291721+3.93121160273413e-18i
0.00207275066811172+3.58094871430206e-18i,-0.0073547943505145-1.30306985270178e-18i,0.0290549059639606-3.37478363467683e-18i,0.0325357961433045-7.8705695294415e-19i,0.015496789479896+1.25084330512989e-18i,0.0397483753192108-2.29022112138015e-18i,0.00831856456370039+3.23368096776097e-18i
0.00490650020334052-3.9784475230081e-19i,0.000474397371193329+1.64057533281377e-18i,-0.026131092442103+2.2802059007036e-18i,0.0333627729532154-4.54696002432478e-18i,0.0198379740879153+4.67065712864599e-18i,-0.0208242368562724-5.33788677119774e-19i,0.0583410773877724-6.3398563463288e-18i
0.000633119410938968+1.31574076670145e-18i,-0.00387431869381588-2.43376275008044e-18i,0.0211407492000937-5.6691068554791e-18i,0.0058702263214734-2.65929110111817e-18i,0.0211124085767956+9.39875754313299e-19i,-0.0192241260971125-6.33935289138135e-18i,0.00613291758566704+4.81293328416862e-18i
0.00455219054691931+3.88630586597156e-18i,0.022853473239503+9.61624339548226e-18i,-0.0645949882826761-1.30405458496774e-19i,-0.00988180782189233+2.26586890668685e-18i,-0.017275199466047-8.43892750784976e-19i,-0.00271407847381551-8.02249527754034e-18i,-0.0197007343033832-9.42437169101937e-18i
-0.00700478487018825-1.42440413851518e-18i,-0.0103512245074552-5.49352066447436e-19i,-0.000826995396814649-4.32194295292305e-18i,0.00162452370437494-2.68099392151029e-18i,-0.0366405710857969-1.60213533916603e-18i,-0.0432016540576674-9.42963205007271e-19i,-0.0163775535650629+4.66098337721854e-18i
-0.0316264367680182+1.2115817750903e-18i,-0.0307526398813964-9.30511804367936e-18i,0.0536565168320354-4.12250475985897e-18i,0.0573634385956142+5.24546285001214e-18i,-0.00428583915813661+9.24673457960341e-19i,-0.0356625888345772+9.83504113899651e-18i,0.00664378261410235+1.29259604193678e-18i
0.00573702389229369-5.95566771263655e-18i,0.0249596205518609-3.87274663331274e-18i,-0.0445295093440133+2.18250651727026e-18i,-0.0467740137408777+2.5260513065313e-18i,0.038425632731283-5.30419532130731e-18i,-0.0170447406455114+2.65036619881896e-18i,-0.0218371579119894+1.32964150199525e-17i
-0.0261610891879321+1.48207968235424e-18i,-0.0386451517691394+2.25143699046072e-18i,0.0788257153040752+4.79556119587476e-18i,0.0120067449032505-1.15234863365184e-17i,0.0095765541862433+7.5667250865354e-18i,0.0112933968313034-3.57014842748089e-18i,0.0404081746336539-4.39377853308511e-19i
