0.00510917867563352+3.01971262657377e-18i,0.0468062717787231-5.37549689449605e-17i,-0.0619558926879455-5.43357950443152e-17i,-0.00585446870863575-3.15683598947331e-18i,0.00937934233583306-8.84844825045792e-18i,-0.0446149994424087+3.73608642116916e-18i,-0.031354980888012+6.80116562003355e-17i
0.00183392474255478+8.64663630101328e-18i,0.00361785345076242-3.61431615618664e-17i,-0.01569252584806-1.58724112102185e-17i,0.000229775104692679+7.40288343733128e-19i,-0.00388452724343422-2.19687186834354e-17i,-0.0115069353155978-1.98912442907795e-17i,-0.0446091450278972+3.73023623546758e-17i
-0.00041971193796813+3.21873618061221e-18i,-0.0111682505556008+4.89052375465666e-18i,0.0180399630939148+3.30155549923348e-17i,-0.00365141503602699-1.61524060779933e-17i,0.0116577874273317+2.59356608456499e-17i,0.00999557785740321-7.15865482928993e-18i,0.0248843102978726+3.46525168301901e-18i
0.00848179373422457-1.01027678668135e-17i,0.0385735823735936-2.66534143347503e-17i,-0.0313017597976468-3.64263905959645e-18i,-0.0354677610897276-1.10756860262965e-17i,-0.0435574056835676-4.89794687872467e-18i,-0.00573158069205344-1.84794415093065e-17i,-0.0129609509148358+8.74212078808729e-18i
0.00805783742676158+3.35704697640092e-18i,-0.0136066824783352-3.0090430167221e-17i,0.00583544584037096+3.3191901620884e-17i,-0.0172416088670481+1.48198064838001e-17i,-0.0319144777841956-2.99783644627316e-17i,-0.0126042181147906+1.06019438051144e-17i,-0.0507871562599916-6.56642852171784e-18i
0.00265866973655605-7.09666346956583e-18i,0.0199456027698529+1.91956295751536e-18i,0.0108483347920033+5.54445973176257e-17i,-0.0197321855187728-2.65580734644067e-18i,-0.0191517826988476-3.94748119228388e-18i,-0.00134533851157373+1.27851548479666e-17i,-0.0209568703365156-1.56055733414965e-17i
-0.0270557843491453+7.97750450545515e-18i,-0.051459414778813+2.12789439595915e-17i,0.025394812710864-3.68159423771059e-17i,-0.0275154873170367+7.5226029574097e-20i,0.0173352576222717-6.46676337357648e-18i,-0.0223388908787536-3.67806649719625e-18i,0.0570270833210426-2.41604575073507e-17i
0.00105785239131248-3.24720397639496e-18i,-0.00800574478371808+1.42983380136806e-17i,-0.0116525215226675-5.95549107985276e-19i,-0.0113671584418551-1.16281470104387e-18i,0.0618298654995616+1.0093445720888e-17i,0.0306185881173915+9.18746538356579e-18i,0.0354557792257527+1.49000007511994e-17i
0.0241083205456374-2.08708259122258e-18i,0.0128423618123225+1.01488097502427e-17i,-0.035455639133163-8.60750953537712e-18i,-0.0138489574138677+7.99782829422149e-18i,0.0382583964663594+3.04758522290513e-18i,0.0314820796583262-1.20085444509648e-17i,-0.0207083997216911+3.42147088827595e-17i
-0.0191089067788454-4.88919764515227e-18i,-0.0157440692269353+3.01250957281932e-17i,0.0434739390201379+3.79568814008303e-17i,0.0332121132724883-9.60918057766304e-18i,-0.033251775457277+1.82591286372099e-17i,0.0106429083850723+1.73191873044741e-17i,0.0490764215137207-6.34063348494672e-17i
0.0233402392002215-3.96034404149279e-18i,0.0546337894318437-3.79852205908577e-17i,-0.048994247126128-1.24588412436318e-18i,0.0109456067525546+8.8553716725279e-18i,-0.01083372196209-1.70152832312877e-17i,-0.0198510387959213+6.81752495425448e-18i,-0.0763300385107575+4.04366745918877e-17i
0.0153902075575824-9.16088567950252e-18i,0.0299825748304842-4.47708155577166e-17i,-0.0248229480635826+1.87516394221216e-17i,-0.0090813630948387+3.34250167275752e-18i,-0.0391349612696369-4.32050546246425e-17i,-0.0410312871156062+3.63327244326792e-18i,-0.0730478203229875+1.5837615344351e-17i
0.003559367557849+2.08242009275969e-18i,-0.0525374783964918+1.33076401063403e-17i,-0.00359954215530746-1.48972427760476e-17i,0.0228621572424426+2.61034839869069e-17i,-0.0121055260989434+4.2989375679531e-18i,0.0412300718332853-5.00657395266664e-18i,-0.000902271548509255-2.98543212920043e-17i
0.00285235411928393-1.75761527058846e-17i,0.0317059933029351-1.07353577363287e-18i,-0.00871878601983246+1.181607826213e-17i,0.0115211323718693-3.7549499768482e-19i,-0.0601452024442718+2.18030376734006e-18i,-0.0178239953320656+1.78599511696559e-17i,0.0251692294929837-5.27748250144658e-17i
-0.00343353667214012+1.0037153678822e-17i,0.00174337867330581-5.63147437004501e-17i,-0.00817222974963856-2.27773831152896e-17i,0.0265902519522029+3.20065176384699e-17i,-0.0197985282771746-5.89282653177549e-17i,-0.0173999881881123+1.53123346688244e-17i,-0.0739902297367691+2.02046172437724e-17i
-0.0323609447584673+2.83120862936475e-17i,-0.0636196783121632+3.960138012317e-17i,0.0555546291582211-1.28098369378401e-17i,0.00674146292472504-1.34438983985244e-17i,0.0894928235138789+6.43384439215653e-17i,0.0239484984142723+5.34984394055547e-19i,0.105396812604722+1.03156573732184e-17i
-0.0105908730213072+4.94518423151486e-19i,0.0172804064507953-2.55675269267549e-17i,-0.000310868686446849+2.61878486396873e-17i,-0.00645940348342464-3.26825063816774e-17i,-0.0023329771855697+5.5306573616905e-18i,-0.0124128978473775-1.42592067177365e-18i,0.00596058222357035+2.37110768975817e-17i
0.00745225818546067+1.2275537550118e-17i,0.0301968506482156-5.56642408657657e-17i,-0.0461152840418046-2.23844815530922e-17i,-0.00914665401634049+1.22038083748322e-17i,-0.00958077989560386-3.55755575220554e-17i,-0.0260967368247489-2.4459495377439e-17i,-0.090240398325424+7.24944201387258e-17i
0.00397949064193915+2.14341821801606e-17i,-0.0222159578638162-1.8214222371161e-17i,-0.011353081050511-1.6025656966621e-17i,-0.00834132082513373-3.8010891691946e-18i,0.0209326495539793+1.13367450651882e-17i,-0.0161151444335507-2.32101150472992e-17i,-0.0249958942882556+3.76925348618811e-17i
0.0211196340734641-1.85302609112919e-17i,0.0736340249375703-3.1098673081949e-17i,-0.0856691366979475-4.48581224589278e-17i,0.0104525299214048+1.32672329308648e-17i,-0.00972158945207307-1.84208774913545e-17i,0.03454010690909+1.86244890952278e-17i,-0.0408610950152027+4.32593956986918e-17i
-0.0191376181138383-1.27756180241221e-17i,0.0209098664872568+3.65889012313455e-17i,0.0160724300553433-3.58829565593422e-17i,-0.00234147497493856-2.46503937511375e-17i,0.0401920608754476+3.14015101727848e-17i,0.00203016775350523+3.79304043684356e-17i,0.0765784238646225-1.08094268852e-17i
0.0312772085430403-1.22535665207136e-17i,0.0545881459905119-2.66235494375029e-17i,-0.0557790754648196+1.29596073115649e-17i,-0.0143733765834289+1.41413428793206e-17i,-0.0163120316377608+6.56400554701888e-18i,0.0390640989758436+1.6469358996491e-17i,-0.0331189728707508+7.58204388894211e-18i
-0.027055936226376+2.09264484050578e-17i,-0.00999387593471686+3.69203353695427e-17i,0.0876460450457704+5.38555683701051e-17i,-0.0754521556676929-2.03809809510555e-17i,0.0364182668329213+2.0611103922975e-18i,-0.0149974447794467-2.51901971978348e-17i,0.0228396425518285+1.95019457943128e-17i
-0.00519059130776837+1.38239066144919e-17i,-0.0622841252558438+1.6310688089789e-17i,0.0387438062708773+2.33701433892903e-17i,0.0094331749210345-8.88911290877603e-18i,0.0363696923178997+1.60290090302162e-17i,0.00613562215838532-1.57388285359568e-17i,0.0243399626600714-1.49533012466305e-17i
0.00971110645287564+1.18317214895933e-18i,0.0651576737338442+3.69808921216618e-18i,0.000398979594477471+2.2997813073615e-17i,-0.037685681765625-2.11857576224515e-17i,0.00513955104274774+2.63589951531695e-17i,-0.0136977048233645-1.31829712594987e-17i,0.00203043292111266+2.54713743447004e-17i
0.00383952795968098-5.09413040308423e-18i,0.0104690715449846-1.37644875741586e-17i,-0.0133140538848768+1.8594083594769e-17i,0.0237748009921837+4.55420241345927e-18i,-0.00762879548661645-1.27369639090761e-17i,0.0320386160296754+7.04976495496051e-18i,-0.0330400765769693+7.85467872005487e-18i
-0.0156683936102412+7.40366323812267e-18i,-0.0568867928439371+3.71129995288921e-17i,0.0326903391588317-9.85701623615539e-18i,0.0118005136474113-1.15372548236512e-21i,-0.00108529074441069+3.86380074873884e-17i,0.00763056183606375-3.13578022754679e-18i,0.0699268523256744-4.30661041267175e-17i
0.00143455948350407-2.17579290176231e-18i,0.0701565279075215-1.38945024799843e-17i,-0.0150381829704685+1.22030695420372e-17i,-0.0495943327986949-1.36655771284329e-17i,-0.0257006048625149-9.241024665579e-18i,-0.0110794262304182-6.56647101591072e-18i,-0.0408757805596944+4.55231162542137e-17i
0.0176482761174296-1.70667745185688e-18i,-0.00455079344844781-1.67738865676362e-17i,-0.0379747015601672-1.6775159306595e-17i,0.0140055633277983-6.97365824137354e-18i,-0.000271302361095043+2.37387592283433e-17i,-0.00433217726634081-1.97093204434429e-17i,0.0225527900541276+7.19567790000044e-18i
-0.0149815309579448+4.53363700722367e-18i,-0.0193150065124331+1.51291045511636e-17i,0.0407656529279927+3.86351863153798e-17i,-0.00886379049714454-1.23658420731407e-17i,0.0148530700056242+1.06613339040495e-17i,0.00156296514287535-5.6210838787567e-18i,0.0129492622575098-6.53025724928647e-18i
-0.0284819205232275+1.43309511905828e-18i,0.00353020703508558+4.29704587732207e-17i,0.0078889753980179-1.86890991445526e-17i,-0.0272764126245881+1.86239337177561e-18i,0.0137558922000282+2.03986494171299e-17i,0.0187571739737905-4.62624744282817e-18i,0.038421797938663+6.82551520556604e-18i
0.0392838572748198+4.17593045273525e-18i,0.00695546014959903-3.16431163299521e-17i,-0.0688225853052042+1.22309428347688e-17i,-0.0134104663866634-1.77851261826382e-17i,-0.0126246449349614+4.0357484393082e-17i,-0.0585072096774997-3.607531274475e-17i,-0.0131521415506061+1.21310043603665e-17i
-0.00204617879728862-2.55981532836187e-18i,0.0302436321579606+6.35093010101766e-18i,-0.0218682947441905+6.6778171719388e-18i,-0.021174987004821+7.42902896651224e-18i,-0.00793221311812158+1.30235475115206e-17i,0.0234119264467572+6.33724116211672e-18i,-0.0132116925119284+1.30251348789356e-17i
0.0238957079386255+3.15784600674318e-18i,-0.0280380694295304-8.57598054575336e-18i,-0.036172965654615-2.20980588209913e-17i,0.0247128937172824+7.72172247791585e-18i,-0.00671922172172686+3.06044486528942e-18i,0.0156119027650027-3.76075607585834e-17i,-0.0137753837816976+2.46980309127346e-18i
-0.0234209457334131+1.89422614213618e-17i,-0.077860272579196+3.00915853365813e-17i,0.0502059539431805+1.81687356132971e-17i,-0.0281035113098086-2.12058876940684e-18i,0.0421317431588661+1.82521757843499e-17i,0.0238207562128026-1.12383408349927e-17i,0.0585714308385183-4.94845560775492e-18i
-0.0145443627408702+7.51242477684166e-18i,-0.00216268463067414+2.85565369546412e-17i,0.0168381606704548+2.57660356293636e-18i,-0.0293782009014373+1.15315438505563e-17i,0.0415480845681176+1.40287989195025e-17i,0.0195217445835506-4.88304476549316e-18i,0.0258561952241667+1.69594627400375e-17i
-0.0291832595756308-4.64545885027129e-18i,-0.0104710501080929+1.40909219782265e-17i,0.0492787636714191+2.34225106477322e-17i,0.000171718900651627+2.05257575461106e-18i,-0.0582210441967413-2.33019854601863e-17i,0.0104434634623219+2.38403182234462e-17i,0.0159437393532787-5.40451715823777e-17i
-0.00412019573626656+4.57721386670938e-18i,0.0254557470707522-5.48830216513942e-18i,-0.01096856630929-3.34590005291442e-17i,-0.015475663862777+2.35347712475646e-17i,0.0170695421459689-2.05354173515418e-17i,0.00034346098234641-3.09181264945116e-19i,-0.0425140306288116+2.98842974129518e-17i
-0.0323429992665213+2.09016104394245e-17i,-0.0894385563319+5.65695148991872e-18i,0.039309702366119-1.53328269093763e-17i,0.0136816481976992+2.89288625739568e-18i,0.0372959936371213+1.28515733394239e-17i,0.00302233853772288-6.4240089221014e-18i,0.0298341481603985-8.91253722494082e-18i
0.0173980024140818-1.57836860910803e-17i,0.036016130688706+1.28760316830068e-17i,-0.0602097403024794-4.38770134409209e-17i,-0.00371585608795231+3.08337533686407e-17i,0.000243776154070679-3.57131089651876e-18i,0.015512318864602+3.24845120643655e-18i,-0.0257858001020256+1.52755299021171e-18i
-0.00773716511309571+6.13459959043172e-19i,-0.0536518163960893+5.53946430245451e-17i,0.0286095901149113+9.35203470612245e-18i,0.0208568338820228+5.01458112907736e-18i,0.0157226834230055+1.96081429778983e-17i,-0.00585392710237853+8.83131107672382e-18i,0.038642809556698-4.9102275944274e-17i
0.000379030342806673+1.39134888645115e-17i,-0.00854134919073918-8.08759871796918e-18i,0.0138564681070033+2.95378351562946e-17i,-0.105858783183186-7.63235783691639e-18i,0.0372864822332845-4.04373870686576e-17i,-0.0146174950349106-2.57414753445811e-17i,-0.0444176053927833+5.99850815139505e-17i
-0.00891093241069305-1.68985583994512e-18i,0.0241711451208997+3.49213534816522e-17i,0.00305788942859881-3.38703032291639e-18i,-0.0840378979415363+2.13381354584916e-17i,0.00166835460232928-3.18767164776614e-17i,0.0258115707882605+7.94133275234582e-19i,-0.0211454973573222+1.27968090785238e-17i
0.00693860413668776+4.14206721126331e-18i,0.011446167245098+5.9525603512557e-18i,-0.0185067487028979-1.10817467424873e-17i,-0.0280145710687-1.66155061966988e-17i,0.0177274985266507+4.44401369104997e-17i,-0.0615581960650058-3.14165615424373e-17i,0.0357311968121751+1.1659765733032e-17i
-0.0275330496081262+4.6246205868792e-18i,-0.0397982326715583+2.84840752804835e-17i,0.0737285452550072+1.97366383987335e-17i,0.0390470539716999-2.64167706478233e-17i,0.0566419819743366+1.48432260698881e-17i,-0.0164642789107713+2.80131756948874e-17i,0.0721250630253908-1.94842353835927e-17i
0.0189623881717311-1.28879556925625e-17i,0.0344353876350701-2.06263391520502e-17i,-0.0738131905944412+7.97345611375761e-19i,-0.0475114949103391-8.38240471981072e-18i,-0.0494290262004968+1.8306569001334e-17i,-0.0101304109008315-3.30113135858809e-17i,-0.0153312703849312+6.8823398820528e-18i
0.0116540660744169-7.41386903742108e-18i,0.0620278523059018-5.2296587783259e-17i,-0.0533444869341435-3.10540814849612e-17i,-0.0213968028501183+8.8211937665517e-18i,-0.00981674546045526-3.89692768960635e-17i,0.00862375362513257+2.11311260168761e-17i,-0.0599868590773513+4.82785630005145e-17i
-0.0475487141797133+1.0792559205138e-17i,-0.0567332368681968+4.85322382030433e-17i,0.0999787244049047+2.81207440428237e-17i,0.0627449532440226-9.31833365193051e-18i,0.0283713515365865+3.68638484292318e-17i,-0.00467248971299507+3.92152124781196e-17i,0.094853145894942-6.45026634472203e-17i
-0.0111393296625836+5.63041018476086e-18i,0.0233952320629229-1.01305016652138e-17i,0.00672506865613761-1.84687250647778e-17i,-0.018264362274461+2.61180941991769e-18i,-0.00411689986808237-4.45783198579021e-18i,0.00959544806315666-8.64035043970467e-18i,-0.00184336733292536+2.48457516912764e-17i
-0.0117373370352783+6.51703357204649e-18i,-0.0259633135871416+6.59409197214914e-19i,0.00307166921843122+8.59518419140991e-18i,0.00535107187292857-1.62422154253265e-18i,0.0074895842231459+6.29308002015188e-18i,0.0133060497149469-5.09618042091614e-18i,0.0207745279998225-6.776831753355e-19i
0.0105232498484746-2.44112920231678e-17i,0.00412620170469131+1.9168408280866e-18i,-0.0274147676576784-1.11391135793663e-17i,0.0119594392440962-7.54681916057155e-18i,-0.0310498993223528+1.94652616461379e-18i,0.000899456865967021+5.31601088681355e-18i,0.0190216804552915-3.58128202524613e-17i
-0.00758401149488647-1.13711474613846e-17i,-0.0197069783567159+3.30077187999457e-17i,0.0154316703442016-1.30981043176527e-17i,0.00500132342533733+1.04219570561273e-17i,0.026708275284237+9.17416480723804e-18i,0.0221279935083447+3.15468980060235e-17i,0.0449773308340304-3.18152248510383e-17i
0.0145558322897374-2.36951969668541e-17i,0.0368613599599447-1.46499998486064e-17i,-0.0267882638318129-7.79705361054941e-18i,0.0317381748856544+1.08459097765724e-17i,-0.052957031087189-1.82415018065211e-17i,0.00641777618478396+3.44216818966716e-17i,-0.00913110220714084-4.27084043326633e-17i
-0.0119428424567499-1.23613461280944e-17i,0.015395346695381+1.37803296019584e-17i,-0.00350035284221082-1.60488826184382e-17i,-0.00557332805504643+1.64860651390542e-17i,-0.0012902478568292-2.72815190839957e-17i,0.0464552203167194+1.90606703739959e-17i,-0.00512366907650255-1.32661444180581e-18i
-0.0129288257733639-1.07114013526606e-18i,0.00277021061027896+4.00960082785095e-17i,0.0447766179204513+1.58699752307318e-17i,0.000570753084038702-1.78181050189283e-17i,0.0445137259272686+2.88330038209677e-17i,0.0106567872755569+1.62527640875338e-17i,0.0599208644513245-6.89047767141227e-18i
-0.0179094793572629+9.11565290574591e-18i,-0.0290799584411269+5.28041408268306e-17i,0.0791958886726681-2.06008889876211e-17i,0.0379303424326845-2.72845898387158e-17i,0.0897728438135418+3.79556233508925e-17i,-0.0121898188347485+2.41658756906364e-17i,0.112482764578238-6.24851080413197e-18i
0.043961672759632-2.76545991419898e-17i,0.0383604132568456-4.17263431938958e-17i,-0.116198303618028-5.27730171080956e-17i,0.0691035401257207+6.03244938600578e-17i,-0.0937509950641891-2.20881895415644e-17i,-0.000659286695328541+1.1047094719994e-17i,-0.0883291039726891-3.80388486660156e-17i
0.0161031554482415+2.03438028206151e-18i,-0.0286915585895734-3.23481868589757e-17i,-0.0393964280023731-2.72402551833099e-17i,0.0238746566920349+4.48370410109692e-17i,0.0115968146654354-3.63346204222536e-17i,0.0145247195517993+8.23458866847699e-18i,-0.0679523375194437-2.39762990086709e-18i
-0.0230914256109355+9.98667593892562e-18i,0.00404340695276823+1.34370001378453e-17i,0.0330871506697259-6.75126935018153e-18i,0.026918925835874-2.1823126384194e-17i,0.0335490426242237+3.28693819834514e-17i,-0.0120964103704888+1.2589803720911e-17i,0.043284157375197+4.98130634501277e-18i
0.0320291164366737+5.53229357927573e-19i,-0.010172578558544-1.82994650001646e-17i,-0.065702052102787-6.46447645956539e-17i,0.0307059321806899+1.77137738990613e-17i,0.0138779016549442+1.7921369227941e-17i,-0.00910158472990422-1.144149865694e-17i,-0.01736693780195+1.86872409138322e-17i
-0.0338176964950449+7.51025810207316e-18i,-0.0059805088276506+1.25477751311399e-17i,0.0966950854582624+7.85812840744608e-17i,-0.0439522325375313-3.75097404349578e-17i,-0.0410126158653582-2.82702296930199e-17i,-0.0498959115330644+8.91741854440739e-19i,0.00824326138857239-3.15842163052655e-17i
-0.0138999163263136+1.40403079441562e-17i,0.00843877500963974-1.30930860050347e-17i,0.0583002750344017+1.87807866416498e-17i,-0.00659560824764815-2.38931687100819e-18i,0.0646383281546214-1.29339131369178e-17i,0.0309659898742154+2.84950306034855e-17i,0.00348122721009213+4.18604711558156e-17i
0.00391674213205597-1.00688000779408e-17i,0.0245057457783693-1.76876472780118e-17i,-0.0155478077772163-2.46028863415855e-19i,0.0263393317402591-2.20398862142652e-17i,-0.0748283731702397+5.02556467991891e-19i,-0.0354001036514361-1.20074263984004e-17i,-0.0163668717103194-1.99911850362043e-17i
0.0296646500857567-2.48236022281579e-17i,0.0192049516991278+3.17653725825782e-17i,-0.0706534838938035-3.84492585080954e-17i,-0.0492997282808918+7.73923503729411e-18i,0.000776498492057518+1.14985952624408e-17i,-0.0161126273630656-3.39876211011614e-18i,0.0136025635350767-4.32404691420182e-18i
0.00966333866631594-5.90015731796693e-18i,-0.00654977548328543+1.51234679904696e-17i,-0.0261689871320792+1.47355942990295e-17i,-0.0322448650745231-5.49492615919137e-18i,0.0220255537682503+1.81469232068679e-17i,0.0255892678717684-1.22035660482013e-17i,0.0199518502342468+1.2240999387346e-17i
