-0.0547708436841807-2.98583976814051e-05i,0.000159236846257736-3.57077573238541e-05i,-0.00517939118139972-6.48608628741544e-05i,-0.107092642644979-9.92343129921954e-05i,0.096259920489866-5.99632097943757e-06i,0.055879854086881+2.56879993326084e-05i,0.0687843027194+7.7923860293136e-05i
-0.0486136986770145-1.01727474684279e-05i,0.110966860400087+6.81036597469036e-06i,0.0525591962541268-6.65830058944299e-06i,0.0021620464091381-3.42625801004754e-05i,0.1212850366211-2.13966418684892e-05i,0.0253636781823663+2.1019487968408e-05i,0.0484118706479194+3.33368142440048e-05i
0.0162660050310066-9.90869811449471e-06i,-0.0679574519074761-4.18516777030552e-05i,-0.0882242018772015-6.14363129342414e-05i,-0.0635715793024216-3.71331401589e-05i,-0.000624053385081213+3.8868259147724e-05i,0.0468999872940329-7.89066255916703e-06i,0.0247658222514286+4.25938183917436e-05i
0.0203119697967019-9.21887388408691e-06i,-0.078196428121547-2.63170544531812e-05i,-0.0565389504747708-3.43085194070122e-05i,-0.0717488739550043-8.82038331903649e-05i,-0.0734900189159696+3.36671879796372e-05i,0.00776454076563991-5.46095068190707e-05i,0.0149062210147505+5.54332633556298e-05i
-0.0273967076839899-1.37775582837547e-05i,0.0381729094542836+1.03087473527111e-05i,0.0317140509977943-5.31116408608949e-06i,-0.05293706339535-2.96315489958345e-05i,0.0664033965130629-2.93796319677826e-05i,0.0489006606020842+3.69416386948056e-05i,0.0168514326842842+1.05360233524791e-05i
-0.00392662856367335+9.19073804756198e-06i,-0.0205756014285456-3.23617808782016e-06i,0.0396018329065793+1.32137602882877e-05i,0.0419026847477476+6.80724608383898e-05i,0.0141379905929205-7.09379393875992e-06i,-0.0297692443334162+4.26357401352929e-05i,-0.00203779557748817-4.86208533117352e-05i
-0.00188507459651546+5.88818229865346e-07i,0.0241524649432001+6.85418795324213e-06i,-0.00897558872941897+4.71271430862988e-06i,0.00773208215956494-6.64582110896591e-06i,-0.000550568182234763-9.94247402809647e-06i,-0.0130886439326819-1.17535855985437e-06i,-0.00456407194734717+6.54227823576811e-06i
-0.010524182946776+1.20575909632916e-05i,0.0486791223952694+6.57714582309204e-06i,0.0912088542092311+2.14470130633319e-05i,0.0823498897897389+7.26274680264058e-05i,0.0279689971945414-1.26260444879656e-05i,-0.0524621090654955+2.0480353448266e-05i,0.0174602608276068-4.8454241228233e-05i
0.000792993444678012+1.24904353974919e-05i,-0.00817423545872162+4.02517307303626e-07i,0.0156063339773542+1.66906706189951e-05i,0.0663079603724552+0.000102077040870783i,0.0190360175518334+2.32258002792401e-06i,-0.0211926502005453+3.92140840580238e-05i,-0.0191314620932841-7.00927568054104e-05i
0.0071710129641597+9.45260937905444e-06i,0.0138605677707123+5.65048249655272e-06i,-0.0260555873664454+2.35186935424712e-05i,0.0264218864214273+6.49646679706278e-05i,-0.017560658580751+2.5538057589964e-06i,-0.0119630053353928+3.04995587890217e-05i,-0.0376099338518003-5.55164893590549e-05i
0.0034391138806177-3.46691535598379e-06i,-0.0262392350635895+6.05755897387717e-06i,-0.00458583585060685+5.61826581255178e-06i,-0.0579975471784108-5.60984766130795e-06i,0.00855935689534518-3.66593385336552e-05i,0.00478421870999353+6.28573307762331e-05i,-0.00141699560104725-1.2444739913905e-05i
0.0122020991455524+1.59836374794073e-05i,-0.0254976501054065+1.95787460479074e-05i,-0.0124101478520212+4.77741393921938e-05i,0.0586431255335916+8.22023915875146e-05i,-0.0678685006401153-6.50563012363499e-06i,-0.045277294943015+1.3390723282444e-05i,-0.0648126029529462-6.82414215018105e-05i
-0.0028929361243395-1.52306607736503e-05i,-0.0108878134845123-2.68976084132417e-05i,-0.018024155494834-4.76928279345353e-05i,-0.0476599828049518-0.000105232279668885i,0.0217122104572327+2.93939015001469e-05i,0.0412136163437653-5.47640187769039e-05i,0.0588441232287787+8.66927496523194e-05i
0.00142507567867433-1.51818730961054e-06i,-0.0303669253943216+2.69281359878634e-06i,-0.000625982509013849+2.67251551927714e-06i,0.000150352757084407-2.82717296864463e-06i,-0.00870303367416766+7.60803955628227e-06i,0.0183935691147809-1.01813521586309e-05i,-0.00785513343427952-3.2335470089417e-06i
-0.00126600920952223+8.66484872604892e-06i,0.043613023157341+1.2424188807079e-05i,0.0106304691885545+1.9781748277646e-05i,0.0285709102518387+8.76134106371337e-05i,0.0120182609349913-1.20644922713032e-05i,-0.00583692239855556+4.15629413345582e-05i,-0.0474425131030654-6.31237735383521e-05i
0.00609364320327353+1.53954810996769e-05i,-0.0160258133216632-3.32947474958151e-06i,-0.0233706744293997+1.27549892005974e-05i,0.0458731226855179+0.000110451681251882i,0.00657780776980521-1.20321646458678e-05i,-0.056471769464454+8.34752304329192e-05i,-0.0131717764235193-7.96714684990041e-05i
0.00137445358758665-8.06180733266056e-07i,0.0114835216147663+6.89823029060776e-06i,0.0203987518436845-5.52221767040701e-06i,-0.0351946749420491+1.27047351697721e-05i,-0.0312103953916767-9.25560155777286e-07i,-0.00345428197050126+2.37657286347681e-06i,-0.0150512254711736-2.00370179294466e-05i
-0.000413731955994097-3.21229395153224e-07i,0.0435219490502657-1.96941032361387e-07i,0.0320244854765332-8.15103709204385e-06i,-0.032000244805979+3.02966076134486e-05i,-0.00104289132164166-5.57137663970998e-06i,-0.0019266525591403+3.66287741512118e-05i,0.0130888473239446-3.86686264581271e-05i
0.00332275631847731-2.41333540029054e-06i,0.00994513261384327-6.80230781843011e-06i,-0.00933832778260122-6.07710111027531e-06i,-0.0196122516115408+6.10043710910818e-06i,2.54894765546468e-05-5.17336875513458e-06i,0.00539592987462336+3.49048737839759e-05i,0.0229181117074092-1.96226523142009e-05i
