-0.00226829971206516-1.97881784527848e-07i,0.000795712859491236-2.90539697008462e-06i,0.0308779181341989+7.75220042285196e-07i,0.0359370231112931+2.74309381814568e-05i,0.0192276030438429-7.1618474153393e-06i,0.0292324000870964+6.05434798996262e-06i,-0.00169413907457609-1.65785737296065e-05i
-0.00161960818211668-4.7044333104521e-06i,0.0179297140812763-1.79885195180455e-05i,-0.0507511917422157-5.18052322309527e-06i,-0.0269348408950676+1.56898845368486e-05i,-0.0634230621774202+9.81811870805855e-06i,0.027669053841075+1.05617947684444e-05i,-0.0125459730175198+6.42593986858341e-07i
-0.00117524773137878+1.46479601517167e-06i,-0.0199523270330492+1.23238954351064e-05i,0.0232262842400927+3.2181652791105e-06i,0.00331813686061566+7.47041330251347e-06i,-0.00858018917172809-9.55971692009834e-06i,-0.00730916915402277-3.87612183673855e-06i,-0.0114826022472683-1.34468679127805e-05i
0.00670260104485248-2.80363301534619e-08i,0.00779636347264802-3.56088865505343e-06i,0.0504581247278026-3.9466767735653e-06i,0.00298286614072382+2.10691685869031e-05i,0.0507736107130344-9.75184223928508e-06i,0.011603952142382+3.58169970586415e-06i,-0.0419212137634097+4.0677822182375e-06i
0.00729025910053241+2.26610567782007e-06i,-0.0250855956987432+9.43960566862692e-06i,-0.0591905069069624-1.17174364429446e-07i,-0.0025881302753028-1.33794396697836e-05i,-0.0259159474337465-2.90522584643823e-06i,-0.0205080621236462-2.28580582565029e-06i,0.0081998294332496-3.14630216993647e-06i
-0.00568263829163254+1.34965014746337e-07i,0.0329137409540425-5.48326370390539e-07i,-0.00516120336947716+2.51901810895211e-06i,-0.00896683762052355+2.78593669902395e-06i,-0.00449694055758749-5.44870569654961e-06i,-0.00432104061620281+6.77917440437928e-07i,-0.0121487131990878-3.69912167213332e-06i
0.00728707335174477-4.06407867798846e-07i,0.00707776940878437+1.31124198099032e-06i,-0.0211453565637265+5.3439501017826e-06i,0.0246218456945381+2.04213875175804e-05i,0.0131519986458168-8.33770737866882e-06i,0.0199798495154682+2.92770508933618e-06i,-0.00216115476047252-1.82294448365488e-05i
0.0343666805448173-4.93391317354028e-07i,0.0126650433817946-1.05495762215936e-06i,-0.0308316844463206-1.83960178061247e-06i,0.0317495862282882+4.75718561517e-05i,-0.0184519271550383-1.47639437815237e-05i,-0.000165075975924486+1.58662128960782e-05i,-0.0504076391891278-3.09863377025539e-05i
-0.00298874553851938-5.81087169397283e-06i,-0.0078744441223825-2.12709551484289e-05i,-0.0107856170895061-9.62485662081194e-06i,-0.000666858241824569+2.32526742411687e-06i,-0.017830807106035+1.14081782307572e-05i,-0.0638513934072741+1.92992095897264e-05i,-0.00316594656913033+1.3901189656164e-05i
0.0191756117550229-8.32447873383784e-07i,-0.0310271687445333+7.08251393820564e-06i,-0.0278550184314369+4.58002056012526e-06i,0.0317071797199129+5.06803591509166e-05i,-0.0357533890277349-2.20371431856953e-05i,-0.00584613365597766+1.21390586074111e-05i,-0.0457607915607063-4.19406910479401e-05i
-0.00427766769747672-4.91804247835684e-06i,0.00529878683404887-4.59524985571418e-06i,0.0354194744097215+3.15790439165983e-06i,0.0170853163165145+2.34756663862671e-05i,-0.0165314372677672-5.88778482948651e-06i,-0.0339577796425783+1.29536754148576e-05i,-0.0142723819232791-1.46476551048406e-05i
0.00260333493937416+3.38037704379627e-06i,0.0260307924001557-5.40979746684381e-07i,-0.00030501886588488+1.34477206688333e-06i,0.0846809273659221+6.64263814774187e-05i,0.0247826234051437-2.5958803563334e-05i,0.0427657571744895+1.55576828436459e-05i,-0.0276198425065235-5.10854954631073e-05i
0.0127022374251082-2.58205981098772e-07i,0.0390429032244999-2.89023038114394e-06i,-0.043961848724053+2.84468377245894e-06i,0.0532262015392952+6.47151333790913e-05i,-0.0423421795258028-1.88758810512844e-05i,0.0294127859732151+1.86231056175921e-05i,-0.0362236066818979-5.29254994725997e-05i
2.04625203585676e-05+4.6013614772903e-06i,0.00149086454412371+1.08683849114086e-05i,-0.00376624879540329+6.696509865496e-06i,-0.0208633323130291-3.6698585895668e-05i,0.0918129449657945-1.92979811049731e-06i,-0.00754750984216518-1.9934208576999e-05i,0.00376717321859454+2.36492051213371e-05i
-0.000623589858849686+9.27270559019463e-07i,0.0184587721840556+2.07308448732977e-06i,0.00102821735716855+1.58815184442385e-07i,0.0223491839267355+2.32916397719449e-05i,-0.0689058071532442-6.17431162588717e-06i,-0.00205667991836375+9.63165883783679e-06i,-0.00642623052536346-2.9812975878261e-05i
0.00390462953611192+2.36086984606297e-06i,0.0195128343373461+4.02040974743657e-06i,0.0473542535108727-3.95437323286327e-07i,0.0362385142388331+7.31217424925885e-06i,0.0257729102299805-4.13507019272452e-06i,0.0300735159072117-7.06622670084899e-07i,0.0210389406160353-8.87324730874702e-06i
0.00379102646057841-9.98571252061626e-09i,-0.0437110720857241+4.88683146876471e-06i,0.0471476838687597-3.35167378873811e-06i,0.00493468810539147+3.83430247127909e-05i,-0.0828826359030159-1.24214500179573e-05i,-0.000802056898784076+9.69444522893571e-06i,-0.040502346315655-2.93583689833023e-05i
