-0.256691231318444+1.45631353979935e-17i,0.0399795179321947-2.17847686828471e-15i,0.0399795179270503+8.24824729249963e-16i,0.0399795179406821+5.5080688572768e-15i,0.039979517933892-1.04575568513263e-15i,0.0399795179261688+2.22605878049161e-15i,0.0399795179404396-5.14805211808045e-15i
-0.4324707437957+2.26339183083993e-18i,0.0209454734390324-5.23438830661056e-15i,0.0209454734705543+3.0904411976035e-15i,0.0209454735029593+2.28311866009228e-14i,0.0209454734100634-6.41074511695909e-15i,0.0209454733945138+1.58891941444338e-14i,0.0209454734629935-3.00750002138825e-14i
0.255586190060486+2.24309253466526e-18i,0.0223115991902926+2.09749260161351e-15i,0.0223115991897245-1.76945451806615e-15i,0.0223115991720928-7.25017787139243e-15i,0.0223115991752069+4.09468733995691e-15i,0.0223115992441062-7.4236315525135e-15i,0.0223115991972609+1.03423349538589e-14i
0.277052023811222+3.15309502527424e-18i,0.00018814875340184+5.34371733822283e-15i,0.00018814873773515-2.89204571755187e-15i,0.000188148695994039-2.05020652674973e-14i,0.000188148773993868+5.96982122133621e-15i,0.000188148792334419-1.68103605672288e-14i,0.000188148727864323+2.88958939033531e-14i
-0.248702604395665+1.42751429092761e-17i,0.0207084569467082-1.89607085621309e-15i,0.0207084569450438+1.81911711806889e-15i,0.0207084569585609+1.16633375166573e-15i,0.0207084569631872-1.09717063218221e-15i,0.0207084569086207+2.28183486441739e-15i,0.0207084569565614-2.15986976036852e-15i
-0.0463775061390709-8.66905633162307e-18i,-0.00469500952985905-2.22490168582182e-15i,-0.00469500953705221-9.31998942421717e-16i,-0.00469500951799021+1.35257794934699e-14i,-0.00469500955102425-4.04423578271984e-15i,-0.00469500956363469+1.03904560582582e-14i,-0.00469500954909352-1.6763162434152e-14i
-0.0478650580942789+2.58440448759765e-18i,-0.00542653642490554+2.34637621245553e-16i,-0.00542653642144048+6.88720118130423e-16i,-0.00542653641666677-1.33382033844252e-16i,-0.0054265364212833+2.15633452628121e-16i,-0.00542653640273241-2.4364137868233e-15i,-0.00542653641333246+1.42291126292643e-15i
-0.205577946020039-1.40892292380789e-17i,-0.011216275250679-4.87099406824643e-15i,-0.0112162752501848+2.13997618665296e-15i,-0.0112162752132705+2.69770150129886e-14i,-0.0112162752812095-9.42049277645613e-15i,-0.0112162752939904+2.23674507235875e-14i,-0.0112162752657443-3.72820099583666e-14i
0.00814740838719745-3.67765737623963e-18i,-0.00612457128630378-2.69018887381745e-15i,-0.00612457127959209-8.2012990910785e-16i,-0.00612457125464494+1.53133659955548e-14i,-0.00612457132255451-3.56232387083442e-15i,-0.00612457129345512+1.16168305595142e-14i,-0.00612457126940735-1.98939147585131e-14i
0.114421022662243-7.39492784337067e-19i,-0.00576230461500321+3.80984432305973e-16i,-0.00576230460362764-1.23832160994805e-15i,-0.00576230461680394-3.94846635007285e-15i,-0.00576230461896909+4.32116060334905e-18i,-0.00576230461619615-1.21662906793914e-16i,-0.00576230461287697+4.89939222290935e-15i
0.0734915377934301+1.89802702805264e-17i,0.0112861739620549-1.48054516525738e-16i,0.0112861739423405-7.12734747951257e-16i,0.0112861739456734-1.18463855194877e-14i,0.0112861740048027+4.49429488059488e-15i,0.0112861739667104-1.07646724791872e-14i,0.0112861739492733+1.90748376825825e-14i
0.171630656607452+1.98460351766133e-19i,-0.0242893447617554+1.62745469250065e-15i,-0.0242893447652501-1.73626616678321e-15i,-0.0242893447752579-5.53465505863606e-15i,-0.0242893447538834+6.49939950162427e-16i,-0.024289344758162-5.25497589808579e-15i,-0.0242893447626473+1.01563146076249e-14i
-0.0481028182774577-1.30150101945876e-18i,0.0155525398256201+1.11852972366202e-15i,0.0155525398266875-1.24324827010172e-15i,0.0155525398224656-1.61452813311024e-15i,0.0155525398158628+1.44618764086348e-15i,0.0155525398518338-1.56674566728575e-15i,0.0155525398370515+1.91674898601987e-15i
0.0206847647118905-3.70398241844273e-18i,-0.000529136460109256+1.442236365269e-15i,-0.000529136467277772-1.67317112792457e-15i,-0.000529136473465648-3.70035210482383e-15i,-0.000529136465231186+6.22526806332783e-16i,-0.00052913646385442-3.08428334896717e-15i,-0.000529136460457713+6.37215715653055e-15i
0.000226527461534192-5.26604967251093e-18i,-0.00152229534643152-1.53729241263741e-15i,-0.00152229533864821+2.82013842959615e-15i,-0.0015222953274383+3.92231620032284e-15i,-0.00152229535451898-3.48203699168518e-15i,-0.00152229535467172+6.96463420598521e-15i,-0.00152229533545567-8.71068856482613e-15i
0.0989987614560917-2.18063059459499e-18i,-0.00745633699069903-4.24875813870075e-15i,-0.00745633697904818+1.65764211662571e-15i,-0.00745633697427472+1.3286718993279e-14i,-0.00745633703091159-2.34630065138893e-15i,-0.0074563369869054+8.30124571447771e-15i,-0.00745633700020099-1.66778885909494e-14i
0.0463394785490487+1.53838971240415e-18i,0.000879114341644758-2.47808617936159e-16i,0.000879114331019809+2.33702594295187e-15i,0.000879114333262328-9.92253385420186e-16i,0.000879114362203035-1.66176847888734e-15i,0.00087911431740402+1.93675254291638e-16i,0.000879114328447644+3.76506869644846e-16i
