-0.00699021654300367+2.1570368895963e-06i,-0.0438964097552856+9.58429815256576e-06i,-0.0192035065646944-1.70696690700869e-05i,-0.0207999990294639-2.39207171003687e-05i,-0.0313535279104387+1.19212924113211e-06i,-0.00186763630753244-1.48087417317865e-05i,-0.00688464248022705+2.33390545965011e-05i
-0.00142499635995689-1.83355385259389e-06i,0.030223908059793+5.37909938076769e-06i,-0.0241525695567554+5.69142850423782e-06i,-0.000139143677695379+3.09323681220996e-06i,-0.001013854438364-8.93541787295201e-06i,-0.012533797523941+6.4979066478342e-06i,-0.00608932774971281-4.52588974922328e-06i
0.00653296598840345-5.33488291459244e-07i,0.00533163009591747+4.19145108250474e-06i,-0.000288545759607962+6.0799795985696e-06i,0.0111432730123685+1.23628659429818e-05i,0.00869649784762589-8.60176585456664e-06i,0.0172391154158773+6.13652413011446e-06i,0.012002754078706-1.4514819983984e-05i
-0.000404734924693385+4.89091394528105e-06i,-0.00644165751891893-1.18073689079796e-05i,-0.0061515700955058-4.85499134701296e-06i,0.0175755679009919+3.33148634899863e-05i,-0.00619666774420889-7.51556216358497e-06i,0.0373443382101624+1.1445467092967e-05i,-0.0181762900280135-1.68713410898615e-05i
-0.0144796617537446-6.3213801606321e-06i,0.0344526920221135-2.82903445822273e-05i,-0.0441102362640188+7.34066874486903e-06i,0.00833167976409515+2.33516160603762e-05i,-0.0230655590244812+9.64084052941358e-06i,-0.0515253820896569+2.14621473272375e-05i,-0.013553365884348-8.37377775358527e-06i
-0.00504790606067304-2.12729600570711e-06i,-0.0166695238695812+7.20197879603477e-06i,-0.0247578341159378-1.17526348629306e-06i,0.00774875259314499+2.91208923109518e-05i,-0.0313929794686965-7.97311480115885e-06i,0.00607704313854265+9.36468115266722e-06i,-0.0126450185332466-2.18460833530229e-05i
-0.00405121285340899-5.78831147038657e-06i,0.0088147262850957-2.81785894947555e-06i,0.036298352456633+1.67611578318276e-05i,0.00758831489625914+1.19721062128583e-05i,-0.0192251270322148-1.92057327875661e-06i,-0.030354906324243+9.9566087287514e-06i,0.015296180043765-1.85541127204818e-05i
0.00732739432362579+1.06805187056995e-06i,0.020964268426475-2.89218563276403e-06i,0.0259296049101559-2.41532375978911e-07i,0.0706967094435223+6.49028819427278e-05i,0.0410715081568944-1.88775842540174e-05i,0.0278281249245259+2.87419861767034e-05i,0.00537334557521992-4.57866966979987e-05i
0.0003935211334229-1.94631895379834e-07i,-0.00858481843797074-2.63631032057852e-06i,-0.0201188262907462+5.96071167827526e-06i,0.0399994166166385+4.41025985670825e-05i,-0.00430862408784827-1.03249958716747e-05i,0.0305593932883531+1.91369480357704e-05i,0.0068678774023878-3.633823831392e-05i
0.0124231554671421+2.2625019537036e-06i,-0.0466601706953265+1.75258870193292e-05i,0.0385708343705917+1.40795822334299e-06i,-0.0224639398568066-1.58177495383407e-05i,0.0480740166247524-1.69698607364203e-05i,0.00429613403995872-9.87645384555836e-06i,-0.0157446915070356+1.31074801040235e-05i
-0.00788335245887172-1.21084991788164e-06i,0.0200431632414075+6.82598299272293e-06i,-0.00506898958979172+4.4761046741403e-06i,0.0236165295880855+1.49556333419766e-05i,-0.0438299688602815-3.72468772868978e-06i,-0.00500031847716566+6.18762149765242e-06i,0.00325528333590915-2.07255730620338e-05i
0.0133791281279494+2.83587038961313e-06i,0.0620965324476794+1.43574401710927e-06i,0.0342853404278545-1.13181854448319e-06i,0.0394785087369303+5.36326480104462e-06i,0.0289330071004986-7.10990094051744e-06i,0.0160157488088278+7.71875608860151e-06i,0.0316053608883652-8.65975754106586e-06i
-0.0109821328026718-1.32111130437537e-06i,-0.0277081286268046+1.49968061305828e-06i,0.030949188640171-4.23513825076222e-06i,-0.00295131133790699+2.5386499463277e-05i,-0.0584694626248945+5.7109032500768e-06i,-0.00856680133882664+9.12845504308823e-07i,-0.0244999023837374-1.66197966964167e-05i
0.00312219073470907-2.79951413507831e-08i,0.0110260434135067-1.3280770820352e-05i,0.0509950883617421+6.24149812646813e-06i,0.015222132162266+4.88448783413631e-05i,0.00949347050734996-7.31804469602858e-06i,0.0109622693734696+1.75279209600793e-05i,-0.0259850618429948-2.80822414826781e-05i
-0.00570298705855661-5.13768057176172e-06i,-0.0131664861572093-1.06993368608521e-05i,0.00437934776561309-2.33921451504678e-06i,0.0740929377991095+4.77927303445561e-05i,-0.0120109593355232+8.09165268494089e-06i,-0.00850106806558218+2.03475136006875e-05i,0.0395673446161423-4.17594805704599e-05i
