-12.2749449510162+1.23144957027161e-17i,0.0707134101884499-3.90011835802079e-12i,0.0707134241683569+1.85506775580592e-12i,0.0707134601816506+1.96095334390349e-11i,0.0707133912566746-6.14639030106468e-12i,0.0707133729853986+1.45658426415807e-11i,0.0707134267475595-2.59836577086667e-11i
0.0386354331956624+1.96935485162499e-17i,0.0649857686936759-1.44372374808833e-12i,0.0649857686343651+7.61764253114385e-13i,0.0649857792390742+4.60383632788802e-12i,0.0649857673156471-1.27084963571586e-12i,0.0649857573386012+2.98448521439727e-12i,0.064985772760668-5.63523121748091e-12i
-0.159439799645021+1.41514850302648e-17i,0.0424192999613824-4.76127958924723e-12i,0.0424193207377452+2.3521784225591e-12i,0.0424193551643883+2.09525255806412e-11i,0.0424192768518143-6.27117542885501e-12i,0.0424192651999944+1.5455815563018e-11i,0.0424193189193538-2.77278812418584e-11i
0.261237363940244-1.54848697416795e-17i,0.0239108816230172+1.963192769606e-12i,0.0239108783090206-1.43244018434112e-12i,0.0239108611537838-7.24695291365824e-12i,0.0239108779693138+3.3044676225751e-12i,0.0239109154663987-6.51198813956121e-12i,0.0239108807689468+9.92380247111913e-12i
0.160145911192565-3.36985542008413e-18i,-0.00808324258028792+4.45517708323922e-12i,-0.00808325485813099-2.18523216631531e-12i,-0.00808328847034745-1.83863659434803e-11i,-0.0080832254312535+5.38954421430961e-12i,-0.00808321192667472-1.43710196414069e-11i,-0.00808325845120761+2.50978621085276e-11i
-0.0551868046498372+2.22681707212427e-17i,0.0367919668244763-1.16605184369973e-12i,0.0367919674243038+1.21938078029885e-12i,0.0367919784670683+1.17577607235332e-12i,0.036791977894391-1.03349631749902e-12i,0.0367919404472514+1.86916381746682e-12i,0.0367919717019358-2.06459609358368e-12i
-0.0453699111184959-1.46471939181862e-17i,-0.00498817890714676-2.14546988426125e-12i,-0.00498817980612154+5.82979654769184e-14i,-0.00498816411112389+1.11098156897227e-11i,-0.00498819475403116-2.96652189845602e-12i,-0.00498819443815098+7.81056214573886e-12i,-0.00498818379177518-1.38667294299638e-11i
-0.0524765242934227+3.36281639251897e-18i,-0.00623309022262659+1.67741436204293e-13i,-0.00623308892427016+4.13639725680904e-13i,-0.00623308724951047-6.79428028885764e-13i,-0.00623308735671886+3.02906675980713e-13i,-0.00623308213270787-1.27251727213189e-12i,-0.00623308549367818+1.06764362093163e-12i
-0.183236644797489-1.6520704183949e-17i,-0.0103776808188687-4.65372013218808e-12i,-0.0103776746945005+1.78426761859737e-12i,-0.0103776404012539+2.28320500434141e-11i,-0.0103777058851406-6.95700773010276e-12i,-0.0103777061450517+1.73502157462441e-11i,-0.0103776804186725-3.03558788337999e-11i
-0.0268270846960247+2.68074968824073e-18i,-0.00950574742388605-2.43630457995607e-12i,-0.00950574274337307+4.01266336600413e-15i,-0.0095057231388021+1.27726256850345e-11i,-0.00950577062477176-2.99630728914309e-12i,-0.00950575125384184+8.98566170730357e-12i,-0.00950573792978671-1.63297276652911e-11i
0.0356148128375177-1.3225991516998e-17i,-0.0120370303078916+3.59466698874601e-13i,-0.0120370252525919-5.85850368999273e-13i,-0.0120370315086685-2.36988743317575e-12i,-0.0120370316317259+2.24541762916007e-13i,-0.0120370287065094-7.05451679025175e-13i,-0.0120370295335968+3.07712285586641e-12i
0.0919725581843844+1.80781017932118e-17i,0.0139390533040034+9.85723100329968e-13i,0.0139390422328688-2.24714911696523e-13i,0.0139390349611895-1.05738640801965e-11i,0.013939080475764+3.22530995962234e-12i,0.0139390516371692-8.02178821376971e-12i,0.0139390419025081+1.46094261020047e-11i
-0.0209045292064973-1.00281152895469e-17i,-0.0401163132690319+1.37273764385472e-12i,-0.0401163164617666-1.12441769515911e-12i,-0.0401163270040032-5.65851465512868e-12i,-0.0401163077084756+1.23325351954758e-12i,-0.040116307757085-4.44636835921488e-12i,-0.0401163164016083+8.62314488374318e-12i
0.0470253124904874-3.28918452106386e-18i,0.0235381901208463+6.88033609845055e-13i,0.0235381903884021-7.19697593326515e-13i,0.0235381864574926-9.11731781254369e-13i,0.0235381843899641+7.08952650424949e-13i,0.0235382032908773-9.90639684139263e-13i,0.0235381946670112+1.22516909607061e-12i
0.0117963914556087-1.31522136621544e-17i,-0.00105110056380257+8.94699250409186e-13i,-0.00105110503135172-6.56353208622249e-13i,-0.00105111062000486-3.25196325863596e-12i,-0.00105110161084918+9.49321156393898e-13i,-0.00105110051033454-2.59498988281172e-12i,-0.0010511017540204+4.659259713486e-12i
-0.00935863314711814-7.70559595009016e-18i,-0.00232841887063723-1.3283816053834e-12i,-0.00232841368754379+1.49506883027646e-12i,-0.00232840469893079+3.84462729086908e-12i,-0.0023284215555376-2.03332476784483e-12i,-0.00232842702763492+4.5800306215529e-12i,-0.00232841313552878-6.55804275258709e-12i
0.0252538376575056+9.01054024863281e-19i,-0.0134506838916753-2.63144803802656e-12i,-0.0134506779821872+6.94036640919944e-13i,-0.0134506700227284+9.75951698700091e-12i,-0.0134507053601358-2.03835731405705e-12i,-0.0134506812820111+6.36599402229489e-12i,-0.0134506868874826-1.21497917449636e-11i
0.0349344011575146+5.08702433945047e-18i,-0.000161762101916901+1.74587341449971e-14i,-0.000161766275181885+9.75679629577104e-13i,-0.000161766980590006-2.30403780230302e-12i,-0.000161748489258248-2.63427372062027e-13i,-0.000161772081191433-1.10451370440111e-12i,-0.000161768550909824+2.67884470364176e-12i
0.0281747213359826+2.02329888955381e-17i,0.0116780733359035-2.12519902129437e-12i,0.011678076767326+9.21556425755284e-13i,0.0116780966922942+6.16202814249756e-12i,0.0116780835191894-2.18565235841252e-12i,0.0116780690096054+4.43617413314973e-12i,0.0116780745241947-7.20883420288773e-12i
0.0400751404406554-9.29252256249409e-19i,0.00940797006585198-1.66350957273609e-13i,0.00940797217059591+1.37946704665901e-13i,0.00940797474663391-5.28952377434856e-14i,0.0094079768897683-3.59952894710086e-13i,0.00940797248734535+8.13810768625227e-13i,0.00940796676228683-3.72525028898731e-13i
-0.0393208118861106-3.39934629650802e-18i,-0.0090309103789698+4.40728280914937e-13i,-0.00903091251000357+1.19763060448176e-13i,-0.00903090984311691-2.50875061510811e-12i,-0.009030905094423+2.30675703320406e-13i,-0.00903090805697845-2.13534945097409e-12i,-0.00903090851211408+3.85290297663124e-12i
-0.037224508943969-5.63989911692765e-18i,0.00652132063398753+1.0776486932958e-13i,0.00652132528260685-7.35512178308378e-13i,0.00652132923742105+3.36792719256829e-13i,0.00652131996103106-8.64911086833409e-13i,0.00652132229467939+9.16791966853231e-13i,0.00652132205866796+2.39091827424221e-13i
0.0334995667214398+3.13288016912467e-18i,0.0113749036558529+2.91626795970774e-14i,0.0113749002342439-6.80214956288726e-13i,0.0113748950558092+4.77154315976808e-13i,0.0113749024753256+8.82351790194945e-13i,0.0113749028845232-8.75270939536228e-13i,0.0113748981924737+1.66864212031362e-13i
-0.0382187579214636+2.81192409763719e-18i,0.00216735298794349+8.29663974638032e-13i,0.00216735307698815-4.77939199785709e-13i,0.00216734780039396-1.82824961963016e-12i,0.00216734735243904+1.98390597216135e-13i,0.00216735222001474-1.66161434306483e-12i,0.00216735035683546+2.93975998715232e-12i
0.0700094538873696-1.24955001696999e-17i,-0.0084695475518633+5.86430493087715e-13i,-0.00846954668792682-3.46608856930197e-13i,-0.00846955491090945-2.73169270715082e-12i,-0.00846954950324519+8.99190746933004e-13i,-0.00846954266081423-1.92257957941428e-12i,-0.00846955019311491+3.51521127687137e-12i
-0.0101907491298885+2.18194084228794e-17i,-0.00767229779716519+1.28668308816173e-12i,-0.00767230281377787-7.38780073021373e-14i,-0.00767231228624363-8.70668464812138e-12i,-0.00767228952092122+2.13239733579726e-12i,-0.00767230718365328-5.85546023104179e-12i,-0.00767230256257667+1.12169438943751e-11i
-6.20224856180598e-05+7.52708751421732e-18i,0.00841047040677206+1.53190638002121e-12i,0.00841046452676553+1.84035178861587e-13i,0.00841045271341267-6.59332465301798e-12i,0.00841047332189654+1.14227123665422e-12i,0.00841044967697935-4.06426588716031e-12i,0.00841046646370702+7.79942103584506e-12i
-0.0186158073030462-1.28304835671531e-18i,-0.0126083582080027-8.68688265878924e-13i,-0.0126083570008746-8.72661965777145e-14i,-0.0126083536725731+4.69959058065061e-12i,-0.0126083702645991+2.43932039593701e-13i,-0.0126083435774811+1.74662583931671e-12i,-0.0126083497554352-5.73424504188236e-12i
-0.00639930144419481+1.85446012359996e-17i,0.0170754799043209-1.40484775877851e-12i,0.0170754773701621+1.11187838173886e-12i,0.0170754880990025+3.87237250402672e-12i,0.0170754845608-9.10592285519706e-13i,0.0170754683094478+2.11804215574323e-12i,0.0170754792386134-4.78675984616243e-12i
0.0195739648693231-8.5560737065807e-18i,0.0182569203900996-1.14013306835068e-12i,0.0182569237521825+2.00894806230667e-13i,0.0182569284751437+5.62197446348754e-12i,0.0182569163326697-1.14162256768037e-12i,0.0182569222150818+3.37849511910923e-12i,0.0182569197236182-6.91954531243823e-12i
0.0264222606179826-6.04010100675807e-18i,-0.000275062794380762+2.11273963854296e-12i,-0.000275064367424756-1.56351861074086e-12i,-0.00027507341253849-6.44910271112267e-12i,-0.000275066296001686+2.80637678798632e-12i,-0.00027504585497061-5.14605498084241e-12i,-0.000275056702517207+8.23955055962463e-12i
-0.0473372871477507-9.72292091289267e-18i,0.000140744500309473-1.63409956064767e-12i,0.000140750984786928-1.3248308883641e-13i,0.000140757183843751+9.49937226117868e-12i,0.000140725104389644-2.26358371327299e-12i,0.000140746112840429+6.54569640990093e-12i,0.000140745011929067-1.20149149411794e-11i
0.0570734434761948+1.90191309297619e-17i,0.0113825661905868-1.15513994032208e-12i,0.0113825647599271+5.13219082280247e-13i,0.0113825730343471+3.28264954256838e-12i,0.0113825768354532+3.22483001639049e-13i,0.0113825849093718-2.3718131997441e-13i,0.0113825635870732-2.7259604378261e-12i
0.0329595482284396+4.04315773500776e-18i,-0.0269255571743922+1.04369943240166e-12i,-0.0269255598117352-6.72519093673764e-13i,-0.0269255699997512-5.36317179835992e-12i,-0.0269255436838346+1.78173601481196e-12i,-0.0269255587254111-4.74478261501124e-12i,-0.0269255573302569+7.95493772854676e-12i
-0.0124296778302627+3.11284609856498e-18i,-0.00479809095383074-1.47079013692592e-12i,-0.00479809052517186+7.21137053020864e-13i,-0.00479808148251765+4.03734237363961e-12i,-0.00479808673237006-1.99487271840349e-12i,-0.00479809301952983+3.04814098393604e-12i,-0.00479808790817982-4.34096877885322e-12i
0.0589637116818407+1.48333388093554e-17i,0.0205471918019517-6.11867809116977e-13i,0.0205471939307974+9.81863244837471e-13i,0.0205472015119174+1.3400739370881e-13i,0.0205472005263216-1.12584252994907e-12i,0.020547194659242+8.27658045640892e-13i,0.0205471944895899-2.05717049343182e-13i
0.0407646603047188+1.11025163725794e-17i,0.00616197825680118+5.76908248032449e-13i,0.00616197229665832-9.38065748041302e-14i,0.00616196850526227-4.90984298644833e-12i,0.00616198510645583+1.1230536421767e-12i,0.00616196647778317-2.44555235957933e-12i,0.00616197258485407+5.74928001206542e-12i
-0.0190195131501868+1.11533849292782e-17i,0.013754073324524-1.63123912385473e-12i,0.013754080829729+9.78609721565313e-13i,0.0137540917491069+5.3180213790589e-12i,0.0137540676131573-1.62507192355647e-12i,0.0137540551137847+4.65475869068027e-12i,0.013754078825154-7.69501360015666e-12i
-0.0362846340880784-9.89717824916517e-19i,-0.0175196338768748-1.22988695663314e-12i,-0.0175196310744289+8.39329137484004e-13i,-0.0175196262269965+3.64355786356356e-12i,-0.0175196349615796-1.09308860352961e-12i,-0.0175196454845986+3.3832990061895e-12i,-0.0175196331871361-5.54328116174818e-12i
-0.0855774905154369+8.9949866597713e-18i,0.0101250155777463+4.25053575879509e-13i,0.0101250170382165+4.88405479511193e-14i,0.0101250218283743-1.33453334101323e-12i,0.0101250248456158-3.30288450465592e-14i,0.0101250073419623-5.60728352223272e-13i,0.0101250192650748+1.45444445630635e-12i
0.013165655028376-1.12276308922834e-17i,-0.0103494753319373+2.38603670736559e-12i,-0.0103494756475824-1.27683847446922e-12i,-0.0103494957100825-9.17351763798479e-12i,-0.0103494651210069+1.68362223362074e-12i,-0.0103494780545649-5.609808288327e-12i,-0.0103494801519959+1.199045063118e-11i
0.0272517272943929-1.30127536796071e-17i,-0.00899647366952205+1.3780804811224e-12i,-0.00899648024222788-2.47170036654701e-13i,-0.00899649080257608-5.89650567872377e-12i,-0.00899646846383151+1.60547224150108e-12i,-0.00899646692144723-4.57122279495087e-12i,-0.00899647755446309+7.73130122805717e-12i
-0.0805557497093253+6.99708253175367e-18i,0.000714434920682711-6.58216960942959e-13i,0.000714442781764413+1.1321043815972e-12i,0.00071444416391056+1.0546683729609e-12i,0.000714446202773639-6.78033335348347e-13i,0.00071442945363312+1.23952270311662e-12i,0.000714440027314689-2.09003124437189e-12i
-0.00625880500171483+3.0866831051723e-18i,0.00236711731285968-5.44706748684398e-16i,0.00236711056546082-2.82735599813899e-13i,0.00236711326332791-5.62821147605023e-13i,0.00236711713201049+4.66353648331577e-13i,0.00236710984910854-1.01874632335988e-12i,0.00236711492870273+1.39850768026343e-12i
0.00790055905372577-5.83470987436155e-18i,-0.0147121271787969+7.86082615511496e-13i,-0.0147121274605451-9.68989433250875e-13i,-0.0147121325754351-1.06394923273167e-12i,-0.0147121357795097+9.94886682891715e-13i,-0.0147121185891981-7.93898316185984e-13i,-0.0147121277466478+1.04579663281094e-12i
-0.0157758148684756+4.09343486641647e-18i,0.0104958637928733-6.56514131786393e-13i,0.0104958753735788-2.20920399478123e-13i,0.0104958821654555+3.27970499837063e-12i,0.0104958559755918-1.40394159223509e-12i,0.0104958523548009+4.06613910532464e-12i,0.0104958722335144-5.06442816475155e-12i
-0.0202833342153915+4.87070178939714e-18i,-0.000189579528049388-3.08697298285234e-13i,-0.000189581101041444+2.70266459217407e-13i,-0.000189576739174933+1.02363800036959e-12i,-0.00018958110442702-1.14263246537597e-12i,-0.000189576929948667+9.86419457883758e-13i,-0.000189575376293577-8.28987592278732e-13i
0.0127370675171832-6.24253961798564e-18i,-0.00656091289107602+8.73006056334422e-13i,-0.00656091212390414-3.87789284755214e-13i,-0.00656092097398181-2.97088061296668e-12i,-0.00656091472050432+6.13914682179284e-13i,-0.00656090713928903-2.0618328208985e-12i,-0.00656091045764651+3.93355055812386e-12i
0.0205826462339219-3.25869020881012e-18i,-0.00650109828854045+4.18173615001281e-13i,-0.00650109235267166+8.90002861841716e-15i,-0.00650109372095359-2.55359870307038e-13i,-0.00650110184514263-1.98515737836171e-13i,-0.00650110354686989+4.00943597560841e-13i,-0.00650109319725645-3.74173789298036e-13i
0.0116048197624626-4.81822669916485e-18i,0.01869087705281-5.02576647948215e-13i,0.0186908731890513+4.62753917176069e-13i,0.0186908789506606+3.1543052205348e-12i,0.0186908749217806-1.24038486509117e-12i,0.018690860069707+2.44832078504558e-12i,0.0186908780744868-4.32235157940403e-12i
-0.00816084010428535+9.55049042594884e-18i,0.0042378780431129+5.80089798882272e-13i,0.00423787554096028-2.63682955172067e-13i,0.00423787725009575-2.41677676952002e-12i,0.00423787498609887+3.30845736230032e-13i,0.00423786981402605-1.28067498122286e-12i,0.00423788521050983+3.05022853420028e-12i
0.0302843293243464-7.30535202781642e-18i,0.00872797788202898+8.4387327948944e-13i,0.0087279764027722+7.97229915553973e-15i,0.00872797054617183-2.48408108785745e-12i,0.00872797522943938+4.2433460108687e-13i,0.00872798589007814-1.26705851472362e-12i,0.00872798380093487+2.47498163324767e-12i
0.0483560186708656+1.60239637986231e-18i,-0.013561407538364+2.56797182589184e-12i,-0.0135614069643656-1.27790545156876e-12i,-0.0135614236895751-1.02398808161212e-11i,-0.0135614034921272+2.86051129858475e-12i,-0.0135613921065144-7.56431506041953e-12i,-0.0135614081159674+1.36535663131347e-11i
-0.0121799669773544+3.67307043330212e-18i,-0.00867665751680757+1.19414892978176e-12i,-0.00867665186051247+5.95240867071912e-13i,-0.00867665941695384-5.67991674284035e-12i,-0.00867664768444809+3.94836018976035e-13i,-0.00867664602356988-3.59803575907786e-12i,-0.00867664980375538+7.09370149047042e-12i
-0.00440184630330986+1.36804733261213e-17i,-0.00943254057258919-6.46809710725447e-13i,-0.00943253221807189-7.89188090036995e-13i,-0.0094325324600627+3.68161488735966e-12i,-0.00943255430119816+3.52366649823331e-13i,-0.00943251422406582+9.59713119639207e-13i,-0.00943253117737974-3.55771486184253e-12i
0.00399524429932638-1.67108530975634e-17i,0.00666894529359979+5.63932353525393e-13i,0.00666894657105824+6.51205980582626e-13i,0.00666894438724341-3.62221577974067e-12i,0.0066689526878613+1.01332984871939e-13i,0.006668942972684-1.28541156973329e-12i,0.00666894354147618+3.59116558636715e-12i
0.0735625551117212+5.95002279644094e-19i,-0.0125064420049396+1.25432726950649e-12i,-0.0125064515383078-8.84750624519241e-13i,-0.0125064614596146-5.51612183807065e-12i,-0.0125064392580411+1.73595459258863e-12i,-0.012506435222244-4.2515203775822e-12i,-0.0125064506783938+7.66206458381875e-12i
-0.01861799544537+2.0651823467923e-18i,0.00984297792821348+1.12391706134586e-13i,0.00984297805276313+7.27030656663431e-13i,0.0098429814142944-1.48329188733578e-12i,0.00984297933237865+6.30452389354665e-13i,0.00984297309470594-7.73383493841006e-13i,0.009842980749869+7.86845616539795e-13i
0.0313777133251075-5.48539836001819e-18i,-0.00752864808506987+9.41535988754354e-13i,-0.0075286535371421-3.0469023769772e-13i,-0.00752866126956159-1.88668198062404e-12i,-0.00752866045061423+1.60740989103966e-12i,-0.00752864695201727-1.88132529343653e-12i,-0.0075286498549596+1.52371012910141e-12i
0.0582456638787271+8.18168490164458e-18i,0.012512084530549+2.5581689511127e-12i,0.0125120865421425-8.7443558983612e-13i,0.0125120592372365-1.30332805830161e-11i,0.012512102221239+2.74807952137365e-12i,0.0125120762599572-8.29346831228814e-12i,0.0125120726542489+1.68949935724393e-11i
0.0161386399128751+4.93556145469861e-18i,0.00892580159128281+1.77669685696844e-12i,0.00892580855195862-2.80336294902223e-13i,0.00892579588323478-7.06058779348518e-12i,0.00892580761586792+9.14524288296198e-13i,0.00892579166284391-3.83852909205748e-12i,0.00892580245737817+8.48827193956069e-12i
0.00131400177675782-4.12640237950918e-18i,-5.05555412206489e-05-3.75042506733084e-13i,-5.05588364548958e-05+3.56738924298165e-13i,-5.0556915993618e-05+1.03342407832596e-12i,-5.05512150878505e-05-9.57576565996596e-13i,-5.05691753044588e-05+1.30398928239257e-12i,-5.05588121015935e-05-1.36153991350275e-12i
0.00165204107843497+3.25554728779128e-18i,-0.0244961501988058-5.84332388335781e-13i,-0.0244961563723134+3.0570938906482e-13i,-0.0244961573901895+1.35519341497974e-12i,-0.0244961544049634+3.07457937657207e-13i,-0.0244961533756507+2.54086798937829e-13i,-0.0244961564134032-1.63820545971439e-12i
-0.00652254775369687-1.85690542312543e-18i,0.017528204052362-2.33651620871575e-13i,0.0175282064002105+4.47716668754842e-13i,0.0175282058440749+2.18607893020414e-12i,0.0175281939714925-1.48644069956306e-12i,0.0175281966624575+1.93878787056968e-12i,0.0175282057831652-2.85242914639395e-12i
0.00305991656899115+9.69466836809085e-18i,0.0159609564511587-1.31540943268858e-12i,0.0159609598028602+1.1819329921993e-12i,0.0159609713285959+2.28734684958086e-12i,0.0159609634653429-1.79058893665738e-12i,0.0159609475893612+2.34282557591905e-12i,0.0159609558033309-2.70602652336912e-12i
-0.0110642930564736-1.46673884772259e-17i,-0.0323410331726472-2.29272549038419e-13i,-0.0323410365982479-8.88557511586664e-13i,-0.0323410303228182+2.7909468693932e-12i,-0.0323410436451417+1.55944015729887e-13i,-0.0323410207452028+1.14915058179851e-12i,-0.0323410295241624-2.97835488938355e-12i
-0.00696120684308823-2.76050992686508e-18i,-0.00218254217953195-2.28652134950246e-13i,-0.00218253812239708+3.39690473166981e-13i,-0.00218253589765967-3.650789298028e-13i,-0.00218254284991139-6.56855622267186e-13i,-0.00218253841900207+8.53623054673647e-13i,-0.00218253927230666+5.72648595954838e-14i
0.0449299674557647-8.15347467514719e-18i,-0.00385841394340322+7.58713802866476e-14i,-0.00385841252911595-9.49636616333498e-14i,-0.00385841095178591-1.09214188258812e-12i,-0.00385841038809123+6.58612447449966e-13i,-0.00385839768078208-1.590272612401e-12i,-0.00385840680851102+2.04287894667355e-12i
-0.0445349809062286-1.14768794828517e-17i,-0.00168864325951063-8.59959145547605e-13i,-0.00168864082813472+2.1548301013822e-13i,-0.00168863384259926+5.19234587725002e-12i,-0.00168864755085573-1.02800048645318e-12i,-0.00168864379588051+2.79923501983125e-12i,-0.00168864504363042-6.31912670320302e-12i
-0.0380037145723175+3.27418503142485e-18i,-0.0130633900266358+6.34433613441828e-13i,-0.0130633915050368+6.40140970139392e-15i,-0.01306339585254-4.02546403892617e-12i,-0.0130633926162144+1.48983820409262e-12i,-0.0130633870303449-2.74524328566243e-12i,-0.0130633942216203+4.63998726432855e-12i
-0.0731061365015165+2.44218487777202e-18i,0.00157706670263363-1.39626523281668e-12i,0.00157706685200257-4.46068455143437e-13i,0.00157707683022354+6.31761698030295e-12i,0.00157705556200452-8.69745014756781e-13i,0.00157706462429949+4.4938691910314e-12i,0.00157706497108967-8.09940546298256e-12i
-0.0178682976782852-5.04543784120363e-18i,-0.00423927062745268+6.47308563982799e-13i,-0.0042392665055207-2.38935076407119e-13i,-0.00423927142947879-3.89863618811521e-12i,-0.004239270281756+1.55032596941121e-12i,-0.00423925693697194-3.0621700300841e-12i,-0.00423926187634227+5.00209106293482e-12i
-0.0530152495722323+3.89647600338982e-18i,-0.0172729914442217+2.23933351101608e-13i,-0.0172729924867629+4.00971375357321e-13i,-0.0172729975893453-3.29504520882868e-12i,-0.0172729870726692+9.71510890250796e-13i,-0.0172729985071297-1.89311033554863e-12i,-0.017272993396741+3.59168073163278e-12i
-0.0302833193852584+1.27482185981299e-18i,-0.0318110745359934-2.43938585118085e-13i,-0.0318110801460412+1.41620426080372e-13i,-0.031811078740263-1.88297418907923e-12i,-0.0318110656368777+1.22221337105416e-12i,-0.0318110799835918-1.26198301442531e-12i,-0.0318110794704669+2.02494217304316e-12i
-0.00577676233136609+1.26712087858816e-17i,0.0291484625160972-2.06849551310647e-12i,0.0291484586591181+5.78028732400437e-13i,0.0291484843237808+1.10721938869568e-11i,0.0291484464892975-1.83338842796493e-12i,0.0291484710636989+6.21214370787771e-12i,0.0291484714308492-1.39603545246997e-11i
0.0634120231489557-2.91708873089023e-18i,0.0149361426881329+7.89324051942959e-13i,0.0149361335146889+8.06297483214974e-14i,0.0149361315953286-4.11652264095417e-12i,0.0149361510506409+1.52110600629291e-12i,0.0149361412527921-3.72257128016286e-12i,0.0149361332252569+5.44809645570612e-12i
-0.0285558921370472+1.1633840880218e-17i,-0.0167030254346987-1.27509026294644e-12i,-0.0167030268324611+2.93238697350462e-13i,-0.0167030130296074+3.70786862275513e-12i,-0.0167030204211309-1.32405110686242e-12i,-0.0167030332204215+3.07942233904748e-12i,-0.0167030259423884-4.48143523259738e-12i
0.0158690558183781+1.97086159564646e-18i,0.011675107828351-9.43317427787251e-14i,0.0116751013487689+5.17604007486354e-13i,0.011675106963708-2.4400719018746e-14i,0.0116751094448853+1.55858561226339e-14i,0.0116750949129975+4.20313536357675e-13i,0.0116751025979924-8.34724929203956e-13i
0.0133018736096466-1.15984199856277e-18i,-0.00714874289258066-4.30674722540786e-13i,-0.00714873934119525-6.55964579487343e-13i,-0.00714874602593746+3.47143349938951e-12i,-0.00714875580869945-5.59231157065366e-13i,-0.00714874152070027+2.30093048626465e-12i,-0.00714875253142888-4.12652876201692e-12i
-0.0374648553342237+9.82828058939024e-18i,-0.0125785465290902+6.98016269565916e-13i,-0.0125785463561932-1.36245362840207e-13i,-0.0125785547118245-7.41054854420308e-12i,-0.0125785242324345+1.87357675086291e-12i,-0.0125785433007137-4.87284289126337e-12i,-0.012578552806737+9.84801301696545e-12i
-0.00342273020894082-1.12002383208652e-17i,0.00808640128822052-2.26533766697789e-12i,0.0080864080354629+6.24722708040361e-13i,0.0080864258732834+1.13552340120567e-11i,0.00808638833978093-3.22952797270101e-12i,0.00808641030709817+8.11239532567902e-12i,0.00808641517276132-1.45974699915835e-11i
-0.0331542076814205+4.44691365745209e-18i,0.0111877364227519+1.0508413018591e-12i,0.0111877383206724-3.65080631257864e-14i,0.0111877379814652-3.4280092552229e-12i,0.0111877387436156+9.35854012660908e-13i,0.0111877270502267-2.27158002685917e-12i,0.011187742359521+3.74944897054117e-12i
