-11.0557017777242+6.76155513214674e-16i,0.176877704525129-3.81329511731832e-09i,0.176888940471397+1.69115152967211e-09i,0.176921103299126+1.78941173445918e-08i,0.176859540242635-5.38546087450661e-09i,0.176847342458+1.33574791567113e-08i,0.176890982815536-2.37439913723342e-08i
-0.0802187076301258-1.23538074898008e-14i,-0.017949230622693-5.59102221100142e-10i,-0.0179482626161303-6.86278058935611e-11i,-0.0179452582963386+3.42185998090339e-09i,-0.0179568533579766-2.9662910576822e-10i,-0.0179427868501671+1.74067825636151e-09i,-0.0179455233772383-4.23818165747018e-09i
0.0951565718759031+4.60062526952735e-15i,0.0261148299483321-7.4090050665907e-10i,0.0261142706937567+5.37563837499177e-10i,0.0261203130513302+2.33551881259081e-09i,0.0261160847707497-6.57324336085044e-10i,0.026109135015447+1.534408753549e-09i,0.0261150870275366-3.00926552817848e-09i
0.108933019733208-1.41824529854346e-14i,0.0260757961719562-6.75672016720905e-10i,0.0260774437624287+1.18954436753082e-10i,0.0260810063557217+3.34920032848533e-09i,0.0260726007778784-7.1573755222531e-10i,0.0260770358758999+2.07210480017474e-09i,0.0260762424948346-4.14885276647094e-09i
-0.00446644418192833+4.47353051289695e-15i,-0.00309217060782081+1.26588948523929e-09i,-0.00309405840369431-8.46728918472612e-10i,-0.00310115361182784-4.28502621933897e-09i,-0.00309271814043805+1.63753199331743e-09i,-0.00308285468101098-3.41120456884688e-09i,-0.00309068021685438+5.63953914311153e-09i
-0.00424894154399854-2.61448556104184e-14i,0.00417649933073086-1.28516294843871e-09i,0.00418036466641411+1.15794686028769e-10i,0.00418791466332086+6.97445663998132e-09i,0.00416450730198348-1.70763185639241e-09i,0.00417627457313005+4.76206573846781e-09i,0.00417884785409761-8.85952749646273e-09i
0.0766657370901285-2.19429215573485e-14i,0.0127096103571558-3.88273125250761e-10i,0.0127082967084197+1.58735466004084e-10i,0.0127106470737476+9.24017028366515e-10i,0.0127136549319384+2.61220852674032e-10i,0.0127188052615362-3.10881512488668e-10i,0.0127079354703568-6.44823009307542e-10i
-0.147871874020095+2.27233961240438e-14i,-0.0430980306761934+8.9807182115327e-10i,-0.0431000806966584-3.45410241450266e-10i,-0.0431073796868758-4.44272755990945e-09i,-0.0430901194133685+1.25638410482553e-09i,-0.0430966471555662-3.40374505375713e-09i,-0.0430994835678096+6.03743134995426e-09i
-0.0397099002332861-5.14022094635319e-15i,-0.00694926378833469-7.60982541347305e-10i,-0.00694840428091824+2.84410125049006e-10i,-0.00694354739706633+2.64532599351897e-09i,-0.00694942799069095-1.03353492008078e-09i,-0.00694978515152705+1.94388036642055e-09i,-0.00694790050968819-3.07910009363895e-09i
0.125997186699907-6.32442682638293e-15i,0.0258627134923423-1.42802146560441e-10i,0.0258634218513285+3.58608859870057e-10i,0.0258654573192376-5.1730218434268e-10i,0.0258672174574676-2.98099083699557e-10i,0.0258639534831817-3.43040164534747e-11i,0.0258632117191291+6.33897423865552e-10i
0.0361164036813995+1.30685518561909e-14i,0.005539115892744+5.60627434493991e-10i,0.0055366719427644-7.83344297087519e-11i,0.00553290421823221-3.54314667518406e-09i,0.00554450011322229+7.40696064573915e-10i,0.00553542358176351-1.99354423114835e-09i,0.0055360978894386+4.31370449996747e-09i
0.0808934270012446+3.80850277314694e-15i,0.0225790770397322-1.02668460716097e-09i,0.0225825831394516+6.08555491029866e-10i,0.0225903939384295+3.65492663499076e-09i,0.0225762259793512-1.16373096579214e-09i,0.0225678613604287+3.06815148132812e-09i,0.0225819665182092-5.14121720241822e-09i
-0.103049012871781+4.09240581333852e-15i,-0.023003328160614-8.21446431970801e-10i,-0.0230017103110029+5.24754260470306e-10i,-0.02299677872204+2.80993826273235e-09i,-0.0230043047211879-8.60364819874047e-10i,-0.0230117037884922+2.36087641490005e-09i,-0.0230026385227284-4.0137569823089e-09i
0.0464284011435055+1.41861810103644e-14i,0.0223475348990064-4.24603014021275e-11i,0.0223485343530655+2.22766084823557e-10i,0.0223516236913635-8.03304040116283e-11i,0.0223513317852048-2.21052038050732e-10i,0.0223397443763133+2.86470864274546e-10i,0.0223490161569022-1.65391267998831e-10i
-0.0573120487964024+2.15697369938193e-14i,-0.0165087144364252+1.41412535078227e-09i,-0.0165096798754644-5.79701912726987e-10i,-0.0165211996501221-6.06483704923108e-09i,-0.0165016911609042+1.2998727250188e-09i,-0.0165086376634883-3.87260431811388e-09i,-0.0165117111332447+7.80314945256158e-09i
-0.0523293462611735+9.9744843613007e-15i,-0.016045357161984+1.01754218447087e-09i,-0.0160488320916057-3.24945622671442e-10i,-0.0160564893727616-4.43204988069368e-09i,-0.0160411680540174+1.28135334787553e-09i,-0.0160401745075164-3.35095121669213e-09i,-0.0160479968017502+5.80905312609909e-09i
-0.0119627302141253+8.80069360520009e-15i,0.00754921569896699-5.43882585550003e-10i,0.00755274729621258+6.38704278909505e-10i,0.00755579756426761+1.42603986114527e-09i,0.00755333233042838-6.64053738043108e-10i,0.00754276238948859+1.39909622323457e-09i,0.00755149398045085-2.2559022600152e-09i
0.00671485492837075+7.78242261334238e-15i,0.00357269804841562+3.01129494659803e-11i,0.00357033623435243-1.34485028889513e-10i,0.00357143606670092-3.05546838740626e-10i,0.00357268432811611+2.22958681665539e-10i,0.00357067552407592-4.13223506825725e-10i,0.00357216484951911+6.00185315213073e-10i
-0.0744776661411523-7.47488611364223e-15i,-0.0219608588312703+4.05225870456674e-10i,-0.021961654975179-4.57793182042864e-10i,-0.0219644960810557-6.58015797685497e-10i,-0.021964446807301+5.17596849819164e-10i,-0.0219554570076349-6.4448814299767e-10i,-0.0219609978234661+8.37472842204124e-10i
0.0591282867278616-3.19518780162838e-15i,0.0171763112880224-5.72448426097843e-10i,0.0171813270890692+8.8575620602174e-11i,0.0171861613896477+2.5882890203639e-09i,0.0171721396918085-9.76267382772649e-10i,0.0171688393908886+2.55934284705371e-09i,0.0171798694219296-3.68749223662519e-09i
-0.00972924116810735-6.21011377323079e-17i,0.00107647475672063-9.84175217599768e-11i,0.00107605948944555+7.92784035847664e-11i,0.00107770326383135+4.05114408738159e-10i,0.00107589559074905-3.97060420264412e-10i,0.00107795397695353+3.66420386135348e-10i,0.00107789647440942-3.55335254629187e-10i
-0.0345686520608805+5.50821913618392e-15i,-0.0108600540142669+5.1271840362807e-10i,-0.01086016001301-2.33718651375992e-10i,-0.0108649478620321-1.89432931293635e-09i,-0.0108603549070256+4.46401678955193e-10i,-0.0108567594019272-1.34757707803698e-09i,-0.010859765211708+2.51650601372042e-09i
-0.0332119268005736+5.53624591383627e-15i,-0.0114966575819296+1.29732199820527e-10i,-0.0114942436704552+3.95194371869303e-11i,-0.0114946552597887-5.62497222094617e-12i,-0.0114982665189388-1.5456307560509e-10i,-0.0114992712396818+2.69484091027323e-10i,-0.0114944450715029-2.78546631015236e-10i
0.11394593666858+1.61196798442414e-14i,0.0275150987217547-3.25055132202866e-10i,0.0275141792331856+2.3167403801076e-10i,0.0275173649571117+1.85673880876381e-09i,0.027513679845848-6.73192850433371e-10i,0.0275076638353945+1.47142752716483e-09i,0.0275158565574882-2.56158910771701e-09i
0.0213111151115695+2.00762187476518e-14i,0.00679154235478246+2.52191608028728e-10i,0.00679104988889923-7.53764792739308e-11i,0.00679153620604347-9.73469379328439e-10i,0.00679033685977032+8.89493292234215e-11i,0.00678690500000953-4.19329909397486e-10i,0.00679448795192172+1.12703886171947e-09i
0.0506659488594282+8.43168521481658e-15i,0.0102764640479915+5.7222034541207e-10i,0.0102752046948506-1.5539012136415e-10i,0.0102710545572033-2.02218463566138e-09i,0.0102764758097244+5.424471047099e-10i,0.0102810858046643-1.36092119080572e-09i,0.0102779415343455+2.42383018147663e-09i
-0.0663602733111302+6.48423450269995e-15i,-0.0243297262691597+1.71108599283755e-09i,-0.0243313025588892-7.37534680968936e-10i,-0.0243434429578177-7.15707527071312e-09i,-0.0243249310787536+1.95866649267057e-09i,-0.024320646476689-5.24396892435041e-09i,-0.0243316891433749+9.46882766146362e-09i
-0.0581113763063354+9.76273903831453e-15i,-0.0123406251481254+7.34622454900311e-10i,-0.0123390402235134+1.31959342562455e-10i,-0.0123439394353721-3.48998856749317e-09i,-0.0123353938467433+4.46354391061515e-10i,-0.0123373047762348-2.2309527411694e-09i,-0.0123387195552898+4.40800702600522e-09i
-0.0522234856948905-2.75394893537689e-14i,-0.0133898440865247-3.54556418404376e-10i,-0.0133867009079362-3.57860590290242e-10i,-0.0133861742493443+2.49146061339483e-09i,-0.0133977633864935-9.56984953155544e-11i,-0.013378258884935+1.01028217372456e-09i,-0.0133865406618641-2.69363278854173e-09i
0.0321659115590838+2.87682400885897e-15i,0.00924725214089359+3.35668473566301e-10i,0.00924733556756349+2.50965921683532e-10i,0.00924576937051327-2.16304527519779e-09i,0.00925168848486574+2.01703935167401e-10i,0.00924549331994667-1.01116753414405e-09i,0.00924619609476518+2.38587505589406e-09i
-0.0641324191286276+3.00175878822783e-15i,-0.0250633238585513+1.10695534291805e-09i,-0.0250683274429139-5.88731256848347e-10i,-0.0250766570992368-4.86725866404457e-09i,-0.0250593058637826+1.46094281666086e-09i,-0.0250562570057096-3.68983850838821e-09i,-0.025068038321995+6.5779308119352e-09i
0.0494861831946997+8.29079777001863e-15i,0.0159375475324368+3.49430552659109e-11i,0.0159374472399925+2.87110245454924e-10i,0.0159392141234438-7.29586363166878e-10i,0.0159393644698909+2.20871410416484e-10i,0.0159337168269848-3.40410708509615e-10i,0.015938774502277+5.27074078602233e-10i
-0.0378457021047776+7.66225072362277e-15i,-0.0138996600983997+5.69445197285233e-10i,-0.0139024004591467-2.89634389185946e-10i,-0.0139065369113859-1.30781692348525e-09i,-0.013904291426245+8.5457679776647e-10i,-0.0138970535570297-1.33081299899103e-09i,-0.0139001119428983+1.5042437806929e-09i
0.0773852360380029+2.74346454582383e-14i,0.0135536046017264+1.79499293847247e-09i,0.0135528551712269-5.06092478028508e-10i,0.0135366911286795-9.07545574390077e-09i,0.0135657580844123+2.05240760041857e-09i,0.0135517190986053-5.96129752006024e-09i,0.0135475703917196+1.16954508107085e-08i
0.0493929250646296+2.03530188981501e-14i,0.011382198853102+8.89855399747713e-10i,0.0113846880746966-7.00131440301664e-11i,0.0113780588516931-3.93130069985314e-09i,0.0113863525911967+5.78801675913333e-10i,0.0113762162721457-2.16468033234454e-09i,0.0113819086690328+4.69734120730904e-09i
-0.00194820915348915+1.07886528237909e-14i,-0.000421224430092792-2.02714590849406e-10i,-0.000422030944795943+1.85515513244177e-10i,-0.000420590380194961+6.45763515716659e-10i,-0.000419533179638031-4.22444911632684e-10i,-0.000426593290756179+7.04582622239471e-10i,-0.000421926260994555-9.10700012656336e-10i
-0.142693740853275-3.0490680918366e-15i,-0.0369132731453266-2.18596908645137e-10i,-0.0369151930199771+8.0118901365542e-11i,-0.0369156272523374+4.89638973820004e-10i,-0.036914279941654+1.30970240843107e-10i,-0.0369125386378188+5.66216214103371e-11i,-0.0369157069433577-5.38753558939256e-10i
0.102435258468599+4.36961931893456e-15i,0.0269474442444602-2.58436069261968e-10i,0.0269491181892272+2.44019235550753e-10i,0.0269506377460842+1.72490518787537e-09i,0.0269425169963142-8.3622716516556e-10i,0.026944041143934+1.41691111620379e-09i,0.0269493425281402-2.29117136248191e-09i
0.106905909666444-4.29029674524942e-15i,0.0247342207413642-7.31038607634178e-10i,0.0247361416427245+6.70513808108935e-10i,0.0247420636820674+1.47243861217597e-09i,0.0247375393850677-9.3560484498666e-10i,0.0247275190425243+1.47860904511501e-09i,0.0247340066248616-1.95491875839983e-09i
-0.190992829817292-1.68406928546529e-14i,-0.0480114409078602-2.00744188542688e-10i,-0.0480128561859541-4.028636964389e-10i,-0.0480097243734188+2.14054536435441e-09i,-0.0480179070193352-1.00522602201447e-10i,-0.0480044581949093+9.56623693719082e-10i,-0.0480099600537987-2.39304213274192e-09i
-0.0119426213707776-7.767353712661e-15i,-0.00272061104109323-1.06180446912593e-10i,-0.00271909471978777+1.53361780530696e-10i,-0.00271816782241677-1.87804527473272e-10i,-0.0027203593663013-2.74337617172076e-10i,-0.0027202086373492+3.22272027240605e-10i,-0.00271986007832092+9.26872362828945e-11i
-0.00548987483072315-4.97057686946459e-15i,-0.00880603437303945+2.63865395891978e-10i,-0.00880617056599387-1.63084399173813e-10i,-0.00880747298444734-1.31748730509487e-09i,-0.00880394685947728+5.28167284306492e-10i,-0.00879816263540867-1.29117779265434e-09i,-0.00880416050646704+1.97971580052864e-09i
-0.0175966574002856-1.3629154740693e-14i,0.00118453926420185-7.12907179962234e-10i,0.0011860187318067+1.77335999318905e-10i,0.0011914807361432+3.65381500657219e-09i,0.00118065551048577-7.91116699592279e-10i,0.00118382128834745+2.20527299525949e-09i,0.00118519794350991-4.53240286873583e-09i
-0.0816084712106427-3.54052616621572e-15i,-0.0164213879615815+3.02748774037611e-10i,-0.0164216409115808-1.18708477245283e-11i,-0.0164236741316766-1.6622772348065e-09i,-0.0164217831149073+5.448719004099e-10i,-0.0164209785451079-1.14093095619318e-09i,-0.016422707807888+1.96745762143616e-09i
-0.00492634174423384-1.91506228129283e-14i,0.00821875465996991-1.0752757134804e-09i,0.00821978263083823+3.13832851881816e-11i,0.00822777876577502+4.99326334192436e-09i,0.00821153499638922-1.00167678251637e-09i,0.00821633154424201+3.46000886073232e-09i,0.00821956562600734-6.40770679151738e-09i
-0.0247364448963575+1.72094270727185e-15i,-0.00456978107631464+4.42663088920318e-10i,-0.00456899508672652-1.58864291242338e-10i,-0.00457188705313898-2.37608697503485e-09i,-0.00456857793932508+8.25789619936482e-10i,-0.00456467603981795-1.80221251298078e-09i,-0.0045672584791186+3.06871139847908e-09i
-0.0991114659455051+1.09394652678667e-14i,-0.0208679024196661+5.60911005657536e-11i,-0.0208676804724507+1.91130411531708e-10i,-0.0208688311598865-1.09883683525751e-09i,-0.0208656307852609+2.06149507925375e-10i,-0.0208720936082329-4.96060041125705e-10i,-0.0208681506260215+1.14152798056127e-09i
-0.18759901155142+4.80942918099726e-15i,-0.0454133316706851-4.25531110335027e-11i,-0.0454155330863769+7.3767074614049e-11i,-0.0454151676674798-9.91386267139708e-10i,-0.0454087260642959+5.03760172000012e-10i,-0.0454159780137205-6.6820796130594e-10i,-0.0454156155027183+1.12462089417877e-09i
0.171364650773816-2.17924751586687e-14i,0.0443018314721342-1.37780826595766e-09i,0.0443011720254459+3.39127171405216e-10i,0.0443152529492176+7.26853306575511e-09i,0.0442914229284392-1.39918395236321e-09i,0.0443043362707939+4.36184596732157e-09i,0.0443068393162962-9.1925182278842e-09i
0.0922390469478133+7.38446601041928e-15i,0.0168886683185797+7.33193757309875e-10i,0.0168841739177126-9.15267922672602e-11i,0.0168801164902661-3.89196705920444e-09i,0.0168950020439229+1.21665144873283e-09i,0.016889438656028-3.04519765332813e-09i,0.0168839982315081+5.0788478551762e-09i
-0.0957126819582178-5.84630309690434e-15i,-0.0223978708527846-7.89148233382115e-10i,-0.0223977167307868+3.11093556368223e-10i,-0.0223905419148408+2.66197483038732e-09i,-0.0223968921512146-8.81790606872569e-10i,-0.0224027159387244+2.10033900775397e-09i,-0.0223977572533154-3.40246978078282e-09i
0.0547283980596752+7.35303790914189e-15i,0.0147614960194434+4.02780524862046e-12i,0.0147590806863162+2.3254164586905e-10i,0.0147607047028625-4.72274799656691e-10i,0.0147637433178762+9.05809888759515e-11i,0.0147561889972985-1.22129264864164e-10i,0.0147594398930164+2.67255143045817e-10i
-0.0364520097394137-2.37855656212733e-14i,-0.0115942729553471-3.79991498993229e-10i,-0.0115920306626945-2.7689740590811e-10i,-0.01159326683334+2.63890325382708e-09i,-0.0116016383864551-5.14277273541357e-10i,-0.01159133253669+1.69480354478699e-09i,-0.0115966606233093-3.16254541241103e-09i
-0.0794146651838607+8.21994218934395e-15i,-0.0161068183048823+6.34377551238993e-10i,-0.0161076593272679-1.01382861890909e-12i,-0.016113305354309-4.93531233121839e-09i,-0.0160948509841194+1.1496049487541e-09i,-0.0161073086970668-3.18979026313193e-09i,-0.0161105663916752+6.3421355735009e-09i
0.0561524865323883-2.47709569559103e-14i,0.0130884358270672-1.58163207377133e-09i,0.0130924945624656+3.57000787295207e-10i,0.0131040577299353+8.084855048258e-09i,0.0130777648345167-2.13211059731372e-09i,0.0130912448364888+5.57905227831858e-09i,0.0130950763203939-1.0307170407226e-08i
0.0553590948244822+2.0614938761029e-14i,0.019168776411953+4.17780728270127e-10i,0.0191696829559631+4.02739707925815e-11i,0.0191695439895103-1.46845200492187e-09i,0.0191701585158937+3.21807236484392e-10i,0.0191629918827813-8.90461668846202e-10i,0.0191714799804101+1.57905592274644e-09i
