-0.0013692433568897+3.34650289392079e-07i,0.0166941042855906-1.32189436784177e-05i,0.0416139357803843-4.59582645672877e-06i,-0.0130571880890797-1.25707911529337e-05i,-0.00416420036886424+1.54790079430699e-05i,0.00580160838789645-2.70796030913855e-08i,0.0183431999358528+2.18095978508617e-05i
0.00974913955577005+2.55584730468744e-06i,-0.0320489004212637-3.3674697447169e-06i,0.00701024889462512-2.73764037774607e-06i,-0.0460899331926464-2.93106056412111e-06i,-0.0340898571247334+7.34478790912831e-06i,-0.0113934734097803-6.58691543804948e-06i,-0.0233633081339423+1.3103532775177e-05i
0.0106604284976764+3.88394291195639e-06i,0.0109898471067655-1.32166152799334e-05i,0.0123453277687319-3.44457194518101e-06i,-0.0248684133385952-3.17288630032519e-05i,0.0422909852829986+1.37663774232419e-05i,-0.0470929929128182-5.50473764531183e-06i,0.00709501570592064+3.82655713005404e-05i
0.000367481622085466+1.69576330871716e-06i,0.0333105253338395+7.08416984889244e-06i,0.0100332060432313-6.56306346075317e-06i,-0.0222870080661737-5.32132322188315e-05i,0.0669724679737062+1.95760991174376e-06i,-0.00934764826711578-1.36228690721478e-05i,0.0178378097315603+4.230070528674e-05i
0.0116661634528928-1.95662977126975e-06i,0.0134178235494193+4.08928986516721e-06i,-0.0182160128644435-3.00627877480446e-06i,0.0329974676869179-1.15369979406713e-05i,-0.0507895732834894+3.33288267623662e-06i,-0.014088912110933+5.09273692870277e-06i,0.0413871870762477-1.3210536683871e-05i
-0.0157200027729777-1.01323672182921e-06i,0.00329525614076897-2.38446408406247e-06i,-0.000495017853888364-1.3784198003327e-06i,0.0154369388271091+2.06901307991576e-05i,0.0486540367098308-5.96845504916661e-06i,0.0384192542447975+2.72022277491046e-06i,-0.00600387039023446-5.60472166043898e-06i
-0.0148939220634108-2.35657720629898e-06i,0.0187609838550656+7.65119111243344e-06i,-0.000376100920139966+3.02134037914812e-06i,0.0106571588777774+4.20199546791728e-05i,-0.00869465448674587-1.43280238821627e-05i,0.0506380901233524+6.22530913340469e-06i,-0.033750750140619-2.86898194133333e-05i
0.00150285847421041+1.05899203182185e-06i,0.0383116353180434-1.09369229679547e-05i,-0.0667624454588569+1.3505087284705e-06i,-0.045726970196357-6.15384347230187e-05i,-0.0143841835103294+1.88344519409344e-05i,0.0278672219061288-1.3891139956028e-05i,0.050645925170902+4.01832410366488e-05i
-0.00151106949009986-2.12397735687378e-06i,0.0193290727654307-3.46088431458672e-06i,0.0311569835903445-8.32326116902169e-07i,0.0467769699640657+2.84450885338204e-05i,-0.0453029976668445+4.38798318118175e-06i,0.00726256611967009+1.23210085364073e-05i,0.027348414568401-2.87706126624084e-05i
-0.0140175345082839-1.36672281819915e-06i,-0.00879657423114584+1.35276963318739e-07i,-0.0711755431807303+3.04532107834047e-06i,-0.0047762514373401+4.34486869831667e-05i,-0.0016813534169408-1.45151168290423e-05i,0.0494916270983199+7.18730453421835e-06i,-0.0461147203247968-2.19975668925662e-05i
