-0.0357102268381404-4.25430467699029e-07i,0.0424286736686417+3.54327920904819e-06i,0.0102475568320592-3.00683660641958e-06i,-0.0223792151607566+1.32815571600377e-05i,-0.0212908755553433-5.8489906935635e-06i,0.0376049050862202-3.39938195072533e-06i,-0.0254178222593785-5.64984190365586e-06i
-0.0233625432185201+2.8564988189636e-06i,0.0162528979669671+3.44500408131575e-07i,0.0386745001482084-6.3937339234658e-06i,-0.0129852931523738-1.05846852753385e-05i,-0.0154110221372582+4.03376552941718e-06i,0.001287168679011-1.38304522724927e-06i,0.00493374441578826+1.85791428061383e-05i
0.0423181001488142+7.81583788224273e-07i,-0.0243960939144881-5.67232719320244e-07i,0.0285393194456495-5.08510378121107e-06i,-0.0298136815191835+3.26048693239966e-06i,-0.025986984590604-2.20223948385526e-06i,-0.00598780051010842-2.04762726394463e-06i,-0.0289735459291048+8.46359800981445e-06i
0.0298602776890243+1.62651925208028e-06i,0.015830729909645+3.66448477472962e-07i,0.0108951589750638-3.80437073580658e-06i,-0.0312461326395576-4.74479600723692e-05i,0.0406294244083353+1.61673284139906e-05i,-0.0548812994264435-9.46373273956234e-06i,0.00752784297288047+4.58743055474497e-05i
-0.00510919634234116-1.46267051825057e-06i,0.0741785832686282+7.52278978579047e-06i,0.00586333187256073+6.55334574612192e-06i,-0.050829147983964-6.54229470939985e-05i,0.0441819328172671+2.13452717980604e-05i,-0.0323129630349345-1.81507659157407e-05i,0.0263874267357862+4.39121207991738e-05i
0.0344847662740591-3.41369707287453e-06i,-0.0248046176385135-3.95654258031316e-06i,-0.0139402220413524+6.65334947315487e-06i,0.0173169800519457+5.32648516292589e-06i,-0.0684727157717579+4.57391651186672e-06i,0.00205003291135879+8.21363378668972e-06i,0.0388497311069504-2.49849265953115e-05i
-0.0275377238294479-2.54571876814992e-07i,0.0251227947531973-2.0346973054977e-06i,-0.028119361644103+3.72808349440032e-06i,0.0298887649319939+1.28203703445246e-05i,0.0525688462244574-8.64908810124417e-06i,0.0350920912996227+8.95126877474055e-07i,-0.00154225266857216-7.35250717284954e-06i
-0.047528323565661-9.37511987120693e-07i,0.00142078925446437-9.04309069549356e-07i,0.0156035715320351-9.32280166425879e-07i,0.0198984974489031+4.48955339586387e-05i,9.46422828316827e-05-1.82750305670189e-05i,0.0619411976669354+3.87175568651041e-06i,-0.0292919638401612-2.89629707778094e-05i
-0.0146615211174548-1.57016496981673e-07i,0.00273447357883042+1.2369858695905e-06i,-0.0481916423281583-9.02008351672234e-07i,-0.0558222129242318-6.47062138014454e-05i,-0.0291066902004946+2.90408341555207e-05i,0.0237974232227775-1.42225040293496e-05i,0.0738555014215781+4.85992112889263e-05i
0.0122404356728114+1.03409377461167e-06i,0.0156217638133854-1.80724589776834e-06i,0.0499633185621488-4.54893239298892e-06i,0.0396835428810217+4.36760405631724e-05i,-0.0638199454761611-1.32478895564797e-05i,0.0172132934737019+1.49711509744145e-05i,-0.00862297494849831-3.58150983810959e-05i
