0.00537885292640004-4.34325650719229e-07i,-0.07991256985526-3.38636654538299e-06i,-0.0143219729799613+5.10763607708467e-06i,0.0294169727018122-4.9413273195192e-06i,0.00197640902116371+3.78831177743151e-07i,-0.0245937905263018+5.05276422510015e-06i,0.0285888051381061+2.77031383847348e-06i
-0.0094711701015299-1.7378247463478e-06i,-0.0443724560667977+1.08034918175278e-07i,-0.0443966374159028+7.05855313836522e-06i,0.0136703506078227+6.77010925555772e-06i,0.0273097207442042+5.37818369096834e-06i,0.00089720023876724+1.04154716236346e-06i,0.00309629457595351-2.17194893455289e-05i
0.0118398572458022-2.92549823953e-06i,0.0339733647543595+1.20559963125317e-06i,-0.0174597523289382+5.75197804569555e-06i,0.0458814605125061+9.05842506102083e-07i,0.0330031251546133+5.59510502011879e-06i,0.000259626238177268+6.92970053097599e-06i,0.049276924969689-2.46512076740645e-05i
0.00182012002458191+2.27185680090813e-08i,-0.0233702882446663+4.11037229811336e-07i,0.00299072789741551+2.64610604140238e-06i,0.00884382114188704+2.00165692306428e-05i,0.022109450901405+2.28013065725045e-06i,0.0348301876633279+3.09119756870631e-06i,0.00450880509039978-3.07801719681309e-05i
0.0029955066774974+9.883086131422e-06i,-0.137153818164038-4.64080695566725e-06i,-0.0125260391371453-1.74375850323128e-05i,0.0174809126594017+3.65497639444393e-05i,0.0393944671186428-1.18990074580541e-05i,0.0393967098089617+3.8687498598622e-06i,-0.0425311854127699-5.30949652031655e-06i
-0.0168834720307447+9.44454572664789e-06i,0.0550293364113522+7.52630353328304e-06i,0.0160690948273769-1.32602784521724e-05i,0.0341432657844601+2.74104309885214e-05i,0.0544499946184857-2.46328658971359e-05i,0.0103377217264457+4.17942960271367e-06i,-0.0591398479184357-2.85525731940324e-06i
0.0105794964546265-5.22004767180941e-06i,-0.0357489946840165+2.27287133594671e-06i,0.0260757866999239-6.05870726834175e-06i,-0.0792756445538237-2.48939995714484e-05i,-0.0655086379168812+1.25797642244324e-05i,-0.0212701201955596-1.17384111912322e-05i,-0.0108551390158888+3.39103843395484e-05i
0.0114779045665617-5.56149614866699e-06i,0.000848474175812785+1.39599463789095e-06i,-0.0455802654490785+3.4961966218242e-06i,-0.0390324439476216-3.66583404977569e-05i,-0.0450828175157815+7.42988101470117e-06i,-0.0409345737443138-6.08768452054895e-06i,0.0134172252495917+3.58234748655684e-05i
-0.0263861110222293+1.27815528651675e-05i,0.0153671607198371+4.01653431558524e-06i,0.0470936068485127+1.80737006422403e-06i,0.101388691789264+8.88736102596951e-05i,0.0431677695971284-3.22134451919008e-05i,-0.0421654444836445+2.55269278271863e-05i,-0.0978595020257898-9.04586928991829e-05i
-0.00209453026341015-3.29520966537097e-06i,-0.041107692349325-7.04112641875779e-07i,-0.0802550744659753+6.37891326976532e-06i,-0.0190949616739029-2.22272508460363e-05i,0.0417120068389702+6.97108820686511e-06i,0.0288126982102284-1.13789390558496e-05i,0.0177780924775073+2.12384831763845e-05i
0.00841906469192645-1.22897126744682e-05i,0.107923790034101+2.90929743852248e-06i,0.0566298801722859+4.11376293141714e-06i,-0.0420651543759258-5.91863550617441e-05i,-0.110885828147709+2.06294236577058e-05i,-0.0982370962286147-3.44083614764877e-07i,0.0619538051467135+3.34030972067814e-05i
-0.00225020114891654+1.0608121312893e-05i,0.089196699539189-2.84528284899336e-06i,0.0694943300000454-7.12293807193764e-06i,0.0601905944722788+2.63729217811403e-05i,0.0272275246797978-2.37359278041798e-05i,0.036921125671021+1.2424708254189e-05i,-0.00404489951193203-1.15362909575627e-05i
0.00411450322734466-3.37564727622264e-06i,0.0648965192237959+7.96404228537555e-06i,0.0159782798940216+2.11261723296211e-06i,-0.0292138082180305-2.24457730449989e-05i,-0.0295629190817185+3.94278886061851e-06i,-0.000894316140853204-7.11276464782352e-06i,0.0078973416615176+1.48690703982981e-05i
0.0165951052685187-1.15843230644516e-05i,0.108614678134657+2.95420254000658e-06i,0.0015725125196678+5.20798323306226e-06i,-0.0663961134599545-3.33051694024367e-05i,-0.106558601788267+2.2418496784256e-05i,-0.0822414640826897-1.62305707372076e-06i,0.00168418127584713+3.87263789877864e-06i
0.0164237946109177-4.21024649027139e-06i,-0.0366833847099258-2.31676684342454e-06i,0.014945564071836+6.2322329643718e-06i,-0.0077397233420865-5.76151111121314e-06i,-0.0255595269814874+1.31119016271343e-05i,-0.00609277240222233-5.82507112019666e-07i,0.0308034517633658-8.81610231166388e-06i
0.0198089565208742-6.02977586448495e-06i,-0.030924022558266+5.53376287190793e-06i,-0.0657022223572686+3.38512108670116e-06i,-0.0970210731808968-1.64943928854258e-05i,-0.0191317709966651+1.16276000642083e-05i,0.0285503500084535-1.6954774963784e-05i,-0.0303245055470541+1.474252759951e-05i
0.0188401877121723+9.87622571430148e-07i,-0.0304797526056042+4.30415816477402e-07i,-0.0117223502068763-7.27753022984335e-06i,-0.0432742700952227-1.26152283027284e-05i,0.0316630965248202-1.85696350421162e-06i,0.098926612546707-1.5259305166463e-05i,0.0179240039453922+3.75724016955486e-05i
-0.0102329131454867-6.0680867695289e-09i,-0.0334932893654571-7.14084865303524e-06i,-0.0270554573842985+2.52485347492158e-06i,-0.0684102713489309-1.13269543676063e-05i,-0.0378945293437778+2.46755609522548e-06i,0.0115992369254619-7.30636308788652e-06i,-0.034818700393811+2.0077068731205e-05i
-0.00315990949754905+7.40713760666028e-06i,-0.0104087185892889-1.04631928045359e-05i,-0.0233553983332684+5.93755624973805e-07i,0.0739142403496679+1.46014713409359e-05i,0.0362302358896258-1.44802135324219e-05i,0.0204944835568115+1.28526287739703e-05i,0.0244677258995373-4.54037412828394e-06i
-0.00815770588353018+5.76035693396779e-06i,-0.00823641074779647-8.17869520432647e-07i,0.0558442455481848-5.86199352719112e-06i,0.0747246072897714+2.81631412374686e-05i,0.0217810842603322-1.08656617519569e-05i,-0.0109647905979867+1.43765538810329e-05i,0.0101538746800633-2.55607073542032e-05i
-0.00186207044899139+2.43833051406798e-06i,0.0770349011343884+3.86365631609563e-08i,-0.0482642164348354-1.46572079979114e-05i,-0.0801938843368301-4.76398031251173e-05i,-0.0540606146494715-6.37248249139465e-06i,0.0162772478789907-1.13736480330164e-05i,-0.0188723698614642+7.54731717007936e-05i
-0.00488333452436338+5.52075026788279e-07i,-0.0426542223634783+3.42787412325143e-06i,0.0475136193703498+6.25154823252945e-06i,0.0043189108316045+2.66118879933251e-05i,0.000125297431765624-2.63321549508755e-06i,-0.00429750926758621+1.68569916586262e-06i,-0.0286527258939431-3.19238486648399e-05i
-0.0151929584055421+7.59058416688801e-06i,0.000446361566852079-3.06802809437316e-06i,0.0328124457704164-2.15012908500795e-06i,0.072514494982211+3.59835064141478e-05i,0.0588715238627566-1.4949315938988e-05i,0.0145294087570159+1.01911764327368e-05i,-0.0109042189138026-2.74860058358556e-05i
0.0136041542024086-4.92875700427113e-06i,-0.00551977319709636+1.26496299967027e-06i,-0.115594784137406+1.95739410977857e-05i,-0.0484029312517961-2.90733492309169e-06i,0.00390588270779832+6.26890820585981e-06i,0.025362697402777-9.14945798765159e-06i,-0.0238947505768314-1.57778723514511e-05i
