0.0236503170123985+2.60469913013732e-06i,-0.00738422825083126-3.9631697453241e-06i,0.0120473105313555+5.26185046003139e-07i,0.0287227323481974+3.34173560968723e-05i,0.0245359942081631-1.30072938956077e-05i,-0.0645228778282264+3.29085190773502e-05i,0.00176800046883416-3.01440151515057e-05i
-0.0257086318891483-2.52190504169904e-06i,-0.004064953817162+4.87976873018748e-06i,0.0101378900363944-1.71707036540202e-05i,-0.0408692480148983-5.34257757012524e-05i,0.0215470759908226+2.25463703445292e-05i,0.0175314938143315-3.49498587467925e-05i,0.00130444558729235+5.71476630043724e-05i
-0.011418264404184-1.4726063429754e-05i,0.0349085958787609-1.21374518637881e-05i,0.00809865680220595+5.13512242909442e-07i,-0.0832177047944853-3.90849012766958e-05i,-0.00794076311730791+8.62034119038716e-06i,-0.0014945151314882+3.54075501746502e-06i,0.0425855107738177+1.73026357809655e-05i
0.0295932789171521+1.03979706222861e-05i,-0.00804982009271592+3.24834955999152e-06i,0.0624859117397578+1.8292204757067e-05i,0.0676886102527634+6.79333423248285e-05i,0.0125025384064965-6.39294204450294e-06i,-0.042268858879298+2.71843599783373e-05i,-0.0263684645237403-7.12455101139691e-05i
0.00122781807903393-5.15376856961052e-06i,0.0263588545816887-5.53179415157671e-06i,-0.00475540433490606+8.6107804883178e-06i,-0.000286279596271457+1.8684405670047e-05i,0.0081857939289328+4.20401308492665e-06i,-0.018568883638481+1.23870758108329e-05i,-0.0023143125355807-3.06562479850193e-05i
0.0029588007958472+4.03401205742627e-06i,0.0571376635728144+4.9325319396144e-06i,-0.0109803763569249+4.95256036175091e-06i,0.00651101971015182+2.80119444587001e-05i,-0.0410586172054641-5.90372444873588e-06i,-0.0132017784395532+5.5662319575367e-06i,-0.0420234415976684-2.53654526292371e-05i
0.00202717056798072-3.92090489283403e-06i,0.013690283006646-2.06259517977042e-06i,-0.000969346289766651+4.30098875375994e-06i,-0.00707740999709533-2.96642485740381e-05i,-0.00371020110616633+3.96532233164475e-06i,0.00282632977221675+7.4420246469161e-08i,0.0485425084292854+9.39078439719098e-06i
0.0107506296051305-9.56854794640879e-07i,8.90659298236822e-05+2.74467435562802e-06i,-0.00617134867604967+7.61555758684661e-06i,0.0192606108100475-5.96596725233973e-06i,0.0159841023333486+4.63728417112099e-06i,-0.0170582778930309+3.41826335012877e-06i,0.027759457408705-1.65925505262056e-05i
0.00389114104131218-7.35747271099136e-06i,-0.023293164848623-7.43744574479272e-06i,-0.00147117741613055+8.97267068244978e-06i,0.0158245471379022-1.87789142414569e-05i,0.034901087217234+2.81968824284404e-06i,0.0121348299029233+9.71846348005782e-06i,0.0675825917678125-4.061561874577e-06i
-0.00269466511713918-1.20689995765565e-06i,0.0467140896022089+5.41038349381031e-06i,-0.0428159113871472+9.00132784392532e-06i,0.0287074712560462+2.85560970263561e-05i,0.0040622539466368-4.28115711036391e-06i,-0.0147803904071218+1.23406195365869e-05i,-0.0219713135919279-4.29862703636004e-05i
