-0.00945006382736296+3.58463611021336e-06i,0.11445900274724-9.26276696610125e-07i,0.00100197521618769-1.06907895490886e-05i,-0.00710478993140431-1.01526861488072e-06i,0.00125555918857237-3.28903681442344e-06i,-0.00636237376258087+5.00714334671731e-06i,-0.0278400598591176+1.52563087219395e-07i
-0.00518437836670312-7.55140221489897e-06i,0.11037923169796+4.46277175499632e-06i,-0.0415302104268954+1.00237610974993e-05i,0.0367822690660765+7.00874899226031e-06i,0.00838953776625889+5.05210480699369e-06i,-0.046254344713941+1.47702060386783e-05i,0.00969159076671179-3.28400800271094e-05i
0.00547406894650385-6.55937226147901e-06i,-0.00387671730047031-7.27776627085891e-06i,-0.0164696161991495-8.61335701352906e-08i,-0.0362954759306849-8.84828229067973e-06i,-0.0129310207713564+1.6435609510016e-05i,-0.00535003385224623-2.9926047782005e-06i,0.00524861333255846+1.09872156640868e-05i
0.029208778111125-9.88013512993135e-07i,-0.0323486111558378-6.4074573872375e-06i,0.0692539796597119+5.58651470195302e-06i,0.058087170091439+2.03568144505328e-05i,0.0198245545669759+6.71435093482907e-06i,-0.0209896246662047+1.11536034578912e-05i,0.0366722614881792-3.11926528917351e-05i
-0.0163798409786284-1.65866513805007e-06i,0.0184932851156098-2.43625824935516e-06i,-0.0133693354671065+9.79951141401594e-07i,-0.0365173228797635+1.41126617163489e-05i,-0.00676949796044907+1.75960316249419e-06i,-0.00376006514365435-2.71820961175759e-06i,-0.0428258494313801-5.81313905354513e-06i
0.00512103674821474+1.50799210719911e-05i,-0.0656473027125004+1.88614320886151e-06i,0.0209202336602938-1.88692956198533e-05i,0.047270546350074+3.08953769014856e-05i,0.0672520226118187-2.03776599193167e-05i,0.0379312871597625+1.80712681554638e-06i,-0.0238371357561149-1.01766854698175e-05i
0.026669296433095-3.27988177042496e-06i,-0.0394339806764566+3.98216959400454e-06i,-0.0752423830243543+1.01447732298973e-05i,0.0109786668515384-1.82921940292388e-05i,-0.0291956911715079-4.25072563914547e-07i,-0.0225756643075016+5.62552067272636e-06i,0.0385035766152755+3.17012664681596e-06i
0.00856878882698073+6.976583832327e-07i,-0.0111221725196499-3.92695766273867e-06i,-0.0794453058729656+2.3552712823771e-06i,-0.0255642099270451+9.12330279933185e-07i,0.0115925471375919-3.11208324267178e-06i,0.0342291054219947-6.65574008754998e-07i,-0.0139084810735362+6.4538608472547e-06i
0.00573460679545265+6.58525978554779e-06i,-0.0372726239710978+5.51171208062655e-06i,0.0175087844862837-3.38164026325998e-06i,-0.0133343081038239-9.7158434162084e-06i,-0.00564057295267407-1.35306711768237e-05i,0.0409616922814823-1.32140687581868e-05i,0.000157652098383205+2.42034599572201e-05i
0.0195894397372165-1.28392181795198e-06i,0.00849080929241802+2.23222330375261e-06i,0.0401815658304216-6.26673144052091e-06i,0.0382480564732936-7.86889091145431e-06i,0.0435347731330737+3.04769333920691e-06i,0.0224216668834749+3.30086551899221e-06i,0.0564728925337669+6.1418472498815e-06i
-0.00990748013759158+3.84351615932163e-06i,-0.0824620404863999+7.40934730435725e-06i,-0.0524567251511048-1.35813666021593e-05i,-0.0312369752584508-1.03655052939392e-05i,0.0198947027711244+1.25087297556909e-06i,0.0153966595759765-1.29439325241751e-05i,-0.0287534210622726+2.07398357959039e-05i
0.00633014240291915-1.96783744179255e-05i,0.000100594319320661-2.54234255812009e-06i,-0.021789230258955+1.08616369375124e-05i,-0.0827912502892356-1.97962828682989e-05i,-0.0545270667757975+3.30528594118269e-05i,-0.00600942375753385-4.79842243200245e-06i,0.0194798802382249+1.19499771661861e-05i
0.00608116677770725-1.63465072043316e-06i,0.0391893699561776-9.49239196425455e-06i,0.0874421277634021+1.23557827426766e-05i,0.0551984264094423+3.89129971489848e-05i,0.0435983954427651+2.89436217909211e-06i,0.039459831625114+6.88064920904319e-06i,0.0268956358730384-4.37598392619981e-05i
-0.00396758929740949-8.3284542748557e-06i,0.035209340235173-4.81964845620781e-06i,-0.007613508900088+4.29321703320776e-06i,0.00224561082886296+1.22633700714275e-05i,0.00090331075912982+1.83919729965107e-05i,-0.0106923343353539+8.28792783832768e-06i,0.00451609714418354-2.49498045322316e-05i
-0.00463789942384964+1.82990807146639e-06i,0.136495367020371+3.65160511530204e-06i,0.0409201166303748+1.59593959104255e-06i,0.0176560642415481+1.69058998617736e-05i,-0.0305458544157213-8.66725724126823e-06i,-0.0516675409931406+1.22633022528355e-05i,-0.0351987793221627-3.03986150918099e-05i
-0.00545003625894725-8.8824096380742e-06i,0.00055743496385513-2.07788474613106e-06i,-0.0184713427862814+9.63955990680336e-06i,-0.0264486579218104-2.09163385237982e-05i,-0.010579494413502+1.29124896988723e-05i,0.00667708755688892-6.29059526359732e-06i,0.0311207025004294+1.56243170536844e-05i
0.00357633301685787-1.14558477038478e-05i,-0.00830110810842142-3.99188862217733e-06i,-0.0211426567417164+9.36501410794295e-06i,-0.00317402929619093+1.46310351877445e-07i,0.0258910849923117+2.033706507461e-05i,0.0313715009007005-2.29090885259139e-06i,0.0504672820220966-5.80432692661187e-06i
-0.0168200963592758-1.1059658216749e-05i,-0.0524257432735936-4.77080470463892e-06i,-0.0235761363264821+1.42343317475726e-05i,-0.0119157706411809-4.82979684186046e-06i,0.0101638730239601+1.92324896547527e-05i,0.00175071896192435-3.25477335052657e-06i,0.0265902970808307-1.7575101040113e-06i
-0.0223789226933126-1.94488983754798e-06i,0.118105702199036-1.76842962260514e-06i,-0.00508155208567224-8.92786276170294e-07i,0.0200942539361922+2.77767409542453e-05i,-0.00169359217520487+2.01275269453757e-06i,-0.0456225389633391+1.84173523514583e-05i,-0.0400536993454807-4.26129089965659e-05i
-0.0115745619170345+3.27249357792559e-06i,0.0250705600143839+2.80717378824374e-06i,0.023126158470316-6.22397300823701e-06i,0.0124026286464627-2.25265000291346e-06i,0.027668118509225-4.9363545555175e-06i,0.0375278889098092-5.0138542427781e-07i,0.0131441642591491+6.78131972608911e-06i
0.0101760003873163-1.91776274535124e-06i,0.0468525909845812+3.7262772865576e-06i,0.0767750408034861+1.10540935856808e-05i,0.0284727392147137+2.45533133531596e-06i,0.00561872801892942-7.23033135626482e-06i,0.051622882639243-4.59730720062161e-06i,0.0610365156448763-3.33161033865357e-08i
-0.0337165680490311+3.10202712182584e-07i,-0.0276904518816068-2.88587946676001e-06i,0.0296059972782087-6.60766505444007e-06i,-0.0603254140838474+1.92154683185489e-05i,-0.0324471859021863+4.27739543899555e-06i,-0.0406978604115728-6.82508105784101e-06i,-0.0875475457394053-3.98071076881307e-06i
0.0188285258626057-7.23810769307441e-06i,-0.0560580985629511-1.45394197146e-05i,0.0207020876667788+3.22075058021182e-06i,-0.0129117149173975+8.29791912439895e-06i,-0.0332558351508153+1.82850047458801e-05i,-0.0489741130946358+1.31561270282881e-05i,0.00940210989467346-1.1575075269864e-05i
0.0072256812739408-7.18828018851762e-06i,0.0120645122001591-4.71596927625455e-06i,0.0603590576929439+1.07529119230067e-05i,-0.0163388125530562+3.99394426313678e-06i,0.00342936663382475+9.71987086059294e-06i,0.0500444016783509-4.72209926665668e-06i,0.0313957288794496-4.64079833912509e-07i
0.0124409635294879-2.35826879278966e-06i,-0.090292580427989-8.47112169147443e-07i,0.00481728503128521-1.06418254024789e-06i,-0.0404062925645515-9.19293972966321e-06i,-0.0095908274835905+6.40237892514218e-06i,0.0192375562605311-1.35744838903789e-05i,0.00682215901434328+2.34625079046171e-05i
0.0269667032276894-8.49188120160239e-06i,-0.0516023386531339+4.41442824902936e-06i,-0.0679071956321921+1.46525250953705e-05i,0.0297830575740811-2.49757543745607e-05i,0.0259161883460537+8.77964322745483e-06i,0.0149161040648504-2.34068130137197e-06i,0.0813525942148934+8.49287623859365e-06i
-0.0048137441855947-9.17761052297719e-06i,0.0764765914192147-6.49618310921671e-06i,0.0184483484948376+6.782983968302e-06i,0.0160135391209568-1.84945201919063e-05i,-0.0402066852420192+1.36178699235772e-05i,-0.0305668994074832+1.3578910520573e-05i,0.0610043579343519-5.75263109853115e-07i
-0.0201043676529212+6.53010797961916e-06i,0.0561534672321559+9.54479899364202e-06i,0.00747318756818569-1.16145607508296e-05i,-0.0148259395149059-1.12645158284622e-06i,-0.0108467277372407-1.3472807288498e-05i,-0.00970706499558174-4.49695253915406e-06i,-0.0568163493187486+6.48055690478005e-06i
