-0.191915228523273-4.53369225746842e-06i,-0.0733188510724218+2.65211651922151e-06i,-0.0699965740205631+8.04944270743981e-06i,-0.0602962203075924-3.10726872638052e-05i,-0.0312515917715417+1.98969293163175e-05i,-0.0643961675901473-3.84376378554037e-08i,-0.00106153918863746-1.39757540530458e-06i
-0.0160462350564745+1.00137005093292e-06i,-0.0493591949207569-6.37457108410639e-06i,-0.0079208171423023-3.86157379111772e-06i,0.0265014526507178+3.2582857093364e-05i,0.0100048721548265-1.28176094001976e-05i,0.00955817778456305+6.29047214414871e-06i,-0.0204401945460015-1.54294798348859e-05i
0.0138285005714554+5.46400081367795e-06i,-0.0701771024099616-5.78758733797867e-06i,0.010018699236471-8.84871859754331e-06i,0.0516631332814616+4.54836395076346e-05i,0.066667521766515-2.57300488382842e-05i,0.057967272467997+7.21870599932053e-07i,-0.0207276875310002-3.56378235767712e-06i
-0.0441603316172689+3.87748898956298e-07i,0.0275298590748114+3.36768281281259e-07i,-0.00977210329328082-4.34286051311449e-06i,-0.00650516034682954+6.3455988174736e-06i,0.0124600723958387-6.33465784122749e-06i,-0.00526652436004388-1.33123525559527e-06i,-0.0321131284085176+5.49157862327591e-06i
0.188073116729344+2.52409227092618e-06i,0.0334578323686334-5.75572370144746e-06i,0.0427412916593572-4.02224933743393e-06i,0.0430299053633328-9.42100354466618e-06i,0.0409525528128026+2.39628405985847e-06i,0.000863909417121524-1.95632666692426e-07i,0.0349283030044878+1.80601945844582e-05i
0.0410107905239314-3.2494916321071e-06i,0.0134658765571517-3.06209117348111e-06i,0.000197314293602691+9.82768075910334e-06i,0.00297157708156049-2.645789456709e-07i,-0.0119173128605124+3.99044366990138e-06i,-0.0586932875547578+6.97859535288238e-06i,-0.0147981812257825-1.88519391737914e-05i
0.21084511484145-8.49344861296551e-09i,0.0282491648265127+7.10015643724407e-06i,0.0224502556682347-5.49798922318788e-06i,0.0429494686768377-3.41064164992231e-05i,0.0622913144875441+1.30708677496646e-05i,0.00497561937342975-3.06647162681987e-06i,0.0784946834313149+2.24719998258917e-05i
-0.0993648887155665-3.42778539236543e-06i,-0.013719181532729+6.76929610488049e-06i,0.0610333098049325+1.71602426408734e-07i,-0.0723179528582117-1.98929791192464e-05i,-0.0304752009410971+1.48079411340343e-05i,-0.0438438973096692-5.49486645693373e-06i,-0.0261998917148242+2.20048499058854e-06i
-0.144844156355128-2.84748342865933e-06i,0.001806491977357+2.69546298278347e-06i,-0.0592180195019272+9.34217645709364e-06i,-0.0427576444465841-1.97198259473861e-05i,-0.025460565866671+8.45647624859417e-06i,-0.0173042685167383-2.17208087501906e-06i,-0.00710874788825597+1.92173374688345e-07i
0.15641436313271-3.12942044845011e-06i,-0.0548389212686135-2.63080001187421e-06i,0.0692401406178329+1.31248192053014e-05i,0.040877953066993+1.05235078026813e-05i,0.0570509558419612+3.15201017703307e-06i,0.000589372437925644+6.24420352236248e-06i,0.033404552314275-3.17386977502357e-05i
