0.0180880121518534+1.50183496759059e-06i,-0.0965684776029072-3.07073398457488e-07i,0.0133494136310613-1.24714066305912e-07i,-0.0227935656773868-4.74847363531637e-06i,0.0306958275991747+3.33252902616937e-06i,0.0179462715856373-5.75832834131811e-06i,-0.0071081550832081+1.45762639754482e-05i
-0.0354166133846175+9.42946315628887e-07i,0.0148515218500724-8.85872225961212e-06i,-0.0516939060526595-8.63367632233853e-07i,-0.0221735994040899-6.14130444527096e-07i,0.0494365153606327+5.4564973848896e-06i,0.0488435227112097-1.67631087487782e-06i,-0.0204380370470674+1.4210018095049e-05i
-0.00098211866853397-2.21981388977603e-07i,0.0628746383042304+7.67583179184234e-06i,0.0262935276748181-2.27846612493387e-06i,0.0156575762964859+6.34880464026192e-07i,0.0566540457629877-5.22437075437346e-06i,0.0492827950788719-9.89976717722671e-06i,0.0154140498401987+5.77733031413456e-06i
-0.0609065735395588-1.91084845162551e-06i,0.0112275431879474-2.97474607836923e-06i,-0.0127485955622187+3.95546273056945e-06i,-0.0219617935900485-2.11928859687217e-05i,0.00973452942217039+6.03269551383425e-06i,-0.0241753200047821-3.67278300402689e-06i,-0.00929744978456884+1.81807363073376e-05i
0.0203888941553202-2.5929978295823e-06i,0.0179655165997039+1.60385920146392e-05i,0.0312492577776359+5.68423333235851e-06i,0.00209158461213918-1.36151433183926e-05i,0.00761405424876347-6.47016734567252e-06i,-0.0333517674037454-9.94798433412465e-06i,0.00337071169109166+3.18084470085536e-06i
0.0309439929612504+1.10232684831045e-08i,-0.00216861269354069-3.84108812079977e-07i,0.011187798599006-4.18485703360391e-06i,0.00406403596971626-9.32023195447121e-06i,-0.0086328018798057+2.35469329410529e-06i,-0.0261473054431752+5.63560852965264e-07i,0.0147748566731259+5.2896938442059e-06i
-0.0458010306825129-4.02551106502148e-06i,0.0299986683456096+3.01300142669335e-05i,0.0114823049855758-5.60394672039978e-06i,-0.00195979025045911-1.47638548562066e-05i,0.0224218172551403-1.31837789193069e-05i,-0.00631959671328867-1.84275233601584e-05i,-0.00886546290975259+9.79128845862203e-06i
-0.00491694858098728+3.62774954571157e-06i,-0.0169872490638244-1.79576877091117e-05i,0.0210028520173367-6.83632020274392e-07i,-0.00467499250111346+4.68411534377951e-06i,-0.00599271515136181+6.49441056280559e-06i,-0.002838525128214+9.11738458277629e-06i,-0.00793276083785055+5.53010951015371e-07i
0.0296067564170489-2.25813940611755e-06i,-0.00674546806354673+2.85379939168479e-06i,-0.0175763884422232+5.56653637372416e-06i,0.0157721121784667-7.1168994355859e-06i,0.00220189240058231+2.96475182104843e-06i,0.0159506785120874-7.02553908989166e-06i,0.0466171798399197+1.0716568137426e-06i
-0.0282381524251072-1.58198320594762e-06i,0.0207817618854934-6.87676017411601e-06i,-0.0330879237180051+1.58185965473347e-05i,-0.0190343159039707+4.4427254331883e-06i,0.0179269418297839+5.45050759712656e-06i,0.0321684594826109-1.54746930757271e-07i,-0.0162380390639902-2.14710205704046e-06i
-0.00646641882322005+1.69241304608359e-06i,-0.0218271706386058-5.33429007129669e-08i,0.0237587041381039-2.67431106678346e-06i,0.00837122503836203+7.62436431545736e-06i,-0.00942466069232017-1.48693132336515e-07i,-0.0163731905309188+4.51633057438363e-06i,-0.00542662308688812-8.10825722603223e-06i
0.015520739938316+1.47818179467581e-06i,0.0118656719796884-4.22679011076907e-06i,0.0135647974955415-1.08004329102795e-05i,0.00528240347755389-4.10320746433678e-06i,0.00455193660150243+2.32517706218678e-06i,-0.00460972802359353+5.86691385927468e-06i,0.00349261353367062+6.20867136394049e-06i
0.0130165884903393-1.36545664613832e-06i,0.0187375843747051+3.80004342861448e-07i,-0.00231027403818615+2.15617560822689e-06i,-0.0267719361380642-1.72471752196464e-05i,0.0523348978277034+6.41255300694963e-06i,0.0762482143837962-1.73232755007525e-05i,0.0235331894426391+2.52570343111474e-05i
-0.017815183741593+1.40570892301906e-06i,-0.0920192143686878+2.34326917447618e-05i,0.0060900459101649-3.81073333118988e-06i,-0.0266640981107276-2.03559842985935e-06i,0.00485655445354413-1.7331650604687e-05i,0.036478751353037-2.53372402258884e-05i,-0.0188639751232935+1.08578154543823e-05i
-0.0191903520416784+4.31652062325534e-06i,0.0139208634528879-1.25037030910434e-05i,0.0291985791240825-5.65656272117971e-06i,-0.0300928124054862-2.68446943345127e-06i,0.0223387025693144+5.45024099543244e-06i,0.0351342665206388-4.01895708391144e-06i,-0.0170960679573895+1.63620403769805e-05i
0.00355119070767985+3.79280101428771e-06i,-0.0109253867800214+3.68007612404696e-07i,-0.0226808669308235-1.89252916312553e-05i,-0.00403182174866825-1.25376455562957e-07i,-0.00796693779098097-5.87362824145845e-06i,-0.0140603699742596-9.94500579068218e-07i,-0.0202275464229965+6.9805415541379e-06i
0.0416746355650925-3.97451846155288e-06i,0.0152367480175505-1.30933006312464e-06i,0.00890514929984841+9.03893886352679e-06i,-0.0140599492558877-2.37103937715411e-05i,-0.00311850566328316+1.4943267237011e-05i,-0.02224536145306-1.3482060525867e-06i,0.0327512710081927+1.14193030156315e-05i
-0.00277225310455147-2.03693251054336e-06i,0.0572797916901122+2.16690467886919e-06i,0.0184866005140629-6.04940940981328e-06i,-0.0245450718089373-2.35001758949223e-05i,0.021703689666745+8.66580886738735e-06i,-0.000294366903692546-6.93669540726253e-06i,0.00469169291454114+2.21686206580008e-05i
0.0104791868717942-1.90422815493319e-06i,0.0862661706508544-7.32543193897069e-06i,-0.0195538463958719+4.88173341259913e-06i,0.0308593603013992+1.57628121488229e-05i,-0.049498224116082+5.00538604809209e-06i,-0.0293421886132453+2.29781104521382e-05i,0.00828036864617316-2.86222771682731e-05i
-0.00429397779499349-2.98777452047668e-07i,-0.0326024246811844-4.44982821623465e-06i,-0.0235434241316913-9.93858575806316e-07i,-0.0237953699471767-1.18253457626965e-05i,0.0256027080362174+8.64904786713647e-06i,0.00656089883149706-4.64596192071454e-06i,-0.00183151236921018+1.73884801254795e-05i
0.0600602722771707+1.38014738217441e-06i,-0.0282345459880336-9.05626592173321e-06i,0.0255213947143883+3.4853420774018e-06i,0.0118047696266167+1.28400712055701e-06i,0.00220802799764238+5.19069207252339e-06i,-0.0204418179867493+6.25960621543509e-06i,0.0164465100528687-2.79089357976255e-06i
-0.0296155400956497-4.04201958071859e-07i,0.0317709629428497-2.50363642436721e-06i,-0.0382381198559163+4.20203194777973e-06i,-0.0243431034617955-7.2795124119575e-06i,0.0195451141032584+5.14343645523213e-06i,0.000458407680461803-7.464186758493e-06i,-0.0139368062760779+9.68905214171161e-06i
