-0.0882297939329654+1.68942248965269e-06i,0.0877325142896474-8.24259001836585e-06i,0.0225453148079492-2.41635810768144e-06i,0.0318372656339169+3.27311687748143e-05i,0.102177241975124-1.99282256500465e-05i,0.136482129993543-6.33149298802385e-06i,-0.0144509139938473+5.15636250322057e-06i
0.148482836265696-6.80369300110776e-07i,0.0162361768432494-9.5762708071042e-06i,0.165361276181186-3.58718959178131e-07i,0.109869850108558+1.80009577578369e-05i,0.068932915868851-3.72848025210672e-06i,0.0500545286112528+7.46032257824167e-06i,0.0816231117405395-1.17520275741611e-05i
-0.189525635821406+2.94592065488617e-07i,-0.0257371378369612-3.07034864208998e-06i,-0.0391007734948227-3.71665465006828e-06i,-0.0965296839270704+2.97025794125828e-05i,-0.0431038738320402-1.48056234086077e-05i,0.130567539921391-1.41831487087983e-05i,-0.0726882317468327+6.48882649660322e-06i
-0.168061220718154+1.57913477607446e-06i,-0.0177442466667031+9.88444365649226e-06i,-0.065435322742-1.02589265531821e-05i,-0.118788575548691-2.88711566529375e-05i,-0.0362562983329963+3.61597126599606e-06i,0.0242442417408472-1.98847278482953e-05i,-0.0542255001982901+4.62034275197235e-05i
-0.00170458445732515-1.39179308287942e-07i,0.0514879824027507-5.20311635858613e-06i,-0.0178787045183018+5.2430937592774e-06i,0.0527648736151606-1.41781764821978e-05i,0.142650340765398+2.56196754068538e-06i,0.0264158184482037-2.6117501969137e-06i,0.0376381211298086+1.36117720472492e-05i
0.062785625991636+4.63364264623658e-07i,0.0816928033209608-4.68427864296018e-06i,0.00722252094140788-7.39247776053842e-06i,0.0527206512417315+5.5134943664762e-05i,-0.0541665891237118-1.99377831798041e-05i,-0.00906898289570943+1.78938112813619e-05i,-0.0442886169378647-4.02848361535257e-05i
0.0296584811642416-4.45194173459412e-07i,-0.0549502843312146-3.16843918240116e-06i,-0.0171060262292243+5.03134291507571e-06i,0.0219205282393405-2.35945892632341e-05i,0.0288667655505419+1.0373551233814e-05i,-0.0139721845840618-8.14027815793782e-07i,0.051806446033515+1.16339885268032e-05i
0.180490638052217-1.7528058497407e-06i,0.0485710398149858-1.67708939589518e-06i,0.0684637373896811+3.04386082531995e-07i,0.144171854642297+9.35518462723007e-05i,-0.0422849228236532-3.45588655629154e-05i,-0.0322576876169667+3.38074939357631e-05i,-0.0241492786227877-9.18034331372991e-05i
0.0832039550302931+8.34886867206056e-08i,0.0155107589782766-9.58697197890702e-06i,-0.0231456822906294-2.26738898016092e-06i,0.0518943321706331+2.87400905450835e-05i,-0.0653310850003018-6.05106600550623e-06i,0.000513560811472561+1.62925422684927e-05i,0.0170326289449888-2.62883221985655e-05i
0.00628232966423525+1.11780476508005e-06i,-0.0516308874384307-4.62923090976942e-06i,0.0526254341093186-1.39846695524639e-05i,-0.0319642495641357-7.31666864905533e-07i,-0.0322702875969101+6.60098819294594e-07i,-0.0207667634977494-3.01617557140915e-06i,-0.0260137505641861+2.30616085395194e-05i
-0.0866293003977769+3.61608829597467e-07i,0.0516047339423163-5.84427130686361e-06i,-0.0625528558961259-7.88128290299491e-06i,-0.00373016458925848+4.08806823327627e-05i,0.0929855478517582-2.45590373444577e-05i,0.0124675650367161-1.33307061973957e-06i,-0.111307894566997-7.28619390246961e-07i
0.0376433275478256+5.37568269902894e-07i,-0.0315344592413679+1.98511760382152e-06i,-0.00823265873684283-7.38910473084088e-06i,-0.0427160708919715-3.83559576829615e-05i,-0.0611503292551229+1.94218608670442e-05i,-0.0955047063086851-7.30309452806509e-07i,0.0042988804527217+2.56294293144345e-05i
-0.0733371641791943+2.66922311342883e-07i,0.00684176572636582+4.36141376192599e-06i,0.0161042243706743+3.54747491440973e-07i,-0.0317118649189667-1.31947658123328e-05i,-0.00965752633500217+4.72530877370521e-06i,0.0769168233117194-1.03756597029702e-05i,0.0282639845283462+1.39663914330726e-05i
-0.0354497126418705-8.98438771488036e-08i,0.0457828153583193-3.68803986376146e-07i,-0.0386428899399648+3.46053860560372e-06i,-0.0296039576478471-2.65338739286045e-05i,-0.0180690863461337+1.25600431840484e-05i,-0.00616980409388241-3.43226714028237e-06i,0.013601157206911+1.42850492570431e-05i
0.0591151146738416-1.17180609129906e-06i,-0.0464818915776889-7.06607350318047e-06i,0.0289055101353783+7.93171984694877e-06i,0.0353038375289344+2.36644547285809e-05i,0.0327328691209032-8.87061284630055e-06i,-0.0169260450257526+6.87268085541846e-06i,-0.0117741542905858-2.32865932242655e-05i
0.0309765025880639+3.66345614034522e-07i,-0.0013210761423232-1.68281245918839e-05i,0.044661918837895-1.2081735306703e-05i,0.0326715262846619+9.04570118597948e-05i,-0.07147135499861-3.55342014034021e-05i,0.00341667221487294+1.8702823715251e-05i,-0.106495714979125-4.34474094962152e-05i
-0.00848951957956564-5.15763998484671e-07i,-0.0200515153893348+8.02070362738693e-07i,-0.0304987964442004+6.55154806618619e-06i,0.013398675140784+1.98601536044337e-05i,0.0522880869275753-1.16416134270812e-05i,-0.0142274851431472+2.05255155031108e-06i,-0.0391089402298545-1.81703833472753e-05i
0.0161149040560447-7.26789323850998e-07i,-0.0547666559786565-6.22095313102307e-06i,-0.0206599329400059-7.50049219642177e-06i,0.0805529156952703+8.02328063162637e-05i,0.0742809767545532-3.84125747222571e-05i,0.0423647049008181+1.23994482826597e-05i,-0.0611658203490008-4.0487091838032e-05i
-0.0374312596450633+2.49149992070119e-07i,-0.0327582217938455-1.54280168390826e-06i,-0.00456170888634271-1.16075969769797e-05i,0.0279374824696438+5.28936236230181e-05i,0.0437256515933641-2.64673290403478e-05i,0.0366820580580254+3.5526089286611e-06i,-0.0607201413159637-1.64601086359015e-05i
0.00931501079012087+7.72066840523685e-07i,-0.0267693277624854-1.46158149278344e-06i,-0.0228618748702776-2.81900103796303e-06i,-0.00595108399845307-4.01816842276958e-05i,-0.000565807095343342+1.65986107056395e-05i,-0.0200452676750254-3.81930047903593e-06i,0.0524743062233094+3.18600415719273e-05i
0.00576121906449726+9.75427291124738e-07i,-0.0179000609314658+1.41296848887535e-06i,0.0559641933358401-1.97552651625189e-05i,0.0126985975735468+1.16796833111699e-05i,0.00853099402878039-6.03541430264921e-06i,0.0196555406240448-1.50903408267906e-06i,-0.00276725864176269+1.53522431088563e-05i
-0.0497290258042033-1.7492034046702e-08i,0.0557048293504539+3.70741417767398e-06i,0.0154655551776917-3.50898586802871e-06i,-0.0203044244954334+2.30638145142331e-05i,-0.0240355353586206-7.37223895933481e-06i,0.0356399435002088-7.02565121925339e-07i,-0.0366195887762282-1.54378949885662e-05i
-0.00108039408980446+2.09662964503937e-06i,0.0244903058879112+2.07442300541388e-06i,0.0553334374470654-9.89390340562025e-06i,-0.0197138484008383-1.92226697424483e-05i,-0.0189634658084003+5.28463226398446e-06i,-0.00135904894996589-6.09302864937879e-06i,0.00803820110866919+2.94041295032341e-05i
-0.0054523215200492+1.12214392226575e-07i,-0.0336156147433029-1.80767666361596e-06i,0.0429313516232434-7.26208682775329e-06i,-0.0371522280208407+1.01058159082918e-05i,-0.0347292875601641-6.13486788368295e-06i,-0.00876564682369036-3.46669994745752e-06i,-0.0462606283171435+8.74516285829082e-06i
0.0249309240602635+9.47490598563156e-07i,0.0196328178187031-8.64068010001393e-07i,0.011296403395118-5.79974898065161e-06i,-0.0348084516951816-5.3027537329165e-05i,0.0278178856087328+1.81874123849664e-05i,-0.0615907471321408-9.94521133513499e-06i,0.00982654508035368+5.16993879537903e-05i
