-0.0169835164944682+1.11109922006919e-06i,0.0595134610573246+1.15638212871478e-05i,-0.0543644247418202+1.27215044631942e-05i,0.0460248813531959-3.1844367143107e-06i,0.0701164899303215-8.32517386323178e-06i,-0.0149635570695189+4.83325020097918e-07i,0.0115712463260533-2.67616939242517e-05i
0.00542628897354318-1.86976812607187e-06i,0.0298267403804798-2.06913006630967e-06i,0.000771270479637217-1.36876794006836e-06i,-0.0238246120878748-8.84839464583149e-06i,-0.0494911757544053+1.01688429214657e-05i,-0.0214213803488342+7.16617757263559e-07i,0.00474579501522101-5.00116459490066e-06i
-0.0118302628140441+1.49190622996032e-06i,-0.0113800147702558-1.31315026113906e-06i,0.0965631761446738+4.75706727114725e-06i,0.0887083509404356+2.19036698939622e-05i,0.0349555215987654-2.3781710551865e-06i,-0.003942519205995+1.1955263833111e-05i,0.0508625879242851-3.66033454935502e-05i
0.00895787985160932+1.58807756147804e-06i,-0.024167456914754+3.56607730439745e-06i,0.0333357765316809-3.69911901715993e-06i,-0.0421672049618314+2.45753419944825e-05i,-0.047450084058002-5.7518855555109e-06i,-0.00969727794977416-4.3928328450671e-07i,-0.0662821660509006-1.6112298721703e-05i
-0.00924668567776108+8.02277771641356e-06i,-0.0962767639195591+2.57243618217497e-06i,0.074532103479399-1.69628866577536e-05i,0.0828114419217437+8.5885152079951e-05i,0.0858459176756197-2.79919249240639e-05i,0.0248905274406759+1.61280991394022e-05i,-0.0744930695606931-3.63674264560654e-05i
0.00138528962558227-1.3608005641767e-06i,-0.0342847091099367-8.79374746034665e-06i,-0.0975875635424105+7.39586418030659e-06i,0.081982168550066-5.77967927196137e-06i,-0.0126921641208492+5.91383539058431e-06i,-0.0091805259134869+1.78903261123409e-05i,0.0900658269601838-2.37350318801851e-05i
0.0132533430767458+2.45026900436286e-06i,-0.0262311007682535-9.78781101079653e-06i,-0.13366544973136+1.41395599098999e-06i,0.0308658927417488+2.59467401764916e-05i,0.0148929120880533-5.6034729960092e-06i,0.0236238383084221+1.2571829619383e-05i,-0.0101331141424214-2.52514305465128e-05i
0.00713817763059135+1.46814874104005e-06i,0.0057934664870556-1.12195876233671e-05i,0.0199263624726309-9.36327689315651e-06i,-0.018066223949297+5.86731634476377e-06i,-0.0184773614187388-2.88913485707768e-06i,0.010649736983889+3.4909297673527e-06i,-0.0269571678302425+2.51864497221725e-05i
0.000360510047018363-2.05766047438286e-06i,0.00650526959837152+1.9342605812529e-06i,0.0324761738880675+3.58412170921704e-08i,0.00851915571804696-3.12287675100605e-05i,0.0408443127547973+1.03881694258521e-05i,0.0565115680399149-9.94232307143447e-06i,0.0844638319263621+2.21733763619396e-05i
-0.00165331208387145+1.77449900887114e-06i,0.00321390183389491-1.73435169764376e-06i,-0.0579443554564475-1.03257745052377e-05i,-0.0107833446163777+2.04698901376611e-05i,-0.00500277786708746-4.09164456976465e-06i,-0.0347329248107952+5.96755591008492e-06i,-0.0698948424405448-3.26765419115938e-06i
