-0.0673091042231748-1.901662012667e-07i,0.00771016053859829+4.37840903452168e-06i,0.0147386485193358-5.20664984248115e-07i,-0.0328464622550444-1.23402247508829e-05i,-0.00724874651516683+3.70602161027988e-06i,0.0804476025075516-1.13923232569288e-05i,0.0244399193510024+1.55503359345832e-05i
-0.0295222707270946-4.55703179751953e-07i,0.0389785925631752-4.5867817797656e-07i,-0.0333635251119833+2.59026332459043e-06i,-0.0277627766471178-2.16080321368524e-05i,-0.0159929083796953+1.00348465038699e-05i,-0.00458507705891695-3.56397107549745e-06i,0.00827600823963008+1.24200922343548e-05i
0.0565504250265518-1.17137021786706e-06i,-0.0378825484046634-5.43682069884853e-06i,0.0269320804542326+6.01506572661199e-06i,0.0353658554002169+2.24383101436403e-05i,0.0334407566933373-8.68432128164341e-06i,-0.0170039690552626+6.31490228662884e-06i,-0.0113082668332557-2.16400930924665e-05i
0.0468310542979813+1.61503767658147e-06i,-0.00415863008611086-1.49336417066345e-05i,0.0334363113826399-9.87988851872131e-06i,0.0376309551727282+8.24388310474947e-05i,-0.0733176001573174-3.02241130560408e-05i,0.00159522519984734+2.18247473070665e-05i,-0.0858037044510306-4.58634324077299e-05i
0.00191570533585268-6.25274679367394e-07i,-0.0182597145543968+1.57746101488418e-06i,-0.0257623077986553+5.31362990804325e-06i,0.00711896653122515+1.08581399028635e-05i,0.0528016985883618-8.39496546499106e-06i,-0.0165376839631078-6.80260536640495e-07i,-0.0324286427692686-9.64309908158364e-06i
0.0187434570692718+2.28894558472838e-07i,-0.0423998699955521-4.60528011636591e-06i,-0.0133720840925835-5.15415232954855e-06i,0.0664503129558402+6.47161025040825e-05i,0.0670358656591198-3.09904905890065e-05i,0.0383008147514542+1.03132940951812e-05i,-0.049502481792565-3.31177898043093e-05i
-0.0314175035054941+1.05800641864873e-06i,-0.0273397920585399-1.09048142864874e-06i,-0.00565191085126608-9.17917265290678e-06i,0.0191831719108012+4.05932152148427e-05i,0.0404353569894976-2.03745703672943e-05i,0.0327307229735733+2.26907443219494e-06i,-0.0495846784105476-1.07681204987543e-05i
-0.000335019996514224+9.53498748440081e-07i,-0.026210835687181-2.16968466215586e-06i,-0.0183937334585357-1.80950310583839e-06i,-0.00517543023052421-3.25860220144829e-05i,-0.00355458776019435+1.44744155611172e-05i,-0.0211895982919199-2.11479325544631e-06i,0.0434176338211485+2.46414314917242e-05i
-0.0101699815177229+1.89675722006939e-06i,-0.0135329236123185+5.33383218633351e-07i,0.0466304674163587-1.48056845358269e-05i,0.0113839758178395+1.04871211671541e-05i,0.00602725677505419-4.0799518943897e-06i,0.0183124770726534+1.42237934517452e-07i,-0.000558521981508524+1.03555051305827e-05i
-0.0413853105614681-3.50593237414159e-07i,0.0491749129782769+3.75009093254199e-06i,0.0130701851914775-3.32728025924871e-06i,-0.0214194301264356+1.73445862613359e-05i,-0.0226226790329136-6.48105633545384e-06i,0.0379965818922776-2.36952743773584e-06i,-0.0295127225836011-9.64460440731962e-06i
-0.0149010314958447+2.68322782750475e-06i,0.0200965950453751+1.09125394557328e-06i,0.0463870975091597-8.10291399314846e-06i,-0.0159601450619767-1.45655836186286e-05i,-0.0169836871975487+4.54341646286873e-06i,0.000508163139753765-3.62389160220858e-06i,0.00666008917082789+2.35040837276553e-05i
0.0253047360190107+4.94838347410714e-07i,-0.028741701279179-1.13243110769377e-06i,0.0353036128591213-6.09532285567118e-06i,-0.0329033699040372+6.38630952034725e-06i,-0.0304689003583787-4.0714799955213e-06i,-0.00704089860444572-2.63200252173159e-06i,-0.0364371686009493+8.40724211099539e-06i
0.0292601193694578+1.40515362604678e-06i,0.0174925345381928-1.81992344497898e-07i,0.0111848916823008-4.78004252913744e-06i,-0.0332471642801628-5.08721637398169e-05i,0.0361623472560371+1.73201641861249e-05i,-0.0599844881629533-9.8073845173702e-06i,0.00825015536765642+4.91209633426441e-05i
