0.0193014274481537+7.87172240385561e-08i,-0.0369843980684457+7.77045184402249e-06i,-0.0234678627936179+3.8114183503585e-06i,0.0315517996745467+6.89794574200448e-05i,-0.0301147152568807-2.72794228170188e-05i,0.00609420044921853+1.39215628242058e-05i,-0.0709238474686208-5.2231342687716e-05i
-0.000862638200317492-4.91364698662852e-06i,0.00540299014079168-2.85800720012859e-06i,0.0373005681678277-1.52023226991878e-06i,0.0213154269373708+3.05982112613e-05i,-0.0166989133215102-6.51512250531245e-06i,-0.0433479123165426+1.44834485588602e-05i,-0.0280848556678651-1.36210529621851e-05i
-0.00584488624892307+4.06460151111492e-06i,0.0307159696950595-8.36780018474091e-07i,-0.00346292543438991+3.34495872966354e-06i,0.108015912181236+7.76010448582573e-05i,0.0319878991993628-2.8833603749037e-05i,0.0386633305629474+2.20709376020001e-05i,-0.0306055369525475-6.43707435571668e-05i
0.00914402264900464-7.67384982436704e-07i,0.057504448402412-1.67650804597568e-06i,-0.0534383612939714+5.03643185768231e-07i,0.0583456430949924+7.44162973542185e-05i,-0.0416853536392131-1.96146664691721e-05i,0.0324783712849184+2.18777933369165e-05i,-0.0485569846420319-5.88670331305122e-05i
-0.00871602281267775+5.02302095154609e-06i,0.0204835434375373+8.95597909286386e-06i,-0.0203418318658145+9.37489079250691e-06i,-0.008896094572045-3.95177240309406e-05i,0.107755836411223-2.56844948116802e-06i,-0.0181698625240515-1.79775436586571e-05i,0.0108504040442332+1.89594172947751e-05i
0.00343347847901672+8.22387372481998e-08i,0.0193238910712409+2.16056332757712e-06i,-0.00147753876510322-1.56303663145219e-07i,0.0170675004290183+2.21185179860298e-05i,-0.0759014840666403-3.14419648278512e-06i,-0.0017776057422005+9.45296926304871e-06i,-0.00653890561114761-3.00183893390806e-05i
-0.00202901208526187+2.38178636457766e-06i,0.010157177633346+2.56648587646615e-06i,0.0646588890338835+1.69385905341664e-06i,0.0509629968900977+8.45946154112076e-06i,0.0296704682300905-4.26465605324439e-06i,0.0190445310191006+2.3832974524867e-06i,0.0293323293524096-1.36060615660131e-05i
0.0109920995903832+1.85702829666578e-07i,-0.0450496371107527+5.9047575048517e-06i,0.048461717998939-3.33984354548161e-06i,-0.00334886434253486+4.64937192861676e-05i,-0.0909427185075756-1.37102133563435e-05i,0.00374725084943223+9.79731743471257e-06i,-0.0561780483390897-3.41560304820681e-05i
0.0100614307083379+7.13904897756251e-08i,-0.0651203224812248-1.69756379943386e-06i,0.0796594221321093-8.46912010693446e-06i,0.0394109887064112+6.03755641201648e-05i,0.0501729648824726-1.98113425427996e-05i,0.00424493645891781+1.40696998217041e-05i,-0.061992697831777-1.7663649849581e-05i
-0.00541979283237553-1.65709766671988e-06i,-0.0193126512419912-8.60599522390083e-06i,-0.0942583206863302+6.5884705314152e-06i,0.117472911656028+4.00867515977585e-05i,-0.0574363587568758-3.96078518843397e-07i,0.027391264687696+2.54489120876906e-05i,0.0661793318582659-5.77016969114213e-05i
0.0160532158447087-8.30955923437753e-07i,-0.0232097833699016-7.90395288833215e-06i,-0.128485106054781+4.09577545548042e-06i,0.0840968469319762+6.42478389343464e-05i,-0.0493993300877088-1.23216550068341e-05i,0.0313431993603012+2.58465318380394e-05i,-0.00641293934828671-5.95751551239817e-05i
0.00513206551040509-2.53981634304194e-06i,0.0178585277706745-1.3190320912341e-05i,0.0105727760488881-1.04293048989639e-05i,-0.00707431308067791+1.49754549971224e-05i,-0.0153757732052607+3.23354086840477e-06i,-0.0045589836357915+1.14887133854291e-05i,-0.0234831997231534+1.08701586993972e-05i
0.003472854653185+1.02702077440939e-06i,0.0134731366941934+3.67229228406042e-06i,0.0209577210395283+3.99851802528682e-06i,-0.0189170592076404-3.49130008196578e-05i,0.0396722652132997+1.04081212672272e-05i,0.0694821972915976-1.81735710816777e-05i,0.0521864605352265+2.53487435296737e-05i
