-0.00655004000653792+2.92036671882925e-06i,0.0181486670112669+1.78127451457405e-06i,-0.052938665609907+2.74792912390656e-06i,-0.00561095139462743+3.41133770776167e-05i,-0.0262800941171308-8.86857736760644e-06i,0.0379119030548606+8.57438121003576e-06i,-0.0321204085656237-1.3141246390643e-05i
0.0176653201501153+1.56744522017909e-06i,-0.00343134547236524+1.7193355877796e-05i,-0.00886487893232505+7.43950661121748e-06i,-0.007348025468606-2.30483873472801e-05i,-0.0336274337952672-1.1230605633321e-05i,-0.0801028259256492-3.98145505950304e-06i,-0.014397931505345-2.60642339775109e-06i
0.00259373982210659+4.86585967895756e-07i,-0.0260188244310181-2.67444153372833e-06i,0.0481541839326088+1.02914843762081e-06i,0.00974601561282592+3.21559845119525e-05i,-0.0276616464445873-2.9014703386564e-07i,0.00251519074167023+3.02551189519711e-06i,-0.0176938256722334-1.99778781840952e-05i
-0.014606493761606+2.11653025032725e-06i,-0.0176210302070978-5.51344766395161e-06i,0.0299634409303947-1.68392486700924e-06i,-0.0343339330630065+3.59907861777757e-05i,0.013480694976529+1.35205097075326e-06i,0.045299796869263-1.64386085816898e-06i,-0.053418949906045-1.48747202849881e-06i
-0.00510797611883783+2.24367557282777e-07i,-0.0554551473914609-8.97072165620466e-07i,0.0260123237967644+1.37114088686285e-06i,-0.0311189783138636+4.62355451716052e-06i,0.0219870634726579-2.09955623144015e-07i,0.0132200985449512-7.42446377675694e-06i,-0.0281117721775594+7.76528032546618e-06i
-0.0127153638711236+5.4926514558626e-07i,0.031986588110976-1.43538599366197e-05i,-0.0250786148010701+3.0231694782342e-06i,0.0111018412789887+9.69124918110021e-06i,0.0762720955992326+1.32953807414478e-06i,0.00776720794334064+8.74665539786238e-06i,0.00912019010167595-1.26583151565717e-06i
0.0135773249569395+2.35230018332227e-06i,0.0225418423003275+6.96921165094996e-06i,0.0109592985250854+5.38435464361579e-06i,0.0383532404847712+1.21720219905026e-05i,0.0206827150997269-1.06788698377164e-05i,-0.0629401570442746+1.06794166409581e-05i,0.00606738243950354-2.25860332634297e-05i
-0.0139728263958388-8.00817111595059e-07i,0.0295026070136741-3.98434723878241e-06i,0.0123461303220631+3.9330710421489e-06i,0.00212140774429506-3.63514122502037e-05i,0.0549866164800761+4.10882177593646e-06i,0.00912090444717949-4.34821221600539e-06i,0.0374885596492754+2.72825137720175e-05i
0.0059008175608817-1.44302265449119e-08i,-0.00883808223901874+1.92731336912312e-05i,0.0235595169241861+4.22179231324291e-06i,-0.015263964209823-1.48242824712823e-05i,-0.0218817307580721-1.37405121791396e-05i,-0.0378688714003112-5.42145725802742e-06i,-0.0348996385369684+2.93287387428468e-06i
0.00419198666333412-7.44682743151494e-07i,-0.0153649932068953+3.6825086115792e-06i,-0.0243213490330691-3.64658373680039e-06i,-0.0181551273070959-1.71663342323547e-05i,-0.0277257310905981-1.20958602894363e-06i,-0.0227203285656922-3.28179375367195e-06i,-0.0113949363964155+1.05553465245838e-05i
-0.00704040588278825+1.26525890741687e-06i,0.0248976702987608+2.91636686542525e-05i,0.0420673336263069+5.29995370792007e-07i,0.0195919602773271-1.14234762350255e-05i,0.0232907837208073-1.46014414661598e-05i,-0.00994486392026972-5.02211975492353e-06i,0.00373296255671454+2.1945673674568e-06i
-0.00233522324698739-1.28554993449932e-06i,0.00217855815788627-1.68391993333575e-05i,-0.00394527417181365-1.36471153670692e-08i,-0.000907365808491326+5.05800851110159e-06i,0.00798766025137791+3.48322981584835e-06i,0.00696030442216908+5.28968809241956e-06i,-0.000398158254850026+8.89278525125096e-07i
