0.0385255468732024+3.14372618920782e-06i,0.0187289824100612+1.14562464315462e-05i,-0.017527970276962+1.11619108176076e-06i,-0.00379080779471538+2.47770683959799e-05i,0.0420535078844193-1.42274748053544e-05i,0.0977527135588735-1.04500149540003e-05i,-0.0280386718162299-7.57607494955481e-06i
-0.0267333044700992-1.63587363623746e-06i,0.00592788189357531-8.36278458369726e-06i,0.00498818647213881+2.16301906602869e-06i,0.0284561610242926+1.3484451204332e-06i,0.016216603998012+3.92091096795609e-08i,-0.0602147295299421+8.65165221266787e-06i,0.0118947217724859-5.92482556313902e-06i
-0.00341011377809662-4.76526033031411e-07i,-0.0105116317160018-2.16933975031492e-06i,0.0142588341317118-1.85492739906249e-06i,0.0146212191642712+9.19548423801697e-06i,0.0150241432358027-2.72466163830231e-06i,0.00771109535487901+2.8479450412489e-06i,0.00165832963011021-3.19334407769762e-06i
0.0188695709028467-1.70740385290158e-06i,0.00454116938261013-6.39443839820431e-06i,-0.0193358030190128+8.76306089230672e-07i,-0.0297210187359315-2.14928114047429e-05i,-0.0465564909390152+1.2398327430671e-05i,0.00138218607132201+1.83400065035851e-06i,0.0134827404412045+1.66173079321581e-05i
0.0260717919231685+4.13588783994776e-06i,0.00235482568682853+1.69739523307972e-05i,0.013797373614244+3.07444431567685e-06i,-0.0435189798103079-5.80708931942315e-05i,0.0356019609444609+8.2743394955774e-06i,0.00124625604597564-2.17539152609304e-05i,0.0179532922818697+4.01718369906714e-05i
-0.00177783747134531-6.2365526342649e-07i,0.0460912799140085-1.26978992418961e-05i,0.00608455108803062-3.26880632980732e-06i,0.0126870570695753+9.07103948299276e-06i,-0.0304879673327003+7.19166549153713e-06i,0.011844255795181+8.39929036444461e-06i,0.010033070477791-7.30783545635078e-06i
-0.00513687327362385+1.58863936726022e-06i,0.0237579980342125-3.23553813383929e-07i,-0.00613518100834049-8.50446263663947e-06i,-0.0166330320258996-4.44505495518136e-05i,-0.0253744581698605+1.87629109773057e-05i,-0.0370824699226305-2.82321895633239e-06i,0.0347887653682349+2.68517883113313e-05i
-0.0180965984411931+2.86873160310437e-06i,0.0194603325411202+6.64840166324116e-06i,0.0232758183047015-3.93825208627933e-06i,-0.00927603459010004-2.97221010240017e-05i,-0.0049415144547548+7.10287989845524e-06i,-0.00430523621088548-8.02120390955255e-06i,0.0348430382967019+1.39938465598104e-05i
0.00146947302081758+5.41811342488482e-07i,0.0215704762474331+3.87192842320782e-06i,-0.0194136069334528-1.93842536307354e-06i,0.0116481083316531+2.65015354075587e-05i,0.0152502524681104-1.44808826387822e-05i,0.0136743998933191+3.79738649305997e-06i,-0.0361773653575648-1.5488065872006e-05i
-0.0158268974430163+2.33394929567317e-06i,0.00745368325412317+4.29293839139357e-06i,-0.0178800370900742-8.79591540049161e-06i,-0.0121308123390856-1.32508636197861e-05i,0.0114433305501117-1.31067080817037e-06i,-0.0179371512269047-3.48064200540938e-06i,-0.00384957750063528+1.13828067368662e-05i
-0.019729850292232+1.92197502977243e-07i,-0.0323472358175649-4.7875478036358e-06i,-0.00737283966398859-1.03352171713636e-06i,0.0163766635298817-2.10356104031735e-05i,0.0453250473505357+1.13818867130659e-05i,-0.0201029960535943-3.56436527334379e-06i,0.0415502328950501+1.32363596101703e-05i
-0.0101624683383057+2.71788023678488e-06i,-0.00323426289598098+9.61976421255208e-06i,-0.0295168481604006+3.77200223359175e-06i,0.0101645649313786+1.07780386992958e-05i,0.00741095260435195-1.36633310002823e-05i,-0.00078197595520526-3.79817698434007e-06i,-0.010677108116439-1.59309428545114e-05i
0.0223536176000583+1.9990739909144e-06i,0.0213093988728758+2.82990352697999e-06i,-0.016195735653039+2.51476934229803e-06i,0.0272474937666526+1.82877536269728e-06i,0.0132029764618051-2.87776207885134e-06i,0.01491294046623+2.78379735212709e-07i,0.0100143446176155-7.12913603288652e-06i
0.0123128691323267+2.8189300331132e-06i,-0.00749271822004956+8.25548654718636e-06i,-0.0185734240374689+3.63103699193858e-06i,0.0385033648325193+4.41443869775863e-05i,-0.0562056164166253-1.836749200083e-05i,0.0457011725352273+4.98704746593757e-06i,-0.0146993454883811-4.4709272966298e-05i
-0.000165375003863372-2.55363068078771e-06i,-0.0184382566311257-6.8414214067496e-06i,-0.00653299873901904+5.41031692921114e-06i,0.0448462541450748+5.46897907367246e-05i,-0.0675828851565694-1.2008142047059e-05i,0.00339873163375962+1.77207910986698e-05i,-0.0139113305068954-4.83848580477503e-05i
0.0258576152132785-3.3316097204167e-06i,-0.0186198333417407-2.42330185003117e-06i,0.010275076411006+3.98091113124296e-06i,-0.0311061753284647-3.58113109349481e-06i,0.0406105338432992+1.5240569488523e-06i,-0.00104498704559294-3.14171043672947e-06i,-0.0312666353920874+1.79367104372389e-05i
-0.0218578983918376-2.76404589225079e-07i,0.0017464008728246+1.02636277209087e-06i,0.007961860697999+2.52601270197629e-06i,-0.00440227564978441-1.34949336201787e-05i,-0.0352375738649325+5.92666499650487e-06i,-0.0378105081707434-9.55190647445198e-08i,0.0161446661007162-1.523558859945e-06i
-0.0261416365682205-7.00019447903793e-07i,-0.0129666238930426-5.97897750626956e-06i,0.00910292209946764-2.69727614389954e-06i,-0.0148644608540408-4.23890647264064e-05i,0.0235624487437418+1.89759600220021e-05i,-0.0480533155748693-4.98099569320923e-06i,0.0401695213451282+2.93868727259569e-05i
0.00505071053187734-1.3285918757064e-06i,-0.0302316204060123+7.47598399342674e-06i,0.0573758618557398-4.16531236440846e-06i,0.0332762758781565+4.02733925283916e-05i,0.0225813561971006-2.03690365252076e-05i,-0.0119140914995798+7.78000716924825e-06i,-0.040409437805394-2.23772938896368e-05i
