0.0625800953407272+6.45112038674208e-07i,-0.00445638336851385-2.25788477123182e-06i,0.119635532173684-2.22387857221945e-05i,-0.00334509400109659-4.76137313765934e-06i,0.00698414083080285+1.2246512717347e-06i,-0.00476372077162907-6.1795679229681e-06i,-0.00175433024020171+3.43853033618581e-05i
0.00413911975355244+2.83319436828276e-07i,-0.0269434104005381-6.0804339249245e-07i,-0.0263772519713332-3.66125585777199e-07i,0.0127386673142941-1.25557711529963e-05i,0.0120790026066422+2.22913271833104e-06i,0.0140890519631271-1.18298524236522e-06i,0.0333118617987397+1.27391147652884e-05i
-0.0309730260999091+8.54168788261358e-07i,-0.0138492436612975-8.80475118819465e-07i,0.0264127965729775+4.51959947194315e-06i,-0.0436885231180821-2.75031878392831e-05i,-0.0331221263051491+1.31152324924262e-05i,-0.0157401563818183-5.9525642970162e-06i,0.0117935259743031+1.68552482532848e-05i
0.0189617212189646+2.00345337993212e-07i,-0.0396829379285022+3.95873975865835e-06i,0.0514496001433263+3.32835181644676e-06i,-0.0442837620961258-4.94447728512618e-05i,-0.0268302764322085+2.16782870575942e-05i,-0.0370538174118715-9.23654628999072e-06i,0.0406402030821838+2.96329135003941e-05i
0.0101626957117932-9.33582970937328e-07i,0.0787378814165484+8.80736033448078e-06i,-0.0297619591688621+2.09584107395342e-05i,0.005510615193059-1.21796197754744e-05i,0.0132327482382749+8.77199747723002e-06i,0.0186949618597034+2.81763785965078e-06i,0.034719507806028-2.95966194327678e-05i
0.0371956109485622+8.98973132773301e-07i,0.0336127570448811+1.30937754929951e-06i,-0.0170082926924691+4.42856254687413e-06i,-0.0383812191730999-9.74644661824007e-05i,-0.00647657513164597+4.13613717941042e-05i,-0.0283223805229233-1.23844700223972e-05i,0.108696826492006+6.33437276600838e-05i
-0.0571245610071115-8.89560997698204e-08i,-0.0100433248277323-4.30543002184721e-08i,-0.0420713978029527+2.04444247442649e-05i,-0.0286182530718583-4.01494093146543e-05i,-0.00157716389772331+2.05372615237816e-05i,0.0268000463105908-5.10307338955392e-06i,0.0633460921592494+4.28086666328747e-06i
-0.0921911410564694+1.29507597566766e-06i,-0.0483779722657529+5.52168408764477e-06i,0.0126900371992325-8.16865612187422e-06i,-0.088811536665117-6.44903489719298e-05i,-0.0414457343273657+2.33684709334825e-05i,-0.0307503359923099-1.80770161098336e-05i,0.0202481194649837+6.22887344625508e-05i
-0.00141009452890295+9.49352725919911e-08i,-0.110218255377184+2.20184392057184e-06i,0.0496629455649344+6.57223834884692e-06i,-0.0342411194146392-5.03226432189169e-05i,0.0170501358102842+1.7882245386212e-05i,-0.0207214302933892-1.25450691367431e-05i,0.0515474564021285+3.59033876735161e-05i
-0.0189561637545518+1.47182220794769e-06i,-0.0773137662848317-9.06046592997938e-06i,0.0707326672216903-1.61341891268759e-05i,-0.0152002405878734+2.07756749771667e-05i,-0.059530160405129-5.68224202638764e-06i,0.0289427411331905-2.27681159976668e-06i,-0.0125680171933783+1.3089399576325e-05i
-0.0076873181903297+1.96526090151046e-07i,-0.0159757643230592+1.78148832918426e-06i,0.00407984623889275+1.72591103040299e-07i,0.0100842075168896+5.29048591862164e-07i,0.0427885285715257-8.26966439985562e-06i,0.00614134191525237-3.86004248931581e-06i,-0.00944641128046834+9.4353440420935e-06i
-0.120908309384353+1.01102362464809e-06i,0.0232325533784843+3.30662190217316e-06i,-0.0895544400714271-2.64042339929407e-06i,-0.041934907596371-2.67524682003586e-06i,-0.0360411413162437-2.39681836649058e-06i,-0.0143010345926453-1.59827647159415e-06i,-0.043046773669518+6.80032599607348e-06i
0.0369275994066387+3.46639549942966e-08i,0.014987884298278-1.32786129896294e-06i,-0.0521844350841186+4.52079947952228e-06i,0.0192842529482409-4.22364348170178e-05i,0.0505471969613733+1.4762576231042e-05i,0.000716420442696055-4.14122144565387e-06i,0.0655076832273936+2.83942661667742e-05i
-0.0419434584975661+1.44998144024465e-07i,0.0916908924245771+4.67526792533317e-06i,-0.0824527826680526+2.37193312261323e-05i,-0.0655332713289157-7.83862574633502e-05i,-0.0741770925333536+3.67466282536194e-05i,-0.0338319345246522-5.94208924442164e-06i,0.0663201543746888+1.94693255632035e-05i
-0.0876345259920943+6.36749250675973e-07i,0.0130620294377121+3.07073969728971e-06i,0.134269597859713-1.1154272904856e-05i,-0.0823980282304894-3.68741040359527e-06i,0.0210161247910363+2.22419463347877e-06i,-0.0170634697139127-1.45997812402143e-05i,-0.0763835046288669+2.41037947215336e-05i
0.0189843786068183+2.03270201388429e-07i,0.000584851658286145+8.45279137512343e-06i,0.151076181010618-5.0780857987177e-06i,-0.0675829905750215-4.58477789013539e-05i,0.00429673922979007+1.78638353135383e-05i,-0.0381321749669827-1.68499523129019e-05i,0.000399496840384499+4.10889103757744e-05i
0.0159384383981424-1.29933188766502e-06i,0.0165115406715591+5.7208692022812e-06i,-0.0285127859595298+1.21751662282467e-05i,0.00731114038158959-3.23841082915719e-06i,0.010619428959804+4.70042476442579e-06i,-0.0150576451295813+4.41994838661633e-06i,0.0121223493995294-2.43119560628041e-05i
-0.0106794656372689+5.02628867127226e-07i,0.00640941827324056-6.32940034729605e-06i,-0.0279777212398951+2.20046606983236e-06i,0.00489409330833306+3.98071560678647e-05i,-0.0361894791835885-1.52936112843756e-05i,-0.0437210876145272+1.04230932744259e-05i,-0.073713490008132-3.04822123944858e-05i
0.0258254566697545-1.34547975664696e-08i,0.0215734854728643+1.88556056511521e-06i,0.0605040642573513+1.09695787846342e-05i,-0.0157894299965994-3.28720665575975e-05i,-0.00466088995770628+1.1158740684657e-05i,0.0243926447219703-7.79842021561463e-06i,0.0486470195941923+1.63847869456387e-05i
0.0456998354807896+8.6529403618498e-07i,-0.0258814774592462-1.13741099835211e-05i,0.046524223896425-1.65904143740717e-05i,0.0677797411628332+6.43941538129036e-05i,0.0799480084407107-3.68620459310456e-05i,0.0270190199087677+4.50833506480001e-06i,-0.0695966078399213-4.10394664169644e-06i
-0.00200882030216559+6.25080902095016e-07i,-0.00752913371935069+4.10333926843729e-06i,-0.09910850830602-6.66138558620703e-06i,-0.0131951343558946-3.06059096766686e-05i,-0.0847911020249951+1.25255871371059e-05i,-0.0417132821164039+2.55453294969665e-06i,0.0341198625885814+1.85160075385498e-05i
0.012819980213014+1.22434825353431e-06i,-0.0465279848841733-7.0872239430135e-06i,0.0419937187522037-1.35161022467737e-05i,0.0101555685551084+1.13353569074567e-05i,0.0146451555926205-1.05985047886068e-05i,-0.00220080489529721-2.36007517692434e-06i,-0.0220327671842963+2.26762589545574e-05i
-0.0496899419410687+3.54290880746577e-09i,-0.106105287048002-4.80453438216657e-06i,-0.0468155112971773-1.29114412142535e-06i,-0.00299494096558975-1.11693095972496e-05i,0.0112836584110422+5.34084048392467e-06i,0.0233355983331561-2.84422900868519e-06i,0.0361500144533334+1.46977672485079e-05i
0.0491674367479187+1.01178527980151e-07i,0.00679178221755253-1.49268324453836e-06i,0.00232174222701351-7.85903454584122e-06i,0.0355676899005498+2.25617421991832e-05i,-0.00371850292288148-9.53085634847727e-06i,0.0116507086337577+5.32347778023843e-06i,-0.00283928204480979-8.85884884018549e-06i
0.0286042947170505+1.1262082805807e-06i,0.0152320873395467-7.7587315561525e-07i,0.0266730713467624-9.00260552891924e-06i,-0.0194991848876505-2.73455784078371e-05i,-0.0215256831097306+6.66662812361651e-06i,-0.0401208522873398-6.2835117584695e-06i,-0.000717259076770349+3.72998882583252e-05i
0.0797825752056273+1.0422132140459e-06i,0.0668776851448181-4.6530903076467e-06i,-0.00621099581224199-1.53922888596868e-05i,0.0561533970854964+3.4186857479021e-05i,-0.00609653958394392-1.46998613792332e-05i,0.0132404601445927+9.49925340698468e-06i,-0.0145654941505529-8.29277928294752e-06i
0.00123460828088382+2.33331878481195e-06i,-0.0639491103373003-1.00343529731975e-05i,-0.015762810581683-5.39303516326282e-06i,-0.0123334048399648-5.12779746016548e-05i,0.0168627048323434+2.04704783861593e-05i,-0.00111688815129826-9.12573417600421e-06i,0.0677224671785573+5.63836567735411e-05i
0.0708882511677064-7.23213789141988e-08i,-0.0174096359976952-1.05041163136235e-06i,0.0309818818805154+2.89214476897324e-06i,-0.00749094877152464-2.78768304739e-05i,0.000791026339481735+1.35388163723288e-05i,-0.0607293696442119-9.8956247532083e-07i,0.0177855038195933+1.33032684078287e-05i
0.0395979519778456-1.20301429019936e-06i,-0.000707848153461217-1.9523309831521e-07i,-0.0807381476158253+1.614477737717e-06i,0.0179105480758171+5.4659829921556e-06i,-0.00518810650584442+1.91801245721541e-06i,-0.0812520304315011+1.09447912137962e-05i,-0.0229048691583133-2.01582658860111e-05i
0.0290773333384326+1.90510309084293e-07i,0.0580772425328407-3.32668476793544e-06i,-0.165868115270207+1.21369423321224e-05i,0.0815328718277231-1.32222972289166e-05i,0.0251937550942348+1.77682119631789e-06i,0.0996106930110965+6.53785555327564e-06i,0.113549798729304-3.63565080857499e-06i
-0.0787809162205146+1.38365354053943e-06i,0.0678874713018407+4.41022281552334e-07i,-0.0853887863522522-4.93340013270143e-06i,0.00672078886503801+1.32452817086331e-05i,0.0394758292516169-1.37700865279426e-05i,0.023824010557074-1.54857096873372e-06i,-0.0417050860848977+6.93222135948399e-06i
0.0679661266927995-4.33223878452087e-07i,-0.0135793539672055-2.01639338770165e-06i,-0.0386691661567235-9.08583935013803e-06i,0.049918512906658+3.06050707560033e-05i,0.0136964966096103-1.5312226372825e-05i,-0.0376661068195948+1.06261775560408e-05i,-0.0305475075609364-1.50742497957377e-05i
-0.0115138574218507-7.02321146402177e-07i,0.065187113853039+3.51371769774473e-06i,-0.0705028352151803+9.03611807981097e-06i,0.0253684656799954+6.70145820466901e-06i,0.0356895692067265-6.75256533274855e-06i,0.00573710870544112+3.827626110146e-06i,-0.00820643158989124-1.65874357207061e-05i
-0.0203763002704569+2.98409227962853e-07i,0.0181805681228246-1.26836524127188e-07i,0.154052860238663-1.77984073198573e-05i,-0.0289105887385389+7.86235240197173e-05i,-0.0867611323698896-2.93149278348658e-05i,0.00300859860424409+4.36601969625904e-06i,-0.128873490881414-3.56282038803895e-05i
0.021201308735286+3.0162649388615e-07i,-0.0512309990549361-5.87216420195704e-06i,0.0180179729150612-1.30344676464864e-05i,0.0211322170531324+2.48561563334116e-05i,0.0628188809953657-1.27159967958575e-05i,-0.040591683404688+1.89705465011089e-06i,-0.0546893188402243+4.73777012620953e-06i
0.0403479500613057-6.74388591704578e-07i,-0.0657239150207464-5.6694930735784e-06i,0.0221906197968861+6.33102831826414e-06i,0.0459683124868352+3.9461692663048e-05i,-0.0213131180766487-1.14187015566826e-05i,0.0640437825321389+9.36903897629773e-06i,0.0293688452782423-3.81984616506888e-05i
0.0516682911127071-6.44961375894179e-08i,0.0130817184977933+8.62119636473332e-06i,0.00967211818342517+7.05687026720787e-06i,-0.0264846597546751-9.24019552753771e-05i,0.0258935413776509+3.91321063234454e-05i,-0.0143198489601027-1.39798458665876e-05i,0.117539673007408+5.14524173212986e-05i
0.00218922297728854+1.65424620629168e-06i,0.0512123719342593+4.53491223884811e-06i,0.059888630026696-2.58472468522825e-06i,-0.0720579947531217-7.88849406183248e-05i,-0.0238576420871488+2.98650567208292e-05i,-0.046822696750839-1.67841654337211e-05i,0.0368273032261477+6.45717367666965e-05i
