0.00747600215788156+0.00010294433005758i,0.0784535990647962+0.000220336496895307i,-0.0200607556368607-0.00011649222969153i,-0.032237156478898+0.000107680602779998i,-0.0150521202238674-0.000285766331461582i,-0.00244576575145118+1.44486466078067e-05i,0.0169263989531776-0.000228343658500925i
0.0234269123558263-4.21906134303985e-05i,-0.0105919757347058+2.84629070594461e-05i,-0.0275719502781657+6.70261078327295e-05i,-0.00506470189158964-0.000195541542680406i,-0.00575498347185174+1.30335182078632e-05i,-0.0449832535024793-0.000119786339884551i,0.0163697664086005+3.61705607788128e-05i
-0.0232847893382868+1.29832248738232e-05i,-0.0190082862104708+7.51884955524966e-05i,0.0139606186806265-2.59095321523747e-05i,-0.0336075741111434-3.16086443555141e-05i,-0.00811600109227595-6.04655009657947e-05i,-0.00608886643900561-3.92088669161213e-05i,0.0200491752283076-6.3908438487265e-06i
-0.0566769356892665+3.5968948340738e-05i,-0.0301955808559408+0.000164616691768974i,0.0228290318221569-0.000139808879437388i,-0.0164076607076969+0.000104558654237583i,0.00838648416797089-0.000114851057253619i,0.0307626707355067+0.000107561964913753i,0.0784708001282315-0.00010791541798651i
0.0501672596824876+3.35160438071255e-05i,0.0780775981848217-0.000107756968438391i,-0.145689862778001-9.11280804360697e-05i,-0.0472495315673268+2.07872321700713e-05i,-0.0702106909532325+1.4992229128814e-05i,-0.0440244295683346-1.84223004354418e-05i,0.0150275204324253+1.82070351902752e-06i
-0.00802778972686903+4.64191540031718e-05i,-0.019614986114933+0.000287943245306501i,-0.0234876936869584-0.000151346684261773i,-0.0136599257607282+9.60343663566229e-05i,0.00674730192234494-0.000252410845722269i,0.0438588724328324+9.96596785474737e-05i,0.056850382552423-0.000197302924272365i
0.0432817652374657+1.95686243440133e-05i,-0.0394249796012738+1.50922362769983e-05i,-0.0468538621350761+2.22510100622398e-05i,-0.0362821369014644+6.10049759766056e-05i,-0.0182689244122069-5.21117636176424e-05i,-0.0363473009412787+6.80420836579841e-05i,-0.0220226215390983-0.000119352422405459i
-0.0539291750317944-9.14358507412307e-05i,-0.156021874262316-0.00010503368257609i,0.0812831401618977+0.000148887990780792i,-0.0672709582180185-0.000166022855761768i,0.0588212084059204+0.000201263886203111i,0.0404064100061489-7.11170451742501e-05i,0.0258566477502943+0.000238367048492002i
-0.034263893476818+8.5254879294794e-05i,-0.0310030499404706+0.000596310710320856i,-0.000384209414022299-0.000197087505017092i,-0.018244768080814+1.14121831202503e-05i,0.0568648081323988-0.000535542034499028i,0.0422032877763844+1.433274137897e-05i,0.0548800749513704-0.000344625861749074i
-0.00738976303649455-6.7423438457926e-05i,-0.0505992299065805+0.000169276318547048i,0.0831287692438073+5.3051630783916e-05i,0.0557243711538175-0.000304267716261097i,-0.0841914344568039-0.000124086027830463i,0.0082309729544106-0.000333072217900167i,-0.0520824147107275+9.73771068959079e-05i
0.0196150360643455-2.52702902619648e-06i,0.0236159291377458-3.46350858886323e-05i,-0.0961657963124748+3.5483272540154e-05i,0.0344823655612605+0.000225775897501292i,0.0492944759717923+9.56632563486653e-07i,0.0179383747232724+0.000181725309113429i,-0.0014144315923096-4.24293307721851e-05i
