0.002805384646768-8.94018983311738e-05i,0.0318836531466003+7.82192532745406e-05i,-0.00825087731776493+0.000270417852968142i,0.0112049282575564-0.000626132554898058i,-0.0603934285263273-8.49771621152104e-05i,-0.0179467940779469-0.000466506964175524i,0.025078653911777+5.10950680934498e-05i
-0.00336075257117113-2.51338274767648e-06i,0.00178666577163652+0.000102251544813626i,-0.00810590985882179-9.78068074973387e-05i,0.0264723304727063+8.72235249412157e-05i,-0.0198517614804501-2.36152404974827e-05i,-0.0174472243464112+3.55495287812356e-05i,-0.0740967310468563+1.74626129211756e-05i
-0.0327347298417804+0.00018343762964652i,-0.0637941606145839-0.000181446977472372i,0.0557714390750806-0.000594080175436545i,0.00670774403941282+0.000312864200879739i,0.0894675928380092+0.000286965587028347i,0.0238173967657097+7.95903017363677e-05i,0.105432183204533+0.000332075310901803i
-0.0105280939255408+0.000234268572451313i,0.017254819237137-0.000270042883916507i,-0.000682028112380273-0.000489444514188855i,-0.00633369224979612+0.000692709337589893i,-0.00220871922410145+0.000188862020945474i,-0.0123559602195699+0.000304162246737193i,0.00603963014889285+0.000115596212726805i
0.00764545630245283-6.98883830230031e-05i,0.0303079971688797+1.53041581470921e-05i,-0.0461621121086992+0.00023857894657572i,-0.00929121352051507+2.67398892815285e-06i,-0.00957258527984327-0.000122766146244827i,-0.0260419755715191+7.27535270219742e-05i,-0.0903253102537209-0.000149690891870563i
0.00386484651913125+0.000104913332198548i,-0.0221162047938437-6.61492848433774e-05i,-0.0111120321344586-0.00044075312021562i,-0.0085744965783692+8.57405523622658e-05i,0.0208164204427154+0.000142507881956745i,-0.0161164473829364-7.38493771370315e-05i,-0.0250343986260102+0.000275931369708348i
0.0214872534288008+0.00010645248728527i,0.0736556745487652-0.00013047188985463i,-0.085467037478204-0.000216501284261602i,0.0103013800970457+0.00032083171428139i,-0.0098311275646034+0.000118187618924895i,0.0344956589308702+0.000212097785087769i,-0.0411146562366601+7.27944265512531e-07i
-0.0190994106310931-6.10183799675474e-05i,0.0207468752045061-1.35614749510818e-05i,0.015924886906603+0.000313709875381972i,-0.0020821443041777-0.000159268563244216i,0.0403112667293012-6.31870187332562e-05i,0.00210507705048745+5.42995925497138e-05i,0.0766674435792577-0.000139383042135516i
0.0315417401171808-5.56154259798901e-05i,0.0545985410705441+0.000112336349405624i,-0.0558015489124448+0.000196746714210607i,-0.0142712635985889+1.5876088172221e-05i,-0.016257025994159-5.84064118060825e-05i,0.0391530860426818+0.000117109846006355i,-0.0332131252937086-0.000195658860274505i
-0.0273792626666066-9.98568514666713e-05i,-0.00991508794552958+6.96995378476281e-05i,0.0876098633047132+0.000488867613555774i,-0.0756832737049486-0.000429626705701835i,0.0366084590334758-0.000216596790501462i,-0.0150160666468065-0.000325818730130303i,0.0231076169751823-7.53085003676995e-05i
-0.00543950706448721+2.62611322264122e-05i,-0.0623689989764056-1.15897324051738e-05i,0.0387154047210238-0.000180764336702724i,0.00947840235806959+0.000103814885814395i,0.0363498038785069+8.08646593848021e-05i,0.00612194318936013+4.28801726918978e-05i,0.0243534715920296+8.92633939213192e-05i
0.00969365668442201-5.03341481991305e-05i,0.0653154990619148+3.07565316007847e-05i,0.000531599218202705+0.000201052127110529i,-0.0378651861371997-0.00035918380507204i,0.00515702391115691-6.21767562740657e-05i,-0.013642025288587-0.000230631025149142i,0.00211953527068343-2.63736461045777e-06i
