0.0091572221391223+5.09455022133552e-05i,0.00633145486802974+6.11740487147441e-05i,-0.02959524947529-0.000556744217957986i,0.0253656598189951+0.000211112546275533i,-0.00777040581078036+0.000120938767489015i,0.0221234746899769+5.8768013560142e-05i,-0.0256008616071838+0.000178025304516009i
-0.0208214037911716-4.82234692713859e-05i,-0.076173769724637+4.80810054219556e-05i,0.0600247677623005-9.49987417131643e-05i,0.00722288578931137-6.59050384082662e-05i,-7.83246032467289e-05+6.08610229825142e-05i,-0.00183345036057661-2.29344255501942e-05i,0.0659462238078974+8.78769698599022e-05i
0.00329462107472722+4.49924831942722e-05i,0.0834727061094786-0.000106968598338235i,-0.0407501347225953+0.000356953688955981i,-0.0431265121437239-1.63890434402318e-05i,-0.0316067133915967-9.13399175206875e-05i,-0.00530964849124425+1.63627848766019e-06i,-0.0272642215348638-0.000165696371796122i
0.0178061748375361-8.62257011802958e-05i,0.00273315675303432+6.59437915271016e-05i,-0.0429091319462249+0.000105913197315949i,0.00922754446336969-0.000266783235944674i,-0.00701216509356051-9.82463860234861e-06i,-0.0181552595987487-0.000146361594917094i,0.0198913225465201+3.08091547128153e-05i
-0.0195788899001062-5.23517179294513e-06i,-0.0296458897042435-7.05788748075993e-06i,0.0452488833324231+9.81887770724392e-05i,-0.0229647322768346-0.000120935534126136i,0.0153461973030124+1.74230888877582e-05i,-0.00361132172208151-6.97807677508105e-05i,0.0227652545855833+3.87298736835108e-05i
-0.0327594200535013+4.75987115751324e-05i,-0.017247589979867-0.000102461310104445i,0.020735850652147+0.000158266190380482i,-0.0244098705811351+0.00011310238104189i,0.0214640334429138+4.24991460134102e-05i,0.0211972715806317+0.000117356817030911i,0.0566766029912135-5.79845390956319e-05i
0.0412949526662678-2.88689529146483e-05i,0.0302577727871406-0.000112243041279184i,-0.0931045586761792+7.96126539365293e-05i,-0.0340617354104663-0.000251474577055232i,-0.0352053195175987+7.05817624746291e-05i,-0.0507702245021849-0.000125068901941824i,-0.00733041888080804+4.6513383155903e-05i
0.00191848228750292+2.47690433975023e-06i,0.0193355706910346-5.06109070424969e-05i,-0.0402346553896893+0.000289334554671555i,-0.0138961012424121+5.02526169980809e-05i,-0.00805781309109244-4.12595297991703e-05i,0.0299518782183169+0.000128507800266665i,0.010332339296491-0.000144459193359363i
0.0267549603757767-3.86917419994006e-05i,-0.0198844057319928-1.8265638351348e-06i,-0.0521897889751641+0.00014199711883946i,0.00486543901386483+2.46803917630027e-08i,-0.0180168817900126-1.72952949132861e-05i,-0.00536890422813879+6.89194257826655e-05i,-0.0164008475935225-8.03279416533796e-05i
-0.0398699800870825-8.4379756400499e-06i,-0.103057112159204+7.61069877174355e-05i,0.0675005648969113-0.000230689815912534i,-0.0362401749889208+7.46243827724374e-05i,0.0511914730963146+2.67338668781509e-05i,0.0291636983971009-1.92505754126639e-05i,0.0522783470258961+0.000121400440926634i
-0.0171472513649976-9.1087273548162e-05i,-0.0241190325408117+4.14419726512812e-05i,0.0225332053967088+0.000684378691021319i,-0.0263635316693785-0.000331534388416581i,0.0574843002076043-0.00014248585666041i,0.026252803845321-7.27938497649287e-05i,0.0441810373560545-0.000167961466813495i
-0.026825144616792-7.96923009613961e-05i,-0.0222421552095801+0.000173164995649459i,0.0692692568175392+5.72863134837796e-05i,0.0214759557302297-0.000401880307063549i,-0.0616566706149064-0.000107381925017021i,0.00999410023588668-0.000355962355290991i,-0.00564233128066426+9.12154359654341e-05i
0.0151808190681721+1.72589564225906e-05i,0.00714213972533326+4.33191667321444e-05i,-0.030819199259951-9.1199185773136e-05i,0.000174020977569768+0.000218175823488234i,0.0380804705083631-1.53177938572269e-05i,0.00361444577653547+0.000170036587432297i,-0.0184283775209495-5.65749373584979e-05i
-0.0350569762405495-1.16211699299137e-05i,-0.117171749093358+5.32969064374799e-05i,0.063629533448109-0.000233219719842106i,0.00550441707890808+0.000139363832377339i,0.0602578813276163+4.2794719629868e-05i,-0.0181127504521884+4.05288429879966e-05i,0.0281263326595358+0.000119362604668593i
0.0261554752594224+5.60072893340015e-05i,0.0374782697989667-4.31425670678882e-05i,-0.0812675583149496-0.000102642412834379i,0.0175592398101315+0.000483933034641763i,0.00561680329937681-1.04640491950847e-05i,0.0281203252179802+0.000369194210231494i,-0.0193191736749398-0.000163163924084666i
-0.0186218907307834+4.60725378560941e-05i,-0.0686294792753143-8.81441506645176e-05i,0.051134785987511-0.00012200406991568i,0.00819551898960318+0.000378260961060819i,0.00559348151039495+9.31071490183435e-05i,0.014064850451015+0.000290414911347284i,0.0337965569360151-2.22585905821298e-05i
-0.0203132084753011+0.000182685533631213i,0.0135668360884754-0.000222520676997543i,-0.0123855158793066-0.000314666879466999i,-0.126354378736141+0.000397803885277799i,0.0345114596164744+8.86372876235271e-05i,0.00460231969434375+0.000134791685435581i,-0.0549179301848746+5.1768346846484e-05i
