-0.00906752775533945-3.78598776775112e-05i,-0.00323748181555371+0.000129747785369585i,-0.00473395623200228+0.000238333942731941i,-0.0179214128438777-5.51580626512326e-05i,-0.0417128680742928-0.000102750435645481i,0.0420390395235499+1.36853275754308e-05i,-0.0418679171527152-0.000107151070133337i
0.0015233788801261+1.3791740039073e-05i,0.00961822801357359-4.42353933000121e-05i,0.0315808009787335-1.01972114307741e-05i,0.0138868159246856+0.000220083107048967i,0.02276632898172+3.25456028086193e-05i,0.0045361862367045+0.000173383609289117i,-0.00313313815285603-5.87756659944211e-05i
0.00726703238242429+1.89746270828281e-05i,0.0271035507670923+3.9363071394211e-06i,-0.0160690275875601+4.71681896485349e-05i,-0.0337669954486565-0.000398073146245817i,-0.0497587676648228+3.05100369880557e-05i,0.0301003396916406-0.000324370351540673i,-0.0232299813628392+0.000172043962275979i
0.0186140295764638+2.14613768932577e-05i,-0.0433213752578494-1.77284846885258e-05i,-0.0152622079743346-0.000420468960326431i,0.00669429024378532-0.000183625147247654i,-0.00045584008676235+6.42617401963158e-05i,-0.0563459329612981-0.000268279016393419i,-0.00867036349651115+0.000266179307875784i
-0.000826778113329053-1.28351272095824e-05i,0.034903547381127+1.89301000887655e-06i,0.0269154892387183+7.86119266301592e-06i,-0.0134657809789432-0.000202995974674862i,-0.000542239358286641-4.10935108535371e-05i,-0.0450665766296651-0.000285019629768497i,-0.0351751155946844+0.000126479103404131i
-0.0130574702570977-1.15226127159694e-05i,-0.052590804167126-0.00014812747452031i,-0.00362920564841732-0.000109467689429273i,-0.0472542829075717+0.000107820300382615i,0.00985224956092892-0.00010519226207426i,-0.0306438338719596+3.34662480421991e-05i,0.0898645055642332+6.85774263731637e-05i
0.0133841308273541+2.42071804062689e-05i,-0.0116125899864114-2.50142676679413e-05i,-0.0165526350525806-0.000320159028828391i,-0.0242557009716573+0.000120411309373464i,0.0563787773157339+0.000160846504554001i,0.00131806371447993+0.000156201079943204i,0.0405755643048116+8.37333940421324e-05i
0.0291550972486283+2.07504334537617e-05i,0.0041044724061755-4.157465788907e-05i,-0.0160775806235104-0.000180062144301717i,0.0280889050628611+0.000384950750439486i,0.0616125537500708+0.000134966829130883i,0.00536029245326069+0.000324600087128137i,-0.0417144208133751-9.78949077005419e-05i
-0.0180963565969194-1.75238287644703e-05i,0.00564147368717334+9.59378738661261e-05i,0.0271922024821127+3.56921381148276e-05i,0.0138051967065954-0.000441281540851807i,-0.0219018583367471-4.81087834951243e-06i,-0.00739722919691782-0.000293333659270414i,0.0564848996888874+0.000114231137436285i
0.00100888355087263+0.000118899465873469i,0.0533226301313335-0.000122469295975806i,-0.0199800623789546-0.000381767099283752i,0.0169545615424403+0.000427921075397761i,-0.0106834921039017+0.000229597070132467i,-0.024154977687372+0.00024299525343593i,-0.0963951798370354+8.83304469194634e-05i
