-0.00612441944036232-0.000102711108956266i,-0.0119638434357069+0.000229366750903541i,-0.0015229530015418+0.000393393665452661i,0.00959851600824256-0.000594981469411733i,0.000847099486519087-0.000158891189508481i,0.0396151345370584-0.000300436292252619i,-0.0152932309093487-4.44935598568647e-05i
-0.00197063926855404+1.77964268342182e-05i,0.0059644643697741-3.18374312278811e-05i,0.0513149909271545-0.000126130607924369i,-0.0087616600884975+0.000102519667279446i,-0.0345693208985262+4.36225329897674e-05i,0.0299603006137499+5.15059896401293e-06i,0.0393568008941475+5.35854387266213e-05i
0.049781182325428-2.07421988109802e-05i,0.0338225752062904+0.000118700027947485i,-2.42012875937545e-05+0.000271246074263509i,0.00690563830955942-9.80625385895207e-05i,-0.0428025991007672-0.000115739343831744i,0.040194090898761+6.31913719514222e-05i,-0.0200133806731208-0.000208597069613605i
-0.0830333062963577-3.31990011365971e-05i,-0.0737808052228208+4.71184137543323e-05i,0.0871010744694707+0.000114548555950449i,0.00141016311773436-0.000166184542519651i,0.0177689203331476-4.64849361896877e-05i,-0.0330186075409158-0.000106385508978106i,0.0564649003761331+4.39135069621271e-06i
-0.00186333248201493+3.63737782004308e-05i,-0.0533752608996701-0.00010926443676252i,-0.0316821489156436-0.000197748663965974i,-0.0051382228257393+0.000223806881958504i,-0.00294654087873925+8.99847660897843e-05i,-0.0111807132835562+8.56104583452895e-05i,-0.0406774529046252+6.46122703415e-05i
-0.0469519587357035+7.09099143663892e-06i,-0.0524662999600767-6.4589135103078e-05i,0.0902614181749479-0.000122367377061606i,0.0108821871652897+3.93054624918237e-05i,0.0215457548851701+3.11794475304724e-05i,-0.0518907625207614-6.00608046239237e-05i,0.0397850069828419+0.000104420596037214i
0.0510916425459857+0.00011626304443614i,-0.0105216899171957-8.13525741572073e-05i,-0.0839925398555132-0.000341345644652957i,0.0750110935145152+0.000237407919647066i,-0.0247108936755309+0.000127083587000603i,0.0133773215792583+0.000123125984106021i,-0.038372989492195+0.000124628554747063i
0.0494739602056527-1.08826773138358e-05i,0.0494102393513246+3.79916219493009e-05i,-0.0629803681886979+6.37825917499954e-05i,0.0105369788500385-9.71977701384382e-05i,-0.0292952767067122-2.35356967299222e-05i,0.00179833918408669-3.59191350719725e-05i,-0.0244425176244613-1.2702843073055e-05i
-0.0182810830096257+6.63868264143617e-05i,-0.0611605344891184-7.73930510129398e-05i,0.0575756053982103-0.000141449615288336i,0.0192399023485602+0.000310075756824053i,0.00927100526799153+5.56143681071319e-05i,0.00265981555631604+0.000222210357132571i,-0.00805366218282769-5.53313642160576e-05i
-0.0228418257203258-3.76713067879182e-05i,0.000357215237007637+0.000105296155781573i,0.0202374603442065+0.000342465137580961i,-0.0104597065242631-0.000162164257234894i,-0.00380520597953853-0.000140540100463831i,-0.0217012627178626+1.6586795551943e-05i,0.0316643339536752-0.000208765820860031i
0.0342567107327976-6.31993968986403e-06i,0.0467809112268422+2.60386132403204e-05i,-0.0604819213282549+8.05903088508134e-05i,-0.00498738048190186-3.65190580954349e-05i,0.011139357161093-4.05708362347325e-05i,0.00446110605994953+2.5130101386179e-05i,-0.0499504367660812-6.52477004996377e-05i
-0.0240476271160313+6.40397460830137e-05i,-0.0533578461202589-4.61834717820344e-05i,0.0302932927953133-0.000223580640068603i,0.0497628837410898+6.04407861939872e-05i,0.0249265386098054+7.83024720563531e-05i,0.00726607491615873-5.08474540119545e-06i,0.0263588722194038+0.000135046843180146i
-0.027952448752788+1.73459260524682e-05i,0.00128746882900766-5.67135076910297e-05i,0.0422820391655573-5.89874238758559e-05i,0.00730580622053621+0.00020524381440259i,0.00617761579026184+2.67243666097576e-05i,0.0244017314289832+0.000155873299969799i,-0.0139303740149876-5.59538036466993e-05i
0.0440609111506966+2.47881603781917e-05i,0.0260448321711594-2.47006606825932e-05i,-0.047104556663246-8.56155192047611e-05i,0.0168849715448784+8.04450804442031e-05i,-0.0140041219484368+4.52405726881124e-05i,0.0257099542918063+5.8843116184237e-05i,-0.0343279246153801+1.32409116145494e-05i
0.0139572586789998-6.0602689905573e-06i,0.0113541697031212+1.27792789216709e-05i,-0.0198423565813004-1.50558226210597e-05i,-0.00135231272399876-0.000101905062139104i,0.00339098335049054-8.36549419343913e-06i,-0.0289846998790046-0.000105323629520333i,-0.040909074012391+7.57693299126657e-05i
-0.0183765189054108+5.76872081966355e-05i,-0.006859171307378-2.87741165956893e-05i,0.0739151811255273-6.56425021342956e-05i,0.0566569715751384+0.000261253314209728i,0.0309717726318007+2.16506230278114e-05i,0.0460301981132912+0.000236722140376428i,-0.00649686934864004-0.000114446709675985i
-0.0223132447779139+1.2397833214715e-05i,-0.00849632977767183-4.8873957772784e-05i,0.040026047497655-0.000162873791745782i,0.0117361421926553+4.07556837450908e-05i,0.0169015985738615+5.31086968380809e-05i,-0.0290718023451539-6.21414360637753e-05i,-0.00239765198732606+0.000123836245005309i
-0.0291178087194427+1.20010103611066e-05i,0.0280852301837743-1.11766674639344e-05i,0.0437940479088194-8.84654136981737e-05i,0.0180699008795755+3.32196259603396e-05i,0.00769191340978867+3.20076593610676e-05i,0.0181035004616936-8.93345509634161e-06i,0.000128410224176888+4.78176672108624e-05i
0.0331068124273736-3.72761645603949e-05i,0.0592730521383316+6.80630464374752e-05i,-0.0690445143567395+0.000155572423273427i,0.00962127730789032-0.000175413216641521i,-0.0248499243567391-7.45016695845523e-05i,-0.0413357240429488-7.25422838021294e-05i,-0.0505790587104085-4.04248087858831e-05i
0.00633099411117232+6.22781478391341e-05i,0.00753330231188216-0.000155968611313976i,0.0060198916408119-0.000425046923121955i,-0.00236460424997965+0.000257608220209669i,-0.0246071055217824+0.000157400787153355i,-0.0247949067148792-1.26985411591942e-05i,-0.0366688009041014+0.000238689342719907i
0.0100838896817075+7.3560540434472e-05i,0.0234662645553187-9.91819041613713e-05i,-0.0720153261541962-0.000136282144184325i,-0.0203332706817698+0.000277768634457514i,0.0378678394883004+6.85943018545643e-05i,-0.00428210623720441+0.000222111427645865i,0.0168743594882765-3.64627251001073e-05i
