-0.00484669292424056-3.09432088265779e-06i,-0.00764061562670734-1.73385884287781e-05i,0.0251607702472441-2.82390327664079e-05i,0.0161878404022622+4.12576149823147e-05i,0.0031517780889439+1.48500082015473e-05i,0.0124683063991137+1.93750836223831e-05i,-0.0326295586365228+9.87540149619945e-06i
-0.0435601030108742+4.68201455198867e-06i,-0.0285316824424078+2.24095650098514e-05i,-0.100061417433806+2.92107724839892e-05i,-0.041463509826837-4.64325835190576e-05i,-0.011476300982163-1.43204605709144e-05i,-0.0119524288081157-1.8939242880131e-05i,-0.0212242742901563-8.4407700231855e-06i
0.0313746191034474-6.95132808260866e-06i,0.0204490128091846-1.86302537088687e-06i,0.0817640564993508-1.05291385138083e-05i,0.022694848844993-6.28069243480958e-06i,0.0297456599991855+2.43098399286824e-06i,0.0172799667442466-1.61409730043071e-05i,0.0034805278040439+2.12522586328854e-05i
0.0143984741747928+6.20249974069645e-06i,-0.0642246552581807-2.99743388145293e-06i,0.0443356287487919+5.19996916232765e-07i,-0.0140046740992258+6.62551479629772e-06i,-0.0274921464101143-2.56590003655218e-08i,-0.00983755598831182+3.49532035521149e-06i,0.0701624474902816-2.91587289543566e-06i
-0.0509330814099278+3.01339794458478e-06i,0.0438414442296419-1.59131030313094e-05i,-0.070953292883658-7.22199606370284e-06i,-0.0884852789491346+4.52523861886444e-05i,0.0352066315043234+6.23245694457647e-06i,-0.0183651583837692+3.52903640225837e-05i,-0.0892618762524211-1.29618321799312e-05i
0.00630301888919519-2.30979542266628e-06i,-0.00838366188324893-1.19405383818601e-05i,-0.000182815599682571-2.00008154382065e-05i,-0.0106856810858745+2.62714839162306e-05i,-0.0263983007185677+1.17797560390671e-05i,0.0279736692502504+1.24343822190783e-05i,-0.00919544202403205+1.04779571998392e-05i
-0.0246367231802822-1.12399979576372e-06i,0.0537760129945478+4.0783745028296e-07i,-0.0234546872969368+1.49783924885802e-05i,-0.0162983792109982+1.78993824664396e-05i,-0.0272627239149409-1.5605559044729e-06i,0.0314193587479324+2.14011659252962e-05i,-0.00448507017861159-2.60802391296135e-05i
0.0207678723426247+8.97771341416761e-06i,-0.00922106588277977+9.75764911532551e-06i,-0.0240879703142365+4.59300092318552e-06i,-0.0201759147398767-3.07857589949269e-05i,0.0224872650055366-5.35700967825614e-06i,-0.0011595824449162-2.22037488351737e-05i,0.0186696321674081+5.90845361635636e-06i
-0.00586675890213184+9.01192929107002e-06i,-0.00743719769770998+2.2917529306693e-05i,-0.0290394280581252+4.05064162542507e-05i,-0.0394586478090169-3.7821714508111e-05i,-0.00152161625797058-2.07830795861128e-05i,-0.0534165243118779-1.17306304119619e-05i,-0.0155513610888681-2.7263879839319e-05i
0.0488854228300909+6.38277019497298e-06i,-0.0230881677315819+3.06855269755217e-06i,-0.0184703153602389-1.59013053101036e-06i,-0.0445151108169453-2.61132064498615e-05i,0.0191823952619243-3.17220471556814e-06i,-0.000256731500237496-1.89904504618371e-05i,0.0382985716100644+1.30794531650165e-05i
