0.00514789327275713-0.000168072849465899i,0.00836658807265635-0.000279252357925371i,-0.0101762931036652-0.000134891018053903i,-0.00501667999047787+0.000498834578763894i,-0.00371627581882122-3.7201591647774e-05i,-0.0701906656007936+0.00035060678055338i,0.0273431036483455+0.000164637514237525i
-0.0216089776057489+9.21596825575877e-05i,0.0155809266460883+0.000208372020601535i,0.0377932583482836+0.000300436215765345i,-0.000840217554483819-0.000167883261603115i,0.07992626085727-3.00988099291881e-05i,-0.00855411839264874+0.000267118199372919i,0.0324317602131109-0.000381864737849789i
-0.0069199804800517-0.000134845964135253i,0.00692127683063364+3.32685671308842e-05i,-0.026020945582219-0.000118860076944708i,-0.0222957349885786+0.000168691794433665i,0.0487805410468873-0.000163932939528788i,-0.0250213873451312+4.75319086009436e-05i,0.0146172278150463+0.000429884187664425i
-0.0384711516960709-8.19628204079618e-05i,0.0608364863503835-8.0115412713533e-05i,0.0392050304079775-8.04953280605999e-05i,0.0444689458060103+0.000138983412115775i,0.0220723112622083+0.000141300415769078i,0.0626697083649774+0.000320695329145213i,0.0630587960620422-4.23674433109631e-06i
0.0151825924070344+3.25041885882911e-05i,0.0528393836622635-8.80828965834457e-05i,-0.045520070851086-2.53459462081453e-05i,0.040461564572961-7.33634515226814e-05i,-0.038177875228108+2.79064800745034e-05i,-0.0386281395957646-0.000135671303467245i,-0.0143519064359238-8.35306968810441e-05i
-0.0409948769348449+2.73526338049467e-05i,0.0389577163129652+9.94595015440715e-05i,0.0260272650354692+0.000160206647834251i,0.0262223614297763-0.00014130975536029i,0.0326876005523682+0.000201330613072839i,0.09930793626901+0.000189313033239835i,0.0580344555461227-0.000234818953547388i
0.0336080666487907+0.000118121455646183i,0.0254337461432027-0.000132613087181214i,-0.0516886147691978+0.00026796848711206i,-0.0736524319332305-0.000438685147741527i,-0.0217731108645991-6.5840780144431e-05i,-0.0588440049083282-0.000603072315823368i,-0.0538331226410727+1.05467623250239e-05i
0.019638588490202-5.25528011205525e-05i,-0.0378870741319258-7.00556022984592e-05i,-0.0490366969279375-0.000133310828475589i,-0.0170466850893959+0.000296484194294133i,-0.00415853713162647-6.42559556406747e-05i,-0.0237278330221728+6.59632175261752e-05i,-0.0455768406953491+0.000150629243720479i
-0.0131734141210251+2.09113610190204e-05i,0.0796145006200293-2.32554823891458e-05i,0.0175796059383106+0.00012970694508767i,-0.0145320470502348-0.000376368317606567i,0.0212040875297201+3.21501570785965e-05i,-0.0147275552934122-0.000323934066057776i,0.0372503433281912+0.000103095913229255i
-0.00817179789796458-0.000222278362319018i,-0.0155698276840523+4.99749248787631e-05i,0.00263202040271375-0.000305785894853767i,0.0283786505268567+0.000297276955092256i,0.0105660531698636-5.00846036452954e-05i,0.0436790051601416+0.000151265733551918i,0.000896290156124909+0.000466544008712107i
0.0259380960653743-1.401092201238e-05i,-0.0697146840581603+0.000135518688694884i,-0.0651141648119365-0.000161158710320781i,0.00549390058401903+0.000125537717718717i,-0.041769729523981-0.000170778980533554i,-0.0285154137699517-4.12303781693693e-05i,-0.0204564264505071+0.000104425685874919i
-0.0158150124556637+6.15959168532707e-05i,0.0675580180022032-0.00011982616100569i,0.0416089349062566+0.000307860943854509i,-0.0346651761706918-0.000310265530173132i,-0.00435795731138515+0.000103309860864647i,0.00498622405959419-6.33947700657039e-05i,0.0477886828695562-0.00023336183401836i
-0.00811272002122782+7.08944258662512e-05i,-0.0230628809191682+0.000316007803444174i,-0.0110857850398078+2.26850658418234e-05i,0.00609985651619832-0.000306989341998338i,0.0125706320951444-0.000131855080399378i,-0.0114991205799755-0.000221127414265621i,0.0341685445256212-1.05708058157235e-05i
0.0178142447103678-3.11458561784473e-05i,-0.0105898482925352-5.9146650179856e-05i,-0.0286994785516941+4.8756841765466e-06i,-0.0224848506696044+9.98950290420963e-06i,-0.0205565404310626-5.28380655260027e-05i,-0.0213218993873141-0.000108341485753735i,-0.0246708988174619+8.71524378596835e-05i
0.0167342352617072+2.21525857732583e-05i,-0.00316161569609369-9.41242144450399e-05i,-0.0683339982507869+6.06667708781814e-05i,-0.0087483393982061+8.33153172562927e-05i,-0.0441111965676686-4.07323517898001e-05i,-0.0253559501407019+8.80398346234365e-05i,0.0167563832267955-0.000160516800125178i
-0.0371711547437531+4.29840446562747e-05i,0.00429603788800275+0.000193118466465276i,0.0392563121603543+6.21825296735461e-05i,-0.0575195890903644-0.000297635640680841i,0.0331351247624678-6.61691759873712e-05i,-0.010627261118531-0.00011194755217467i,0.0999943472997807+0.000150239510626529i
-0.00758095623823539+2.77640705152323e-05i,-6.9040562191286e-05+4.94949049400716e-05i,-0.0244623515219589+0.000197581998111243i,-0.00255450716504006-9.18686142900415e-05i,-0.0148402369314966+4.1590252784602e-05i,0.0414662543575741+0.000212379587246012i,0.0390160254806571-0.00030321449614526i
-0.0135791704742304+3.3498745167262e-05i,-0.0342448725955683+0.000203707743701892i,0.00390881844531854+0.000119828281854422i,-0.0135089058636503-3.87802524269049e-05i,0.0198865044904668-4.37399574516714e-05i,0.0269452678158539+0.000192310672152054i,0.0195816096017226-0.000215121165974314i
0.0414210356205254-5.04305541828784e-06i,-0.0722441933174334-4.63174431282274e-05i,-0.102244648706659-0.000166077301751567i,-0.030682652627728+0.000223185525580561i,-0.0357160367143581-0.000147379710395922i,-0.0311561999119147-0.000159215561982328i,-0.0595526879334439+0.000240112922644928i
0.0182708334976333+0.000237418195744348i,-0.00520791222859118+0.000111615593259846i,-0.0683081002811021+0.000377906340010543i,-0.00171377225496534-0.000459713098704832i,-0.0122377655799598-1.17274378107446e-05i,-0.0149099177554786-0.000220797950729428i,-0.00900792612110972-0.000584195985114107i
0.0265286118430383+6.45454148777231e-05i,-0.0322450644889233+3.70980821939262e-05i,0.0222249356939642-6.93780413894479e-05i,-0.00583328488480562-0.000351556687075062i,-0.0626924250819322-4.60187815265506e-05i,0.00709022531811795-0.000600805617343689i,-0.0522169972584426+0.000178415036798515i
-0.00708177770850881-3.21151919400759e-05i,0.00780097813258932+8.20825166085666e-05i,-0.0125339967197045+9.08264515218447e-05i,0.023956455633736+0.000187577112985625i,0.0489207860452411+1.99308040824793e-05i,0.0139443220502429+0.000388064649175082i,0.0091072759458856-0.000165495107815698i
0.0344628895090788-7.68084411752424e-05i,-0.0724388975737054+6.88979803254476e-05i,-0.0854773146254108-0.000185807208024418i,0.0156941697445435+0.000460417069255786i,0.0066300635886748-0.000196533757144121i,-0.0498495327007749+0.000199209742172154i,-0.069504834296249+0.000118397557631975i
-0.0239295335032882-2.5082088919965e-05i,0.00051191155914625+3.37736540829047e-05i,0.0021458261601735+5.8280875791019e-05i,0.0434908627297716+0.000334382809827908i,0.0378129432705976+0.000105959417761743i,0.0600944138171393+0.000662180172061632i,0.0397385473484414-0.000318172896553977i
