0.00342902526697635+6.60516691816803e-05i,0.0387412770209505-0.000157183558576984i,-0.00212286798356434+0.000244612626085017i,-0.0297835314756007-0.000242430475962094i,-0.0365724606542947+0.000110211247599291i,0.0217906845324288-8.54464746639677e-06i,-0.011167539277535+0.000106698092528442i
0.00288280380429285-5.94335340711256e-05i,-0.0115679229497259+0.000256349174991181i,0.0477894290288672-0.000404568374224568i,-0.00285289188813807-0.000154612227393238i,-0.00396727382267865-0.00027501970374973i,-0.0243936002263069+0.000157012683395694i,0.015259841475776-0.000340447197457173i
0.00605240684583246-1.32437833770515e-05i,0.0241269397464794+3.87421976507315e-05i,0.0374323143509351-5.35402980146928e-05i,-0.000958115110692189-0.000112889777282214i,-0.00252140067171954-0.000216222476479454i,-0.0313635462365614-0.000121918324062035i,0.00164912026412097-4.10750166178375e-05i
-0.00810930916845615-6.45027495582192e-05i,-0.0615843030340268-0.000199645067956448i,-0.0223175587934565-0.000335003879653499i,-0.0182726672012325-0.000112975628583921i,0.00473511775854292+6.50599791605861e-05i,-0.0327828497711549-0.000466199827466166i,0.0311503714291447+0.000264803744309633i
0.00289033764863466-4.96572428024917e-05i,-0.05073286758769-0.000182809327319904i,-0.0119461391347036-0.000519944525448049i,-0.0285100976045865+1.73558039936607e-05i,0.0639840953176786+0.000303405657359352i,-0.0134248203118821-0.000124694849187418i,0.00392028415884386+0.000133422916626818i
0.0104751231024652-6.91301455909849e-06i,-0.0100159767731607+0.000125170230482368i,0.0215867127750992-2.7180271052296e-05i,-0.0111465882234211+0.00025582762138765i,0.0608850804787236+1.19616304871882e-05i,0.00941155932196108+0.000298950498808823i,-0.033516521924688-0.000141838476416125i
-0.0094171718936098-6.67319563098863e-06i,0.00439659285428872-0.000120627586133238i,-0.0142408979126725-0.000213845020637329i,0.035920670883855-0.000257644532386617i,-0.024841556260967+3.34853873036149e-05i,-0.0229956619665025-0.000412417544754006i,0.0504754327898746+5.58368853153085e-05i
0.00510233769188134+4.65221760747953e-05i,0.0606342501461718+7.43571460538465e-05i,0.0200456089484205-3.87266605170985e-05i,-0.00626486271100261+0.000238092453078302i,0.00453483857716733+0.000127084971596127i,0.0265781233232651+0.000964620861997099i,-0.0383621250483968-0.000339675084822869i
0.001422226021242-1.63854176785076e-05i,0.0357739166769373+0.000405012661782051i,0.0293488643575923+0.000142209531326664i,-0.0190801444803939+3.86765367255324e-05i,-0.0101104498668114-0.000571004308749822i,-0.00458962176923168+0.000217650781507943i,-0.000576729235380906-0.000541432022347931i
-0.00390427310749511+3.08474584916596e-05i,-0.0140050715626876+0.000174322478194068i,0.0202857102585689+0.000162308240902199i,0.0386459347469957+4.78651117872696e-06i,-0.0384915837419958+7.57876718637307e-05i,0.014769432074332+2.67972960047367e-05i,-0.0129996987211319-8.28475737542905e-06i
-0.00378035217366718-4.46156594856554e-05i,0.0313374343386713+0.000199974563553292i,-0.0137108605204707-6.57092956911052e-05i,-0.0118397043155477-0.000175990908992051i,0.00360526762137695-0.000604555705758587i,-0.0205749669943303-0.000449804203366i,0.0639453404507469-0.000351923594951597i
-0.00851453013732204-1.43631559289009e-05i,0.00518695703597026+0.00032064137101926i,0.0152000857043472+5.17984970631151e-05i,-0.0151178173871835+5.95771083222962e-05i,-0.052433636804106-0.00023511184927552i,0.013606002670651+0.000302625643199131i,-0.00837068587929302-0.000279191413328515i
-0.00859978180416593-7.74970300629319e-06i,-0.0919107898784883-0.000710119917150321i,-0.0434045324863289-0.000609003978858068i,0.0376748020165489-0.000163457319119552i,0.0404112707969308+0.00114619438234387i,-0.00396250580626458-0.000214685106600654i,0.0135494084134102+0.00071990197194672i
-0.00359065240163943+7.15402451695712e-05i,0.0157359791747589-0.00053053666237784i,-0.032934998462222-7.7728995664549e-05i,0.00909188160025972-1.34809803125374e-05i,-0.0219814666915816+0.000798689565256118i,0.0294029911948371+0.000435894275044731i,-0.0134658745459206+0.000354575713946141i
0.00328197690561768+8.34480726003049e-05i,0.0541845665711976+2.61186823315236e-05i,0.0122214090518532+0.000673477610194433i,-0.0309265021866626-1.12943115158527e-05i,-0.0492301467838844-1.66452838231235e-05i,0.0295335597147624+0.000328440395228517i,-0.0722954816095908+4.55548668839692e-05i
0.0039995198837339+9.3792036533526e-05i,0.00875665886225525-0.00038594166595032i,0.0072181101479618-4.48846410599791e-05i,-0.000917049024251718-0.000217539115364645i,-0.0193343107929508+0.000811695189148738i,0.0214916729345605+0.000407518319473481i,-0.0513745196491841+0.000336487395722405i
0.00524935411331984-3.26499999779767e-05i,0.0296160598569874+8.33064406084871e-05i,-0.0409003741137049-4.99135941480213e-05i,-0.0621766861291392+0.000287480735153195i,0.0447181812959752-8.24927350962051e-05i,0.0518680423799777+0.00058461857813024i,-0.0182582503266905-0.000219649890498442i
-0.0035196818437473-9.0768484466572e-05i,-0.041113852005435-0.000136532671063171i,-0.0561421346339581-0.000295246269342161i,-0.012186009307139+0.000144525965648015i,0.087308900942105-0.000113453953855787i,-0.0105690703892851-0.000349865213642383i,0.0500620931676109+5.32236174345618e-05i
0.0120030428794138+1.37667255355137e-05i,0.0350936074309707+0.000316853326986614i,0.00959950014621652+0.000209473954141741i,-0.0554774775882194+0.000274293654582176i,0.0280226603092817-0.000491739235976329i,0.0139887433327632+9.06581609160192e-05i,-0.00873050029293839-0.000322581585299765i
0.0068482064539951-1.45151151781924e-05i,-0.0457658327438295-0.000107684513845926i,0.0439123127186987+0.000100667764854363i,0.0137080624954849-0.000329975735502534i,0.0238129111309063-0.000121258063003i,-0.0628411001298559-0.000984310877426395i,-0.00528670678782989+0.000440089531721393i
-0.00155587344637375-1.47847490532816e-05i,-0.0504794374403744-6.83638489436746e-05i,0.0196127981903781-0.000243030506636466i,0.0427339441263232-4.65052815353062e-05i,-0.00345913389893039+0.000336827855477399i,-0.00780927456564795+3.6494908689948e-05i,-0.00497149534386574+0.000180431130018735i
0.00966495170441714+4.1246896222347e-05i,0.0397856411114712-0.000116457539605982i,0.0125218416664549+6.16112826030608e-05i,-0.021723381983511-0.000105352757085044i,0.0425746109644551-0.000113708415010012i,-0.0198579382007687-0.000133289939704002i,-0.00539740814070521-3.41932240387974e-05i
-0.000142276391406742+2.92169340058669e-05i,0.0102643953879706-0.000161970734522925i,-0.00174801286211019-0.000283238050249239i,0.00117617001974296-2.52650374481479e-05i,-0.0210823868109042+0.000575634810557371i,0.028030772850639+0.000513036560406567i,-0.016807545519458+7.28470343955557e-05i
-0.00907496231831707+2.93899356835817e-05i,-0.0308312964796864-0.000244425821787363i,-0.0252450951334335-0.000141044834864742i,0.0348575669820612-7.46665136677049e-05i,-0.0239929899226554+0.0004031256926469i,0.00208898116976639-0.000124707569246976i,0.0257949325802637+0.000182365700337381i
0.0083891431296056-1.92345161506878e-06i,0.0389299320174856+5.30781468703503e-05i,0.00546892138128201+0.0002883457730443i,-0.037653230183051+1.25609337912159e-06i,0.0296304454538772-0.000407441882748333i,-0.00711921404341008-0.000151255744041127i,-0.0151137450571749-4.76860971275665e-05i
-0.00238925620158081+7.99573905539124e-05i,0.0189632113523912-5.70490964388307e-05i,-0.0211936108850066+0.000300961828432518i,0.00505930486257579-0.000112690298102739i,-0.0259051151079293+0.000338589274238888i,0.0384018994330311+4.92766146687316e-05i,-0.0178849551329171+7.05128348681174e-05i
-0.000371485080066518-9.61319555489119e-06i,-0.0177598192412127-0.000147449841974896i,0.00881948768362627-5.90172025830061e-05i,0.0246974637468999-0.000147761841449531i,-0.00264387863481797+0.00018659631579577i,-0.0125528984281584-0.00014990906008082i,-0.00549332307325499+0.000257406898987015i
-0.00129727887992052-4.20768514857424e-06i,-0.0110486559222596-0.00030900466641164i,-0.027972734354566+1.81150030156316e-05i,-0.0111746189238616+4.84084200700844e-05i,0.0316936738778028+5.29694678331291e-05i,-0.0233287012026429-0.000354784349511769i,0.0108947478559255+0.000262642627713935i
0.00494461229030587+0.000127300377823538i,0.0603038249586975+4.2192594560065e-05i,0.0225894125680972+0.000261098060922936i,0.0142306003879561-0.00011495788196016i,0.00424639550243516+0.000200055931111152i,0.0250630137555388+0.000513733857196812i,-0.0282156683828727-0.000350052651921546i
0.00543822994492287+1.91033723335237e-05i,0.0258254881218718+2.35726544174171e-05i,-0.00135743083077091+0.000341542636072839i,-0.013476911704282+0.000183168379940539i,0.013891681573626-0.000187731188604646i,0.00194740898239611-5.10547115046631e-05i,-0.021358186180406+2.54816182082637e-05i
0.00171103591141174+5.48251741698375e-05i,0.00820794755217723+0.000216845449356292i,0.00708770795295088+0.000396686971261862i,0.0190327813014798+4.20778670478997e-05i,-0.0388266627619495+0.000120941602433222i,0.0453022427016861+0.000279309122656543i,-0.0402605518456144-6.25701105899423e-05i
-0.00388694626256296-7.28066944945157e-06i,-0.0773982690437188-0.000223419247039281i,0.00987524472183893-0.000271452555141343i,0.0168892113601913-0.000147636230397916i,-0.00321194832995742+0.000318826075444028i,-0.0394758524000928-0.000516548284499842i,0.00894629776991094+0.000367307008134729i
0.00206591542368929-8.7188922649284e-06i,-0.0203537987758966+5.67106009374405e-05i,-0.00217589249965427+0.000483239664881933i,-0.0111979147218296-4.24264309999785e-07i,0.0236977547145692-0.000451543143009157i,-0.028332491929449-0.000838236282176474i,-0.00830738906609223+0.000254842561814793i
-0.00748589302097832-7.60044893288973e-05i,-0.0187556493510139+7.37546239635253e-05i,-0.00557305451545592-0.000210376160289338i,-0.00374101298776727-0.000311648413209859i,-0.0406134880998833-0.000408796573191722i,-0.0323018647419309-0.000618110341004837i,0.0537816439476908+4.03695681590909e-05i
0.0037034452410034+5.02056306536969e-05i,0.0248491973972828-6.97882670270374e-05i,0.00454324742192347+0.000233297260687427i,-0.0245607172960455+0.000141800188338051i,-0.00810839065858683+9.88972913630071e-05i,0.00681285061992285+0.000245699356773051i,-0.0424659267971898+6.99746578414569e-05i
-0.00922515278584065+2.99593604602536e-05i,-0.0594173447412154-0.000400663369489014i,-0.0126040559537257-0.000130437261124669i,0.0316880362059001-9.03428808942336e-05i,-0.0567358357308868+0.000772286756227477i,0.0121388377751789+3.38226100250311e-05i,-0.0129688190497133+0.000574031056373685i
0.00318528464155079+1.66908821251253e-05i,0.0281400150519614+0.000110711775070044i,-0.00742394452201283+0.000173607178949235i,-0.0375084993314427+0.000449645160839026i,0.00929071522802162-0.00014451245301695i,0.0243717366833615+0.000517341102064197i,-0.0240710920359946-0.000246660391354771i
-0.00566377725573196-3.69625087626822e-05i,-0.0300932639039589+6.8218942788904e-05i,0.00914296229779223-0.000321569270824905i,0.0539638055602929+0.000330654830011518i,0.0194181185279814-3.05936738867948e-05i,-0.0243239263374717+0.00023081612735738i,0.0282811416448655-0.000198549475989947i
0.0143672149572974-4.74959755761949e-05i,-0.0577940784969004-4.88831433890053e-05i,0.0666716554248893-0.000417986945227986i,-0.0392739715263031-0.000129234949340718i,0.0498510204684813+5.25911056132855e-05i,-0.0397204172693969+0.000122308287290222i,-0.0386607021313407+2.89781989971942e-05i
0.0130298430489208-9.46581119799078e-05i,-0.0275866339128852+0.000158347573979976i,0.0388631529216993-0.000174075472334167i,-0.065296813450205-0.000125664738408549i,0.0710593192809653-0.000733499654684959i,-0.0677825821460314-0.000734619969847627i,0.0115927574847718-8.65999066619386e-05i
