0.0167705039312912-1.43403404890311e-05i,-0.000245192149667288-0.000168640583526973i,-0.00317498889080007-7.58995837467445e-05i,-0.00182669445420458+0.000165342688858701i,-0.01960801701722-1.76353059736995e-05i,0.123217155428422+4.06752622033177e-05i,-0.014002818226707+8.53527342524322e-05i
0.0250065959228131-0.000118060276146782i,-0.0670409006103165-0.000119423809682379i,-0.0845505104005825-4.87733499968234e-05i,-0.00334597927075334-0.000108548068363936i,0.0277307091380205-0.000170931559560324i,0.0821162093231148-4.08204426283702e-05i,0.123048936633814+1.52956557564813e-06i
0.00266066140928208+1.01131114132476e-05i,-0.0120207392412422+8.24139795832699e-05i,0.0338442459461336-0.000237584804468056i,0.0359049201175817+0.000125919590342231i,-0.00500399870707555+0.000214793716064387i,0.0976304479013422+0.000288280963810072i,-0.0373738367774939-8.63615746711342e-05i
0.00103408599104117+3.96745001675705e-06i,-0.00817111026292242-0.000199604854392819i,-0.041510817594028+0.000171163189214316i,-0.0644777348932427+0.00022315187318879i,-0.050646342922944-0.000188753184311031i,0.0608299428108375-5.66677427998887e-05i,-0.0258671103527125+9.32368976593105e-05i
-0.00194631303407984+2.35913819155056e-05i,-0.0253758729204682+1.88975329322234e-05i,0.00714078234747345+8.43070078898132e-05i,-0.0286275162121961+2.36824958707062e-05i,-0.0738971141749147-0.000110251276847081i,0.07166367223264-9.9819855146507e-05i,-0.0217451251407997+0.000123129987244294i
0.000121791621830402-1.17757806044283e-05i,0.0321860574601128+2.0701929312032e-06i,0.0404872734001703+2.52655489891853e-05i,0.0289319267692863+9.77510650827546e-05i,0.0299152544640089-2.45264223091763e-05i,0.00549458639020132+5.2783555706086e-05i,-0.0260671061491305-4.49097940522739e-05i
0.0135387643619557+7.71634776602193e-05i,0.0077096800694246-4.84738323140073e-05i,-0.0108544256136075-0.000101764922823391i,-0.00386738165033836-0.000212959337372468i,-0.029447683643224+0.000174089830763919i,0.0493764791069633-2.77000622010895e-05i,-0.0323198066146823+8.77821558294449e-05i
0.00452063730675673-4.17157242208456e-05i,-0.0600110391150116+0.000174838699090942i,-0.0432855309472509-0.000223976085033796i,0.039483958455405-0.000348139583894416i,0.0151895988363068+4.92919406936424e-05i,-0.0841274956016777-0.000119753000585277i,0.0219907551964669-1.86946610543204e-05i
-0.00500045112827905-1.59408623660784e-05i,0.030071081055207-2.9398425161335e-05i,0.0158552090290038-3.13710845883941e-06i,0.00310657596747765-4.6048578339467e-05i,0.0132433388266712-3.73803539554963e-05i,-0.0726405249175247-0.000119306200607404i,-0.026771194836755+5.19287436770814e-05i
-0.0076881668003709-2.92949967616194e-05i,-0.0216950254080401-5.91092176687116e-05i,-0.00105990475154163-8.35102225426535e-05i,-0.0398025988544868+2.5729745004569e-05i,0.0129028318705731+2.70168962519937e-06i,-0.0222396175771813-1.69695002776526e-05i,0.0786188852416832+4.12756743940885e-05i
