0.0471446950225218-4.31137367449745e-05i,-0.0670836225574642+4.76695543264104e-05i,0.0246834151326175-3.50616134080785e-05i,0.0776553359681989+4.34542147544864e-05i,0.0698654255457325-7.41562410473185e-06i,-0.0268741833611242-5.97100628856762e-05i,-0.139256369639836+4.3826200919898e-05i
-0.0718609642952771-0.000144959512442452i,0.0428256603787709-0.000230553367355266i,-0.0412551743940776-0.000181875237053769i,0.000553231165309289+0.000388242987817553i,-0.0106506605786459+0.000119131280049162i,-0.0221568224962363+0.00016027131441749i,0.0362843131375453+0.00023725728694815i
0.00279762488816375-0.000132226952646821i,0.0111102470286647-0.000213320083025821i,-0.0100313146883884-0.00012086339656304i,0.00119663117493361+0.000427027340797957i,-0.0194243416919887+0.000154755352507228i,-0.120819496108111+0.000238905826339489i,0.0421007959819564+0.000112944844711213i
0.0412270905902038+6.49149319650974e-05i,-0.0467650201396407+6.51460890043467e-05i,-0.0551855004377452+0.000131610037458687i,-0.0116715990621255-0.000174001872207325i,0.102416951557557-3.3245422034477e-05i,-0.0784274505089149-1.67847961752812e-05i,-0.000468214855839499-0.000113809543534875i
0.00321366329140496-0.000140707976369369i,0.00069553095190062-0.000140040993807375i,-0.0780545639891017-5.7704701981472e-05i,-0.071801727063231+0.000109273764872149i,0.0748389520211264+0.000138065289387456i,-0.0465351481167937-3.63931145566151e-05i,0.042735516394981+0.000282878801656913i
0.00293164321331541+2.67372468899692e-05i,0.0662163875055498-4.94895844707995e-05i,0.0365127687864612-5.85559799805229e-05i,0.0205181065057884+4.45491315999649e-06i,0.0510472642460897+6.39322886476478e-05i,0.00436045864332872+7.42549204448844e-05i,0.0267743394513345-2.96065550845081e-06i
-0.0731363341785846+0.000140973742283833i,0.149760838492753+8.45224196150987e-05i,0.0366698985420075-4.36657612199641e-06i,0.0685213085178856-0.000123328003788615i,-0.0121126340443894-8.76103875216913e-05i,0.0287736151986358+4.38713634189102e-05i,0.04924673247774-0.000161867142644738i
0.0194095200647282+6.20782941410998e-05i,0.0429817027439311+5.59160960101398e-05i,-0.0105105530412083+8.82880662181494e-05i,0.00108683488088969-0.000124163247195045i,0.0704960673905411-9.52641736045191e-06i,0.090567448654883+7.091846594051e-05i,0.0467428057213195-0.000128246865818929i
-0.0295454062516679+6.27309568947251e-05i,0.0291586424706485+7.69995451594984e-05i,-0.0242186944319706+0.000208185872237344i,-0.0688176601258405-0.000105534656119456i,0.0131300549779936-0.000154708695151885i,0.0215243147438271-9.74651993541254e-05i,0.00564029122478485-9.51352336706335e-05i
-0.0178810350602478-1.7349226781048e-05i,-0.0190734836646661-6.72308359820971e-05i,-0.0216791030673411-2.75455839662629e-05i,-0.0446354537800218+0.000136464387012794i,-0.00726212535265143+1.95083128186774e-05i,0.00505828460974499+5.80348089175434e-05i,-0.0111247848966656+4.29745731683703e-05i
0.00754855058905817-8.94662790633639e-06i,0.104050952364718+4.83247705388093e-05i,-0.015804207322386+4.70254200185098e-05i,-0.0163810446138145-0.000226024151092344i,0.0496730873004036-5.02548148654722e-06i,0.0033123810554561-0.000147753107207993i,0.0706471338735326+7.9563719833799e-05i
0.00558688572110948-0.000171486907464449i,-0.0346369705590504-9.08484803193572e-05i,-0.00871140942790663-0.000149730707938264i,0.016380583449317+0.000149388997198504i,0.0149704116735876+0.000126069438747766i,0.00954456519277554-3.5593875015367e-05i,0.00508628233137327+0.000282794187645616i
-0.0164448155461466-6.37543894301471e-05i,-0.0530307330389686+8.46114571934696e-06i,-0.0195674738741193-5.47261930970016e-05i,0.0216173051623085+0.000118313473553882i,-0.0713250460064712-6.73432633077582e-06i,-0.00561467869100336-5.19055707404764e-06i,0.00430451791165972+6.89441159281013e-05i
-0.00648771359595696+9.08466821638651e-05i,0.0497366181332042+6.10417263079445e-05i,0.0221852366083355+0.000132684423193465i,-0.0329528563705963-0.000141896945900991i,0.00464645679809979-6.30397411988499e-05i,-0.000959737580094879-1.94004474843818e-05i,0.0488212979738119-0.00014987922872203i
