-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
0.00254052519711351+0.000152449449290569i,-0.011974211665503+0.0064731920590231i,0.00015646469131466-0.00464050652992966i,-0.0130875765666195+0.00659924476362109i,-0.00425192692077638-0.00737067873701587i,-0.0273492605575789+0.00145930952329533i,-0.0376131347082037-0.000172260263542839i
0.0113829427148014-0.000166455820096163i,-0.00481965061214217+0.0170952294870035i,-0.00485228945896077-0.00629356053988458i,-0.0210298605148163+0.00281853090318761i,-0.0323821272492131-0.00227339154608007i,-0.0256903812038159+0.00134759649680008i,-0.0264470216937498-0.00697082672851806i
-0.00456599904791443+0.00209630059258577i,-0.0181192794307619-0.019324543238483i,0.0391951374507012+0.0285494801160182i,0.0118075534454875-0.0124484160629215i,-0.0204910496156582-0.00028566791833602i,-0.00531370133204179-0.000683074885999702i,0.00943010371100075-0.00741032752239522i
-0.0138940459413506+0.00127654552577578i,0.0118691855582352+0.0127764603198992i,-0.0110879694537507+0.0209518117982861i,-0.0455713386594244-0.0189795574538077i,-0.0178872568517936-0.00511713320656725i,-0.0255251873388879-0.00458229217144276i,-0.0197798823538347-0.0140423107069901i
0.00586663178506893+0.0016675005198774i,-0.0211167691638206+0.00915182988845469i,-0.0361801361847069+0.00793645266394558i,-0.00369845165931344-0.0333135646219754i,-0.000658327946728129+0.00412802278888201i,-0.0114972944550502-0.00367019762599816i,-0.0135754709926806-0.000159413039300846i
-0.0170688382401843+0.0007351389610753i,-0.0170317015311606-0.00607224911743951i,0.00882823502399775+0.00631696852084451i,-0.00867672121331642-0.0134717761599538i,0.00836220156673312-0.00252576572333173i,0.0122570181422993+0.00581411714204875i,-0.00990853363122898+0.00851404176658853i
0.0351476100754277-0.00101607864413108i,0.0303071583766936-0.00351418709076315i,-0.00571320593430157+0.000756534235969043i,0.0192197859624649+0.000450398005950562i,0.0352456552865207+0.00432250533765741i,0.00219174180309951+0.00296269787192208i,0.0116900140616981+0.00404184191766271i
-0.00226271254289651-0.000571962770851251i,0.0140152692056915-0.00528991471208374i,0.035544482541549-0.00733766987617696i,0.0214817979686741+0.00708289981172732i,0.0551848288029124-0.00627967287649058i,0.0588732493190817+0.0078834577816303i,-0.00431887233915289+0.011751050109395i
-0.0163826041081921+5.74992224337975e-05i,-0.021474978081532-0.0274978350771411i,0.0131121147507882+0.00568502739150955i,0.0146293901986847+0.0169205396700256i,0.0194307035656976-0.000908851800397773i,0.0538915808208316+0.000882764433557141i,-0.0139891898571721+0.00470471460755064i
0.00370429261495001-0.000701543523909132i,0.00990400577164317-0.0039120621952526i,-0.00196363792748333-0.0166123964103542i,0.0230643574867114+0.0134686468814647i,0.0180170132882335+0.0039842763691795i,-0.0073363182419273-0.00300411704206914i,0.0457376138899869+0.00729430900692569i
-0.0197677460885038+0.00145919606034544i,-0.0444459506886548-0.00871545051755225i,-0.00342695343208797+0.00544780604319494i,-0.00231306960889406-0.00787600152350754i,-0.00695312409253067-0.00728794639562808i,-0.00256801009526567+0.00480885560653957i,-0.0453103696055204+0.00651456471277495i
-0.00744136084735934+0.000471917780840943i,-0.0340565207555253-0.002462821626923i,-0.021093835148771-0.00627036726768107i,-0.0266186503563147+0.00699561193961025i,-0.0186960211340388-0.00756980104384647i,-0.0326692466475429+0.00101897927003559i,-0.0276663214639313+0.00566511056487728i
0.0162384579783194+0.000328920303247149i,-0.00719548710052442-0.0174240852588592i,0.0135317566347294+0.017353386189557i,-0.0412838121290992+0.000774689753813474i,-0.00401481628142147+0.00388885085423627i,0.0128898653964279-0.00143149796680654i,0.0198270558143872-0.00385807739479378i
-0.0207878825593698-0.000765420917936314i,-0.00461171219965617+0.00179523401964421i,0.00278816067686969-0.0180102855640296i,-0.0272914470200699+0.00897223843403394i,0.0209874156767265-0.00729009380676056i,-0.0186511324862159+0.00438310101505725i,0.0146229995413163+0.0148211590375868i
0.0214978114952507-0.000959830779772138i,-0.026535575926133+0.0194004844702055i,-0.0167563982295246-0.0302140198108817i,-0.0104721296516835+0.0231753216794425i,-0.0712777442543118-0.00701671087123474i,-0.0431301234800143+0.00193241087157467i,-0.0221493749040104+0.00111733148879292i
0.0437568270823026-0.00070151276270481i,0.0594756814377332+0.0197731859275353i,0.00974489805062359+0.01183091140595i,0.0425450308019767-0.0190040691645017i,-0.00874607915344291+0.0153047331691947i,0.00827732712095065-0.0103888875042383i,0.0527202890226957-0.0209723115945156i
0.00679809010016936-0.000532278869257667i,0.00130322968114313+0.000798548495603969i,0.00848065737397816+0.0166899719450608i,0.00342940045621053-0.00848182965658754i,-0.0276004174550791+0.00997382714056539i,-0.0330969190784832-0.00290455493411376i,-0.000844476562398587-0.0142400940748056i
0.00679605209829994-0.000513730617051412i,-0.0142133573476461-0.00296753955032621i,-0.023890672594883+0.000748617446285016i,-0.025537129832498+0.00998515349451719i,-0.0231794321668585-0.00807710517256626i,-0.0196215016277352+0.00535875587966743i,-0.0563970333156167+0.00146667815552463i
0.0102644431706663+0.000876862120972622i,0.00963346987453235-0.00203894486961773i,-0.0226061882835428+0.0148321885564366i,0.0169779114242676-0.0128153418033559i,0.0109074789852452+0.00256866029310363i,0.00460457110516652-0.00144581371314502i,-0.0317653026271668-0.00607595779434195i
-0.0324061495415229-0.00232938309312656i,-0.0146602405019036+0.00966904718642717i,-0.00220140201108231-0.0330044142948025i,-0.0290779719441801+0.0182296296184268i,0.0529851752686949+0.00482668153184782i,0.0472884785196517+0.00739257560805382i,-0.0153557675827999+0.0166852067944296i
