-0.0191287758723904-0.000143638444679426i,-0.022898628844243-0.0122045391294538i,-0.0218839504410363-0.0219475921121578i,0.00443998854592996+0.013699970942342i,0.055907092515974-0.00364310994206127i,0.00123551253304849+0.00559813388325719i,-0.00740326928947899+0.0174573185086177i
0.0072679024942532-0.00223612774349719i,0.00873055889318009-0.0158031745932689i,0.00125872335466486+0.0225638227317655i,-0.0817082491669116-0.0177352482023968i,-0.02018891368621+0.0123049243523873i,0.0556594793034033-0.012342676549897i,0.0614787301893979+0.00467466794329962i
-0.00654283615775394+0.000674715563672846i,-0.00167444580982729-0.0120397500254433i,0.0226235839971592-0.0253393101669421i,0.0241488777336069+0.00880138323320327i,0.0257612359305308-0.00571179266047455i,-0.0719667840180577+0.0103625537802724i,0.0538790682746938+0.0284954324670262i
-0.0138454170286313+0.00156187924434639i,-0.0357849474192592+0.0220906344111222i,-0.031520610460544-0.0502744665399165i,-0.04253402086666+0.0257357920855492i,0.0233262863814939-0.0167308227790058i,0.0268406568846955+0.00514695148509693i,-0.0315174160171074+0.0186842524362029i
0.0220758639926721+0.0014116413819659i,0.00335615026300526+0.00713208426174996i,-0.0331089572820657+0.0466908973177168i,-0.040531701850796-0.0214890438182996i,-0.0630405241950182+0.0182255447911116i,-0.0261924891772755-0.0149519975662695i,-0.037499282395245-0.0348670231276232i
-0.00446693447128264-0.000612698782746418i,-0.0226052523712443-0.00397013687707791i,-0.032666142220481-0.00744510974479974i,0.0218967650520301+0.00354898267235686i,0.00157932914182497+0.0076448671647476i,-0.0405569412667511-0.00189241210021519i,-0.0245261414313479-0.00316673981783611i
-0.0152169985108722-0.000479206121486683i,-0.0352890628890798-0.00640796213273497i,-0.0252912519310385-0.0287476418188114i,0.0263915663449915+0.0303227868629983i,0.035842222672964-0.0155509064929659i,0.0454836050158423+0.00807002729036196i,-0.0614893238386641+0.015498560719715i
0.0018109185243844-0.00160169770318649i,-0.00703887377602675+0.0040232378052111i,-0.0223810798551017-0.00146523605494401i,0.0261013366922583+0.00023642580113653i,0.00292396949477046+0.00192210156214534i,0.0381097123077307-0.00136929031943013i,-0.0477648692621136-0.0116244412457787i
-0.00792932325621679+0.00187830213738576i,0.0380412933249394+0.0418107537495707i,0.0392424710174982-0.0294794828864424i,0.0178294850438695+0.00729813913872i,0.0392332042610262-0.0166069237878246i,0.0183931261938721+0.00471235861993853i,0.00721002318346901+0.00219319453467712i
0.0145338461377651+0.0038401540720029i,0.0350091730129282+0.0340963566394282i,0.0220616147150575+0.00095189064709578i,0.0249580425402743-0.00623557261591547i,-0.0103550216717217-0.00245277591770062i,-0.0668312935385856+0.00183047749036006i,-0.00878343546497291-0.0190700508288521i
-0.00326689983414367+0.000709153430383521i,0.0688680135658358+0.0295348636669966i,0.0710662592837373+0.0103378146240388i,0.0313394548693564-0.00763451430201873i,0.0187410135002732-0.012302254012795i,0.0456948194133146+0.00204260527231836i,0.0209284056948701-0.0146408232953158i
0.0137538738698475-0.00254595085370951i,-0.00498570690359277-0.0281408549141599i,-0.0254269408153103+0.0464130207989581i,0.0273158871047408-0.0138480125224542i,-0.044300929145255+0.0203332607621308i,0.01511705410142-0.00966505206424798i,-0.0295345299688065-0.0296580587684528i
