-0.00464010526280856-0.00091284078974208i,-0.00552798776053633+0.0103082962765445i,-0.00355360637857075-0.00735860837141055i,-0.0172318765931408-0.00752120791565674i,-0.00406894111465381-0.0112727333538029i,0.0110643636216886+0.00335304153707783i,-0.0100024675156964-0.000243831287888933i
0.00237185748044693+0.000413949555058498i,0.0095769223998053+0.00132905120777152i,0.00665228668298947+0.00273211955726264i,0.0103814813038625+0.00382689131469836i,0.0115044893303006+0.0106179425384195i,0.000678166418339917-0.00428731076687371i,0.0145887846350843-0.0117297203458931i
-0.00469346473194067-0.000938459373813491i,-0.00716569855441877-0.0117908898387682i,-0.00101769570572613+0.0121585886335147i,-0.0159121797084151-0.00659184305544045i,-0.0179606115393099-0.003896317604055i,-0.00715864549138869-0.0112655630593258i,-0.0112498609931596+0.0074090320514593i
-0.00255048890151685-0.000709144936139022i,-0.00924521571754764-0.0165579322425292i,-0.00264191693613312+0.020421803061779i,-0.00299574897389319-0.0049749106645495i,-0.0246161988983531-0.00581133764019124i,-0.0161299304367095-0.0115792319414434i,-0.0100243786044835+0.00190498846834238i
0.00268360435165493-5.00543274972785e-05i,-0.000239764066042847+0.011727480851178i,-0.00454850351372329-0.00605918257341934i,0.00472137219301993-5.31091487350706e-05i,-0.00405640922649212-0.0189411435127665i,-0.00609907299288451+0.00228483734390482i,0.00169646869837387-0.0205303325802776i
-0.00296782995808481-0.000353394776091456i,-0.00246509905032421-0.0142504540709869i,4.06185061756345e-05+0.00879055936466028i,0.00282406332505403+0.00458666404289772i,0.00511259858281209+0.0147814615967623i,0.00341829136104055-0.0128508710524682i,0.0101592499399974-0.0103735610179671i
0.00322543459608713-0.000109196430670916i,-0.00307688893717548-0.0110900619188468i,0.00106436466469825+0.0176468032688196i,0.00303160596831634-0.0054330212727727i,-0.0247899993544132-0.00925091351261454i,-0.0236142641640056-0.00807849705796406i,-0.00597413933645191+0.00988510639881111i
0.0210590624895653+0.00302749769152445i,0.0159739428380352+0.016862937104118i,0.00415291334010087-0.0150971269397005i,0.00630970668549329+0.00387190107304306i,0.0282030353293358+0.00723677368322362i,0.00148834654692097+0.0173247010450325i,0.00713248390431986+0.000926374567734469i
0.0019279694594221+0.000716778737874085i,0.00182304937323829-0.00591122706737962i,-0.00118649027625154+0.00326623407085749i,0.00875529068510116+0.00452627027360364i,0.00292722436052321+0.00923478393170393i,-0.0027992441704424+0.000368605169165966i,-0.00164272384090905+0.00424349182182743i
-0.00138930559097229-0.000260681007869522i,-0.0146335558708346-0.0117431078757622i,-0.00525271438528405+0.0132061150725857i,-0.00306488309151792-0.00595705866415041i,-0.0271518107659149-0.0112475044827968i,-0.00999427080593487+7.91425938832789e-05i,-0.0153888992824492+0.0129934437253207i
0.000258831159707216+2.63903486790192e-05i,-0.00534645120994586+0.00286144419187659i,-0.00218853717262018-0.00318048764002203i,-0.000596587175174826-0.00231084176389134i,-0.0098918938715213-0.00839900800622119i,0.00213855834956758+0.00688189038196105i,-0.0101166969348015+0.0106352059294617i
-0.00626614024931232-0.00176549498937102i,-0.00775947862187572-0.00950333815568654i,0.000210628289487716+0.00869372749383433i,-0.0184527463539861-0.00690038549382194i,-0.00822531374970798+0.00585989306801506i,0.00731171416494555-0.011544198748463i,-0.0106089125690678+0.0069700873897011i
0.00075541605903219+0.00024363980395318i,0.0136040704168066+0.00460692058779551i,0.0099271128873934-0.00864167202414467i,-0.00613926945989055+0.00337757466017208i,0.0281944973165341+0.0240431467418981i,0.015510625299311-0.000221594220745517i,0.00854141019421988+0.00587091288439558i
-0.00954114154580083-0.0019283743759394i,-0.0106612259260508-0.00188667533234663i,-0.00649728234912815-0.00726299519903105i,-0.0224037863776001-0.00528749215548084i,0.00459665450725818-0.000391175598149688i,0.0131960220424643-0.00313569949167278i,-0.00570411147013875+0.00137497403960175i
0.00266809601169867+0.00107227560987713i,0.00366524682045493+0.014904978654687i,-0.00392605796634288-0.0186464657636728i,0.00664436760388401+0.00319401669152192i,0.0144905587747758-0.00166065053155064i,0.00828544071900551+0.0151211315028384i,0.00233718395704169+0.0016907041451391i
0.00470490238364753+0.00106471856596674i,0.00785457690720623+0.0112252912402186i,0.00179087919332041-0.00786892441461568i,0.00805899557351152+0.00300687228554423i,0.00416660936274611-0.00837494494082118i,-0.00609401249005661+0.00959007936035095i,0.00384380878496723-0.0023931518023749i
-0.00627088331279513-0.00026554641842054i,-0.00211871677768123-0.00504580481759415i,-0.00605736182918006-0.00522269495795077i,-0.0146156134783817-0.0031541076088269i,0.0143293654090429+0.0153021550622346i,0.0063132156851973-0.00161258748964469i,-0.00449487533551307+0.00823995137119723i
-0.000653830531103273-0.000642796173016269i,-0.00199150486385396+0.000248258354554933i,0.000299214141012728+0.000378813426402601i,-0.000820724892981779-0.000652112832929042i,-0.00759161459008691-0.0037783297851241i,0.00229101909606949-0.00564209759261279i,-0.000731438990588601-0.000646623528594596i
0.00514806315494127+0.000752033985494588i,0.00992318643229958+0.00932504598509445i,0.00433331755333615-0.0035395184497785i,0.0107043895516887+0.00412358446779861i,0.0136942787629676+0.000248174137640137i,-0.00319166700946568+0.00792271938403514i,0.0102088665887923-0.0115163090384646i
-0.00527396863934635-0.000863380019451349i,-0.00935140182980257-0.00847624368106451i,-0.00744105037721177+0.000118502944809294i,-0.00670355880882923+0.000261997232679592i,-0.00408018414226708+0.00607281992445302i,0.00886310128911684-0.0094921328862048i,-0.0094765423179937-0.000704820999685735i
0.000164250924248899+0.000144456995653459i,-0.00285036954372189-0.00255089363401418i,-0.00378913615861056+0.000432656646189398i,0.0030581658693262+0.000790192858435967i,0.000569157418383117+0.00101422130225454i,0.000715399606222774+0.00140504365918507i,0.000130745800656857+7.23449706898223e-05i
0.00186420350131767+0.000526227734893206i,0.00317492160491892+0.0073978107451299i,0.00136630935192419-0.00612489903560454i,0.00799688946514503+0.00338545311548871i,0.00405559623297179-0.0033749209288679i,0.00325919914664842+0.00658381235481893i,0.00455510315518732-0.00334832434962078i
0.000357794630983085+0.000411893823318026i,0.00392238085514142+0.00726696114855295i,0.00435226203775137-0.00202678286950683i,-0.000971530094300685-9.86141100167915e-06i,0.01106691649056+0.00478431643791346i,0.00920899371027033+0.00741161678758108i,0.00218273483693366-0.00592945508358299i
-0.00455909995526909-0.000437944010470884i,-0.0100414151203259-0.00887537986558304i,-0.0070120917763947+0.0115085544138696i,-0.015635675664624-0.00717346393194003i,-0.013440936102548-0.00789952084126206i,-0.0110250522014223-0.00332809117117835i,-0.0160263613120954-0.00381853740427721i
-0.00324928216237835-0.000880298828919805i,-0.0048295591200884+0.00585715412693712i,-0.00169911171028929-0.00529327977351975i,-0.0110898051322619-0.00303585392229624i,0.000594567767438424-0.00368267182914392i,0.0140680551756549-0.00176769525138878i,-0.00242434589490118-0.00915673568722505i
0.00085138443898608-0.000307280203381572i,-0.00389723694513142+0.0028222555629529i,-0.00209627350373112+0.00677828860955988i,0.00323142382626462-0.00606495880943612i,-0.0153077922696056-0.0142570147710059i,-0.00845326057143909+0.00248594926021535i,-0.00622694483355909-0.00208944073157084i
0.00658683145422046+0.00139953531963802i,0.00648431066857484+0.020701389138405i,0.000775107158253257-0.0156714506942886i,0.0132471959014036+0.00452508574080231i,0.0103102091557629-0.0123848843886661i,0.00384840048571838+0.0195713155904326i,0.00806008403673794-0.00806775802009504i
0.000712848033820649+0.000488858950724472i,0.00138111193577819+0.0119412583882696i,0.000935664508779723-0.0104844742304768i,-0.00133258604295357-7.28134453883751e-05i,0.0135467297935378-0.00146201485449508i,0.0134170430454161+0.0145229132435856i,0.00427880805927763-0.000806141278258928i
0.00338285067973945+0.000527631861341333i,0.00406305410123798-0.00305924546925083i,0.00144189506706054+0.00189448586347795i,0.0188475565936066+0.0082347477371956i,0.00480504892142204+0.00504718552920199i,-0.00401926855775902-0.00374482320750583i,0.0140266010996374-0.0119131485133224i
-0.00212617961186547-0.000578878369865747i,-0.00713846694678203+0.00115135304557815i,-0.000283243255363063+0.000605624377061954i,-0.00847860769222327-0.00533221582667153i,-0.00623814581135971-0.00721996259633552i,0.00448000875005827+0.00596824548598934i,-0.00537301611654919+0.00716429193018063i
0.00876009453973876+0.00120097437079352i,0.00898538323408847+0.0135409205298964i,0.00698236923946731-0.00559167086038802i,0.0167132121551886+0.00387412867750333i,0.00160042201504439-0.0112667557280477i,-0.00826274501446327+0.0158614303401324i,0.00639184697475438+0.00237529986274204i
-0.00452103657866129-0.00135983425283669i,-0.00587805199104284-0.00134893905428209i,-0.00238423133048694+0.00109484356033166i,-0.0179866916207248-0.00620040507598878i,-0.00391984367203981-0.00673825509627635i,-0.00249930272946517-0.00324771517931954i,-0.00800600479075673-0.000964749816696543i
0.003486669823493+0.000375546382002791i,0.0111532333827162+0.0115237883075708i,0.00801176800063637-0.000434080288272472i,-0.000785481355546614+0.000356424710496763i,0.00504912219833507-0.00786813186433494i,-0.00469070401167409+0.00222259167752866i,0.00683259100331346-0.0167185706286903i
-0.00189777124585225+0.00031874031320909i,-0.0111077434178495+0.00851066975130686i,-0.0152337736509375-0.0138609069272549i,-0.00408962326657986-0.0019155165010291i,-0.0117548812462552-0.0214142308760968i,-0.00382977348467096+0.0116592164050442i,-0.0182812963395339+0.00534305490417608i
-0.00426910063470024-0.000491255692803204i,-0.010378022172817+0.00599371520279276i,-0.00599104264023542-0.00864123548624031i,-0.0137505018090169-0.00441703073314931i,0.00363603138478128-0.00547547845798058i,0.0142025125741188+0.00725217888143943i,-0.00571658444466663-0.00348975357898827i
8.34915783495222e-05+0.000557315309740272i,0.00156831443072529-0.000701578755210863i,-0.00258570492845207-0.000115149300357006i,-0.00573727469894738-0.00171967232297826i,0.00527121419653626+0.00591125957108553i,-0.000313775872322909+0.00100989421802299i,-0.00528020091485505+0.00191355806277115i
0.00657486912074621+0.00134451364630091i,0.0192058636023908+0.00835022727346415i,0.0149313957402371-0.00631890732666311i,0.0142688739893213+0.00737598179048974i,0.0182546867387381+0.0164728365502688i,0.00950154259732962+0.00420375290561071i,0.0176345062896401+0.00952804537679874i
-0.0055570255563031-0.000777389348126946i,-0.0150999364345637-0.00882866234501304i,-0.00887739441357827+0.00996943799020822i,-0.0103836051660933-0.00507905230506623i,-0.00956299914863069-0.0083491709435485i,-0.00261892328644473+0.00157920580605201i,-0.0107064312562026-0.0101532372103057i
-0.00497835388786837-0.00100045591158836i,-0.0113558322852317-0.0115804844803369i,-0.0025359810747498+0.0064428035324465i,-0.0118228215874711-0.00531661514134941i,-0.0143486901952075+0.00293807504192186i,0.00477433703192406-0.0067495219537367i,-0.0107315671609963+0.0176020709586869i
0.0152698978482594+0.00172487274836283i,0.0210605446249343+0.00923709237715585i,0.0141769545647035-0.00732954429466197i,0.017011160360644+0.0121413280228091i,0.0278846793914779+0.016810661624948i,0.00902724140640256+0.00197333298168976i,0.0260411079823096-0.0134673491805554i
-0.000241609101314087-5.26595650920553e-05i,-0.00149600449517162-0.000135701729369321i,-0.00027765995778731-0.0046463889176194i,0.00622687549838324+0.00265077660060339i,-7.58016676401729e-05+0.00436358273348237i,0.00812278484780189+0.000609241219493716i,0.00144353971866493+0.00885213242107388i
0.00440768584991801+0.000712572018416832i,0.00303641710749578+0.00307454587755521i,0.000198570839607333+0.00107383852919969i,0.0106106700892303+0.0014578952886669i,-0.00156682290421554-0.00442743519764854i,-0.0102418607979658+0.00593474206830316i,0.00120515246154413-0.000687525116305555i
-0.00191471607576249-0.000158626796967207i,0.00226567628166664-0.00808961032489009i,0.000480842014111009+0.00516924486517018i,0.000321794983607125+0.00340622063973963i,0.00273854895560864+0.00637399214664174i,-0.00627601749727737-0.00708888337148949i,0.00242281500796084-0.00445362875330555i
-0.000102804340243357+0.000134019025057651i,0.00678971292032232+0.0103342326053558i,0.00413673774712157-0.012721817963331i,-0.00054188594014435+0.00467868256383649i,0.0180535799045352+0.00365666916582736i,0.0127588339901494+0.00495315252216571i,0.010815904053707-0.00615263979020352i
-0.00422894210341642-0.0012379141332884i,-0.00209443264649106-0.0113992187925183i,0.000837194190389166+0.00434212443871178i,-0.00156857192613989+0.002232025304902i,-0.000795421222964024+0.0100557235746667i,0.00333558314138315-0.015293280727607i,0.00519399039666988-0.00120968119566697i
