-0.0119089591654321-5.36882425814514e-05i,-0.00255717423703379-6.38631933131566e-06i,-0.0025563685104657-6.58404684928874e-06i,-0.00255495079324315-7.18051590696131e-06i,-0.00255701157597021-8.06271083327626e-06i,-0.00352698266081388+1.13087869792901e-05i,-0.00254900407550381-7.38978805055815e-06i
-0.00549315683345474-2.78611583254697e-06i,-0.0098238742037974-1.04418127063029e-05i,-0.0098261441073484-9.57412391239042e-06i,-0.00982450676145578-1.05822173630534e-05i,-0.00982751443581927-1.1813173206819e-05i,-0.00363322351931294+4.92176423433354e-05i,-0.00987940388784803-1.12652961523323e-05i
-0.017482601347761-2.33691465830303e-05i,0.00277422537306893-1.96708371692806e-05i,0.00277768275436278-2.04632926297743e-05i,0.00277536075280527-1.74784840053483e-05i,0.0027865885400646-1.69706449482831e-05i,-0.00684883823104244+7.90341288889913e-05i,0.00286486436050342-1.77453358022966e-05i
-0.0815645877457833+1.79530741860178e-05i,-0.0169751634086142+1.30486599654945e-05i,-0.0169758985945405+1.4324122180769e-05i,-0.0169762289363253+1.31468064994347e-05i,-0.0169805567679636+1.34903314182381e-05i,-0.013582783644131-6.77705559975133e-05i,-0.0170066376416914+1.32296297126291e-05i
-0.00480770194558583-1.11262592566398e-05i,0.0105874087959287-3.12123046398095e-05i,0.0105933740460664-3.26337157145334e-05i,0.0105900416103043-2.97722549948288e-05i,0.0106036616906694-2.84609401609056e-05i,-0.00377628538565728+0.000142364349587045i,0.010724482814652-2.96865648622578e-05i
-0.0247853224673808-9.34810508014947e-06i,-0.00565566831270538+2.08545304540458e-05i,-0.0056574598912304+2.13433678107397e-05i,-0.00565656331001602+1.87206424200438e-05i,-0.00566319856235901+1.79096936344811e-05i,0.000952603495582348-0.000106577407743727i,-0.00571644067467335+1.98560779665192e-05i
-0.0991101317841777+3.77057163004054e-05i,-0.0209155875240647+2.06594913335153e-05i,-0.0209151515799407+2.11108954605384e-05i,-0.0209155926577738+1.94584472604852e-05i,-0.0209197759905981+2.02378476381796e-05i,-0.020596355713331-9.66335699917117e-05i,-0.0209218548983118+2.0020352571301e-05i
-0.187597422102329-8.70316454670658e-06i,-0.0458575675702213+2.14507549860287e-05i,-0.0458607668417178+2.05312281398727e-05i,-0.0458600446753063+1.97947197374668e-05i,-0.0458618426451941+2.0212276458295e-05i,-0.0430987187797972-0.000126352115515923i,-0.0458884776596689+2.07160937701032e-05i
0.171555767204132-5.00552058301733e-05i,0.0474513909062552-4.33035871310438e-05i,0.0474582357801225-4.59239652532464e-05i,0.0474517912282059-4.08001192558511e-05i,0.0474766029634262-3.89977039182438e-05i,0.0283400474688364+0.000203415669490447i,0.0476359979372205-4.02163182046102e-05i
0.0921655780192946-2.49615588755494e-05i,0.0149843721329+2.90343550160573e-05i,0.014979700811344+2.97394267192301e-05i,0.0149790238641599+2.62189103770543e-05i,0.0149673707190319+2.55049718901807e-05i,0.0265199952212845-0.000133866549434994i,0.0148759160283025+2.70280544351322e-05i
-0.0956468039973321-1.80889777172358e-05i,-0.0209341625682235-5.95561264902378e-06i,-0.0209303257708021-7.3267892051619e-06i,-0.0209317086180875-5.50268180500196e-06i,-0.0209251810123389-5.44412218112051e-06i,-0.0297835190374892+1.11359369912233e-05i,-0.0208536119266095-5.72303254059075e-06i
0.0547652809157416-1.69961880461924e-06i,0.0146732471461967+3.43373741234037e-05i,0.0146725177662168+3.35936497440495e-05i,0.0146720161855685+3.25170627220471e-05i,0.0146708154640217+3.23093688738965e-05i,0.0152162562791428-0.000148807257161964i,0.0146645769691027+3.3590999038999e-05i
-0.036459867541499+6.67775979959839e-07i,-0.0107054223163631-6.45242557122925e-05i,-0.0107019780005179-6.33119875268792e-05i,-0.0107026372261947-5.90987184115008e-05i,-0.0106951167987524-5.77250591408408e-05i,-0.0161441912307555+0.000295481747681091i,-0.0106483322186723-6.16553846353517e-05i
-0.0795182080433365-2.05832289908401e-05i,-0.0180606516342769+3.86751514974808e-05i,-0.0180655592784346+3.92728672410808e-05i,-0.0180622379501051+3.4422436019933e-05i,-0.0180790876270648+3.37350569594787e-05i,-0.00618336643801091-0.000196231601880743i,-0.0181775378343686+3.51945408915125e-05i
0.0562938033166928-2.21944545909349e-05i,0.016681916652981-7.46074782235586e-05i,0.0166913199094301-7.60528208835795e-05i,0.0166880495536861-6.93495439710684e-05i,0.0167137390164581-6.77858135725801e-05i,-0.00513143348749518+0.000349412790593663i,0.0168922955802144-7.10924593194746e-05i
0.0553248989743263-1.66943735733275e-06i,0.0191707498349678+2.72863384146084e-05i,0.019170411100818+2.80805908474433e-05i,0.0191683982569159+2.5621757033665e-05i,0.019165010835339+2.66320998757436e-05i,0.0191610087156964-0.000126539271877787i,0.0191646006360783+2.63197715814574e-05i
-0.00421062736157996+6.98619481039593e-05i,-0.000921333182460697+4.56968095518525e-05i,-0.000924966180026643+4.71636362931736e-05i,-0.000923163799008341+4.44362643831395e-05i,-0.000933988699388857+4.30324345107961e-05i,0.00705477543898789-0.000196024613334765i,-0.000998855462755816+4.51307426849174e-05i
0.0450082023354808+9.17223221301363e-05i,0.00447031251739698+4.03892205515658e-05i,0.0044665573271739+4.10166999846973e-05i,0.00446693034839307+3.99954442250362e-05i,0.00445962302543176+3.91925095988785e-05i,0.0143242129267139-0.000152127808261321i,0.00438079287004074+4.04091800269244e-05i
