-0.00312534778165971-0.00382376979338972i,0.0213903642321115+0.00457628629390611i,-0.0137004586002477-0.00307152324380407i,-0.00321069352278971-0.0113453010475514i,0.0308542549154493+0.00512138559865581i,0.00411854485587855-0.00751407269047771i,-0.0134590904359131-0.0125911345082653i
0.0102810792590334+0.00126045282658684i,0.0282424433197793+0.0167523975658877i,-0.00456148967056326-0.00201493986849434i,-0.0159024276421482-0.0114765212156219i,-0.0109241452266898+0.00113478859891736i,-0.0217944790861729-0.00163823382458703i,-0.0131216981741509-0.00315948845218768i
-9.97492166962795e-05+0.00050771702427696i,0.0215230321796783-0.00145689857233213i,-0.0258315572380142-0.0102128582907335i,0.0154865232140561-0.00339928059562837i,0.0276071385399871+0.0139268099285677i,-0.0540200751668669+0.0052760296168568i,0.00651772264623358+0.00747352350424919i
-0.00705717817364689-0.00101408497813059i,-0.0168910320167114-0.00903816705877914i,-0.0200837506465482-0.0280281476461228i,0.00519004971399527-0.00017779763805394i,0.0275453752093944+0.00394243252819552i,-0.0353601069198897+0.000383474409784567i,0.0173369643101412+0.0189307874308618i
0.00288749887490919+0.000364887555636053i,0.0127155318527599+0.0112988517973987i,0.00340946165617937+0.00100756499836825i,0.0193285971549327-0.000370493375282176i,-0.0144752276029171-0.007003839196642i,0.0162404857449449+0.0153432485740521i,-0.0410882923276005-0.00731204778159395i
-0.00923204677877648-0.00140140288313597i,-0.0317540612384125-0.0124905163244605i,-0.0157939414443392-0.00269126932742378i,-0.00815747559765778+0.00833493683440336i,0.00549933498696027+0.00610823774356718i,0.0126874624467282-0.00402282062405957i,0.0224302484120339-0.00395654990317041i
-0.00746999035932901-0.0016817404001843i,-0.0248226658341127-0.00165633948074652i,-0.00469197284605574-0.000374904268221239i,-0.0340749597677253+4.15735066355695e-05i,-0.0085298109292417-0.000348184588943049i,0.0271059168493956-0.00658317071814465i,0.0049707815722525-0.0127044839444544i
0.00198044876881429-0.00524781487318815i,-0.0240192915370726-0.0210773605787497i,-0.00505533226890896-0.00724196809168707i,0.0276312416398769-0.00925477650770245i,0.00952140457904008-0.00610509166270289i,-0.0141562160447452-0.015166064185658i,-0.0361778494331279+0.00111500635283322i
-0.00551882072504928-0.00168631425325894i,0.0200564812365147+0.0180886804246294i,-0.00854223801487668+0.001417819376719i,-0.00772090490329719-0.00494311881685268i,0.00465089701845809+0.000654210475283958i,0.0382464429117976+0.00727496386416165i,-0.0288549476828443-0.0168456621821931i
0.000171110948707121-0.000888495162493244i,-0.0289557057774924-0.0153389336684137i,-0.00529739736484493+0.0222886470125025i,-0.014737015381451+0.00144651503965001i,-0.0206502503667888+0.00766794358025422i,0.00787092568660105-0.0133263358450885i,0.00936657961313509-0.0197783079862583i
0.0178791845884608+0.00529430944506188i,0.0178404122095331+0.00450685471977634i,0.0279813522603673+0.00051121653705883i,0.0337675106872758+0.00724617085810184i,-0.0344521358996483-0.0136675100773667i,-0.0199297342251463+0.0105873099479677i,0.00201475311893425+0.0301346919176934i
0.00383581293052047+0.0017214338112281i,0.0082028984764577+0.00815540843773616i,0.0294670780889151+0.0163982159418474i,-0.0175801551373761+0.000185380312020152i,-0.0201851805864889-0.00916089267230062i,0.0168073343859971-0.00187495352079352i,0.0170470635897234+0.000985992119723707i
-0.00386792029398697-0.000526366537611118i,-0.017673447748723-0.00237250524716614i,-0.00186668779185678+0.00628662087745229i,-0.0475116735080668-0.00487678121029331i,2.70049586092169e-05+0.0100554320526001i,0.000487639896982186-0.02221182193229i,0.0306356261915593-0.0110886619466399i
0.00148125409575106+0.00145940834773759i,-0.00623915451410076-0.00533719760808566i,0.00540180310198538+0.0012813835286703i,-0.0203226152672425+0.000159343797700016i,0.00481091737348687+0.00270504256867729i,-0.0207088877104225-0.00598369560725066i,0.0260062950924445+0.00405875268713356i
-0.0165968994905412-1.20627134037547e-05i,-0.0261096287100104-0.0138149753956074i,-0.0280634502330077-0.00513579951907616i,-0.00699209199061043+0.0121204918771599i,0.0132836643521657+0.0122698044080944i,-0.0109641101984401+0.00841009703054178i,0.0166202942432233+0.00625654261758484i
