-2.23197811034861+0.00966858079124522i,-0.601430114248335-0.0513727188293288i,-0.609238374891513-0.131078178613149i,-0.610085834256501+0.0230619519549739i,-0.418346128335845-0.00419746227635122i,0.273330974323654-0.00952272496472066i,-0.72321419772141+0.140553231603384i
0.00565546251744887-0.00176268260311556i,0.0131959934773519-0.0216203364758052i,-0.0488640330543743+0.00789776065493128i,-0.020683449819375-0.00426763358415512i,-0.0039493568128479+0.0227753056320696i,-0.0381691776297469-0.00207439202910194i,0.026007522124549-0.00781225336538134i
-0.0069074140137848+0.00037150568404328i,0.0652635589660431-0.0143866121366171i,0.00966585387426105+0.0158502210063979i,0.0696359438538594-0.00861061338743199i,0.037265256111877+0.0210703013362406i,-0.0249152778615256-0.00405145717994509i,0.0267894265152415-0.0164697511939273i
0.00770563000469954-0.00142901891661911i,-0.0660330021213435-0.0487930392553641i,-0.0526756976331351-0.00431242863098318i,0.0374589166328469+0.0171909503399062i,-0.0175619909149958+0.022642177807114i,-0.040786427518252-0.00164636392119914i,-0.00448273158033117+0.00994889436841986i
0.0102100221429163-0.00322245729541978i,-0.0369044900646307+0.0175175752171438i,-0.00459743675329533-0.0574951493541551i,0.12471482899966+0.0245696063921128i,0.00499663607448347-0.000350070809208371i,-0.00650961794115411+0.00154993730503512i,-0.0361229968445964+0.0226724105648127i
-0.00514465533854777-0.00243240987311554i,0.00019891017061298+0.0561493722724284i,0.0430712380889069-0.0424115615147691i,-0.0657383752469231-0.0132945559478092i,0.0211661363863597-0.0185809175816376i,-0.107127212333801+0.00571908847244833i,0.0771349708698486+0.0250623005971986i
0.0255100302742557-0.00630847712093622i,0.0100889182258477+0.0783475251584536i,-0.0722361187150708-0.0924048044093354i,-0.0771292710704494+0.00859951223420833i,0.0223519274132903-0.0105917351495042i,-0.0533493861439219+0.00295315790093118i,0.0111018942252111+0.0278606315448452i
-0.000674715344577336-0.000212677742027755i,-0.0440003876890039+0.00550128244830893i,0.0569519017204823-0.017328929466166i,-0.00113190630525666+0.0145773003653135i,-0.0373216380063951-0.0190695336527962i,0.0115440967893718+0.0031813549908128i,0.0443319227281193+0.0208764560231426i
0.00794009061042848-0.000945211030596402i,0.0404645311382532-0.0181547343025706i,-0.0135155828253809+0.0173450546346959i,0.0240597475039063-0.00986031636901337i,0.0389492471834949+0.0181093418226554i,0.0600579825631924-0.00309865318256213i,0.0246108800275765-0.0105657711739954i
-0.00501569199947252+0.00247858848110985i,0.0124172428683397+0.056726610842927i,-0.0130512314310734-0.0529861135138026i,-0.0430693901868764-0.000584268671022506i,-0.0475627181533658-0.0078308163542928i,-0.019729112474065+0.00157857749975496i,-0.00435804628272895-0.00504065364608379i
0.00267612329209181+0.00156078729456027i,0.0193211031377177-0.0290054869969269i,-0.0461042819090833+0.0428264059587171i,-0.0894056334686507-0.0255384708113404i,-0.0342598249613824+0.0281820205517669i,-0.0152282486699843-0.00193067039162041i,0.043508313979162-0.0268046075078705i
0.00487169902465228-0.00149371930837237i,0.0286286440348328-0.00835568782476285i,0.00451654333027218+0.0138116595139765i,0.0822403336112699+0.00151667692766647i,0.0696408653536519+0.00368908375870727i,0.094886900741357-0.00333740844087029i,-0.0524489959404976-0.00279923125649748i
-0.00464237498063815+0.0045563530406157i,0.0240999203335255-0.0278200467395367i,-0.00210841416921456+0.0439103280151356i,-0.0653725080444157-0.0173609527004769i,0.042205927695805+0.00829825025638283i,0.00869701248564748-0.00145834920069298i,0.00119824663141386-0.0219260587913193i
-0.0117341878589452+0.0035297032751152i,0.029238612148004-0.0040489214383203i,0.0254101705459601-0.00354834348653203i,0.0379067059884534+0.00353635908590823i,0.00861298271543571+0.0028969616143233i,-0.0124611837863481-0.000581072813649367i,0.0177613899896418-0.00876148447202876i
-0.00499163841055077-0.00172098426103475i,-0.00762227377638096+0.00500893350763835i,-0.0152071186656783+0.00301259554213525i,0.0172532823566583-0.00666221456244569i,-0.0234387559506388+0.00435843350588132i,0.0392905767152652-0.00168513479700932i,-0.0179270084956459-0.000256877903037984i
0.00834875168452449-0.00419673147716263i,0.00391908330248023+0.00974417502956902i,-0.0571537766839133-0.0274504804547408i,0.0122004221176176+0.00104462499135745i,0.0478749064231558+0.010831545981311i,0.0186664572135054-0.00183857323791832i,-0.0162831546794147+0.0120193579623771i
0.000411674712375636+0.00197132348168034i,-0.0263981525058587-0.0508475333271297i,-0.0348041763209868+0.0630635502795748i,-0.010565252281011-0.00475381333898281i,0.0151427222933471+0.00718367597085329i,0.0418690037266608-0.00531448977549801i,-0.0835940788504409-0.0158278984905698i
-0.00792461287058065+0.00455584342104971i,0.00490289828846276-0.0353652997327301i,-0.044839809234541-0.00308520118745512i,0.0324825565507933+0.00694871511128085i,0.0461879437247013+0.0244028218125248i,-0.0280840654420193-0.00544829906131894i,-0.0191149350350134-0.0109013878756574i
0.0114906433638663-0.0021666325374622i,-0.0112905710051253+0.00165855106977518i,-0.0456129381637043-0.026755960310023i,-0.0332430424194265+0.00682154489159247i,0.0635093653363549+0.000270134882805925i,0.0395899163968933+6.01365233655719e-06i,0.00483337691549845+0.0224060978508561i
0.00183435132698871-0.00469540064769871i,-0.0527843442489299-0.0381705157328398i,0.043003461166067-0.00454109831546034i,0.0538006738040809+0.0218580907777161i,0.0308971312858731-0.00429950202310735i,0.0758263881030617+0.000247113623342048i,0.0700302672343392+0.0418568901397651i
-0.00514404525735324+0.000859248350366039i,-0.0642637759120687-0.0546979271477627i,-0.0300841218758782+0.046951512480754i,0.112565411641214+0.0126922579230701i,-0.095621290266313+0.0149678407297369i,-0.0204727151242267-0.00274087690014617i,-0.109818429735345-0.0209747016415436i
0.00743256991651148-0.00167804456573092i,-0.000660170228281067-0.0627235314063476i,-0.0712530432119399+0.0471900285755204i,0.0559210916740831-0.00649599569967557i,0.0174505771243875+0.0364937322730434i,-0.096084718049407-0.00263157952088054i,-0.0238904645605468-0.0176014607701618i
0.0157632952891025-0.00209311550407805i,-0.00693571092805783-0.0403206635973973i,-0.00655754751612953+0.0485737747867907i,-0.0301946957155786-0.0135809942667544i,0.0189020454130841+0.0109094576606518i,0.0794384751259831-0.00146335812613109i,0.0222106992784826-0.00050216300716904i
0.00301209524772166-0.00167714074787062i,-0.0334742867286061-0.0385226367791966i,-0.0149671945887844+0.0126529007181243i,0.0317664867398421+0.0050193451771904i,-0.0528694830338358+0.0192770004274654i,-0.0339321183191467+0.000125175948550599i,0.0340248720394771+0.00187492640683853i
0.0031908207919758-0.00263274029332126i,0.0711169476905046+0.0872168197759015i,0.0505077569643109+0.00839824359288186i,-0.0773787793417272-0.0277369793639396i,0.0147756244656386-0.0399928041589134i,0.066433674845643+0.00296385658666486i,-0.0289195325467913-0.00546549544791126i
-0.0103363416304154+0.000633884608620704i,-0.00392129670119829-0.0560212765596837i,-0.0290206238897237+0.0222800913529067i,-0.0338094640814287-0.00352322139699473i,0.0784451417779189+0.0211487807919842i,-0.0131429037298737-0.000736210308039073i,0.0548541369699533+0.00683174874754249i
-0.00380307246755936+0.00286406213647793i,0.0285278042711884+0.0407927154936671i,0.0598292911515296+0.0242643918243386i,-0.0378385131108584-0.0110169873105709i,-0.072651181352091-0.027350706095524i,0.0755160294797746-0.00116901029867394i,-0.0410152566099103-0.023685373820522i
0.0143287206967535-0.00671707014042112i,-0.0564681225222933+0.0409437474460384i,-0.0676356727318295-0.085168195276518i,0.0178130229992292+0.0243163058265197i,-0.0201337828164662-0.00463197898570794i,-0.0469664852802568+0.00441271017339777i,-0.0159315928724096+0.0386413773837569i
0.00469575021436457+0.000145265865390703i,-0.0126643411602493+0.0350885631821127i,-0.0245089914088964-0.0540825926084271i,-0.0186952457575386-0.00168024068077788i,0.0412237749674921-0.000971984428838901i,-0.0454218769068773+0.00266212505480249i,-0.000190379603086522+0.0143422227989088i
0.0067680707931717-0.00223492169345536i,0.00286378531527614-0.014133811517389i,-0.0214266517081301+0.0129448210864654i,0.0363069929254328-0.00359615499648164i,0.00534165402318228+0.012252985205781i,-0.0586325839484145-0.00128295465973622i,-0.0103641745347427-0.00340777894611632i
-0.00450245510701278-0.000243954900097768i,0.0417246375757103-0.0125921321008557i,0.00338149522821966+0.0252367886956813i,0.0597799130089034-0.0112877777994229i,0.0352066490162385+0.0111294184564852i,0.0599679079403394-0.00254095150202735i,-0.0131404134939243-0.0125316612094945i
-0.00519004657203946+0.00053567614666381i,0.0434961280901959+0.0352062979686748i,0.0442476084786959+0.0419039164815505i,-0.0673972152642932-0.0186311652022761i,-0.0385274307649634-0.0288862883945304i,-0.0286611568053337+0.0024613406485005i,-0.0282208280035301-0.0213424746101256i
-0.0145300027386425+0.00391389716200911i,0.023262885756324+0.04289794185373i,0.0556111253066687-0.0271769569145406i,-0.0814380526846402-0.000847335624705422i,-0.0123927342208061-0.0226909220921982i,-0.114207162422325+0.00434584987430178i,0.0494512508292359-0.00244451100606156i
0.00200483465199189-0.00393374825798987i,-0.0577606180710222-0.0118672833775299i,0.00797838914967933+0.0056065299941351i,0.0152413508724764+0.0105002157900917i,-0.0974525365896724-0.00434369137758769i,0.0196771467879988+0.00154265619378803i,0.0143595163071371+0.0134680166859016i
-0.015304424894904+0.00159365617861875i,-0.0248452530884772+0.00787189747704408i,0.0113503988068873-0.0172390057612127i,-0.00562723717009494+0.00773385507863409i,0.0250694753302625-0.0109340980881391i,-0.109207794363191+0.00251903272405519i,-0.0169732392735468+0.00984104348526831i
-0.00109209055433355+0.000621573503947417i,-0.0160657709339496+0.0159649273901803i,-0.0267402387583997-0.0483717144187966i,-0.0564669795169633+0.0147645699365955i,0.118564628070352-0.0126750396491439i,-0.0739832081953423+0.00200192545451796i,-0.0172246803837373+0.0265462782076419i
-0.0133349920727347+0.00318677324706566i,0.0310378037147346+0.00473839672166542i,0.0756371021523658+0.0384931464005351i,0.0080224831431541-0.00396038237028101i,-0.02554817603104-0.017745726541166i,0.0285652451930643-0.000528724554139048i,-0.0145215582968592-0.0215746704586159i
0.00570928910077576-0.00155477004169574i,0.0124290496168092+0.0333887834081361i,0.0174893615896574-0.0488187941831197i,0.0385390491280086+0.00914083636889353i,0.0804829726797129-0.0116848208096563i,0.0657458035260593+1.87184205779805e-05i,-0.00495712251196203+0.0216632945315029i
