0.00104382468635412+0.00172616673108671i,0.0322589274316279+0.0246241076045021i,0.00432736282763034+0.0168607619339885i,0.015730831232217+0.0180941388668923i,0.00620262654600209+0.0044440419427606i,-0.0087528595064756+0.0182443434845594i,-0.00720824645339708+0.00925341808006733i
-0.00882660519468753-0.00146332030542872i,0.00509113853531616-0.000290742153821457i,-0.0139596504882034-0.0103521840723918i,0.0135544378299924+0.00447841474943598i,0.0357469293826771+0.00832332924995029i,0.00435081788633747+0.00828674134051612i,0.00839792379251324+0.0126540703496035i
0.0034770923474744+0.0013695147310106i,0.0192119164102375+0.01250647370944i,0.0167833372805365-0.00718179877653844i,0.00442337474448412-0.00530659470688497i,0.000249548395038551-0.0112139402148956i,-0.0183687860374993-0.00243850554949107i,-0.000152367488221261+0.00629650301418118i
0.00502596497367125+0.0007604020198824i,0.00119437344892655-0.00480795696120261i,0.0119208453270999-0.00389249649613629i,0.00328101148467981-0.00444572976699936i,-0.0133188590785661-0.0101073831733949i,-0.0141371835150923-0.00880766013439428i,-0.00406125427206628-0.0029655182039878i
-0.00593804371405811+0.000697243020657889i,0.0136406547665191+0.0134281871770187i,0.00578005554527608+0.00735087664425238i,0.00372472648562785+0.0135760348778805i,0.0220624391582435+0.0015717341760607i,0.00445247901442857+0.0124213149504307i,0.0100361443572868+0.014870043733977i
-0.00075479250815315-0.000900479660155258i,-0.00764819476460267-0.00714932335582847i,-0.0102041689390847-0.00381706675020683i,0.0041695030724264-0.00130319032775062i,0.000532740510259746+0.00334776863613349i,0.00108140736270246-0.00108372926954064i,0.000727838389040326-0.00274706667864119i
0.00575762372360371+0.000377327320718882i,0.00526320684669264+0.000424116570849362i,0.0116382159087918+0.000760029055562913i,0.01575262436769-0.004451160407873i,-0.0103293595244354-0.00801728047378517i,-0.00517506125406106-0.00237573141348163i,-0.0175692293852547-0.00559545468192835i
-0.00556543690134173-0.000648584187587873i,0.00171771412170583-0.000699488423144291i,-0.0101421540785307-0.0041416458392298i,-0.00375235870359441+0.00505637007120666i,0.014821832439446+0.00177293533518736i,0.0102218874424981+0.00895953104049286i,0.00309665301008748+0.00811418146940138i
0.000508085112278663-0.000235926211696504i,-0.0030741532512798+0.000283831813634736i,0.00112039348931967+0.000600294337800135i,0.00584891367011553-0.00165134421716581i,0.00181586023199293+0.00140421889551192i,0.00345176125891827-0.00179803739071496i,0.00220735260835738-0.000706561822313763i
0.00198838798747661+0.000340693790097241i,0.00990846578670537+0.00415893962461001i,0.00635193781038334-0.00331142443831651i,0.000714634448961789-0.00671344223915483i,-0.00601198451814187-0.00391764373527917i,-0.00810196527602694-0.00443664972043128i,-0.00555737985827397-0.00391412475354079i
0.000133478002865662+0.000789006395870966i,0.0144932606302808+0.0151170400915672i,0.00448353107492622-0.00246265084617891i,-3.76334860776443e-05-0.00365691983084348i,-0.000551528933532614-0.00480162795543095i,-0.00527260934305508+0.00564750969531057i,-0.0112726560246649+0.00560455240155002i
-0.00495154140362288-0.000726173779062423i,-0.0242096072987247-0.0117735633083303i,0.00196451377090513-0.0126605268383211i,-0.0155822287260444+0.000738179866338293i,0.00592600471903954-0.0108491984041981i,0.0174168611775807-0.000381458041634265i,0.00855697256942421+0.0107781103689438i
-0.00300205073077827-0.00101263385476622i,0.00591037276156888+0.00220206437541045i,-0.0110431214884027-0.0150663956906773i,0.0058539414972117-0.00786820244149987i,0.0158591313694061+0.000351892807859923i,0.000481470457306486+0.00326835952679981i,-0.00510147068478878+0.0055877240143927i
0.0002844769238178-0.00104948365155168i,-0.0229027307015857-0.0110718618885847i,-0.00136549672805874-0.00892543590587628i,-0.00835219839489885-0.0130151536152567i,-0.00970563194966186-0.00475405752521649i,-0.00110427455890631-0.00907926454888972i,0.00273795363375263-0.00149258179790137i
0.00733889755599997+0.00091017692256308i,0.0147693894932463+0.00496450896056704i,0.012425817405332-0.0121981295479087i,0.00632720803909786-0.0181313222480665i,-0.0104294655483425-0.0106277597751768i,-0.0233483217608568-0.0128567323776549i,-0.010604584328575-0.00407142185264835i
0.00121112018774647+0.000748816923026471i,0.0219208142117888+0.0176742944933085i,0.00577356673630158-0.00655494630029504i,0.0026228305926513-0.00949678569066814i,0.00669924185545467-0.00133965969409354i,-0.0141766615659347-0.000959203046033104i,-0.00243674784265806+0.00475471895188998i
0.00354892652236039+2.48949128111706e-05i,0.0112545336352658-0.00342711116058614i,0.00305517154216776+0.00927671866985368i,0.00309366899232378-0.00462392412474966i,-0.00616923213781887+0.00449580618884943i,0.00472945906618712-0.00231022957360429i,-0.018016094853983-0.0205457565122101i
-0.00199499234181691-0.000347500253518409i,-0.00677914560992514+0.00384745060692371i,-0.00676114751053184-0.00655314689438611i,-0.00322551029654598-0.00375430510572548i,0.00625642948383518+0.00415734735297193i,-0.00336660279913443-0.00198230854756639i,0.0101910688136983+0.00731819446633114i
0.00896460280085155+0.000923955170147695i,-0.0058619142623193-0.00258269465944855i,0.0138192447744496+0.000760046571985008i,0.00415361094414846-0.00652083471266347i,-0.0254578239001597-0.00895554370716487i,-0.0198829966148787-0.0124827341047169i,-0.0046004774773238-0.00579564936227871i
-0.00441112089846857-0.00125188092944978i,-0.0137764623292586-0.0127602330628071i,-0.0116462001283438-0.00732185503780563i,0.0068817243273371+0.00299480815176459i,0.0166369775384803+0.0018371391844264i,0.00257000221317312+0.00163731905297729i,0.00488378052030881+0.00986862803888529i
0.00338857220411873-0.000148319028779305i,0.00296452728558393-0.00633538995393963i,0.00478567954053258-0.00927764791798131i,0.00343043788057119-0.00777332879797514i,-0.0106825153709345-0.0101336570411804i,-0.00434060598943339-0.00413863398303031i,-0.0183761516588595-0.00555368267346123i
-0.00177535364853689+0.000199619949625918i,-0.00748798239024617-0.0120097315195368i,0.00442749305881134-0.021831145394285i,-0.0185696781326511-0.010883728290139i,0.0058129572684477-0.015309027395088i,-0.0174024561705653-0.0130378606064679i,0.0177032593939162+0.0138165360013699i
-0.00397310721857119+6.95174047813187e-05i,0.0163715926594824+0.00979548147863062i,-0.00559336781424377-0.0150829711559891i,-0.00969306742685649-0.010681717795139i,0.0253920743000588-0.000269423118024052i,-0.00644287047814791+0.00362350546085575i,0.00110111355472506+0.0110422310330704i
0.000294598374637673+0.000705993111476789i,-0.00216058088696419+0.00551197149252376i,0.00717600127429908-0.00064847378653805i,0.00207555434671987+0.00568703093832646i,-6.0534059243256e-05-0.00714540520837687i,0.00329781123938064+0.00442992038594234i,0.00391891200360025+0.0105994617470711i
0.00657850421365674+0.00220918489266429i,0.0274590625775934+0.0227649814542824i,0.00781767514974661+0.0198591268012524i,0.00990341204097272+0.00956126289745194i,-0.0204746507484521+0.00684613951811799i,-0.0165160806860875+0.00619146175545156i,-0.00842078983540616-0.00827531601408374i
-0.00569044907064145-0.00137508705298195i,-0.0123955529092197-0.00530966306610516i,-0.00144883356831822-0.0142187171962914i,-0.0126222347439225-0.0095969621977989i,0.0153229990363577-0.00396529065122759i,0.0178482459266082-0.00185086976848245i,0.00139081331820976+0.00498931392444734i
-0.0057627909716997-0.000302383146896383i,-0.00575422429164465+0.00375083104114599i,-0.017520875303507+0.00645055962162645i,-0.016107873318669+0.00604270952217862i,0.0117534345217171+0.0152464415183912i,0.0024988890707625+0.00410231214414735i,0.021092789102881+0.00706782694301507i
0.0144254415998742+0.00157152353662988i,0.0307422440998973+0.0158157784499906i,0.0120631688498276+0.012077480003743i,0.0285388077112232+0.0046954401713043i,-0.0166876848183729+4.39013637286469e-05i,-0.00410429515409046+0.00508784671118996i,-0.0295128957039112-0.0158282361138548i
-0.000240870492728318+0.00017729890573455i,0.00698886068640484+0.00719139934171176i,-0.00364750614775884+0.0061232695546403i,0.00251587121796045+0.00173794137040088i,-6.88481602864523e-06+0.00704256261732344i,-0.00599725281317016+0.000891656469386903i,0.00518494346658951-0.000895342472426898i
0.00437688431096396+0.000391141322026679i,-0.0103541171474642-0.00712929628718757i,0.00672721268619732+0.00394508156306804i,0.000926685111966523-0.00292596232765274i,-0.0127338107368095-0.0049067367780979i,-0.00660603986527172-0.00655716683646751i,-0.00355478411498056-0.00398080464250929i
-0.00223311760523652-0.00019733702198512i,0.000918301745566421-0.00693848971109266i,0.000606286806345076+0.00829180891259145i,0.00202307857894704+0.00828038460421533i,0.0016921730632285+0.00148560431297175i,0.00974231876851009+0.00398723994003621i,-0.00564436247865599-0.00504626096864022i
0.000645430581819449+0.000399561972250223i,0.0278420070160802+0.0105527979051276i,0.000341892143803587-0.00183189905859211i,0.0150360785416083-0.00156217562183003i,0.00802608269044847+0.00193454667960128i,-0.00993015173354495+0.00234654677115985i,-0.010637757667596-0.0015901847963837i
-0.00407012882998879-0.00121397024499371i,-7.05222932270306e-05-0.00479433807386658i,-0.0136743918064512+0.0083042004662914i,0.0137474139496871+0.0101279368776072i,0.010834021934514+0.0140162086818212i,0.01511414737251+0.00814801891790871i,-0.00302900199637335-0.00737639856574562i
0.000491472805590597-0.000727185812649942i,-0.00104105933138479-0.00867837159220758i,-0.00554662079758371+6.29099106476184e-05i,0.0125782821736871-0.00473539579721787i,0.00418138246522284+0.00376497269114658i,-0.0106882614398598-0.00395261879799383i,-0.00499420512645264-0.00269260902895882i
1.05209741875007e-05+0.00129787079794788i,0.0372724149119978+0.0263750973904569i,0.00552378835685575+0.0056782511567149i,0.0175011349444445+0.00529700308681304i,0.00824194416594033+0.00376408720517371i,-0.0139098899318149+0.00994675144285964i,-0.00526393934591027+0.00421122910779232i
0.0102683303742618+0.00336801638861962i,0.0331218672999367+0.0214169549124773i,0.0146686724131806+0.0213012364545653i,0.0268812292934762+0.0196823571873342i,-0.0114992666208536-0.00156797586707363i,-0.0214822200148668+0.0118029664342027i,-0.00686994502810899+0.00506692064911794i
-0.0253799021006357-0.00509559541324093i,-0.0453911360514406-0.0333818464243058i,-0.0196322636931817-0.00626609848330369i,-0.00988430910829461-0.00424677329563359i,-0.00429848741553632+0.00489569588849758i,0.0299376722187409-0.00805688123977667i,-0.00178587699484772-0.0122024919575184i
0.000476413592324583-0.000906891990951932i,-0.0216170967823477-0.015501100741637i,-0.0188623201421176-0.0095728613394191i,-0.00936328435637218-0.00469880326172847i,-0.000855195761720551+0.00872451665852537i,-0.00717397643936983-0.00922483253374622i,0.0138608910144536-0.00181278360874346i
0.00180296665220646+0.00160019851941708i,0.0256768040662873+0.023124557594118i,0.00592283705496392+0.0172236789723908i,0.0166542164984886+0.0181156519198707i,-0.00392125619977008+0.0061606354711038i,-0.00581175872400169+0.012434742857071i,-0.00198251811569916+0.00334480196903758i
-0.0019902507119969-0.00039585038542974i,-0.023899907697197-0.00717998990624832i,-0.0061421021819394-0.00540638478371407i,-0.00576359665842229+0.00353633757960444i,0.000137142502535399-0.00101688820310612i,0.00363537989205368-0.000790066821275091i,0.0117665720903264+0.0101011340348075i
0.002357214306727+0.00095360684566067i,0.0201650154214291+0.00789645039111505i,0.00882450617981254+0.00848318333067732i,-0.0108675632168511-0.000185048494416406i,-0.00702249138834274+4.40026837047722e-05i,0.00837884128633642+0.00141174799945574i,-0.00928277737957646-0.0146213912948366i
