0.0135719028749399-0.00421019666422769i,-0.020554378678756-0.0454182915898658i,-0.0370440443976795+0.0492612373379295i,0.021227284978417-0.00976369223934099i,-0.0461855010667836+0.0258595595695366i,0.0190695574926302-0.00444384394666616i,-0.0344953874778944-0.0317890446603805i
0.00760278618688869-0.00129107605334597i,-0.0250062751788163-0.0105001238856556i,-0.0271917326092805+0.0192897005238642i,-0.0577065126937774-0.00788303074858664i,-0.0261064873194378+0.00586158148605968i,0.0323558656562855-0.000282164814671507i,-0.0154170714530024-0.00826684613629683i
-0.0103268409563822-0.00177488242197593i,0.0450244856529346-0.0142423102486171i,-0.00395722222928676+0.034953778296721i,0.0597114588757073-0.00947771066520072i,0.0304943207006386+0.017456986074049i,-0.0373499210959987-0.0103280602714697i,-0.057158184291242-0.0383271310620916i
0.000586511002870074+0.000944326665980656i,0.0218015693320413+0.0395191213179327i,0.0122044003750139-0.0376145995040384i,-0.0108583668895595-0.0065751409567094i,-0.0214989978262454-0.0046943771156144i,0.0205319381402751+0.00169746433282739i,0.0467925309363906+0.00975080994250778i
0.011235510165941+0.000612037119342506i,-0.00632156080921124-0.012955262605586i,-0.0198115207623105+0.0293879307770727i,-0.0672535751563504-0.0127817528576874i,-0.0164508125355463+0.00642511134774283i,-0.00666907353340041+0.00184487566397362i,0.0164867092086568-0.008768638140796i
-0.0028285667161162-0.00199710387949957i,0.0364106506947732-0.00163103817641593i,0.00229748910110014-0.0154669646266707i,0.0914063337852443-0.00145989909520471i,0.00268586350101849+0.0105546456174068i,-0.0155442721714093-0.000298734570958921i,0.0164952117796169-0.00380513591780627i
-0.00530436145432858+0.000404423006671665i,-0.0128002270440786+0.00858077775955337i,-0.0107634674075889-0.0147752565168922i,0.0056641682892217+0.00671535868929244i,-0.0058043689163636-0.00433324663779448i,0.0040467087533845+0.00199249462343368i,0.00220649231957089+0.0127145649982386i
0.0100150369094322-0.000876336838504613i,-0.025720380407498-0.0196295535907274i,-0.00405966258152751+0.0149830241001061i,0.00544894919458308+0.00258117151266514i,-0.0331345665796916+0.00423289138472621i,0.00150275216506062+0.00159665482781038i,0.00866166344976179+0.00267925222044802i
0.0157631580587592-0.000267061768392618i,0.0127368412870632-0.0345936677582601i,0.0147345760509534+0.0586084511501872i,0.0214664742655978-0.00778773214329536i,-0.0115632462023648+0.00579028001812806i,-0.0264626798221606-0.000592776978829708i,-0.0119578577248329-0.016786198390299i
-0.0191805061217964-0.00374811596582227i,0.0336533305891142-0.0382603165587242i,-0.0380043341315042+0.0402177178314688i,0.00388062745422226-0.0151308019529609i,0.0809465331128275+0.0215532885749074i,0.0109776964721435-0.00466657026667441i,-0.0324677278988196-0.0232674270473811i
0.00652965353450218-0.000101910676468758i,0.0455689854810565+0.00117954765528299i,0.0374992364429689+0.0187294404077249i,0.0204049239619754-0.0117174443365693i,-0.0297092803782731+0.00140157648746155i,0.0116578206456586+0.000998653002106027i,0.0552949963950642-0.00706943256348427i
-0.00762476332419653-0.00100744203238778i,0.00227586450026294-0.00435078996056508i,-0.036954257976932+0.0101517147684219i,-0.037883442608318-0.00682420524804093i,0.00525431035491389+0.00904575761095444i,0.0492943255483527-0.00191659770576574i,0.0144270611888117+0.00282363392692259i
0.0174995448353876-0.00172798242409086i,-0.0589606171209243-0.044202480295942i,-0.011110992400715+0.0541072185154575i,-0.0456881708345082+0.000689929098884939i,-0.0688158974720357+0.00477428046982404i,0.0455738647735555+0.00166339472109065i,-0.00145713518602061-0.00583319643523235i
0.0114420630177474+0.000513667585189537i,-0.0296803259326761-0.0342761469662325i,0.0319217874361305+0.0543335041643687i,0.0245375704148944+0.00793290387632203i,-0.0391411574764485-0.00789146600882886i,0.00451082576675893+0.00186656570259158i,-0.0192887939935925-0.00223639789902475i
0.00758762672851261+0.000688243242750243i,-0.0507607136681332-0.0181317939728391i,-0.00394999161268049-0.0207474503242327i,-0.00204526590754674+0.00979605405282714i,-0.0276596019706264+0.00661730287512981i,-0.0165671536506808+0.0065177650397638i,0.0673240941403797+0.026101058952641i
-0.00300808150483245+0.00161107112340602i,-0.00669623524063189+0.0107695298692685i,0.0378700492622233+0.000249296039288225i,0.0124034436936835+0.0139370136469691i,0.00421817404027012-0.0231963732176357i,0.0201014486567427+0.00246536793805246i,-0.023840093110167+0.00848382884109547i
0.0143290967551963+0.00152874063062623i,-0.0576021697839866+0.0136969315324187i,-0.030046425286413-0.0148416378907962i,-0.0752897336050364+0.00736982212076889i,-0.0331008037374142-0.012308638768834i,0.0318780724406014+0.00432531245191289i,-0.0228183044173599+0.0112332099081238i
-0.0079859498728936+0.001957313251676i,0.0637154648301124+0.0409318793942517i,0.0466740813461492+0.00483405432816843i,-0.0336372417509025-0.0146781833267706i,0.0228767039888069-0.0174844726469029i,0.0222489915202372-9.15867788328338e-05i,0.0123667366111255-0.0100137973119348i
0.0119001201923727-0.00019118673339219i,0.0224565445843158-0.0204946499599142i,0.00814769964663602+0.0535982940016122i,-0.0958793975106053-0.0242008633212118i,-0.00470936665872122+0.00541596072599505i,0.0113168094046861-0.000518239046318734i,0.0355617853425976-0.0152350298542019i
