-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
-0.00550727324193687+0.00377835478812886i,-0.00786777824764936-0.0310482605438831i,0.00969728090653983+0.0284163238631267i,-0.0275085724464115-0.0153742385465867i,-0.0553675066435926+0.0156268328741393i,0.0135132430214544-0.00358780084493234i,0.0644412557657352+0.00908715355019758i
-0.00513468391040896+0.00106058055448996i,0.00975486563068626-0.0278850700644263i,0.0251780072653222+0.0407570198871125i,-0.00414795705793228-0.0108319415975276i,-0.0221121750149013+0.0079435796512087i,-0.0256920702739308-0.0014866607283375i,0.0339687167128093-0.00294015223483848i
0.00433793678299198-0.00188520639509864i,0.0093036736627261+0.0213506936325491i,0.00558320516075375-0.019931589322288i,0.00613195944751811+0.00789429704175126i,0.0250929043980111-0.008722393672194i,0.00498605054311569-5.16849089815325e-05i,-0.00356902571029971+0.00688807613571185i
-0.00922847212707286-0.00140588272612563i,-0.0144076016641826+0.00247244489075031i,0.0176478973137956+0.010324949775147i,-0.0206804543598256+0.0051727288966128i,-0.0174611283494261-0.00889599632932415i,-0.00724027319282875-0.00012246956430668i,-0.00791110144428274+0.00465113086699577i
-0.00965616630845158-0.00304158343771585i,0.018191821332967+0.016573587605293i,0.0123823701918095-0.00224399417320725i,-0.0030584035375787+0.0118123166499713i,-0.0282274896624872-0.016741677897364i,-0.0230567329819478+0.0006978486811816i,-0.0180546269129778-0.0100601160418133i
-0.00535073037932862-0.00329564791986303i,0.0104312087377099+0.0192724259334172i,-0.03697958838834-0.00527219275125665i,-0.0278539195449983-0.00175681058716521i,0.0160124212974364+0.00459333474190745i,-0.0144108994890532-0.0107505376176266i,-0.0336646463480648-0.0209875397738523i
0.0194370680758903+0.00053687308011276i,0.0394355472438262+0.0187190779429671i,0.00819520284877162-0.00502317167903797i,-0.00856160150134014-0.0107608201618477i,0.0232173312215317-2.59001220843055e-05i,0.0163400530094361-6.43225546533817e-05i,0.00307887888509711-0.00943585123294076i
0.010395783012765+0.00133176494710086i,-0.0111051324678717-0.0172974661260573i,-0.0564639207907029-0.015738984495877i,-0.0157515896139025-0.00294101920514288i,0.0598152337657378+0.0162292660862279i,-0.0244709256608119-0.00308444693471428i,0.00129147514981416+0.00813985158236515i
-0.00650810544915278-0.000742371523759266i,-0.0353807623838584+0.0105728762986948i,-0.0361887631318399-0.0404410248802705i,-0.0169519499661746+0.00278274579384235i,0.0169587527852549-0.00188830949322255i,-0.0469662031255495+0.00271213119506907i,-0.00150143894708377+0.0217292974239009i
0.00803168898203668-0.000359310868809401i,0.00118320848646525+0.0106602938091309i,0.00909679635776881+0.00279464135563886i,0.0294528534996531+0.00767332680029903i,0.0169182689842448-0.00763350916558082i,0.0459728570023567+0.00395776323498087i,-0.049025107254179-0.0142757843709455i
-0.0187157679981188-1.1178225254126e-06i,-0.0180953694066191-0.0184851953792584i,-0.0174860911852922+0.010800477782765i,-0.0136259936557409-0.00150354637273564i,-0.0452868193744402+0.0107035431465515i,-0.0227613766669334-0.0059800635968529i,0.0232451989788031-0.000200901481268788i
-0.0179609022859755-0.000980627758641489i,0.00844318453680308+0.00907435883799886i,0.0134868272477865+0.0159410184549025i,-0.0150450142891835-0.00971465568517625i,-0.0573217686443616-0.000780099810964699i,-0.00759624710294342-0.00438617668499887i,0.00689619231054506-0.0146029089622323i
-0.002337872944171-0.00505883513156591i,-0.0110859415790007+0.0233568600962873i,-0.000607776303338866-0.0193002417844614i,0.0773274531907569+0.0162448879730515i,0.013487519722787-0.0116696340995008i,-0.0466368396056002+0.00228453170967797i,-0.0682533014265355-0.00931898966039284i
-0.00626838747246397-0.000843638062443578i,0.00226577344100434+0.00815238413981334i,-0.0210630830092183+0.01889201071145i,-0.0237565739691727-0.00577902782306364i,-0.0103081465609886+0.00700628934632342i,0.0466505677798431-0.00936536956482067i,-0.0420557340148303-0.0311993398450035i
-0.00853010119454459+0.00091899133005298i,0.0241588044917497-0.0232062632836542i,0.0203165972762738+0.0485787105400596i,0.0336212601220822-0.0211789355943683i,-0.048758764484243+0.0153727160083573i,-0.0290499235760192-0.00413167416640763i,0.0229868864978719-0.0185688444375777i
0.0323202714120785+0.00302994671627478i,0.0112608285642614+0.00045976847740669i,0.0390623023504424-0.0361342971836322i,0.0469710529971489+0.016760798566145i,0.0430804299540067-0.0159022223033603i,0.0325426207194372+0.0169299057110216i,0.032120905992869+0.0379038153273849i
0.00568754722022057+0.000791619403342049i,0.0187918102499749+0.00196196696038587i,0.0393314268213517+0.0141118673353385i,-0.0244158201899356-0.00315565756344293i,-0.0100905859756853-0.00395608400683298i,0.0336585271327872+0.00103239229184486i,0.0315815147135293+0.00409621760229179i
-0.0118070806755124+0.000326758583340859i,0.0198611535494507+0.00104695875636252i,0.011982998086911+0.0244667325750783i,-0.0415206965747841-0.0268733151576714i,-0.0455013688507101+0.0125700903335783i,-0.0325745933096001-0.00856200197766261i,0.0466600261698351-0.0103427018120248i
0.0025366807748388+0.000785075068683675i,0.000733218450134039-0.00578424624481124i,0.0150877739169113+0.0013778525057088i,-0.0286130848709313-0.00267785838202705i,-0.00640889584577567-0.00277048119320493i,-0.0224721837295118+0.0018212800693345i,0.036673705251557+0.013839919393663i
-0.0164218077690035+0.00214343650894808i,-0.0520034661377824-0.0512450368569591i,-0.0485680928148237+0.0228383807507847i,-0.0310777659975671-0.00125684303270902i,-0.0114910615377332+0.0212171082081766i,-0.0119015880548534-0.00310987098015852i,-0.00149820106971735+0.00422538294702161i
0.0180024665710116+0.00556113104788127i,-0.0299129024345588-0.039571209550441i,-0.0224611494459863-0.00242879370196039i,-0.0183501994929078+0.0094117578417204i,0.0277849795435286+0.00653608225895664i,0.0601494078044731+0.00687019073443974i,0.019559902699452+0.0258190872220491i
-0.0191237435527933+0.000350751500830411i,-0.0554144360904173-0.0271416821148494i,-0.061275819419552-0.0110407258434979i,-0.0244913754195229+0.00651793307799026i,0.00513958031323995+0.0106495050146367i,-0.0380511645685217-0.00256230821802344i,-0.011572283212607+0.014990060011296i
0.0167031726507159+0.000265992039328574i,0.0189374818279084+0.0355085087329388i,0.0329525662561365-0.0409456271808752i,-0.0201155157178399+0.00726200595204164i,0.0369332649721144-0.0254286120165009i,-0.00406406075537469+0.00997535197327789i,0.0217957173549253+0.0260488272388142i
0.0109683878031249-0.00144242945071203i,0.0267980206461882+0.0123118303408661i,0.0212597870586314-0.0174583790821601i,0.0423738433867134+0.0110324081044535i,0.0180117150987218-0.0111101020760256i,-0.0132581676537096+0.00473814754829624i,0.00519872064514874+0.00444716364002285i
-0.00430263316424902+0.00322041243549319i,-0.0312141625457937+0.00309299024358669i,0.011339977962904-0.0265010921752296i,-0.054143138954751+0.00358091461353051i,-0.011027634061545-0.0144601660660152i,0.0168361429671919+0.00841608362616438i,0.0489689460006932+0.0431845371704751i
-0.00634025991156377-0.000889889835530515i,-0.0136473226285261-0.0249287084890518i,-0.0151857381903062+0.024716251749118i,0.0157589842734601+0.0064563831203211i,0.0100183134923898+0.00680478112215857i,-0.0233266348078171-0.00136124944562986i,-0.0298986153999203-0.0123938710753024i
0.012517718225802-0.000480580109523353i,0.00321559030434456+0.01461830693898i,0.0188979526658703-0.01881776627548i,0.0645118942814901+0.0108744323093367i,0.0154909852194942-0.00821644626782872i,0.0237916973709974+0.00608294265644945i,-0.0251058965545231+0.00133913257843306i
