0.000405426009332829-0.000152596444719458i,-0.00113720621307118-0.00229565864175813i,-0.00767791880224654-0.0160047958734012i,-0.0020546091748581-0.00218422939036473i,-0.0350745800198214-0.0166091376491371i,-0.0245328297095972+0.0142349226484363i,-0.0183562955468782+0.020217871962428i
-0.00880787789117976-0.000654052823645605i,-0.0240315542573058+0.00312350821358184i,-0.00727177973045207-0.00618374876475537i,0.0164855169805322+0.00435814429992979i,0.0417877112992755+0.0041404147141952i,0.018481487084909+0.00861702699108541i,0.00560498781255654-0.00987537641961531i
-0.00690142688247056-0.00140319194338097i,-0.0205414196769578+0.00711832916853789i,-0.0201123985835923-0.0229383272153929i,-0.0216300033711897+0.000593295464402614i,0.0353117288118097+0.00112744811435948i,0.0258603996990093+0.00214131844905286i,-0.00270600906623608+0.00129976205023242i
0.0015468343454573-0.00328551738408114i,-0.0152164813199178-0.0419858270991716i,0.0178902154801966+0.0190427743976887i,-0.0200799832152688-0.0108780306785219i,0.00191860141932794-0.0056466100849071i,0.0102733294193529+0.00119094897351347i,-0.00217789333393917+0.0261899062228849i
-0.00518622515779817-0.00144247390784541i,0.0242866624589489+0.0223258825891519i,0.00132002645438493-0.0267551346438346i,-0.0123738525583211-0.0119884352501569i,0.00706109064503521-0.0156010234772958i,-0.010475472097631+0.0135102438868935i,-0.00442845999627687+0.0217257755247448i
0.000492070619027042-0.000413921024430921i,-0.0332182459959679+0.00434198642315918i,-0.0183921545270204-0.0202346599830874i,-0.0273753545663564+0.014611761795284i,0.00963855752929514-0.000865443656647855i,0.0353497106979989-0.00140955242287042i,-0.0156678686107608-0.00964840473959035i
0.0151019651994778+0.00302707828979627i,-0.00171844434750242+0.00260569482233283i,-0.0074196262568322+0.01238084192842i,0.0105890059927123-0.00139851515747697i,-0.087958022985817+0.00366195458213881i,-0.0104686867897859-0.0187243548798177i,0.00292964460640257-0.00216362026454261i
0.00303049018875388+0.000836641151504836i,0.00120227862447382+0.0130349347848779i,0.00328770105201482+0.00217106713905344i,-0.0212227095101545-0.00748649886878519i,-0.0118865665927629-0.000962522974218108i,-0.00774128851198253-0.00659655950794788i,0.00845042876745836-0.0108361262919855i
-0.00189120952709469+0.000169113498086401i,-0.00507771996302911+0.00121244516458025i,-0.0112818151017197-0.00142589885882008i,-0.0271239632843451+0.0143465305341728i,0.0484091516605487+0.015243085098904i,0.0229839892415618-0.0152864641523927i,-0.00257953135584535-0.0212626630148497i
0.00239935137653334+0.00147256445236919i,8.84408530973425e-05-0.00697234797104213i,-0.00251949880703516+0.0217286025132832i,-0.0045803835341346+0.00548905107061315i,0.0257517980974297+0.0160409264640306i,-0.00345555337377976-0.010148354671762i,0.000882053882910933-0.0246813815226188i
-0.0138819783310511-0.000343579433762701i,0.00639446461822343+0.0114420161190259i,0.00668243295701882-0.0198705067656806i,0.00903821706641013+0.0188695665304651i,0.0340326616819073+0.00122902091693454i,-0.00120020328040183+0.00489902266606752i,0.0243758391291092-0.00746083661933858i
0.0026423679550646+0.00314729631119958i,0.0141947247297356+0.0291391066129082i,-0.00547830384677528-0.0154449206965801i,0.0440355373138467+0.00677366716867956i,-0.0451241794327236-0.00634253188671341i,-0.02777608121866+0.00873010649171489i,0.0140329428120001-0.00255973431448591i
