0.0346330864255431+0.00113000341629098i,-0.0127368424684055+0.03473583387172i,0.00221093010883563-0.0263783563789504i,-0.0171727273103486-0.007596219965741i,-0.0236655007701113-0.0049018781189762i,0.00345402477342782-0.00184972345228235i,-0.00857219326184174-0.000433505580723696i
-0.0308421926605006-0.00423442193582186i,-0.000238979100579767+0.0261467871680688i,0.0306737233201188-0.0365407965757857i,-0.00436033580477695+0.0168440911788804i,-0.0429898844995367-0.0100960839595677i,-0.00272671981595786+0.00936452868490131i,0.0291941893416154+0.0172728452098573i
0.0215722277897451+0.0016832418282015i,-0.00942798279448712+0.0164123321451187i,-0.0126160081879864-0.00238707346814235i,-0.0148723554028856-0.00436563772762876i,-0.023985625921692-0.00794280534775325i,-0.0413083114201422+5.9439768871052e-05i,-0.0409373390786827-0.00672109530853014i
-0.0136328197602927+0.00272225440318081i,0.00690038036918605+0.0096388190025101i,0.0165412066144217-0.00315056112204646i,0.0281496008008676-0.00646102955605101i,0.00659186515866498-0.00995542792751501i,-0.0232299183088442+0.00405859194112193i,-0.00598243087621393+0.000575613871574444i
0.0279948548564035+0.00205723448105642i,0.0161977975060519+0.0242743827950848i,-0.00761882805342456-0.027650828051076i,0.0163735363955307+0.00350525208486473i,0.0544060655186058-0.00612356747489062i,-0.0157344340631046-0.00213372399677815i,-0.0179111959020415-0.000562405693963264i
0.0198586843053853+0.00273765054494969i,0.00338933027055535+0.0274146363693387i,-0.0203009075246383-0.0206106021317703i,-0.0321087325171488-0.01235102813774i,0.02178489251619+0.00351352040323633i,-0.0153795040755283-0.00543790128981348i,0.00719920335874583-0.00885033997606174i
0.00592480722185027+0.00181438341541074i,0.0241177953107101+0.000514004612008023i,0.00420606516098385+0.0251884801372986i,0.0123564797674718-0.00423687855694427i,0.0321955060087999-0.00789159920064316i,0.018606413600837-0.00242840023960208i,-0.0550234697013514-0.0160460970188737i
-0.000604803150447142+0.0021080415224722i,-0.00728495972109593+0.00392493131756221i,-0.0167109062285361+0.00405307317083323i,-0.00805665534212792-0.0200310713188519i,-0.0136874037106317+0.0171042788702929i,-0.0268854535847096-0.00873871843928195i,0.0297354054367467-0.0141723114816611i
0.02548596263603+0.00241406426157364i,0.00379252843593849-0.0144178004245141i,0.0163665967880179+0.00620729114884745i,0.042341864229351+0.00534827912424083i,0.0363651217493404-0.000791231192061319i,0.00305471573354774-0.000948530972123646i,-0.000856453598967128-0.00178657370298004i
-0.00231175193911691+0.00141874772936429i,-0.0397433922305802-0.0257105992146837i,-0.0196984693196619+0.00156104218437386i,0.0314331922970649+0.0073310915402499i,-0.034716285652805+0.00834533445864145i,-0.040984050589558-0.000206733742605583i,-0.000400023505481838+0.00309218841903701i
0.0276710211839493+0.00129516355147376i,-0.00161637455788178+0.0205774971971835i,-0.00172284023723682-0.028840817885065i,0.0457322406095006+0.0143641944883971i,-0.00635611662759694-0.00727249929819156i,-0.00439355429928236+0.000450049147344761i,-0.0385821582286165-0.00143479692353707i
-0.00380618307761724-0.0054765798472189i,0.0206028415270095+0.0232323063668966i,0.0168357176472858-0.0370233813861473i,-0.0430041544436+0.0145373395844844i,0.00382457859134038-0.00715395557254017i,-0.0439666080424154+0.00793317257682099i,0.0529208118914708+0.021109856542473i
0.0240002336580305-0.00110534163258232i,-0.0102217234725255+0.0344450976447029i,-0.00260077048490989-0.0166496452533438i,-0.0596596557455391-0.0115047504758389i,-0.0276793663240851+0.000219247472401331i,-0.0522480781336671-0.00147426196391626i,-0.00439011768245355-0.00420844762269472i
-0.00817386403947143-0.00431789080907111i,-0.0122432921621762+0.0150847812290556i,0.011920985914566-0.0357571785156864i,-0.00189035892197004+0.00974447967259126i,-0.0099913130218197-0.00232103076359439i,0.0237348972800016+0.00781757226213009i,0.033907088724082+0.0249593679239122i
0.0315095481064139+0.00186043182418028i,0.0123085318655349-0.0214668743964581i,-0.016296001636806+0.0199616215877773i,-0.00730795919003942-0.00308084620344643i,0.0333483975808214+0.00673732213544465i,0.0417796211123689-0.00801624302984485i,0.00394126306299027-0.00807615957782732i
-0.027974023254692+0.00149201389604166i,0.0055543495549328+0.0462586998256184i,0.00781164068967603-0.0317803760077823i,-0.0150423060525088-0.0113178528746811i,-0.0226499353252008-0.00493458370644196i,-0.0156509655225247+0.000283724236357887i,0.00838564383027148-0.00421769175598641i
-0.0199922130703084+0.00289298910997399i,0.0173746201607312-0.0142622399407146i,-0.0129446258158513+0.0444371170440586i,-0.0506759502888418-0.0330353112801112i,-0.0134064920587992+0.0156605199403821i,-0.0298043627593629-0.00990136985905463i,0.0267292629618746-0.0223898307112458i
0.0443916590773098+0.00156644489424581i,-0.00291313277981412-0.00334874020082145i,-0.0177002854218035-0.0016006995305614i,0.0452263225145174+0.0101202971313353i,0.0392265640427688-0.000139274200441795i,0.0598192388742919-0.0052995211718986i,-0.0534901323602058-0.0071806690733867i
0.000148160435860915+0.00279188124356476i,0.0119654424993928-0.0177963832506095i,-0.0119062096695839+0.0300513962258716i,-0.0295556167546802-0.0120023860029687i,0.0232879470826071+0.00036144977386021i,-0.00693579158633562-0.00321009462391976i,-0.000129365693830067-0.00974372615604749i
0.00253884855081529+0.00234171030885636i,0.0066504281309849-0.0141180436736276i,0.0136721507004589+0.00769684390756735i,0.024424677662461+0.00547435505971349i,0.0283612538511718-0.00778736843387759i,0.00167799631733457+0.00303001882565062i,-0.00622039248519944+0.0022667465661835i
