-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
0.0143818733014853+0.00025226135457831i,0.0180605264121289+0.00998797544896458i,0.0271590987769479+0.00166179789723851i,0.00315283576910462-0.00717448894896862i,0.0292047909225379-0.000708933693122758i,0.0161057848271593+0.00289259979456671i,0.0151289889819881-0.00841308043875748i
0.00952320781575278+0.0016832783228777i,-0.0193707730968238-0.00799145694369322i,-0.0484583814647794-0.012618702689759i,-0.0262241427650398-0.00909851370837504i,0.0220557931486091+0.00845311358742483i,-0.0123898324194746-0.00565293330050404i,-0.00185397784907438+0.00769358084595473i
-0.00439550391300303+0.000747733996254068i,-0.0096702363831599+0.020579522209492i,-0.0351394141063096-0.0242976564722995i,-0.0289446483398865-0.013815287200009i,-0.0106287046948289-0.00508216109514543i,-0.0311067787386632+0.000436283192383382i,-0.013913251780334+0.0102221963924674i
0.00604172877519744-0.000820503016480587i,-0.00324568307927058+0.00719747566395362i,0.00745804021825774+0.01627156659198i,0.0108046613632464+0.00190088558768684i,0.0246608091359429+0.00547199380327556i,0.0394455650917709-0.00151375620361238i,-0.02463780459719-0.0203064105426761i
-0.0154408772393334-0.000242904021572565i,0.00972061427160414-0.00796637737058068i,-0.00860992595742672+0.00379591979076924i,-0.0178061396376468-0.00128290061209311i,-0.0471759831235955+0.0053057375843452i,-0.0184063056216279-0.0107397747658926i,0.0191894556832995+0.00580972411456666i
-0.0152914127946058-0.00140408376609739i,0.0218516821537928+0.00350771533471041i,0.0243327588629553+0.0223525856196882i,0.00253564260117423-0.00737734366194019i,-0.0443751093000688+0.00331701698280248i,-0.0072684131351122-0.00670775017314437i,0.0119981996660201-0.0112133056022104i
-0.000239925025265097-0.0024832139886751i,0.00404315309925873+0.0308965654526738i,-0.0154467431814969-0.0239097943429614i,0.0645846405400888+0.012669620529508i,0.0110788516409876-0.00609404001214202i,-0.0324007864512457+0.00860384538080128i,-0.0372768624780482-0.0210794108696781i
-0.00413870610226871-0.00179559415823917i,-0.0174006760469298-0.00483888264583268i,-0.0146710323897289+0.0329800193867652i,-0.011587905618586+0.00103334707607075i,-0.0216738014177155+0.0171696749740508i,0.0339934016507342-0.0134413645705364i,-0.0260802314058305-0.0315329153635553i
-0.00714443517835508-0.000296460763949293i,0.037121569131488-0.0135909624739757i,0.0279325514674906+0.0418179148338999i,0.0347644359009701-0.0242995357207733i,-0.0073017867317199+0.0143597627333568i,-0.0316302695956184-0.00495652263906037i,0.02911244682845-0.00928621137611074i
0.0242162378558549+0.00312242284278541i,0.00168714623783096-0.00876275051253033i,0.0293514628468363-0.0299209750906379i,0.0257113797237769+0.0143515607031221i,0.0816260141129048-0.0204462470133791i,0.0150453738546379+0.0225598309810061i,0.00629913354302094+0.0262483185546276i
