-5.94046611403691e-05+8.77824844981402e-05i,-0.018545534948823-0.0277058353937395i,-0.0066659265800416+0.0419250830635993i,0.0350634502708185-0.0125429532415287i,0.00234972392856851+0.029602671359778i,0.0547118585810021-0.00649232761299707i,-0.0172602737676436-0.0302838171639217i
-0.00431393480980894+0.000102590033710194i,0.0244974117120439-0.0212517592161349i,0.0230240731625539+0.0247562779847605i,0.0652607854491809+0.0116450372115568i,-0.0222128026927247+0.00642345253099897i,0.0189703779580232-0.006018076213523i,0.0168013591874103-0.00189622566804286i
0.00331719714821274+0.00178896676355549i,0.00666942175972822-0.0129034414790946i,-0.0129113160565986+0.0233278345730203i,0.00545421482401218-0.00322536369793658i,0.0117112755900332+0.0121027887939567i,-0.0153032078083239-0.00523325788731935i,-0.011655220533995-0.0281947867720205i
0.0168543030311083+0.00311000410449226i,-0.0285866436422875+0.0241465344196971i,-0.00584069448863175-0.0196343503055672i,-0.00393161041085895+0.00567336234638348i,-0.0338258250808056-0.0219201535447554i,-0.0255005488898062+0.000982794106522777i,-0.0221698834453796+0.00437449157827515i
-0.0109845812516013-0.00304201143835737i,0.0174760985458907-0.0360659884689421i,0.000621228101569241+0.0189456891826652i,0.0271160467146516+0.00820443653149015i,0.0244718776963192+0.0161321675634537i,-0.00385899746809955-0.000990173074057842i,0.0141821339568609+0.00585422332108444i
-0.0125091990765633+0.000859562232740977i,0.00299215590993167+0.0299362411756345i,0.0239595071674745-0.0320609830221918i,0.0463287894907618+0.0259348445956592i,0.0154722398145135-0.0246639750456035i,0.0168127996659116+0.0119281335457194i,-0.0186931748461628-0.00867348747385233i
0.0215060917504426-8.09713769289039e-06i,-0.0151970756261754+0.000239594197955323i,-0.00167137790166801-0.00279718987435323i,-0.045220472105523-0.0132148247927281i,-0.0415913091434838-0.0133348378882022i,-0.0510521109568697+0.0020745731503889i,0.0146533901045649+0.032577126087748i
0.000624157638377028+0.000471119554336796i,-0.00336422602675758+0.016295236727962i,0.0130349635545213-0.0184082463033111i,0.0124287158089939+0.0103165222652554i,-0.0120665345332463-0.0163059098727079i,0.00165988606653813+0.00690463835647752i,-0.00796753215446825+0.00130148410086703i
0.00531749129290085+0.000181227140543326i,-0.0135495339568628-0.000533362163605014i,-0.0197679278002401-0.00953074943024496i,-0.0334246848813743-0.00191972491518437i,-0.00491358406003814+0.00695809848316592i,0.0182699063053685-0.0101712207027327i,0.000735660525484111+0.00250386933259106i
-0.00461114326426345-0.00116699932686965i,0.00189175028338111+0.0141264116903187i,-0.00277374853741463-0.0140488589323719i,-0.00617631230380565-0.0178535381648075i,0.00228055155090792+0.00016098672292567i,-0.0136310101782316+0.00220462118713116i,0.0127386372421075+0.00961440216487586i
0.0065424680651132-0.000874823565008007i,0.0107353707889884+0.00204977427260775i,0.0318150622675848+0.00984243420856025i,0.00720492168765717-0.00400742525420898i,-0.0384787965594707-0.0125482731701414i,-0.00911380370610816+0.00529506259851112i,0.0110910573227995+0.0144751437355862i
-0.010108168152772-0.00128693895193153i,0.0254485883087959+0.0355077892324504i,0.0278280641969873-0.0284098048875599i,-0.0166728941034463-0.00562024314529672i,0.0074727593308162-0.0227734450807748i,-0.0213775817992728+0.0152909335900523i,0.0165149420773514+0.0175295006958116i
-0.002688558798233-0.0019140571018255i,0.0145392443600652+0.0164567418139135i,0.0226125804860257-0.0151891002625755i,-0.0275236169544748+0.00178466721470927i,-0.0268183823621061-0.00798654058966523i,0.0318067055434304-0.0014760769563622i,0.0213134183086477+0.0147579824121634i
0.00792250178441374+0.00221376774438835i,0.0103658896548516+0.0054218496124533i,0.0190893087739107+0.0107739597978618i,0.0325262669228564+0.00520158930421136i,-0.0487023499022771-0.0138029974338946i,-0.0232849961755705+0.000673195197390709i,-0.00559527391359038-0.00738972115283707i
0.0201395565783806+0.00546443088741109i,-0.00869019233420601+0.0295924454632734i,-0.00935023365611119+0.00173710371747068i,-0.014366855185227-0.0144694796027181i,-0.0516754451180441-0.00986300080384927i,-0.0238147785845824-0.00735863435240132i,-0.0193484844672669-0.0310768122426881i
-0.0267699938979757-0.00592940864548704i,0.0241782387185927+0.00519345924493227i,0.0209898107581755-0.0191232709461863i,-0.0499185656262729-0.00462721797736683i,0.0681712188447492-0.00454582728150282i,0.00308922867796637+0.016405708881203i,0.0331071707534718+0.033847490248213i
-0.00797781612160359-0.00107597099756021i,-0.00849356151199511+0.0193738239963587i,0.0268530441866473-0.00618999300970651i,-0.01669441160147+0.0072196733849119i,0.0195438347422525-0.011461926286795i,0.0505255762356319+0.00622535795939006i,-0.0102570307152228+0.00797980369394224i
0.0105371042497484+0.00412345177949316i,0.00506266384078926+0.033965369824108i,0.00419821064925339-0.00845300379419175i,0.0125845107281159-0.0017366564940424i,-0.0212074566274639-0.0194440402690877i,-0.0432120588856075+0.00203261085054042i,-0.0212730928482584-0.0187890848347909i
-0.00683620428291603+0.00114658368722102i,0.0155009304668372+0.00785634661413873i,-0.000638968801247646+0.00974009396264387i,-0.0107552962029137+0.00383793267238854i,0.0320555808975088+0.00500571982568784i,0.0120134921343968-0.00630174496978089i,-0.0143709902035118-0.0229898960379911i
0.0103367718141441+7.10428755502542e-05i,-0.0348300287847313-0.0129224202026931i,-0.0248556521655712-0.0166487855917206i,0.0320233046659978-0.00794952878629954i,-0.00233316382348484-0.00172917400346425i,-0.0368246012722973+0.0106382281407118i,0.0004373041709901+0.0250050345005646i
0.00613718085255859+0.00299708872476904i,-0.00461445492005109+0.034839459780977i,0.0296087716479971-0.0130099344478748i,0.0154299923241785+0.0147929665637159i,-0.0483469304350739-0.0270250353976384i,0.0271437810155175+0.00602362580535255i,-0.0287063766993828-0.0180810509903339i
-0.00530899456362605-0.000945800540821609i,-0.00988788424264702-0.00750220221475879i,-0.0320063117483905-0.0327023115024045i,0.00518051495936342+0.00270227629273449i,0.0341451751592869+0.000701461653442093i,-0.0436754784736788+0.00641471599692276i,0.01178556739677+0.0211706409981379i
