0.0421292034351695+0.00061330068718102i,0.0275887963449107+0.0164480582609802i,0.0444612493199167+0.00512803044268179i,0.0311657687754891-0.00190832147592172i,-0.0238446350407532-0.00764307269174173i,0.0318496524683449+0.00101590396112172i,0.00804426147690433-0.00307437488966855i
-0.00110354051602978+0.000495517260043944i,0.0435230020118492+0.00788885296413079i,0.016536659899455+0.0199399072943721i,0.0137348837126856-0.0120430339810671i,0.00241015751382834+0.000572933034557012i,0.0514550440084326-0.000303675246511309i,0.00307140661127093-0.0136611504569415i
0.0252448579003769+1.56668378920399e-05i,0.00375745418555129-0.0128066700779836i,-0.00204011416927907+0.00938455964031526i,-0.0221160242280696-0.0103005954553636i,0.00255487479386974+0.0112021177637867i,-0.0423637661994475-7.91833655421992e-05i,0.0482026260305075-0.00189568465354866i
-0.0432104891786159-0.000493680574987638i,0.013603643762957+0.0195936479321558i,-0.0015294620466395-0.0200239480734553i,-0.00620782272395643+0.00518691683412823i,0.0309309647805495-0.00917283668683428i,0.0208806200308123+0.000206606104786305i,-0.0156201984228448+0.00365048044375898i
-0.0453314160861618-0.000317941517273643i,-0.0230342975158273-0.0124033556967491i,-0.0199749317308517-0.0101241672041443i,-0.00829301362045004+0.00762856940882765i,0.0314596797510688+0.00120858121621661i,0.00580610224514406-0.000860625990585056i,-0.00572816761771053+0.0110122243556779i
0.011769076773892+0.000633994107111457i,0.0098531691654922-0.00233584059529843i,-0.0181074439279137+0.00524879621460609i,-0.0493844492204662-0.012965450646485i,-0.0205552711141864+0.0152792995880547i,0.0313708037802273+0.0005458601244982i,0.0524848327258954-0.00306083081678719i
-0.018314999889649-0.000324611744783554i,-0.0173160947282479-0.0228484303589369i,0.00861813517538575-0.00420970336201352i,0.0191605354023866+0.00741110984972931i,0.0154840852829005+0.00644898808941724i,-0.0438779801259404+0.00209721492239669i,0.039204537198677+0.013900176717985i
-0.0248014401964313+0.000262412010155257i,-0.0295889654986032+0.0147338985656343i,-0.0253899335131912-0.0194425486772232i,-0.0525401009118708+0.00262717703671003i,0.0212696854995613-0.0080898878562523i,0.00744033611723523+0.000423155852499603i,-0.0328413579081194+0.0144469367298728i
0.0849660931379194-0.00131219932895365i,0.0157556686017938-0.00690724531379882i,0.00248642775489006+0.0431894082774991i,-0.0168279462508189-0.0151572414245962i,-0.0168950024452419-0.00575639852271181i,-0.0246861768693842-0.00250903338650457i,-0.0382117011497479-0.0226737145709986i
-0.00582028696596811+0.000473136468827561i,-0.0165489072019662-0.00207778018795659i,-0.0322069993752989-0.00934650050962665i,0.0198544863454388+0.0060528197718185i,-0.00265937678610155+0.00295163239542542i,-0.0330675395799051+0.000648397726338811i,-0.0312916702778007+0.0041027157577373i
-0.0293635562621517+5.35102915481079e-05i,-0.0334219214047252+0.00518816016639904i,-0.014312157756491-0.0296337465489905i,0.0237068996644911+0.016721887350336i,0.0185194166355463-0.0065449165701053i,0.0345978845373458+0.00123171577378142i,-0.0341018630324036+0.0196910150052877i
