-2.39244338157913-0.00658958273446666i,-0.195804847742203-0.0304192576787718i,-0.25489903095493-0.0212586518199699i,-0.073028808961887+0.0443082917718123i,0.158783419696836+0.0232538913089417i,-0.345417278665802+0.0262812066592999i,-0.297175591419526+0.0127800629148262i
-0.0967651851511253+0.00100345686788591i,0.0403876240691305-0.0427762852626833i,0.0985218417155247+0.0517943281150597i,0.0906286452502314+0.0139146439238664i,0.000730340484565873-0.0183010644518829i,-0.106646475467366-0.00455991707954798i,-0.0405395756782067-0.0158733214596783i
0.018171302516817-0.00146072650169706i,0.0256327659221647+0.00138553040226201i,0.025514483365494-0.0113965859312549i,0.00813204168049438-0.00114555675046653i,0.052916106777669+0.00471743813356859i,0.0944714932308214+0.00875632689373386i,0.0750903950229227+0.0117565250802665i
0.0508128256839578+0.00109648587119803i,-0.0434408796152083+0.0137903053418467i,-0.015311295567239-0.0404173602166373i,-0.0314054532782205+0.0287945642967357i,-0.00781421730484037+0.0139613032756824i,0.0962195051171701-6.04513667907536e-05i,0.0775724181317034+0.00219980049572934i
-0.0689948945628238+0.0013391792107162i,0.0793566450937985+0.015230211044157i,0.0368126551622526-0.00138266648608525i,0.0631717669519298-0.0197334016253451i,0.0624572327662719-0.0262590400782044i,-0.0583653703528525+0.00381580552235309i,-0.0412288595831284+0.0148782159705527i
-0.0046793720553299+0.00265331809051512i,-0.00972013166988734-0.0162251693566577i,0.0253415926423603+0.00963776060942249i,0.00444718371055156+0.0167273014439034i,-0.00674751406169005-0.0175818376077229i,-0.0317887611153192-0.00360620296060407i,-0.0269874261915088-0.00110421487961699i
-0.00196117255896661+0.000309210336590725i,-0.0116627959336657+0.00891424030449743i,-0.000217307249043886+0.0272340483749028i,-0.0274810414001542-0.0299800451054118i,-0.0257496143611566+0.00249081931346261i,-0.0104107995743181-0.00381065158777346i,0.00151532734078331-0.0119074408083731i
-0.0286015781839277-0.00083531140437409i,-0.04243634717671-0.0181049104531903i,-0.0027570881539984+0.00222172824645589i,0.00143291156048182+0.00124691269042342i,-0.0528921400809805+0.0164643903256416i,-0.0492998364123165-0.0142554641880974i,0.00474027331265489-0.000480203086327836i
0.0106668341047015+0.000180908766472839i,0.0254583101743615+0.0177407361831792i,-0.0347472960436336+0.00476291060769019i,0.0250836147820218-0.0241024574459852i,-0.025742839501601-0.00511760275232334i,-0.0378100215224316-0.00172416728061131i,-0.0241582302711669-0.00174947652311258i
0.0353529150662752-0.0011094897387792i,-0.00542095986676729+0.00343352064377836i,-0.0303069649061747-0.012778193134388i,0.0501678570003724-0.00118279391645021i,-0.0187547837057701+0.0016978446859936i,-0.00841105839243038+0.000807307311440253i,-0.0351449608255352+0.00589725513334686i
0.0043184066619262+0.00208318749346757i,0.0692424048725479+0.024841880410573i,-0.0110093448527521-0.0464766666544743i,-0.0166519930120282+0.0150227269882547i,-0.0240216843416658+0.00792397103625884i,0.0307016337140302-0.0119972959977042i,0.0482537946283096+0.0139695071032268i
0.0614332187418809-0.00016120751264591i,-0.0457620362379305-0.0143141201842164i,-0.0662981457132861-0.00631079814648314i,-0.0189064158703907+0.0139246254004181i,-0.0365490978919404-0.00405030462620417i,-0.00820628178417129+0.0102321077212265i,-0.0358770524659201+0.00724503639619165i
-0.0287121066515673-0.000384984392057478i,-0.0458707838837869-0.0153283731338294i,0.0793709110881798+0.016349904671866i,0.0201855562838813+0.00365740148386058i,0.0264516082835267-0.00567952666845696i,0.0347464139164379+0.0118514436768687i,0.0464668648454092-0.00297828972040806i
0.00256685939574742+0.00114449668274996i,0.0209645175804771+0.00248057515810565i,-0.00523150209019657-0.0106885490270902i,-0.0147649881821254+0.0120643730724554i,0.0371787115778344-0.0127832507073681i,-0.00349364634151649+0.00798457002906283i,-0.0241640047632177+0.00486488362429175i
0.00114529548972581-0.00164925127169506i,0.0106424803290763-0.00973242957279022i,-0.00806300186490886+0.00470981328106344i,0.0200783482372371-0.0141834317142085i,0.0182743020808484-0.00704330770452814i,-0.0340519848967599+0.0041878889771757i,-0.0428368328878109+0.0136919929132814i
0.0246754006041239-7.27834438624892e-05i,0.0212612473810157-0.0150346185525935i,-0.041479668194956-0.00217412840533715i,0.0277371931309817-0.00154913523498827i,-0.00427792026248939-0.00771847476533145i,-0.00585898192515624-0.00240689626175289i,-0.0256286025003333+0.0191532995053459i
0.0029635380369283+0.000407219619508863i,0.0225533882929614+0.00159487886246822i,-0.0185754393603823-0.0235392777449158i,-0.00875383834366266+0.0127835190972355i,0.0528605374171362-0.00369779513941518i,0.00136860695967438-0.00560649654957487i,-0.0310363956063731+0.013902302467746i
-0.0153535661820203+0.000198592941450735i,0.0180255245471102+0.00662973719043993i,0.00783859704958084-0.01698722163033i,0.0405692180794317-0.00767501557159501i,0.0411454225447535-0.00553068050308698i,-0.00708931338851337-0.00861056319909935i,-0.0209338335786618+0.0173610230044241i
-0.00743160139437358-0.000464487729003674i,-0.000141153940234462+0.00312045091639426i,-0.0120773523921523-0.0311669316120031i,0.0430116421045016+9.13874854141868e-05i,0.0276702837669508-0.00210732256101045i,0.0150793669892789+0.000579256657903149i,0.00970816458598097+0.0253136962960922i
0.00522174402050368-7.33952057361388e-05i,0.0317496052281364+0.0171235093635488i,-0.0596173499933188-0.0307609776523125i,-0.011465067420068+0.0150796584503484i,-0.00121213625595377+0.00908495000762204i,0.00214581392124901-0.00251056334900682i,-0.00763237239697546+0.00146488710975342i
-0.0150230828322404-0.00149951226173309i,-0.0206922520493014-0.0187826439474527i,-0.0238110326399884-0.0335961766188771i,0.0698399525664511+0.0293780694123316i,0.00728968457334027+0.0120395600814789i,-0.00389091524800986+0.00418465806828339i,0.0165283238700187+0.015548055491014i
-0.0115612490851872+0.00132272345947823i,0.0032082425549042-0.0301177976755291i,0.0358283983162493-0.000104412839558677i,-0.0148862194295366+0.0425236049181937i,0.00300929672045791+0.00174882182747794i,0.0265824365026291-1.12426210509653e-05i,0.0398896253555975-0.00379514176801108i
-0.00679272396743487+0.00140266937979814i,-0.0164982083106508-0.00941631747204219i,-0.00585771730365366-0.0118355810165717i,0.00736026682320126+0.0341659059617717i,-0.0356689948048408+0.00807595942698986i,-0.00850459941827109-0.00443588548538605i,0.0441340286226982-0.00675373024321195i
0.0321739117832259+0.000179071546315288i,-0.0531365323307357-0.0165831774426589i,0.0366782662745866+0.0192014339003682i,-0.00165739573318395+0.00551571551556467i,-0.0280341961042309-0.00488830120981303i,0.0212766317659865+0.000817723762173316i,0.00162781704739843-0.00548388344226852i
0.0242540624608067+0.00216967824002943i,-0.00300012965622818+0.0192913994360945i,0.00476730093179924+0.0123629849780134i,-0.00822803362659617-0.0106479087436253i,-0.0840591299540019-0.00363703851161091i,-0.021263809155808-0.00684997367946099i,-0.00312475018050475-0.0148119200947491i
-0.00238823796765148+0.000495123419433897i,0.0621597971902867+0.0419006925732554i,-0.00468424044438762+0.0143159275585336i,-0.00640071134637442-0.0316700572922346i,-0.0392611147759381-0.00201457758030657i,-0.0207980560023198-0.000956595631073589i,-0.0169352367592403-0.020942927356494i
0.0120539732743098-0.00215683570040197i,-0.0121048657493008-0.0130130001441764i,-0.0100824530544083+0.0315187468464322i,-0.0483691770880122-0.0210844482838355i,-0.0092975236567836+0.0104999213991427i,0.00492238690527294+0.00562678091030625i,0.0106654731707766-0.00976396887207353i
-0.0314980116333708+0.00201771341030845i,0.0534291457231228+0.0223952158922747i,0.000681792749741675-0.0275786544470445i,-0.0116686015837161+0.00800691154896908i,0.0162771011819506-0.000375681575878597i,-0.0058835420854395-0.0111755509514022i,0.0260720583579083+0.00496637765198795i
-0.0294665058461196-0.00125952053198624i,0.019282168809001-0.0113464636775192i,0.0171083384348529+0.00477098580920287i,0.0238292945287563-0.000740891473340272i,0.0376286538767892+0.00961845948086685i,0.0208801366328001-0.00693092645024545i,0.0202540842722344+0.00234125830363085i
0.0110167530321382-0.000226610176807634i,0.0246960877589032+0.0257988616210972i,-0.0418764909240208-0.0116545932758184i,0.000706993253701267-0.00562091775235581i,-0.0127222212760808+0.00642280872338395i,0.0148798924312445+0.0118474350269043i,0.024960831542714-0.0106914148011342i
-0.0121796839419635-0.00189586135807364i,-0.0322977961135029-0.0322376618646372i,-0.00201759566027637+0.0235169230372326i,0.0248566608766114+0.00469620011915004i,-0.0116693321379425+0.0158324151493708i,-0.0121030666591888-0.00388370985521871i,0.0232846086654624-0.00662113701036414i
-0.0193089207051735-0.00110551073454518i,0.0138099978188818-0.00557593015399746i,0.011976476725488+0.0106487227235047i,-0.0157948146128409-0.026350836665507i,0.0992427110580342+0.000741138188190585i,0.0233116651009733-0.00628845420285527i,0.00647538541607066+0.0152448708094429i
0.0467155503591873-9.50287884651041e-05i,-0.0270044526897861-0.0247827176514287i,-0.00186853209214826+0.0300933779069951i,-0.0413499101981351-0.000308703185976606i,0.0325403532788194-0.0203277343635645i,-0.0115978559588972+0.0118792289434983i,-0.0857994350586018-0.000569878274755368i
0.000969758731361591-0.000890506907158861i,0.0017866662839017-0.00491953625599756i,-0.0344968635824044-0.0307874694762765i,0.0366011199820273+0.00914799058270886i,0.0386898956114136-0.00743946095215582i,-0.00334990435168598+0.00368964699055852i,-0.0225316090735295+0.0268579822073031i
-0.0205021796478363+0.000182804296518136i,-0.00913515298856772+0.0120641119167372i,0.0245121417735701-0.0298158317012224i,0.0546245343133176+0.000569589491797261i,0.0323759230237296-0.000962042972984897i,0.00936208312201136-0.00629672415769604i,0.0287807346788555+0.0181376853583241i
0.00526794916399025+0.00116251019191522i,-0.00339852061466964+0.0213150643017506i,0.0162562500177081-0.0383846170234629i,0.0194390877729468+0.0129434706986976i,-0.0261552261264056-0.00482987179641369i,0.0165463442833232-0.000817211676235747i,0.0136961161512832+0.0106089038921892i
-0.0165735444961156+0.00168557231874588i,0.0375540906324307+0.0197449161160493i,0.0169910835258654+0.0135976527211306i,0.0503698513063923-0.025764219132412i,-0.0481245529372177-0.0185066994281855i,-0.0448674438400101-0.00159918572463156i,-0.0160849470035229-0.00202452315110152i
0.0214268155405807+0.00139576617359647i,0.00217211176225055-0.0128290629820507i,0.0247228829373107+0.0439535897960163i,-0.0356114258633572-0.0173676711808345i,-0.0269019009398294-0.0162257495854701i,-0.0401949665248832-0.00345360303213785i,-0.0757231006163722-0.0117943249259246i
-0.0290524156095688+0.00216131322921809i,-0.00551036863564483+0.00853095401264574i,0.0276719862283697+0.00320043311902774i,0.00646177246883046+0.00227909765212425i,-0.0434281573108782-0.00654395617463989i,-0.0227697609882291-0.000357036378843264i,0.0102283232895981-0.00891786915714973i
0.0237985783644652-0.00242147410101665i,-0.0298102144982637-0.0207817182567707i,-0.00210414409381887+0.00330356088893734i,-0.00511303028156633+0.0148224742584824i,-0.0196103935669603+0.0113128247852689i,0.0192363186769069+0.00845977290703979i,-0.0125029851131518-0.0040099423469996i
0.0176362349269865+0.0015278687125976i,0.00390868596167381-0.0019716857768627i,-0.0141379347737728-0.0115265700148654i,-0.0417558016614046+0.024318317201981i,0.0193271380357705-0.00585292341545189i,0.02290283446662+0.00382912952397355i,-0.00300500896437965+0.000362958077734698i
-0.0227186341075614-0.00349902082255398i,0.00918489452076199-0.0242304343640267i,0.000947300904027842+0.020460794456825i,-0.0139756158077335-0.0135174956447257i,0.0328557766305755+0.0166452501429338i,-0.0182711151073817-0.00483140836608349i,-0.0355189023894029+7.20460260138975e-05i
-0.00128064399191909+0.00147672561390471i,0.0257536877372453+0.0292930285222434i,-0.0158585394973961-0.0261685870310817i,-0.00130624602148708-0.00152806299255735i,-0.0402920812572325-0.00544927168060116i,0.00357660535280168+0.00253398968480353i,0.0287482845825853+0.00457684125980524i
0.0206885757820418-0.000623132032851604i,-0.0329430100786737-0.00416098352399313i,-0.00754722053703103+0.0119965875843591i,-0.0137856875808203-0.00764011973830584i,0.0183782438992036-0.00659430350646952i,0.00602575315526985+0.0113257809624194i,-0.0269918713373066-0.00260059359439146i
-0.00722690908567769-0.000473581065390373i,0.0314795300648544+0.00407307830485865i,-0.0200874235495637-0.024033454810683i,0.0838545354557604+0.0172128279584444i,-0.0680422466685788+0.00885642391066524i,-0.0178387513405399-0.0013992238011655i,0.00713863774553127-0.000301463705110551i
-0.00651118772146378-0.000589372995606927i,-0.001450577602459+0.0101923627945892i,-0.0353376472025706-0.0201291785649245i,0.0238292914026113-0.0068521084742265i,0.0250351185751146-0.00462160330853157i,-0.00107599090441651+0.00639366036679361i,0.00708453688894534+0.0176662872363214i
0.0168877363678023+0.000392675389718618i,-0.0117498546083093-0.00239152159152159i,-0.010110793605212-3.92994586783037e-05i,-0.00666300282926709+0.0100766960084937i,-0.0179692850821403-0.00320797806508712i,0.00176130003949111+0.00312239236427106i,0.00892485557752763-0.00143658664463535i
0.02170377686367-0.000587047434272901i,-0.00948868026393901+0.00741771907494911i,0.0316578145529896+0.0374776410593663i,0.00516068055353425-0.0217037027120226i,-0.0349586254744173-0.00344217164154123i,-0.0196054627530992-0.00081734524034776i,-0.0456556506336059-0.0259632462690475i
-0.0314312581619686-0.00103778123278636i,0.0561054482892569+0.0100100378668274i,0.00110067633023293-0.0211880789470206i,-0.00672847413334886+0.0127547138726767i,0.0456367913916548+0.00358246343821875i,0.00774027508673876+0.00221614692020714i,-0.00231364072059023+0.000396180690157554i
0.00309114516329258+0.000973690808277259i,0.0321358653836629+0.0375346103915946i,0.00589934609271277+0.00296961828542691i,0.00542311913898794-0.0185401981188906i,-0.0706887118239734-0.00418277584448661i,-0.0223853506991871+0.00394217639278126i,0.00665489053559461-0.017100903230916i
-0.00816785304860554-0.00204895809759081i,0.0304840816625549+0.0248602055626185i,-0.0235949811897983-0.00454096538394601i,0.00267098106320317-0.0343219934601498i,0.0250782498619091-0.000415000196490398i,0.0153923924875586+0.00907626056498646i,0.018922988699996+0.00826256896032284i
0.0354701117412699+0.000306461042096801i,-0.0335242668349426-0.00605406676301657i,-0.00164210561106108+0.0196702060611374i,-0.00981379123503844+0.00663139590575939i,-0.00246625342218552-0.00464994342858344i,0.0151686742118411+0.00476210344428157i,-0.020138700575981-0.0145531367608296i
0.0161295318752492+0.000380152519486791i,-0.0346442957160823-0.00251544236673381i,0.026645712807399+0.0354381140283448i,-0.00466735711381947-0.0110700435456593i,-0.00959011247533964-0.00986895887423603i,-0.0156511358813583+0.000936182517168929i,-0.02809346298113-0.0168236323326029i
0.0119263908287882-0.00126048879208395i,-0.0511695112149652-0.0459706056646369i,-0.00553494131989136+0.0252711735829386i,0.0128935852213181+0.0134646533345097i,0.00293073837879213+0.00495606153153882i,0.00212267050836725+0.00716900042629696i,0.0240102766717088+0.00183692950281472i
-0.00568260252176504+0.00137634313104552i,-0.0262944527742191+0.0226995389258288i,0.0351935760191602-0.0012987108716901i,0.0170889502147225-0.0140728477114668i,-0.00992248453262106-0.0064377328967152i,-0.00529952494214204-0.00509859909061211i,0.006408781107106-0.00508074310343274i
0.0339719265709253+0.00248264989780798i,-0.0553341962129581-0.000694388219965883i,0.0247008580441592-0.0117532312204601i,-0.0237352348694052+0.0117736315691485i,0.0188852960336169-0.0247216856134683i,0.019631266901208+0.0114412768403355i,-0.00702170715666235+0.0135930004788234i
-0.0176080502490338+0.00243133387312269i,0.0235226217539282+0.0209475020946643i,0.0237197968043897+0.00224893498515672i,-0.00370277317914016-0.0115685281298857i,-0.00872752115892912-0.0142060529961592i,-0.0251484167033861+0.00234957536511878i,-0.00623159688992702-0.00407737302052352i
0.0165297836195464+0.00252704231278631i,0.0428351827032083+0.0219827323570102i,0.00476821798532123+0.0189787930998691i,-0.08361642222522-0.00122357149571413i,-0.00492395729972083-0.00578397295063695i,0.00409486986592177-0.00128695684414444i,-0.0126935925411999-0.0275657536553684i
0.00277520043748086-0.00125714777148368i,0.0333647287760793-0.0225263812039095i,-0.0131192941476025-0.0114964768320638i,0.0409447725955538+0.0370431674060056i,0.00376587241206339+0.0109638404023442i,0.0200465945666459-0.00179978567106988i,-0.00553986722807959+0.000826422168051693i
0.00394141893128151-0.00128303192152692i,-0.030751829088103-0.0292035341757723i,0.0828595563965999+0.0749291331604737i,0.0257204942978441-0.0112542430971451i,-0.0491865791647912+0.0107009986260742i,-0.0210371572922301-0.00643491903893295i,-0.0269472237865306-0.0431909401282485i
-0.00268890274252848-0.00254432351801928i,0.0435596281824647+0.0176948291895542i,-0.0420045844271767-0.0207176215990918i,-0.00618249822242532-0.0118876888663075i,0.0193725102688388+0.0135316020939207i,0.00843878467935628-0.0010227574903583i,-0.0181175918852518+0.00446845442805156i
0.0358814208662735+0.00183139251048579i,-0.0328655692946809-0.0144404895826537i,-0.00166854570897739+0.0173597208058357i,-0.0445944977996775+0.00317638625402246i,-0.0196528920945255-0.00967130395817682i,0.000734238675997452-0.00468372436464916i,-0.0195004497971674+0.000675525379219474i
-0.0293322933527036-0.00096255329901546i,-0.00449506433803475+0.000561170893589015i,0.0257223916575035+0.00785524733505059i,0.0357004799318726-0.00491568440404731i,0.0282825930995112-0.00388833050188461i,-0.00625433503360446+0.00362539025526934i,0.00381587544705075-0.00312474706837094i
-0.0220760515178917+0.000896919122246912i,-0.00099102488485623-0.00252364685260166i,0.039940623266891+0.0129355244606523i,0.0501840665420917-0.0144155014794235i,0.00845857108782381-0.0099802243185846i,-0.0329154778581912-0.0129993959283627i,-0.0147950973126394+0.00656371083556585i
0.0461484260330075+0.00245194262241579i,-0.0388176577740625+0.0113287816529783i,-0.0301318107786663-0.0106541452724763i,-0.0558024510342117+0.0140853274813947i,-0.0362870062463713-0.00336904049637038i,0.00476893667473132+0.0013762639323436i,-0.00805809062483819-0.00850480809673007i
0.00625577153315553+0.000641792250990302i,-0.0206019814636912-0.000373459520919264i,-0.0136250126081327-0.0123233489115938i,0.0431035893398917+0.000544165250661804i,-0.0231678088747351-0.00868323714578629i,-0.0154716111559821+0.00194580264169587i,0.0059589795341715+0.0157179976675517i
0.0113033426091986-0.000398863196725543i,-0.0163439616322082-0.0122908576960901i,-0.00325866549633967+0.00645626192175735i,-0.00108290234653317-0.00336612586668933i,0.0391053863202392-0.0129275402747752i,0.00446773463534052+0.011321503949391i,-0.0138862394600655+0.0110521522465194i
-0.0129405342388501+0.00144295597933945i,0.00244010263047172-0.0181272424971472i,0.00227887078105316-0.00220664910387876i,-0.0163914534852005+0.0244642228671938i,0.0226227325355789-0.00509167596718807i,-0.00953966318815959-0.00181768311967645i,-0.00582628358766674+0.00235263405248599i
0.0169751375067305+0.00147138791394004i,-0.029169491054302-0.00605971014195936i,0.00934679504160334+0.0238222512878283i,-0.0170244584033411+0.007147259569348i,-0.0357125706987575+0.00460498110693285i,-0.0177462359973906-0.00865753440027319i,-0.0146359211038636-0.0231543985222312i
-0.01749723985336+0.000794406529487959i,-0.0106504635814099+0.00389238222371172i,-0.0198112964439078-0.0202632960371262i,0.0189772388513068+0.00269970500038962i,-0.0430982120818602+0.00606155786121936i,-0.00592350939104124-0.00023722468768179i,0.0436574731724432+0.00970764522655254i
0.00483546316856953+0.00204770653319273i,-0.0250885246268862+0.00367757105724597i,0.0185846852301813+0.0203002887629235i,0.0128162093921193-0.0138970365964389i,0.00403277868177036-0.0259934004297714i,-0.0292672302081199+0.010382531189655i,-0.0201463615048228+0.000631518227493631i
0.0199876346570387-0.000306483994994002i,-0.0288787645119379-0.00201273007525307i,0.00324525351065241+0.0199201450015739i,-0.0219762846879358-0.00744715076103922i,-0.0511979324786518+0.0063846099594861i,-0.0183523920916466-0.00496783303220956i,-0.0249092577543792-0.0152106005202388i
0.0396200862317122-0.000957758531832837i,0.0253306050822949+0.000321051259403958i,-0.0570181055167965+0.00128978414712405i,-0.0616970056726923-0.00754629791985426i,0.00724634106128295+0.0106875313300737i,-0.0174090175241923-0.00739752885995956i,-0.076417116154103-0.00418510989480361i
-0.0571093953817332+0.00196011564335709i,0.0558190565514169+0.0430043373224883i,0.00406334811434008-0.0244160952628334i,-0.0294348879313206-0.0157219025617046i,0.0317134728327101+0.00120057320960045i,-8.92719697124908e-05-0.00283395257683853i,0.0736414948576+0.00010679252250055i
-0.0062967089532195+0.00457275893264194i,0.00991384575681035+0.0173838386374254i,0.0462216227592147-0.000935503663512967i,-0.0324309890950588+0.00357256648311645i,-0.02861025786568-0.013338108044485i,0.0157475017102046-0.00656570454536726i,0.0527580005426965-0.0028527093124775i
0.020925222956143+0.00123795848162391i,-0.0217598338211097+0.00225870046307807i,-0.0187177750383816-0.0216181126606909i,-0.015948138621427+0.0104557048227671i,-0.0425927570793891-0.000867739694976711i,-0.015880556882883-0.00543119519801228i,-0.0119233041542601+0.00896941329656657i
-0.015973783961664+0.00138982407723657i,0.0226394011264969+0.0244444765839042i,0.023222127281059-0.0116599977975917i,-0.00646039685668972-0.00894308289127863i,0.0162135802415329-0.0087624832575236i,0.0016296852183536-0.00274435941621407i,-0.000764108366928755+0.00198765786087289i
0.0148416862609133-0.00284325949979768i,-0.0262866109146985-0.0501947171306622i,-0.0163913493411316+0.00221407539599389i,0.016308875225869+0.0369307841838083i,-0.0183384610044311+0.0335232493120252i,0.0290969613068337-0.0100974856019783i,0.0290496241333925-0.00339292181462753i
0.0154769399424814+8.63412489330367e-05i,-0.019751828252865-0.00745732945375514i,-0.0245329161352266+0.00983236008879313i,0.00537877648095448-0.0128778333435077i,-0.0105760509126926+0.001471550625563i,-0.0174971359862275-0.00735067634812261i,-0.0270367210475803+0.00742824474443102i
-0.021613514342211-0.00325252695996055i,0.0018012956829873-0.0135586807773019i,-0.0175416883019295-0.00752216248432225i,0.0212216045771456-0.00388996654891971i,0.0402981988892094+0.0138028783932033i,0.00341099271327076+0.00257252770896927i,0.0229607759679991+0.0116186171607194i
-0.0194646869904375+0.000595010992163221i,0.0275824673443573+0.00910013429834688i,0.0582005595048104+0.03910770937832i,-0.0240210665230813-0.00510015154527008i,-0.0197571315174073+0.00271089579091268i,-0.0134871997826728-0.00526109829747387i,-0.0256644025311695-0.0406000732465601i
0.0090134432811122+0.00220975529692598i,0.0157466681024535+0.00252655004230184i,0.00917464169985768+0.00898509832186746i,0.016161634193562+0.0214145810282286i,-0.0372708984248564-0.0111720496548198i,-0.0204773862229013+0.00101630342610228i,-0.0174477292494396-0.0163186899783801i
0.00225479101683903+0.00256470352592301i,0.00747226587934509+0.0230842447544726i,0.0242714023734244-0.0137838950467978i,-0.0210654728907988+0.0116563441527553i,-0.0179618939508529-0.00602158814893197i,0.0183338434169669-0.00177275381874715i,0.0323289659885798-0.00771861588764878i
0.0271600882073437+0.0020180262310626i,-0.0375333725227905-0.000934540032028428i,-0.0147109131859169-0.0140448592078616i,-0.0578961423884247+0.0161493768934478i,0.000522933046246176-0.007805203137813i,0.0141021701815025+0.00169648993366423i,0.0102650239504097+0.00736838386045413i
-0.0248123815231534-0.00385421866311753i,0.00386303122572708-0.0127587604023933i,-0.00736960359422239-0.0206372634361051i,0.0352039645093264+0.00504243558648522i,0.0127510876769021+0.0323728987414278i,0.0474187574166874-0.00557441213917017i,0.0752845985959252+0.0114984016976822i
-0.0175661404089888-0.0044399546150091i,0.032043948079157+0.00909680013136596i,-0.0107474893971457+0.00145777630545822i,0.0761815895645448-0.0236737167102652i,0.0340245870196154+0.0167018838365429i,0.017031764926772+0.00113384123555727i,0.0104344720312206+0.00191739548760626i
-0.035314780480442-0.00147674499424176i,0.02714909205636-0.00493632520396924i,0.00294468916981796-0.00951225632970474i,-0.00538693126170641-0.000160639406872947i,0.0336384004303836+0.0093584891262267i,-0.00100008238690113-0.00135480269670709i,0.00668467808280284+0.00612826539626866i
-0.0183942420554657-0.000434702624745754i,0.0367784436421979+0.0139030978048599i,-0.00742900944560006-0.0150383280982133i,0.0360312049694322+0.00414877057949788i,0.00310528865646963+0.0037137809681041i,0.0191382320397058+0.00563870872761154i,0.0217564365440322-0.000471010358915985i
0.0150743829516031-0.00215657700606717i,0.00202798716961633+0.0103694534855816i,-0.0263590686059696+0.0197516395049046i,0.0231105117820305-0.020141365028346i,-0.0607710812159919+0.0218955778072155i,0.000242856939962054-0.00580130345372043i,0.00449170656853644-0.0216679719075437i
-0.000863468721805002-0.00267105345342317i,0.00905065465607267+0.0177341425950205i,-0.0440719023504502-0.0355264999064419i,0.00533653055464968-0.0149726558449257i,0.037125093032177+0.0146821729176578i,0.0348724736980876+0.00265563127115432i,0.0327224103957294+0.0215639781360938i
