-4.1096311951747-0.000605511274831327i,0.985676931832415+0.0637909840757338i,1.01778746886476+0.17385415914914i,0.862220900590883-0.078969670496694i,0.417383619791309-0.0104080418813866i,0.101908047530935+0.000771683460643893i,0.863899190512476-0.148778477190384i
0.0127052876228107+0.000888112831460371i,-0.0105876337175837-0.0246836573974249i,0.0243379841959938-0.00409379396807986i,0.0338966721485192+0.0223403369813756i,-0.0595925363314856+0.00543663672694416i,0.00825472219067586+0.000167591157872014i,0.0599620002901613+0.00181272887235826i
0.00568983966819397+0.000296520955930547i,-0.079527876148825-0.03722959988821i,0.0176407920568227+0.0127615298536902i,0.0113432339225864+0.014166172779141i,-0.0461140455861251+0.00308976634070441i,-0.00410426193540578-0.00044652831960209i,-0.00594572660932828+0.00814700097252057i
0.0556617343029836+0.000889000431203112i,0.0146661851788697+0.021243774380136i,0.0346428380178055+0.0137238502055743i,0.0141697213238418-0.00952126915710409i,-0.0930139060783403-0.0104113546866177i,0.0172148775728478-0.000434068628676635i,0.00813287907108995-0.0137626344115499i
0.0331644996090029+0.000358604773384388i,0.0684083285672965+0.0235233275879079i,0.00194859032374051+0.031905849977112i,-0.00610439286430042-0.0289518903089198i,-0.0187735134980506-0.00502714372658055i,0.0465607517485921-0.000199232834195395i,-0.00302600627101414-0.0209611268357459i
0.00664598044302045-0.00199031916880505i,-0.00841003891857426-0.0182494810435927i,-0.00248877652896074+0.0309486541159323i,-0.0605004702229045-0.0243460192616646i,-0.0192981714841109+0.0182936128114133i,-0.0522459927135207+0.000198790875114685i,0.0583491587096975-0.00826234347944551i
-0.00171879780637573+0.000555734653522278i,0.0538755813060868+0.0404074094615151i,0.00344990954089055-0.0416197740632851i,-0.0109929501599996+0.0119796357750126i,0.0555177773931544-0.0137816679722914i,0.0252680527713917+5.88428983505116e-05i,-0.00430302424603548+0.00315676766572972i
-0.0415428868529413-0.00106850841551396i,-0.00864883206607715-0.0179762958440827i,-0.014600499749202-0.0147909115815693i,0.0128449059890759+0.0099135407245753i,0.0704676352347746+0.00570780647566319i,0.0195959773885966-6.64113087302015e-05i,0.00658121493214019+0.0160863641649521i
-0.0212812322342923+0.0010824610984486i,0.0304158392205666+0.0079687724089818i,-0.0361601224934558+0.0124462834599864i,-0.0729304276271747-0.0285592084909693i,-0.0478132380685785+0.0146888830697027i,0.0297607671827895+0.000871050058603284i,0.0800571883715477-0.00541267701998844i
0.0246541914505352-0.000987793208451654i,-0.0333947000885913-0.0437303663098276i,0.0114540815495127+0.00516268844472154i,0.0416790729557903+0.00820016129382021i,-0.00558878838980315+0.0167533615274781i,-0.048936854642028+0.00112177456043042i,0.0649580384938234+0.0125240467269128i
-0.0633529632024182-0.000508517074161976i,-0.0114306355762235+0.0243477062263638i,-0.0102678314195334-0.022982543339516i,-0.0573074615349361-0.00805339873110576i,0.0928064637249755-0.0145891435642966i,0.0235979606769365+0.000188626362991914i,-0.0350724896923013+0.0212243736253264i
0.0182940629975367-0.00293659282413484i,-0.0127079844895074-0.0158095131234735i,-0.00733208647674081+0.0604880928817251i,-0.0494062676862331-0.0110242694373412i,2.39979203973239e-05-0.011220804260484i,-0.0315187511450453-0.00106666397189254i,-0.101895751361205-0.0240183471078133i
-0.0231767509569159+0.00306665805196034i,-0.0179366052374934-0.00299773596454311i,-0.0532686822966044-0.0345697115941871i,0.0586392297314177+0.0195631371954463i,0.0389512737636662-0.00447480426501337i,-0.027911249908082+0.0010599521161998i,-0.0462666960353574+0.0229879003881207i
-0.0295909578074157+0.00161519750251634i,-0.0403055627015559+0.0089609653592403i,-0.00291657305633029-0.051972537316185i,0.0700113016541695+0.0235826279496818i,0.0506056801681612-0.00938663818411838i,0.0458123966544827+0.000230663847898976i,-0.0355605557016132+0.0294118417988274i
-0.00825621627587478+0.000777546446582865i,-0.0149351113572849+0.018644605716903i,0.000356150413074973-0.0360350778052482i,0.0365866323210606+0.0170137850657176i,-0.0124673177288388-7.58302271335692e-05i,0.0364534724918891-0.00112450274584636i,-0.0278970207950329+0.0012120079299079i
0.0551838760425985+0.00768969148970495i,0.0423831083249318+0.041507833665759i,0.0231190860994768-0.0168328958145375i,0.0433497277260791-0.0108494979829598i,0.0135542633484222-0.0233930666304904i,0.00765917370598732+0.00174601576383553i,0.0020981885065132+0.0125521727699983i
0.0721514569607794-0.0015092435299028i,0.0217106170122122+0.0086168139638158i,0.0331364180782566+0.0391785152834238i,-0.0130290282731634-0.0119832621957275i,0.00582917402451304-0.015412325442682i,-0.0570872634298217-0.000742986980417672i,-0.0626053793216974-0.0204994000998913i
0.0445220908062943+0.000108647360039706i,0.0476430010524117+0.0304331139480782i,0.0825726910754451+0.0099888463846494i,0.0174820743219957-0.00808819824676929i,-0.0391360674733107-0.0123610544925393i,0.0269401536215508-0.000972642369694166i,0.0328811141391928-0.0187811105490383i
-0.00258069108496739-0.00604805178766501i,-0.0242860920291694-0.0396685372099216i,-0.00946167778756402+0.0379015574827317i,0.0354635241273169+0.00407715440404283i,-0.0504528260861386+0.020903968539824i,0.0161327991228567-0.00145959452366564i,-0.0356022833801531-0.0257531709993064i
-0.0292750646967528-0.00229276836353159i,0.005456980218794-0.00231727658017426i,-0.0141054938263208+0.0105965756956589i,-0.0592795007958957+0.00448385247571544i,-0.017464656670282-0.00198835885625567i,0.0120001765879111-0.00047056404436208i,-0.0146349157744818-0.0113887383192225i
0.0320212050064453-0.00660131071717202i,0.0452898434031715-0.0120495345570761i,0.0182519964070706+0.0427706830724603i,0.0431293647964746-0.0103056018689495i,0.0404827032393477+0.013700365551309i,-0.00762668846240372-0.0024792673956082i,-0.0596242347421573-0.036649167403904i
0.0110755676788164+0.00369262797381903i,0.0297853308711884+0.0466984928145175i,0.00126689811927057-0.0378300896803863i,-0.0232244440603249-0.00681284074540295i,-0.0409698997055343-0.00685929180567967i,0.0127468624750861+0.00118795851882084i,0.0546036649923756+0.00645221221068627i
-0.023153502718636-0.00030970104697781i,-0.0208247031131045-0.0127995294507682i,-0.00998821567100442+0.0299630651101854i,-0.0579714268994322-0.017812359520299i,-0.00251649995151758+0.00205117303212032i,-0.0289866779527972+0.000570463038126105i,0.000207477717831857-0.00204963487229665i
0.0389236146280652+0.00277201311659007i,0.0234841568033131-0.00306802394784172i,-0.0328003723384767-0.0342916411807869i,0.110519027216977+0.0190162558990215i,-0.0253889296228456+0.0161938726703738i,0.00487270108595282+0.0012538751783661i,0.0208488126937609+0.0027573550211255i
-0.010783022026811+0.00432100092774034i,0.00101008654780072+0.0116980925891066i,-0.0242546990892018-0.0152019002542321i,0.0267552477894694-0.00458876838374086i,0.00348478238168166-0.0104347279709392i,-0.00039811268740415+0.0019764924947722i,0.00291313013919009+0.0201412177895405i
-0.0143504232423315+0.00231103305286171i,-0.0238123012798761-0.0185487181061624i,-0.00960501360434114+0.00662119761019752i,0.0053953664130121+0.00757438710634381i,-0.0373844402943351+0.000462327444881152i,-0.00384669723913094+0.000635149880244257i,0.00998537878549342+0.00544041196970137i
0.0503323897121704-0.000385336046351257i,-0.0191006747619185-0.0316061040583826i,0.0131766625095698+0.0468129958190129i,0.0129904384727937-0.00956131567355887i,-0.00859241649815891+0.00787837745891714i,-0.0188814742642165-0.000175749728241157i,-0.0213233705376402-0.0129694981037146i
-0.0180952752159652-0.0030669269236834i,0.0546424398260036-0.00855998044474777i,-0.0269004023368198+0.00491598448806506i,-0.00989150908779816+0.00565466571366572i,0.089315805437131+0.010665789972583i,0.025973920576838-0.000359842616666284i,-0.0219986499543643-0.0140308485292388i
0.0464806769191471+0.00302145217547144i,0.0332635059429231+0.0167862551038137i,0.0146473201608286+0.00943018078311334i,0.00172061608428677-0.0190829587562909i,-0.0517395056030284+0.000982220383837747i,0.0133372851889395+0.00104839686551207i,0.0523404916313261-0.00676066481083144i
-0.0407118692775777+0.00498739192333843i,0.0200562313604992+0.0171031035374162i,-0.0384061520524847+0.00203338323530646i,-0.030699658720003-0.0297704426578023i,0.0166796375062059+0.00143813616901658i,0.0326494384966315+0.000778943177208739i,0.0242942745767682+0.0117759131628834i
-0.0314109459767589+0.000284272528256661i,-0.0485024363539294-0.041746155850289i,-0.00462474332876726+0.0484706545117218i,-0.0228105560904689-0.00176564841954147i,-0.0584646485076513-0.0009929481818582i,0.0143947527549104-0.000180644616846691i,-0.0147599289402657-0.00316061320297398i
0.0118072592543728+0.00176844322258743i,-0.0376296313802286-0.0350565407747921i,0.0334161120324791+0.0507422339666426i,0.0277174681246405-0.00241989856356889i,-0.0301451996042224-0.0125098517507062i,0.0055861318494319+0.000225322853787906i,-0.0345673254334907-0.000597091649418618i
-0.0145491385066478-1.39811390592534e-05i,-0.0708518595108176-0.0545939329229432i,0.00173663618038414+0.0153589497528552i,0.00652263476041151+0.00671828157639035i,-0.036449739421057+0.0126200167321168i,-0.0336181440374984+0.00125898863636153i,0.0614233876936432+0.0197104335605317i
0.00587942128615929+0.000733378688185831i,-0.0176584873035341+0.0214829673278172i,0.0412804583181918-0.011531969694472i,0.0211563654746668+0.000512157456181434i,-0.00147701567933739-0.0164448297090935i,0.0295159139557737+0.00013515111870497i,-0.0193536048576834+0.00642201382893043i
-0.0373719509006508+0.00191390776818425i,-0.0643448683726938+0.0101157479433829i,0.00987455833508431-0.013572574229846i,-0.0593510175369839+0.00781100359550894i,-0.0161438640826705-0.0205441048341018i,0.00721279700709242+0.000518463343422791i,-0.028972251115145+0.0167976235739077i
0.0308962795157514+7.16299632171086e-05i,0.0557454189884831+0.0441817191063516i,0.043312138719337+0.00356956311629192i,-0.0406661461658032-0.0176176084730051i,0.0119057367071031-0.0206158451253857i,0.0277771538279913-0.000263693946401712i,0.00623926351014591-0.00923107736713196i
-0.00577610825688732-0.00393350208064232i,0.040771040025642-0.00351128701056552i,-0.00554020685687159+0.0422193262448469i,-0.135622726845533-0.0197898579896914i,0.00120491078970607+0.00159508055954782i,-0.0102908029020361-0.00100574646615891i,0.0303058267688595-0.0224706247104966i
-0.0221837831672125-0.00296364179993532i,0.00807174472551404-0.0465973482059813i,-0.0392071819250951+0.0241345703795149i,0.0753140560336996+0.0252072719794785i,-0.0185609414875593+0.0150468603596847i,0.0847877893988611-0.00118557175483733i,-0.0578691129877727-0.0185271211899029i
0.0578304323237549-0.00782557484381385i,-0.0409711797102273-0.0769066182802974i,0.0744407075257984+0.087891752291658i,0.0659171561658499-0.00194370010217957i,-0.0369664799403165+0.0196211616471277i,0.0403978451433477-0.00265464008016356i,-0.0147250649079088-0.0307997768645112i
0.00214332976621832-0.000889012049522904i,0.0567424886671404+0.0149667223117182i,-0.0569133945364177-0.000569039462243254i,-0.000881690140640287-0.010840717783282i,0.0405293202921341+0.0128397288649141i,-0.00666272397055937-0.000384093794017254i,-0.0393757934680982-0.017247542809667i
0.0121388802263784+0.000421838437857119i,-0.0341785644658228+0.00785845938750712i,0.00816487197708445-0.00319794545679093i,-0.0285687053415253+0.0074290411674048i,-0.0347697298044345-0.0161364372117848i,-0.0521040165721757+0.000817060874422302i,-0.0302413869426808+0.00483205401521205i
-0.0087846154182328+0.00253977848163707i,-0.016158152403304-0.0433550040248788i,0.0149554362355531+0.0276306726818185i,0.0465395495463115+0.00339939158710472i,0.0428247225169738+0.000924014883242346i,0.0226872871688478+0.000436472056249624i,0.00927493431082976+0.0122502317370902i
0.0252982572257852+0.00554152983309353i,-0.0201531597207394+0.0122912438188337i,0.043007765983598-0.0215537351550652i,0.0880306442162791+0.0147372483001685i,0.0327759219488762-0.0253405448444999i,0.0230606665517061+0.000424494261568405i,-0.0462626682122085+0.0220486035270604i
0.0101840475749889-0.000671712497622809i,-0.0277615318889764+0.00931891606202874i,-0.0101753757432067-0.0114822410342515i,-0.0822942916824016+0.000371378512689636i,-0.0595474770001937+0.000388439020499824i,-0.0867736560114193+0.00045662182686964i,0.0362881989599284+0.000375750870653136i
0.0113715057594132+0.00580122595020578i,-0.0269232484632814+0.0126063721970576i,-0.00106848373066138-0.029963742345383i,0.0700886910306574+0.00948371440402755i,-0.040297283696414-0.0109737977655531i,-0.00494491584579664+0.00105963312506632i,-0.000966063955954957+0.0218630923659504i
-0.0173289067113519+0.00204862604034033i,-0.0237294589878134-0.00467306303584638i,-0.0115738031401648+0.0107935714550287i,-0.0276048383735338-0.00752905327851216i,0.0117499526324576-0.00893137236251988i,0.0011440160250439+0.00084040163141178i,-0.0175786024311095+0.0109617339197908i
0.00551635639694604-0.00167476865108732i,0.0127784884261141-0.00584596207394265i,0.0155178341394217-0.00234248814038279i,-0.0193232925151401+0.0119188531750605i,0.0215304378660803-0.00229755138820582i,-0.0255736149988976+0.000338395772633745i,0.0127393845668108-0.00227898961339272i
0.0216752613280871-0.00259835581800474i,-0.0123119414832832-0.0156812552166869i,0.0408016402596642+0.0301713152313463i,-0.0131330402496536+0.00141822574136082i,-0.055005541437471-0.000340402764941179i,-0.0179663697768688-0.000482592748029745i,0.0105876613978922-0.0161446844024334i
0.0192733482026693+0.00302838248259832i,0.0208955167150893+0.039198363298624i,0.0182747054466419-0.0459420710710473i,0.00668391772518282-0.00348571296149978i,-0.0332462258854159-1.44540848978278e-05i,-0.0271365340904388+0.00186732055441689i,0.0811737844788392+0.0111465455471842i
0.00158096960448137+0.00610470048650483i,-0.0147820442887204+0.0194839012489535i,0.0434296817121163+0.0139046398511634i,-0.0247702381208976-0.0173773686223285i,-0.0293802242507946-0.0273548367689569i,0.00898728889184373+0.00173069114772736i,0.0113802463590852+0.0136456585528072i
0.0450337403073622-0.001855140220994i,-0.00414796668317698-0.00256825731600677i,0.0364689942487193+0.0289864688773092i,0.020145068258459-0.00674787084049792i,-0.0635923715871357+0.00441007965233908i,-0.0322183539244065-0.000681592332063716i,-0.0131869159479528-0.024938756398197i
0.0334357039647953-0.00486017300915747i,0.0600968475814654+0.0404944521750601i,-0.0415597711097514+0.0105551229771621i,-0.0565942314743888-0.0171732619009482i,-0.00440379409422311+0.00677502419125058i,-0.0683107528476211-0.00125797168098248i,-0.0834881445755986-0.0430754855810201i
-0.0235946874908938+0.0016259144205442i,0.0729107521797559+0.059378966830143i,0.016257972967301-0.0470113147611166i,-0.115232246434187-0.020212791568324i,0.0771056501879845-0.00966025987212127i,0.0170201022370768+0.00108815757534457i,0.114798026111016+0.0175786023333022i
-0.00318340714387825+0.00163421199359857i,0.00787276350144909+0.045399141679839i,0.0579670206345706-0.0254222796692289i,-0.0663465732308121+0.00085224897685909i,-0.0272288315500756-0.0277184084940785i,0.0662072178224395+3.57948506299951e-05i,0.0348551612096839+0.00882109333698163i
0.0484767109163289+0.00113171368176528i,0.00144450722912298+0.0337864731284014i,0.00420367870341675-0.0347010893212606i,0.0205834137445659+0.013146799739128i,-0.0265787402866524-0.00802530042539333i,-0.0553756023779389+3.14348137158645e-05i,-0.0285975162755847-0.00357106745364218i
-0.00625478510103229-8.32335836271209e-05i,0.0349425413487939+0.0378567644738634i,0.0158427688108718-0.0122755736167828i,-0.0343918314578184-0.00563596185288139i,0.0512063892336124-0.0169604895951452i,0.0261799403627851-0.000798145732131065i,-0.0299679512161753-0.00363226131001803i
-0.0118536446770877-0.00553888751611065i,-0.0666192918735659-0.0819617829630061i,-0.0426348349860292-0.00390575469130448i,0.0706194855324167+0.0368078342819632i,-0.0329471951588909+0.047029747725219i,-0.0371531918676998-0.000995866943436265i,0.03268942219535-0.000702322325771115i
0.0153927567320199+0.00211175944272906i,0.0060064074643025+0.0367263548557979i,0.0201183436435098-0.00103707043308188i,0.0376737008729503-0.00712241291467089i,-0.0597556327061858-0.0165042768881523i,0.00580101143969533-0.000449522825747904i,-0.0552964581756513-0.010202935523419i
-0.0156368171120538+0.000165812938032698i,-0.0249830790568596-0.0322228941363129i,-0.0443277375059368-0.0221665050098553i,0.0357657142444665+0.00758776774969099i,0.0645204428382704+0.0248158919380112i,-0.0415842525016613+0.00141570268334124i,0.0371191367744687+0.0213811205379097i
0.0273720764074727-0.00737091450595067i,0.0439481789305277-0.0269071189093599i,0.0586746565010407+0.0675793070501386i,-0.0330272276911337-0.0139630689124362i,0.00915360119447412+0.00958912685268638i,0.0336537923563739-0.00279913824914059i,0.0113707731738792-0.0393461447517189i
0.0228583945447709+0.00156888874488271i,0.0103153069527877-0.0303150360790632i,0.0148669591011689+0.0381433802506403i,0.020652286352676+0.0085069238096388i,-0.0440931948281814-0.00530985844841506i,0.0250016417822788-0.000322368505819626i,0.00182092929670492-0.00924917319891414i
-0.0085000800653086-0.00037442034643433i,-0.000268145689230205+0.016785814575142i,0.016881932081372-0.0162164985796289i,-0.0425271803487082+0.00659604333269465i,-0.0103341184081023-0.00858472650277797i,0.038787050782078+7.95360592407739e-06i,0.0175636486482954+0.00134071002482177i
-0.010451798359688+0.000454860271419268i,-0.0334613794357774+0.0104742857672264i,-0.000181218478779431-0.0196873191625797i,-0.0577520440403097+0.0102620179392222i,-0.0279251923372728-0.0103844140980063i,-0.0557510008252712+0.0010365116806055i,0.007403065998987+0.00985778423293939i
-0.0461908246825024-0.00174764903370425i,-0.0349896901343765-0.0332055592206749i,-0.0408249285202811-0.0367657943764182i,0.0657918985629466+0.0184047554640025i,0.0199414867160338+0.0330082847867447i,0.0371988086437176-4.49088202323349e-05i,0.0457697536942035+0.0183603611824437i
-0.0405658308720431+0.00238247579888428i,-0.00942378568801366-0.0324031234186739i,-0.0527388782607344+0.0132150319416143i,0.0962515928797172-0.00418025874087726i,0.020613024464436+0.0149363561819419i,0.0897349710304585+0.000367764999436181i,-0.029508201206438+0.00955396646177949i
0.00907786902720667-0.00446136077542237i,0.0587513793908811+0.0187018118655147i,-7.72923302155492e-05-0.00809581868060256i,-0.0204051164875673-0.00442544870095448i,0.0807476934542825+0.00732436993776517i,-0.0024570984908326-0.00120405732323573i,-0.00922119225630947-0.0158842555408656i
-0.0340391919303901+0.000372443950229628i,0.0275277335517045-0.00410897760434758i,-0.0139178688145818+0.00770192910696014i,0.0139115672847586-0.00684922492627016i,-0.0224765712797118+0.00645542355317544i,0.0798899497549534+8.15197562489433e-05i,0.0297518638716115-0.00308219923134815i
0.0256022067516573+0.000528059935736486i,0.0108322565853012-0.0157980477392042i,0.00633173366771682+0.0416089659539373i,0.0572340459945597-0.018027852280782i,-0.118823709281314+0.0154034588659959i,0.0485186313930934-0.000454581045025936i,0.0275562983442578-0.022732551678906i
-0.0496535404188176+0.000711580164249121i,-0.0139468423171656+0.00659999865282667i,-0.0713219905936536-0.0395217675699181i,-0.00343522507551845-0.004541983259405i,0.0337441611546785+0.0149897705198322i,-0.0173599467611735+0.00140106146141143i,0.0179611929491573+0.0221204543476916i
0.0251402917410645-0.00190783989287679i,-0.0134777171758097-0.0222956476635945i,-0.0230363719556203+0.0321557176876965i,-0.0346782259322919-0.000324910057746132i,-0.0630204985789903+0.00661515039110583i,-0.0661654843530136+0.00030223014695672i,-0.0115471411750052-0.016544742105676i
