-0.000813493608978414+0.000390444775335833i,-0.00174902596652625-0.00221843835640956i,-0.000701079020696852+0.00236684163932659i,-0.00134631253859284-0.0014520284325087i,-0.00418308491534661-0.00213017546381302i,-0.00249396986605447-0.00146020310212995i,-0.00293095984242674+0.000380586336362237i
-0.00192100654339423+0.000107498449270593i,0.00269662423569542+0.00282196852914696i,0.00184473999642614-0.00233207698882805i,0.00223677903370813+0.00180115467664718i,0.00435262312730642+0.00286070807304146i,0.00211562833450133+0.00225205484164605i,0.00294486864557383+0.000600138627692254i
0.00087999063423682+0.00101476001221528i,0.00257076060056908+0.00299216622395025i,0.00233938503975939-0.00389896399125111i,0.00147339139582456+0.0020831880038816i,0.00601586227322403+0.00490029958299309i,0.00356512604212121+0.00222909382836801i,0.00419392618823029+0.000579783906252299i
-0.00209073048320902+0.000845424494782129i,0.00157816628164465+0.00130625063696618i,0.00127209189474617-0.00102404208554254i,0.00089741344047116+0.00061726752944988i,0.00167283558902791+0.00230230482184487i,0.000178924092602207+0.000890013931415099i,0.00101728028707684+0.000827918589394747i
0.00610638304531561+0.000547576232781691i,-0.00286813368738875-0.00320950766593099i,-0.00137205371719941+0.00288875025839498i,-0.00306764564457239-0.00246196683693006i,-0.00547947666221435-0.00318097232927272i,-0.00264549319877596-0.00278935497869487i,-0.00388724296890228-0.000342402355494414i
-0.00151519660295072-0.000293069150321637i,-0.0013022279082019-0.00268297465871904i,-0.00122516943178689+0.00331003503672411i,-0.000658645630593334-0.00168591305625443i,-0.00456635795126569-0.0022665557285573i,-0.00454903943240823-0.00248675293673142i,-0.00255260582881056+0.000102343549841732i
-0.00211853925387231+0.000158759561383789i,0.00270373825893257+0.00187866513575082i,0.00164927886183233-0.0018306116171382i,0.00273724939467417+0.00151509727673291i,0.00391736561601596+0.00360897043086373i,-0.000140418526718957+0.000895269236865484i,0.00354671715645206+0.00104616038623875i
0.00118659854588917+0.00047473010873189i,-0.00352640425349031-0.00292968873302108i,-0.00192078050837399+0.00291137407904622i,-0.00322135233334716-0.00234343230462313i,-0.00621728461753286-0.00416968520541036i,-0.00153109313439419-0.00132544600513137i,-0.00553738002749696-0.000142793787155514i
-0.00147441030786304-0.000454908140483415i,0.00492306502960585+0.00556436718490382i,0.00222688365248042-0.00524731907884352i,0.00442828957138564+0.00390646482915715i,0.00959137812377998+0.00545218323021369i,0.00473475750867984+0.00407639038292124i,0.00701990916191428-1.15525364679523e-05i
0.00022720955391394+0.000219527956176455i,0.00450330143739409+0.00577438254257604i,0.00263946907696507-0.00620101477889487i,0.00323916010721671+0.00374627263390633i,0.010197276177738+0.00614624251740166i,0.00631064616416551+0.00436483447007621i,0.0069733993941066+3.51054938333681e-05i
0.00241643330727202+0.00235568410217395i,-0.000771719158469879-0.00105031155222614i,0.00153431162200936-0.000858786366328678i,-0.00057530439957503-0.000379503823071176i,-6.02353179278653e-05+0.00314949476234133i,-5.49906020282797e-05-0.000489194899574979i,-0.000134365470687612+0.00176199430330616i
