-0.0725726769811319-0.00888035922272294i,0.0586272693346286+0.0302073815727578i,0.0370367555323772+0.0333179951235333i,0.0533344241441825-0.000602550086218474i,-0.0570712875224334-0.0267463716870641i,-0.0295480678107883+0.0189054675512715i,-0.0343108708030662+0.0219180228239501i
-0.0661168375421053-0.00329322422543537i,-0.0250290318422552-0.0387829403477912i,0.0055422360550401+0.0500420406030073i,-0.024643526158631-0.0112076052192057i,-0.0477744453697805+0.00689820742306097i,-0.0416916312492707-0.0257954770480772i,-0.0456501893893391-0.0313651323264697i
0.00867735612894619-0.00370296808770195i,0.0763749878010166+0.0515791837456407i,0.023864067330442+0.00821000131276166i,0.101799046485488+0.0233307039618505i,0.00196447760055675-0.0126868156543457i,-0.021716052421967+0.040090801270207i,0.0132300981898993+0.0222479400039271i
0.0171086888531859-0.00219872130084075i,0.0288123104540216+0.0522549443438634i,0.006631320756631-0.0301261847550869i,0.0493081896977747+0.0267291763496685i,0.0187589804236612-0.0164443598644928i,0.0164600915031907+0.0453603934894038i,0.0331307294266155+0.0224459559043949i
-0.0408760581399286-0.00195898374934445i,0.030829649163071+0.0124145608337809i,0.000954073189597287+0.0177523484119823i,-0.00911722722392845-0.0217480427177029i,-0.0365437551733284-0.0135252785678948i,-0.027634311579901+0.00739443339624865i,-0.0586261390380808+0.00513749087459238i
-0.00483625532508406+0.000102180648607436i,-0.00668308543387408-0.0275907985394819i,0.0148736642538877+0.00567836786760735i,0.000969244336910955+0.00324444042941333i,0.0101563519330651+0.00854735975596747i,-0.00100934945001323-0.0221003817926574i,0.0151748646390418-0.00345102692389735i
-0.00271866760489464+0.000353293920997937i,-0.0148406598433811-0.00204382685344798i,0.00422506645914331-0.00253900532003903i,-0.0243228933176134-0.0120914656662372i,-0.00202793539087409-0.00479937953991185i,0.0170660352523645-0.00910528310586967i,0.0126482502664784+0.00123630444040741i
-0.00949963862969268+0.00381682417299394i,-0.058071722988835-0.0787838722732279i,-0.000337013652838508+0.0163527741870128i,-0.0417018972763085-0.0144611386677494i,-0.00557665189323402+0.0180325446120211i,0.00426321602886211-0.0549956903958488i,0.009344102491464-0.00999689125721951i
-0.00280541221927015+0.000284633751270637i,-0.00199061460089847-0.0204284955094045i,0.0128179937000482+0.00783227416327684i,0.00178202898916642-0.000167869320651556i,0.0159495998386672+0.0149458769002238i,0.00935170376290928-0.0291337235455529i,0.0214529618404298-0.011997050289731i
0.00587719348270937+0.0014556390441491i,-0.00738913066062703-0.00223216942254904i,-0.0120352100716354-0.0150291032937462i,0.0213752743723692+0.00826973484424595i,0.0185841525002587+0.00815400351700254i,0.0165480615647429+0.00130915259168372i,0.002171009029575-0.00255081538779653i
