0.00397355802386245-0.000180827313816438i,0.0183808469343963+0.00933806517432108i,4.26138031224647e-05-0.0107314853075316i,-0.00511568554005675+0.0132916763013646i,0.0191212809438251-0.00675715401318038i,-0.0174820065094837+0.00864325042606986i,-0.0168662235936029-0.00736702106004692i
0.00402688212809927+0.00207000101804556i,-0.00227689542224691-0.0180048803005024i,-0.000946403675147242+0.0144423684734198i,-0.000594490232851475-0.010629437656729i,0.00553029303866097-0.00513001110364393i,-0.00643332452097235+0.00254448674242092i,-0.0277729034613986+0.0127661950285183i
0.0045952046290979-0.00040463765277416i,0.0155854563973633-0.025488632952706i,0.00227960110789572+0.010871136248599i,0.0375617812421384+0.0160738012691129i,0.031509656714592+0.0124281717861612i,0.0398118715739899-0.0146412527012462i,0.010375742214589+0.00878235328886104i
0.0101535034945738+0.00250071196121203i,0.0204422546050575-0.00547556648199132i,-0.000267162264462069-0.0132885152955265i,-0.0124965831556745+0.0010766999395084i,0.019125804531204-0.0108835884403664i,-0.0169304190091284+0.00302336561833126i,-0.0120716947976427+0.0168939726438699i
-0.00458457941778647+0.000936455729398704i,0.0140228186112951-0.0129325996436147i,0.0158417958275316+0.0106635018420422i,0.0210439261917521-0.0134584987424505i,-0.0133307062385405-0.00736915075413149i,-0.0104247216146946+0.00175768353384147i,-0.00964921044472545+0.0185387326754926i
-0.00200039777977189+0.000274168176204808i,0.0025381295553345-0.00518256188306728i,-0.00318901759760846-0.0139184441519213i,0.0402860795618574-0.00499003845895345i,-0.0121177925071677-0.00620788689789383i,-0.00897619069675117+0.00736756263585725i,0.00959583392219406+0.026059854260651i
0.005512691465162+0.000704698121704116i,0.00808966915465744+0.0116911976197514i,-0.035621732995676-0.0228146549194364i,-0.0185050043509391+0.017078479567379i,0.00642405367268282+0.00743512846938497i,0.00813084128866325-0.0113379050832755i,-0.0113179479666897-0.00351433271813597i
-0.00409535175883472+0.000338380251652289i,-0.0288216956812119-0.0140411916276691i,-0.0257093547557291-0.0163751322593926i,0.0419564770864048+0.0205747851660044i,-0.0290369690482204-0.00144287989052471i,-0.0189870699288511+0.00863506144063707i,-0.0142996886246564+0.00611650578627436i
-0.00666233687971774-0.00160277268703382i,0.0186347304297373-0.0114907558911126i,0.0303328223615709-0.00224305089297704i,0.00574506832605469+0.029160133447394i,-0.014236981386676-0.00385116220450861i,-0.0142710665932007-0.000375844420155073i,0.0192894657497223-0.00544053281302401i
-0.00371310185935104-0.00163429983810983i,-0.0201365527541363-0.00410827174625959i,-0.0154636626200552-0.0143394457418249i,-0.00303269420253585+0.025036230544928i,-0.0282039603412526+0.00440479031264971i,-0.00893131727135683-0.00387039451518389i,0.00959596620768258-0.00627005491493671i
0.0147854760128624-0.00037655715884274i,-0.019526785996882-0.0066059209220351i,0.0266685765611586+0.0011223310822515i,0.0175718775768655+0.00175998369558115i,0.0176672011584098-0.00354588235769896i,0.0171178315851684+0.00937567303421306i,0.0183584556569139-0.000675431225769524i
0.00790660080431684+0.0016312604705691i,-0.0175728214390228+0.00792466122696242i,-0.0180895803496955-0.00921803593943291i,-0.0256896808193115-0.0143674927711599i,-0.0162712392378549-0.00439299035756963i,0.00928386933893509-0.00452073844384183i,-0.00417935721921725+0.00702358999470699i
-0.00373221342110986+0.00116914810688493i,0.0241685898682995+0.0304966057488797i,-0.0150476305773764+0.00282953912755214i,-0.0331955540131473-0.0266436362115643i,-0.028132144978524-0.00359752377784364i,-0.012152725036045-0.00525865670454556i,-0.0222061819438524-0.00783039232750243i
0.00170358444848551-0.000744644696572857i,-0.00308583847765994+0.00190241520285491i,0.00145807790395295+0.0195478189768338i,-0.0126287779595396-0.00290529547047924i,0.0297517528999821+0.0179675767204791i,0.0258062061187294-0.0121254640133761i,0.0139181908811021-0.0174368570660313i
-0.0154626999892277-0.000211287402192853i,0.0357446128624544+0.00389901589924655i,0.00927211753854837-0.000935568675554161i,-0.0185245392370818-0.00156613425273273i,-0.031256564019056-0.00370207847668118i,-0.0151313903146115-0.00955089847582945i,0.00397047667922147+0.00944814175509345i
-0.0143805606971045-0.00187113255165329i,0.0224265655765141-0.00704753817911814i,0.0245838841608949+0.0170689872832445i,0.0240742828043257+0.000913168993183526i,-0.0195251245210567+0.00291560292075222i,-0.0132838910974265-0.00258841559358635i,0.0106631017144356-0.00144565635890672i
0.00135521198428326-0.000917425401450594i,0.0202629935941934+0.0376083873427892i,-0.0257581904554181-0.0205739020034054i,0.0130077913779159+0.00468394514323814i,0.00065250046368714+0.00774367322713291i,-0.00722416081913105+0.000981035629107496i,0.00823761187783318-0.0231278566847342i
