-2.01809805839304-0.0534340000535392i,-0.0588968162622085-0.00192252831124687i,-0.0530307656259401+0.0269028631886927i,-0.0531886304630317+0.030243254413638i,-0.0753296667622918+0.00696418361038925i,0.0548770405350723+0.0148778818237615i,-0.0993697628803457-0.00343329729348287i
0.0314565485677871+0.00483693585415475i,-0.0165255003509125-0.00192059344566813i,-0.0293935284185962+0.0192055830089342i,-0.0450668081031735-0.0126870149563074i,0.0185406182961924+0.0106305687106636i,-0.0175674235183254-0.00661664694564399i,-0.0207754202523974-0.0374369560598046i
0.00865454135997912+0.00217053498663608i,-0.00951835557864951-0.00262670465396729i,-0.0393174816749669-0.0207300834614801i,0.0278875270282911+0.0014200926514144i,0.0239795563763835+0.00606004412107252i,-0.033130316776782+0.00323673788107189i,-0.0268014540027013+0.00304873121707814i
-0.00996017701858286-0.000692887226217973i,0.0109332400521003+0.00130755591264938i,0.00491229197019626-0.0181897526918917i,0.0639827366134782+0.0122211534670679i,0.0164811448045172-0.0143413412271831i,0.0283914450964243+0.0203273043642853i,-0.0326571252020858+0.0165632559317867i
0.000372572508220335+0.00165745514804284i,0.00665335624359218+0.00739937480034073i,-0.00389480662165414-0.00645228754023208i,0.0310674009680708+0.00210762890444988i,-0.00758916009700197-0.00476675520323155i,0.0374332730479313+0.00259037578884595i,-0.0309887935708006-0.00406108513786581i
-0.0218006198992788+0.00123920927749753i,0.0379554118239301+0.0278903072942658i,0.0307330643256126-0.00138596571935385i,0.017802889088287-0.0123443604777611i,-0.0136297460241865-0.0164320496033029i,0.0234410994150657-0.00652270987441361i,-0.0189585726376436-0.00482114052540079i
0.0122333255587199+0.00713528732374298i,-0.0107348912659399+0.00566080867600589i,0.00872158227003289+0.0113921461166008i,-0.0275652388896344-0.0202410664692344i,-0.00590101962295918+0.000757495899121936i,-0.0347500104968996-0.0322792564996468i,-0.0216927867064182-0.0268095890834017i
-0.0211727544360311-0.000545808114809329i,0.0121027308948352+0.0133335324189161i,0.0284381744096672+0.0162200505705492i,-0.0137249282988535-0.00789124930429971i,-0.0445934633627152-0.0129328182777372i,0.0239060294219356+0.001530701323125i,-0.015803104852857-0.0132163499703677i
0.0162160594363438+0.00298875154126395i,-0.0299602286166975-0.0248771794118314i,-0.0243375115267046+0.0233788496296125i,0.0113373794006295+0.00357930359578496i,-0.0218627877164161+0.0137945616611817i,0.0181911698788485-0.00869702259418919i,-0.0160974274111443-0.0201716234602913i
0.0125995799238865-0.00135484273528004i,-0.00551775605191139-4.63992561202313e-05i,-0.0111313469421916+0.000761783848855391i,-0.0261176124417617+0.00243673811248532i,0.00870590874955316+0.00641182444108652i,0.0122796816931601+0.00535316725330853i,0.00476964498385589-0.00428980057809089i
-0.00156725234625366+0.00610092739787518i,0.00150307620519998-0.0118481029756815i,-0.0250593512458369+0.0235106261632712i,0.010556510677774-0.0132511572317683i,-0.00733506659556644+0.0108946862945091i,-0.0300068491909485-0.019726742567674i,-0.0547889722773769-0.0289067181497106i
-0.00887762590767812-0.00131028208394346i,0.0174786512142791+0.0225518323152129i,0.00940874772013071-0.0200057487457135i,-0.0103520978360415-0.00244578704513559i,-0.0146955444578753-0.00650282336513387i,0.0277079751578925-0.0021963245954856i,0.0207403830083381+0.0136708221277739i
0.014215943708123-0.0009825451808923i,-0.00640975024424368-0.00256103159505314i,-0.0150534500100615+0.00937478307062499i,-0.0476426405820789-0.00420737377299468i,0.0169661687788927+0.00728562339507705i,-0.026141501738477+0.00850338066062707i,0.0269827256789128-0.00911143842596077i
-0.0124449299280101+0.00121416804307956i,0.0121015671829806+0.00102144501985192i,-0.00534941406853081-0.00263108305041939i,0.0503435160290653+0.000231706714019209i,-0.0238818651250442+0.00586028794184692i,0.00483641733816623-0.0131700891401231i,-0.01190637384134-0.00326272801238327i
-9.6211102752901e-05-0.00176548706325178i,-0.00443282587218648+0.00164635213611436i,-0.0158993614725982-0.0116597469314847i,0.0040967833507471+0.00529016896236203i,0.00016303551882081-0.00462022177831135i,0.00100790799163708+0.0152506104981058i,-0.00676258114663263+0.00996258035196012i
0.00845450496120085-0.00133806677090834i,-0.023432424825809-0.0121242098987794i,-0.00154906703214192+0.00359362389255584i,0.0021686773156625+0.00748647639762306i,-0.0112645507280359+0.00208431841794718i,0.00188064061447226+0.00362677420541741i,0.0131116093373934+0.0034001750104724i
0.00602833793685283+0.00138290113214035i,-0.00822718102642288-0.0177687020688975i,0.0157892627467206+0.0392150830953179i,0.00478213224239934-0.00317374464260737i,-0.00553198051631348+0.0052326495471349i,-0.00353675562157997-0.0082152336824283i,0.00147811797369698-0.0265732903872692i
-0.0102791550811404-0.000651951404465201i,0.0512473199129893-0.00407428766481946i,-0.0147794192087537+0.0298598360066215i,0.0151675926157857-0.00838905527909568i,0.0266073883984694+0.0139900185118793i,-0.0119428313596008+0.00637169558520804i,-0.032821671178572-0.022594455644722i
