-0.0403481086080679-0.00295243377220424i,-0.0454641460049599-0.0383547911157697i,0.0318137288956327+0.00975355514336802i,-0.0159609081138233+0.00413835752478455i,0.0318999230238508+0.00432880813818507i,0.0628227478545997-5.93047627125921e-05i,0.0515345471964069+0.0181897703170114i
-0.0236074718817994-0.00234722337218618i,0.00815403170090734-0.000457071688060253i,-0.0179412066977284+0.0074960205805408i,-0.0345044518965398-0.00320764554350169i,0.00777983855665995-0.00178428171221761i,0.0110944720465142-0.000676002054342838i,-0.0119357453619974-0.00450758385263344i
0.0246271680661737+0.000799180229320308i,0.0183054129538077+0.00855952409226586i,-0.0142974764253568+0.00228044467123769i,0.0457682035379198-0.00127607586124642i,0.0341400785972558-0.00386584195556215i,-0.028740476805394+0.000951093337457678i,-0.0568561788203832-0.00652354513785335i
0.030541950779538+0.00557283801497708i,-0.0227765455690874-0.00263105511223517i,-0.0533261380920088-0.0332605108141476i,0.0224163501181212+0.013947645030141i,0.0112598109462707+0.0025917297585347i,-0.0700110141565448+0.00332103879151299i,-0.00579856294246794+0.0232776878898647i
-0.0080120825655579-0.0027522591431051i,0.0154020067972508+0.0129277860715077i,-0.0219447982285813+0.00165452859942623i,0.00312782877846907+0.00493991182366927i,0.026535078557837-0.011420012266805i,0.0122582819975982-0.00168840703447476i,-0.0844938467343771-0.010920570162181i
-0.00186695195270473+0.00185964380775968i,0.0039694931483093+0.022028814757087i,-0.00960756305562151-0.0346448203421143i,0.0352780088173738+0.0133503230299754i,0.0638284480064891-0.014552755815849i,0.00124527948638879+0.00109974222464321i,-0.0548566825277614+0.0140571525341588i
-0.0218657489855904+0.00260262401321628i,-0.00839444537518765+0.025661935299517i,-0.0222048952071435-0.041513954917469i,0.022422392483458+0.00838236477688833i,0.0164185149875465-0.00456143588417444i,0.0251574672311153+0.000959235728321492i,-0.0244938244372548+0.0151849163096416i
-0.0126794755094501-0.000321876176297222i,0.0262664678074931+0.00255775705096051i,-0.0274742192904672+0.00319942505244442i,-0.000187012748129337-0.00124589807492944i,-0.0303288485200872+0.00688894253229964i,-0.013235066153109-2.59358303741847e-05i,-0.000329889822988048-0.01242730741007i
-0.0256590650299282-0.00171544564659537i,-0.000269131985148543-0.0064520210488686i,-0.0133303655299843-0.0211388034388456i,0.0515370746803453+0.0128460458556015i,-0.00350251721027079+0.0109777714340166i,0.00270808226825566-0.000659589679826047i,0.0147980731163214+0.00281652343684708i
-0.0159537844940743-0.00466793789041661i,-0.0189717303570428-0.0281181341211412i,0.00530628540705431-0.00386608090072698i,-0.0164370801178929+0.0148792128229076i,0.0167558164632554+0.00697419833238751i,0.0317954787348458-0.00181323735371193i,0.0336189142021901+0.00414388964703622i
