-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
-0.00213148870330219+0.00398981551462652i,0.0119618934176777+0.014772330394591i,0.011591052130104+0.0383831966207754i,-0.0700976054304046-0.0270823506410699i,-0.025374737403334-0.0149248387607913i,0.00866816411164142-0.00282840464483079i,-0.0300936527101323-0.0164812094356593i
-0.00677171888488418+0.00578867826414009i,0.00302329254261814+0.0283202557504807i,-0.035923573121692-0.00182582049324262i,0.0243392090376171-0.0382201542847529i,0.00515587269150699-0.00918630413239574i,-0.0385217197252429+0.00689781309537234i,-0.0255786872643207+0.00531329195602121i
-0.0105797930698044+0.0063931957681099i,-0.00582019586723701+0.00634209824106631i,-0.00403319679507382+0.0113514566381946i,-0.0181247498719956-0.0268941190137478i,0.0225369725016226-0.0114084694578068i,0.0273344379691047+0.00760836578368773i,-0.0563126794584075+0.00148768844960972i
0.00859961060310799+0.00369799824852919i,0.0675466296382312+0.0145707443622749i,-0.0241768551273635-0.0208992681394703i,0.0267466885943205-0.007501166826693i,0.0552890691922279-0.00131125705677167i,-0.0301217444738122+0.0119997909989656i,0.0252573058997572+0.0041988016759306i
-0.0150093887507072+0.000935372700225883i,-0.0138952887731677-0.0220881525370911i,-0.00215998185547137-0.0251216086272641i,0.00791963226227718+0.0128170375848265i,0.111257630093319+0.00263746875781844i,-0.00339803175771888+0.00798072450622743i,0.00359668526799885+0.0223041744421941i
-0.0108702022063802-0.00673225679362044i,-0.0752455733685462-0.0416151252104573i,0.00213448756722005-0.0163938552032489i,-0.00346511493045523+0.0345164144473114i,0.0501689158072559+0.0133079420235147i,-0.0131188986806786-0.0112258873765789i,0.00471279499689429+0.0262742578620942i
0.00379063793316254-0.00307670321577998i,0.021188079916123+0.0231572271350434i,0.00585497993042829-0.0240700394419427i,0.0483935651911878+0.0213057700934321i,0.00184383909857353-0.0100188370133404i,0.0437425672218201-0.00637778229748364i,-0.0209047046690302+0.00346763820253237i
0.00212942338004218+0.00355185476027586i,-0.0672077962394407-0.0288462082503723i,-0.00671988194831368+0.0324313240752555i,-0.00987512239337542-0.0132597423914868i,-0.0307282061090372-0.00170602658382634i,0.00695395483370936+0.00634758632310002i,-0.0432210951906257-0.00356279909728043i
0.00317860807425428+0.00227625659225329i,-0.0233596007822568+0.0091553785698922i,-0.0142328935003428-0.003621529513003i,-0.0256093549535931+0.00166363790472928i,-0.043745990395312-0.0117446293502282i,-0.0278331244847173+0.00535137184598532i,-0.0207679979083219-0.00264960091850872i
0.000275454329102459-0.00611302631027501i,-0.0184075734691496-0.0138850145814448i,0.0555746332033317+0.0142642788789414i,0.00329383512215711+0.0158908287764261i,0.0165755069596009+0.0043979563161331i,-0.012047287045973-0.0188997353976695i,-0.0213554283749232+0.00288274661078957i
